vel_IC,phi_IC,trial_num,vx,vz
1.0,30.0,63,0.87,0.5
1.0,40.0,62,0.77,0.64
1.0,50.0,61,0.64,0.77
1.0,60.0,60,0.5,0.87
1.0,70.0,59,0.34,0.94
1.0,80.0,58,0.17,0.98
1.0,90.0,57,0.0,1.0
1.25,30.0,56,1.08,0.62
1.25,40.0,55,0.96,0.8
1.25,50.0,54,0.8,0.96
1.25,60.0,53,0.63,1.08
1.25,70.0,52,0.43,1.17
1.25,80.0,51,0.22,1.23
1.25,90.0,50,0.0,1.25
1.5,30.0,49,1.3,0.75
1.5,40.0,48,1.15,0.96
1.5,50.0,47,0.96,1.15
1.5,60.0,46,0.75,1.3
1.5,70.0,45,0.51,1.41
1.5,80.0,44,0.26,1.48
1.5,90.0,43,0.0,1.5
1.75,30.0,42,1.52,0.87
1.75,40.0,41,1.34,1.12
1.75,50.0,40,1.12,1.34
1.75,60.0,39,0.88,1.52
1.75,70.0,38,0.6,1.64
1.75,80.0,37,0.3,1.72
1.75,90.0,36,0.0,1.75
2.0,30.0,35,1.73,1.0
2.0,40.0,34,1.53,1.29
2.0,50.0,33,1.29,1.53
2.0,60.0,32,1.0,1.73
2.0,70.0,31,0.68,1.88
2.0,80.0,30,0.35,1.97
2.0,90.0,29,0.0,2.0
2.25,30.0,28,1.95,1.12
2.25,40.0,27,1.72,1.45
2.25,50.0,26,1.45,1.72
2.25,60.0,25,1.13,1.95
2.25,70.0,24,0.77,2.11
2.25,80.0,23,0.39,2.22
2.25,90.0,22,0.0,2.25
2.5,30.0,21,2.17,1.25
2.5,40.0,20,1.92,1.61
2.5,50.0,19,1.61,1.92
2.5,60.0,18,1.25,2.17
2.5,70.0,17,0.86,2.35
2.5,80.0,16,0.43,2.46
2.5,90.0,15,0.0,2.5
2.75,30.0,14,2.38,1.37
2.75,40.0,13,2.11,1.77
2.75,50.0,12,1.77,2.11
2.75,60.0,11,1.38,2.38
2.75,70.0,10,0.94,2.58
2.75,80.0,9,0.48,2.71
2.75,90.0,8,0.0,2.75
3.0,30.0,7,2.6,1.5
3.0,40.0,6,2.3,1.93
3.0,50.0,5,1.93,2.3
3.0,60.0,4,1.5,2.6
3.0,70.0,3,1.03,2.82
3.0,80.0,2,0.52,2.95
3.0,90.0,1,0.0,3.0
