vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,17.5,0,0.95,0.3,[3.93 4.88],[2. 2.],5.49,0.0,5.52,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,1,0.95,0.3,[6.33 3.05],[2. 2.],5.44,0.03,6.7,0.42,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,2,0.95,0.3,[5.51 3.37],[2. 2.],5.16,0.0,3.32,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,3,0.95,0.3,[6.66 3.67],[2. 2.],6.63,0.0,6.84,0.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,4,0.95,0.3,[5.5  3.59],[2. 2.],6.44,0.04,3.46,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,0,0.94,0.34,[4.79 5.29],[2. 2.],5.31,0.03,5.37,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,1,0.94,0.34,[6.16 3.38],[2. 2.],6.24,0.0,3.6,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,2,0.94,0.34,[3.12 6.58],[2. 2.],3.2,0.02,6.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,3,0.94,0.34,[2.93 4.17],[2. 2.],6.6,0.03,7.67,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,4,0.94,0.34,[4.76 4.56],[2. 2.],6.27,0.01,4.36,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,0,0.92,0.38,[6.6  4.72],[2. 2.],6.11,0.0,3.53,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,1,0.92,0.38,[7.37 4.08],[2. 2.],2.87,0.0,9.81,0.0,0.2,0.0,2.8818,0.0061,8.2816,0.0639,-7.3722,0.0101,1.9773,0.0005,0.1227,0.353,0.0,0.6165,0.0159,2.6272,1.2247,0.4262,0.0118,-0.4338,0.0543,119.5355,7.7737,0.184,0.0054
1.0,22.4,2,0.92,0.38,[7.1  4.52],[2. 2.],6.4,0.0,2.02,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,3,0.92,0.38,[3.26 3.99],[2. 2.],6.02,0.07,2.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,4,0.92,0.38,[3.2  4.92],[2. 2.],3.65,0.0,6.89,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,24.8,0,0.91,0.42,[5.43 6.47],[2. 2.],4.93,0.0,3.82,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,24.8,1,0.91,0.42,[6.62 5.04],[2. 2.],3.3,0.0,8.15,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,24.8,2,0.91,0.42,[5.25 6.4 ],[2. 2.],3.43,0.02,8.03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,24.8,3,0.91,0.42,[6.37 4.31],[2. 2.],4.4,0.02,4.52,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,24.8,4,0.91,0.42,[7.27 4.81],[2. 2.],6.93,0.0,6.6,0.12,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.3,0,0.89,0.46,[4.94 3.88],[2. 2.],3.81,0.0,6.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.3,1,0.89,0.46,[3.98 7.12],[2. 2.],3.46,0.04,8.74,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.3,2,0.89,0.46,[4.8  5.46],[2. 2.],4.79,0.0,4.26,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.3,3,0.89,0.46,[5.32 7.52],[2. 2.],4.02,0.0,6.05,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.3,4,0.89,0.46,[4.04 3.81],[2. 2.],4.43,0.0,4.9,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
