vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,17.5,0,0.95,0.3,[4.04 3.62],[2. 2.],6.18,0.01,3.12,0.26,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,1,0.95,0.3,[7.35 4.7 ],[2. 2.],2.63,0.0,8.79,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,2,0.95,0.3,[7.03 4.66],[2. 2.],6.31,0.03,3.27,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,3,0.95,0.3,[3.1  6.07],[2. 2.],5.8,0.0,5.68,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,17.5,4,0.95,0.3,[4.82 4.89],[2. 2.],3.16,0.02,6.05,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,0,0.94,0.34,[6.75 3.96],[2. 2.],6.25,0.0,6.69,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,1,0.94,0.34,[5.53 6.87],[2. 2.],3.31,0.02,6.51,0.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,2,0.94,0.34,[5.52 5.34],[2. 2.],6.28,0.0,1.59,0.34,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,3,0.94,0.34,[2.8  3.64],[2. 2.],6.78,0.15,7.74,0.63,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,19.9,4,0.94,0.34,[5.04 5.11],[2. 2.],3.09,0.01,7.44,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,0,0.92,0.38,[7.4  3.31],[2. 2.],6.58,0.07,2.34,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
