vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,10,0.23,0.09,[6.11 5.77],[2. 2.],5.99,0.0,5.29,0.01,0.0,0.0,0.937,0.0,0.0004,0.0,-2.191,0.0,0.392,0.0,1.708,0.035,0.0,0.7999,0.0962,0.7999,0.0962,0.2356,0.0027,0.0564,0.0005,,,985.7163,57.2866
0.25,20.0,11,0.23,0.09,[2.61 7.23],[2. 2.],1.78,0.03,7.87,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.098,0.0,2.014,0.0,0.086,0.086,0.0,0.7993,0.0946,0.7993,0.0946,0.2353,0.0021,0.0564,0.0005,,,509.1378,59.9916
0.25,20.0,20,0.23,0.09,[1.   4.86],[2. 2.],5.65,0.0,8.76,0.02,0.0,0.0,0.901,0.0,0.8206,0.0,-3.113,0.0,2.015,0.0,0.085,0.077,0.0,0.8254,0.1285,0.8254,0.1285,0.2365,0.0029,0.0562,0.0004,,,324.5149,23.7679
0.25,20.0,21,0.23,0.09,[3.   5.78],[2. 2.],1.6,0.0,7.37,0.4,0.0,0.0,0.9,0.0,0.8206,0.0,-3.111,0.0,2.015,0.0,0.085,0.077,0.0,0.7866,0.0657,0.7866,0.0657,0.2361,0.0024,0.056,0.0002,,,248.6145,24.034
0.25,20.0,22,0.23,0.09,[5.   3.99],[2. 2.],6.39,0.0,3.69,0.03,0.0,0.0,0.9,0.0,0.8206,0.0,-3.111,0.0,2.015,0.0,0.085,0.077,0.0,0.7987,0.0896,0.7987,0.0896,0.2363,0.0032,0.0562,0.0004,,,247.8102,24.2753
0.25,25.0,10,0.23,0.11,[5.71 6.31],[2. 2.],5.98,0.0,8.02,0.0,0.0,0.0,0.937,0.0,0.0004,0.0,-2.191,0.0,0.392,0.0,1.708,0.035,0.0,1.4613,0.3577,1.4613,0.3577,0.2124,0.0011,0.076,0.0,,,985.6294,58.8451
0.25,25.0,11,0.23,0.11,[3.86 3.04],[2. 2.],5.23,0.75,5.09,0.34,0.0,0.0,0.937,0.0,0.0004,0.0,-2.191,0.0,0.392,0.0,1.708,0.035,0.0,1.4409,0.3663,1.4409,0.3663,0.2122,0.001,0.076,0.0,,,984.6962,60.098
0.25,25.0,20,0.23,0.11,[1.   5.48],[2. 2.],1.56,0.0,4.73,0.0,0.0,0.0,1.112,0.0,1.2132,0.0,-3.24,0.0,2.031,0.0,0.069,0.076,0.0,1.3387,0.3597,1.3387,0.3597,0.2124,0.0009,0.076,0.0,,,281.6909,25.3531
0.25,25.0,21,0.23,0.11,[3.   6.26],[2. 2.],3.86,0.17,7.81,0.02,0.0,0.0,1.112,0.0,1.2132,0.0,-3.24,0.0,2.031,0.0,0.069,0.076,0.0,1.452,0.3487,1.452,0.3487,0.2127,0.0009,0.076,0.0,,,275.3617,25.1809
0.25,25.0,22,0.23,0.11,[5.   3.62],[2. 2.],4.0,0.12,5.94,0.05,0.0,0.0,0.92,0.0,0.8534,0.0,-2.438,0.0,1.995,0.0,0.105,0.097,0.0,,,,,,,,,,,,
0.25,30.0,10,0.22,0.12,[3.61 6.6 ],[2. 2.],3.21,0.08,9.37,0.02,0.0,0.0,1.194,0.0,1.4047,0.0,-2.665,0.0,2.019,0.0,0.081,0.096,0.0,2.3469,1.099,2.3469,1.099,0.1987,0.0016,0.096,0.0,,,941.1484,59.4269
0.25,30.0,11,0.22,0.12,[3.52 5.03],[2. 2.],3.25,0.01,4.68,0.04,0.0,0.0,1.0,0.0,0.0002,0.0,-1.972,0.0,0.392,0.0,1.708,0.024,0.0,2.3252,0.9632,2.3252,0.9632,0.1985,0.0005,0.096,0.0,,,996.4732,60.0129
0.25,30.0,20,0.22,0.12,[1.   4.28],[2. 2.],2.73,0.0,6.27,1.17,0.0,0.0,1.404,0.0,1.9357,0.0,-2.974,0.0,2.031,0.0,0.069,0.096,0.0,2.6749,1.0256,2.6749,1.0256,0.1983,0.0005,0.096,0.0,,,230.048,26.0377
0.25,30.0,21,0.22,0.12,[3.   7.93],[2. 2.],4.5,0.0,6.29,0.01,0.0,0.0,0.981,0.0,0.921,0.0,-2.002,0.0,1.976,0.0,0.124,0.119,0.0,2.4463,0.9967,2.4463,0.9967,0.1985,0.0005,0.096,0.0,,,394.0301,26.0693
0.25,30.0,22,0.22,0.12,[5.   7.86],[2. 2.],4.13,1.84,9.64,0.0,0.0,0.0,1.1224,0.2649,0.6966,1.0641,-2.3422,0.5472,0.8848,0.7543,1.2152,0.0288,0.044,2.014,0.843,2.014,0.843,0.1986,0.0005,0.0958,0.0009,,,166.7361,102.4076
0.25,35.0,10,0.2,0.14,[4.95 4.14],[2. 2.],5.19,0.0,2.47,0.0,0.0,0.0,1.015,0.0,1.0351,0.0,-1.962,0.0,1.985,0.0,0.115,0.117,0.0,2.9691,0.6839,2.9691,0.6839,0.1866,0.0005,0.114,0.0,,,902.9617,59.926
0.25,35.0,11,0.2,0.14,[6.11 5.82],[2. 2.],5.38,0.01,7.34,0.01,0.0,0.0,1.015,0.0,1.0351,0.0,-1.962,0.0,1.985,0.0,0.115,0.117,0.0,2.5476,0.3976,2.5476,0.3976,0.1866,0.0005,0.114,0.0,,,905.0259,59.6157
0.25,35.0,20,0.2,0.14,[1.  5.6],[2. 2.],3.26,0.01,8.94,0.02,0.0,0.0,1.2,0.0,1.435,0.0,-2.18,0.0,2.004,0.0,0.096,0.115,0.0,2.7133,0.5961,2.7133,0.5961,0.1865,0.0005,0.114,0.0,,,391.6486,26.606
0.25,35.0,21,0.2,0.14,[3.   6.21],[2. 2.],6.09,0.0,6.52,0.01,0.0,0.0,1.2,0.0,1.435,0.0,-2.18,0.0,2.004,0.0,0.096,0.115,0.0,2.6918,0.656,2.6918,0.656,0.1862,0.0004,0.114,0.0,,,390.5637,26.3614
0.25,35.0,22,0.2,0.14,[5.   7.56],[2. 2.],1.49,0.18,8.07,0.0,0.0,0.0,1.6205,0.1604,2.6221,0.4848,-2.6839,0.2154,2.0284,0.0086,0.0716,0.114,0.0002,1.7621,1.3028,3.1413,0.7924,0.1717,0.0191,0.0208,0.0885,,,2.6095,5.0477
