vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,22.4,0,0.92,0.38,[4.81 3.43],[2. 2.],3.99,0.01,5.07,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,1,0.92,0.38,[2.69 5.04],[2. 2.],3.23,0.01,7.58,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,2,0.92,0.38,[2.6  3.55],[2. 2.],3.86,0.0,5.39,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,3,0.92,0.38,[3.03 4.53],[2. 2.],3.27,0.02,7.63,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,4,0.92,0.38,[5.89 4.65],[2. 2.],3.22,0.01,8.02,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,29.9,0,0.87,0.5,[5.95 6.22],[2. 2.],3.7,0.0,7.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,29.9,1,0.87,0.5,[6.09 3.51],[2. 2.],4.64,0.0,4.73,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,29.9,2,0.87,0.5,[5.83 7.49],[2. 2.],3.79,0.02,7.26,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,29.9,3,0.87,0.5,[4.94 5.14],[2. 2.],3.53,0.01,9.21,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,29.9,4,0.87,0.5,[4.36 7.3 ],[2. 2.],4.08,0.0,6.11,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,0,0.79,0.61,[6.02 3.89],[2. 2.],4.71,0.01,5.39,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,1,0.79,0.61,[2.81 4.84],[2. 2.],4.96,0.02,4.79,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,2,0.79,0.61,[4.87 5.37],[2. 2.],4.2,0.0,7.12,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,3,0.79,0.61,[5.2  3.64],[2. 2.],5.53,0.0,3.72,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,4,0.79,0.61,[2.76 7.72],[2. 2.],3.97,0.0,8.15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,0,0.71,0.71,[5.97 3.58],[2. 2.],5.48,0.0,4.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,1,0.71,0.71,[3.93 4.96],[2. 2.],4.28,0.0,8.62,0.03,0.0417,0.0,4.2855,0.0055,17.4605,0.0,-4.2145,0.0015,1.932,0.0,0.168,0.702,0.0,0.847,0.0,0.485,0.0,0.444,0.0,0.278,0.0,56.4618,0.0,0.136,0.0
1.0,45.0,2,0.71,0.71,[3.11 5.74],[2. 2.],4.36,0.0,8.45,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,3,0.71,0.71,[3.34 7.16],[2. 2.],3.98,0.01,9.57,0.02,0.4583,0.0,4.1167,0.0296,16.9101,0.2604,-4.0442,0.0301,1.9293,0.0013,0.1707,0.702,0.0,1.0072,0.0401,0.304,0.1637,0.2584,0.0743,0.0795,0.1039,113.4341,32.7712,0.0365,0.6386
1.0,45.0,4,0.71,0.71,[5.47 7.29],[2. 2.],4.65,0.0,6.37,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,1,0.61,0.79,[3.79 5.37],[2. 2.],4.66,0.01,6.57,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,2,0.61,0.79,[2.52 3.92],[2. 2.],4.47,0.01,8.25,0.01,0.2292,0.0,4.5034,0.023,19.992,0.7004,-3.3882,0.0168,1.9235,0.0032,0.1765,0.789,0.0,0.9116,0.029,0.2462,0.0773,0.1508,0.0274,0.0766,0.0431,93.6304,5.4556,0.1709,0.002
1.0,52.3,3,0.61,0.79,[6.07 3.09],[2. 2.],6.98,0.02,5.33,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,4,0.61,0.79,[3.59 7.83],[2. 2.],4.53,0.0,7.94,0.0,0.0417,0.0,4.5505,0.0015,19.2136,0.0,-3.4265,0.0025,1.92,0.0,0.18,0.789,0.0,0.891,0.0,0.151,0.0,0.139,0.0,0.02,0.0,96.7329,0.0,0.174,0.0
1.5,22.3,0,1.39,0.57,[3.83 6.58],[2. 2.],4.33,0.0,6.27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,22.3,1,1.39,0.57,[3.41 5.03],[2. 2.],6.12,0.0,2.71,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,22.3,2,1.39,0.57,[6.12 3.19],[2. 2.],4.42,0.0,5.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,22.3,3,1.39,0.57,[5.38 4.13],[2. 2.],4.11,0.01,6.94,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,22.3,4,1.39,0.57,[5.53 4.71],[2. 2.],4.59,0.0,5.19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,30.0,0,1.3,0.75,[4.5  7.04],[2. 2.],6.95,0.0,3.52,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,30.0,1,1.3,0.75,[3.01 5.07],[2. 2.],4.77,0.0,6.03,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,30.0,2,1.3,0.75,[3.82 7.18],[2. 2.],6.94,0.02,5.93,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,30.0,3,1.3,0.75,[3.29 5.67],[2. 2.],4.42,0.01,7.58,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,30.0,4,1.3,0.75,[3.83 4.89],[2. 2.],4.77,0.03,5.96,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,37.4,0,1.19,0.91,[6.31 4.57],[2. 2.],4.54,0.0,7.76,0.01,0.3333,0.0,4.6528,0.0511,21.6486,0.4832,-6.0129,0.0672,1.9048,0.0022,0.1952,0.908,0.0,1.3099,0.2023,5.0752,0.7912,0.7746,0.0395,0.1445,0.0582,95.5622,19.27,0.184,0.0192
1.5,37.4,1,1.19,0.91,[3.59 3.97],[2. 2.],4.56,0.0,7.52,0.0,0.4792,0.0,4.6912,0.0471,22.0118,0.4556,-6.0505,0.0577,1.9064,0.002,0.1936,0.908,0.0,,,,,,,,,,,,
1.5,37.4,2,1.19,0.91,[3.74 5.09],[2. 2.],5.6,0.0,4.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,37.4,3,1.19,0.91,[6.18 4.13],[2. 2.],4.45,0.0,8.65,0.02,0.875,0.0,4.5792,0.0479,20.018,0.4141,-5.9174,0.0619,1.897,0.0021,0.203,0.908,0.0,1.266,0.2039,4.8073,1.1375,0.7535,0.0333,0.2246,0.0615,94.6129,13.5613,0.1714,0.0127
1.5,37.4,4,1.19,0.91,[6.31 3.62],[2. 2.],5.27,0.0,5.31,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,45.0,0,1.06,1.06,[3.95 6.63],[2. 2.],4.62,0.0,8.57,0.0,0.9375,0.0,4.7421,0.046,22.0465,0.423,-4.6926,0.0451,1.8751,0.0022,0.2249,1.056,0.0,1.1677,0.2101,3.0295,1.0414,0.6216,0.0425,0.3482,0.0698,95.8233,12.8844,0.1732,0.0128
1.5,45.0,1,1.06,1.06,[4.66 6.69],[2. 2.],4.68,0.0,7.93,0.0,0.7083,0.0,4.8136,0.0711,22.9468,0.8386,-4.7624,0.0704,1.8794,0.0041,0.2206,1.056,0.0,1.1808,0.1958,3.2853,1.2012,0.6397,0.0507,0.2851,0.0777,96.1268,16.5608,0.1781,0.0147
1.5,45.0,2,1.06,1.06,[3.79 5.31],[2. 2.],4.74,0.05,8.31,0.0,0.7083,0.0,4.799,0.0657,22.8095,1.0622,-4.7494,0.0668,1.8787,0.0053,0.2213,1.056,0.0,1.2305,0.2046,3.0841,1.6744,0.6447,0.0485,0.3645,0.0877,88.814,10.1285,0.1694,0.0078
1.5,45.0,3,1.06,1.06,[6.08 3.05],[2. 2.],5.71,0.02,4.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,45.0,4,1.06,1.06,[5.6  6.67],[2. 2.],4.74,0.0,7.1,0.03,0.3542,0.0,4.8992,0.0359,22.7261,0.3033,-4.8488,0.0356,1.8785,0.0015,0.2215,1.056,0.0,1.0528,0.1369,3.9031,0.9351,0.6319,0.0505,0.1536,0.0467,107.1404,23.7929,0.1961,0.0271
1.5,52.6,0,0.91,1.19,[4.64 7.85],[2. 2.],4.73,0.04,8.23,0.05,0.8958,0.0,4.8368,0.0717,23.2857,0.786,-3.6659,0.0545,1.8543,0.0042,0.2457,1.185,0.0,1.1005,0.1143,1.6329,0.6827,0.4807,0.028,0.4263,0.0704,95.9777,7.9711,0.1761,0.006
1.5,52.6,1,0.91,1.19,[5.15 3.36],[2. 2.],5.45,0.0,4.64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,52.6,2,0.91,1.19,[2.98 7.44],[2. 2.],4.88,0.0,7.24,0.06,0.9583,0.0,5.0067,0.0721,24.9048,0.9556,-3.7952,0.0547,1.8624,0.0047,0.2376,1.185,0.0,1.0135,0.1746,1.7156,0.5645,0.5178,0.042,0.3247,0.0951,95.1397,18.6606,0.1857,0.0214
1.5,52.6,3,0.91,1.19,[5.27 6.41],[2. 2.],4.73,0.01,7.6,0.0,0.625,0.0,4.8915,0.0511,23.8442,0.5906,-3.7045,0.0404,1.8573,0.0031,0.2427,1.185,0.0,1.1478,0.1132,1.6781,0.6196,0.4894,0.0669,0.3358,0.0875,101.4817,19.8293,0.1869,0.0216
1.5,52.6,4,0.91,1.19,[3.26 4.31],[2. 2.],4.63,0.0,9.21,0.0,1.0,0.0,4.74,0.0507,22.3579,0.5348,-3.5913,0.0391,1.8493,0.003,0.2507,1.185,0.0,1.2713,0.0972,1.9639,0.8547,0.4426,0.0963,0.5079,0.1209,100.4108,17.3335,0.1121,0.4044
1.5,60.0,0,0.75,1.3,[4.65 7.38],[2. 2.],4.77,0.0,8.75,0.02,0.8125,0.1667,4.8692,0.0403,22.2116,0.5019,-2.7661,0.0237,1.8254,0.003,0.2746,1.294,0.0,1.2875,0.0529,0.938,0.2738,0.2947,0.0184,0.5888,0.0646,96.4951,6.4422,0.1725,0.0039
1.5,60.0,1,0.75,1.3,[2.67 6.43],[2. 2.],4.88,0.01,7.56,0.06,1.0,0.0,5.0131,0.0669,24.9489,0.9965,-2.8484,0.0388,1.8408,0.0055,0.2592,1.294,0.0,1.0422,0.0803,0.7809,0.2451,0.3354,0.037,0.4608,0.0882,95.1014,13.7667,0.1819,0.0155
1.5,60.0,2,0.75,1.3,[2.63 3.26],[2. 2.],5.7,0.04,3.24,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.5,60.0,3,0.75,1.3,[4.   4.36],[2. 2.],5.22,0.0,5.56,0.0,0.3958,0.0,5.2975,0.0345,28.0566,0.4069,-3.0143,0.0186,1.8557,0.0018,0.2443,1.294,0.0,0.6304,0.0515,0.5849,0.336,0.4045,0.0402,0.1392,0.0292,126.1546,41.0041,0.2522,0.0642
1.5,60.0,4,0.75,1.3,[3.26 5.75],[2. 2.],5.17,0.0,5.46,0.0,0.3333,0.0,5.3109,0.0432,27.3124,0.4278,-3.0218,0.0251,1.8524,0.0019,0.2476,1.294,0.0,0.617,0.0313,0.5131,0.3763,0.4107,0.0385,0.0991,0.0246,140.2483,39.6791,0.2734,0.0649
1.5,67.7,0,0.57,1.39,[3.44 3.33],[2. 2.],4.7,0.0,7.8,0.03,0.0833,0.4375,4.8568,0.0286,22.3851,0.7303,-1.9672,0.0137,1.808,0.0046,0.292,1.381,0.0,1.226,0.0689,0.2785,0.0986,0.1308,0.0234,0.4138,0.0747,117.2466,6.6689,0.196,0.0076
1.5,67.7,1,0.57,1.39,[5.98 6.39],[2. 2.],5.01,0.0,9.58,0.06,0.25,0.625,5.2049,0.0249,26.8508,0.7027,-2.1127,0.009,1.8334,0.0037,0.2666,1.381,0.0,0.8803,0.2966,17.4095,5.1643,0.2508,0.0166,0.9826,0.0162,65.6637,1.4905,0.1436,0.0015
1.5,67.7,2,0.57,1.39,[3.81 4.89],[2. 2.],4.58,0.04,9.6,0.24,0.3333,0.4583,4.708,0.0281,22.1418,0.2495,-1.9066,0.0113,1.8065,0.0017,0.2935,1.381,0.0,1.4641,0.2268,0.7861,0.357,0.0884,0.024,0.6263,0.09,116.3882,12.825,0.1814,0.0091
