vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,22.4,0,0.92,0.38,[5.79 3.06],[2. 2.],2.97,0.0,8.61,0.0,0.875,0.0,3.0172,0.0257,8.7803,0.1524,-7.7372,0.0665,1.9809,0.001,0.1191,0.353,0.0,0.5826,0.0629,0.6314,0.6167,0.624,0.0808,-0.1579,0.1042,61.7063,15.176,0.1459,0.0145
1.0,22.4,1,0.92,0.38,[2.71 3.66],[2. 2.],3.29,0.03,6.98,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,2,0.92,0.38,[2.84 5.82],[2. 2.],2.95,0.02,8.63,0.02,0.9167,0.0417,2.9764,0.0273,8.488,0.1704,-7.6297,0.0709,1.9788,0.0012,0.1212,0.353,0.0,0.5757,0.0425,0.2548,0.2193,0.5805,0.0322,-0.2193,0.0545,70.4354,6.4532,0.1571,0.0063
1.0,22.4,3,0.92,0.38,[6.2  5.47],[2. 2.],4.02,0.0,4.83,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,22.4,4,0.92,0.38,[2.81 6.85],[2. 2.],2.75,0.0,9.18,0.0,0.5625,0.0625,2.7921,0.0211,7.7816,0.1221,-7.156,0.0547,1.9734,0.001,0.1266,0.353,0.0,0.6525,0.0176,0.2005,0.0755,0.5438,0.0142,-0.1632,0.0169,73.1092,2.2714,0.1553,0.0022
1.0,29.9,0,0.87,0.5,[3.02 4.51],[2. 2.],3.62,0.0,7.74,0.02,0.7292,0.1042,3.6773,0.0319,13.5372,0.2403,-6.6383,0.0574,1.972,0.0011,0.128,0.471,0.0,0.5609,0.0422,0.2175,0.1039,0.5346,0.0291,-0.2091,0.0485,71.7466,5.856,0.1632,0.0064
1.0,29.9,1,0.87,0.5,[4.94 7.52],[2. 2.],3.51,0.0,8.32,0.0,0.3958,0.6042,3.5728,0.027,12.5829,0.1793,-6.4419,0.0469,1.9672,0.001,0.1328,0.471,0.0,0.5902,0.0208,0.2746,0.0816,0.5395,0.0186,-0.1516,0.0401,70.4708,4.4078,0.1595,0.0024
1.0,29.9,2,0.87,0.5,[5.78 4.77],[2. 2.],3.6,0.01,8.02,0.01,0.2708,0.3542,3.6409,0.0186,13.3003,0.1365,-6.5743,0.03,1.9708,0.0007,0.1292,0.471,0.0,0.5741,0.0309,0.227,0.079,0.5365,0.0162,-0.1945,0.0352,72.0911,3.5954,0.162,0.0024
1.0,29.9,3,0.87,0.5,[4.94 5.78],[2. 2.],3.66,0.0,7.55,0.0,0.5625,0.1875,3.7103,0.0398,13.799,0.2919,-6.6941,0.0768,1.9732,0.0013,0.1268,0.471,0.0,0.5459,0.0344,0.2431,0.0806,0.5288,0.0136,-0.2351,0.0436,72.9835,3.5215,0.1662,0.0029
1.0,29.9,4,0.87,0.5,[2.91 4.74],[2. 2.],3.69,0.0,7.62,0.0,0.5,0.0417,3.7216,0.0224,13.1708,0.1856,-6.718,0.0366,1.9702,0.0009,0.1298,0.471,0.0,0.5664,0.0376,0.2925,0.0753,0.5362,0.0179,-0.2242,0.0405,71.8901,3.8313,0.1647,0.0029
1.0,37.7,0,0.79,0.61,[3.13 6.76],[2. 2.],3.5,0.0,8.89,0.01,0.0,0.625,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,1,0.79,0.61,[6.35 4.81],[2. 2.],4.56,0.0,5.79,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,2,0.79,0.61,[3.56 6.53],[2. 2.],3.76,0.0,7.83,0.0,0.0,0.6875,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,3,0.79,0.61,[4.74 5.29],[2. 2.],3.45,0.0,9.22,0.02,0.0,0.7083,,,,,,,,,,,,,,,,,,,,,,,
1.0,37.7,4,0.79,0.61,[3.29 3.97],[2. 2.],4.19,0.04,6.87,0.21,0.0,0.3958,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,0,0.71,0.71,[5.35 5.37],[2. 2.],4.65,0.0,6.03,0.02,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,1,0.71,0.71,[3.03 3.1 ],[2. 2.],5.09,0.0,4.94,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,2,0.71,0.71,[5.54 3.07],[2. 2.],4.23,0.0,6.88,0.02,0.0,0.7917,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,3,0.71,0.71,[4.79 4.76],[2. 2.],3.76,0.0,8.57,0.01,0.0,0.5625,,,,,,,,,,,,,,,,,,,,,,,
1.0,45.0,4,0.71,0.71,[6.33 5.06],[2. 2.],4.39,0.0,6.74,0.01,0.0,0.8542,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,0,0.61,0.79,[4.7  4.73],[2. 2.],4.7,2.0,4.73,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,1,0.61,0.79,[4.38 5.89],[2. 2.],4.31,0.01,6.99,0.07,0.0,0.6667,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,2,0.61,0.79,[5.61 7.14],[2. 2.],4.26,0.0,7.27,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,3,0.61,0.79,[3.62 5.57],[2. 2.],3.87,0.01,8.72,0.04,0.0,0.6042,,,,,,,,,,,,,,,,,,,,,,,
1.0,52.3,4,0.61,0.79,[3.61 5.85],[2. 2.],4.41,0.0,7.19,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,60.1,0,0.5,0.87,[4.88 5.05],[2. 2.],6.53,0.01,3.09,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,60.1,1,0.5,0.87,[6.01 3.02],[2. 2.],6.81,0.0,5.06,1.51,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,60.1,2,0.5,0.87,[4.04 7.25],[2. 2.],4.66,0.0,6.27,0.01,0.0,0.9792,,,,,,,,,,,,,,,,,,,,,,,
1.0,60.1,3,0.5,0.87,[2.63 7.91],[2. 2.],6.89,0.0,6.7,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
