vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,22.4,3,0.92,0.38,[2.78 6.1 ],[2. 2.],6.81,0.0,5.67,2.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,4,0.92,0.38,[2.97 7.58],[2. 2.],6.21,0.0,7.57,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,5,0.92,0.38,[4.01 5.89],[2. 2.],6.45,0.0,4.14,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,6,0.92,0.38,[5.23 6.69],[2. 2.],6.75,0.01,3.85,0.49,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,7,0.92,0.38,[5.31 4.37],[2. 2.],6.46,0.0,5.43,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,3,0.87,0.5,[3.67 4.11],[2. 2.],6.74,0.0,6.59,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,4,0.87,0.5,[5.37 6.93],[2. 2.],6.8,0.0,6.58,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,5,0.87,0.5,[2.84 7.21],[2. 2.],6.45,0.0,6.31,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,6,0.87,0.5,[5.02 4.98],[2. 2.],6.54,0.0,6.83,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,7,0.87,0.5,[6.49 6.32],[2. 2.],6.75,0.01,4.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,3,0.79,0.61,[4.27 7.73],[2. 2.],6.95,0.0,0.94,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,4,0.79,0.61,[4.95 5.1 ],[2. 2.],6.59,0.0,8.94,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,5,0.79,0.61,[3.53 3.07],[2. 2.],6.9,0.01,3.09,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,6,0.79,0.61,[6.31 4.19],[2. 2.],6.96,0.01,5.5,1.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,7,0.79,0.61,[5.74 3.96],[2. 2.],6.96,0.01,1.6,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,0,0.71,0.71,[5.54 7.72],[2. 2.],6.98,0.0,7.66,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,1,0.71,0.71,[6.23 5.66],[2. 2.],6.73,0.0,7.9,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,2,0.71,0.71,[5.46 4.85],[2. 2.],6.86,0.0,6.99,1.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,3,0.71,0.71,[3.58 4.29],[2. 2.],6.94,0.0,2.88,0.61,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,4,0.71,0.71,[6.21 3.57],[2. 2.],7.0,0.0,3.93,0.56,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,5,0.71,0.71,[6.21 3.38],[2. 2.],6.99,0.0,1.91,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,6,0.71,0.71,[4.93 3.04],[2. 2.],6.91,0.0,2.58,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,7,0.71,0.71,[3.06 4.19],[2. 2.],6.97,0.0,4.92,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,3,0.61,0.79,[4.76 3.26],[2. 2.],6.84,0.0,4.06,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,4,0.61,0.79,[3.67 7.15],[2. 2.],4.67,0.0,6.92,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,5,0.61,0.79,[3.55 6.71],[2. 2.],6.96,0.01,9.54,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,6,0.61,0.79,[2.95 7.84],[2. 2.],6.96,0.0,7.73,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,7,0.61,0.79,[2.5  7.37],[2. 2.],6.96,0.04,7.41,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,0,0.5,0.87,[2.63 4.7 ],[2. 2.],6.97,0.01,3.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,1,0.5,0.87,[4.33 4.94],[2. 2.],6.86,0.04,6.16,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,2,0.5,0.87,[5.06 4.73],[2. 2.],6.95,0.0,5.88,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,3,0.5,0.87,[3.97 4.71],[2. 2.],4.53,0.0,8.01,0.02,0.0,0.5,,,,,,,,,,,,,,,,,,,,
1.0,60.1,4,0.5,0.87,[4.68 3.88],[2. 2.],6.92,0.01,2.86,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,5,0.5,0.87,[2.84 7.58],[2. 2.],4.36,0.0,8.13,0.05,0.0,0.4375,,,,,,,,,,,,,,,,,,,,
1.0,60.1,6,0.5,0.87,[3.94 6.55],[2. 2.],6.94,0.01,5.79,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,7,0.5,0.87,[2.75 4.2 ],[2. 2.],6.95,0.0,3.46,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,3,0.38,0.92,[5.58 6.15],[2. 2.],6.89,0.0,5.47,0.47,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,4,0.38,0.92,[4.52 4.24],[2. 2.],4.47,0.02,9.23,0.3,0.0,0.5417,,,,,,,,,,,,,,,,,,,,
1.0,67.6,5,0.38,0.92,[5.67 4.82],[2. 2.],6.93,0.01,3.05,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,6,0.38,0.92,[5.47 7.68],[2. 2.],4.45,0.0,8.73,0.07,0.0,0.6458,,,,,,,,,,,,,,,,,,,,
1.0,67.6,7,0.38,0.92,[3.7  7.37],[2. 2.],6.91,0.0,9.26,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,0,0.26,0.97,[5.12 6.55],[2. 2.],6.91,0.0,6.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,1,0.26,0.97,[3.21 5.64],[2. 2.],6.85,0.0,3.89,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,2,0.26,0.97,[6.23 4.49],[2. 2.],6.89,0.0,2.58,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,3,0.26,0.97,[3.81 6.53],[2. 2.],6.91,0.0,5.96,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,4,0.26,0.97,[4.31 4.92],[2. 2.],6.98,0.01,4.52,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,5,0.26,0.97,[5.74 6.39],[2. 2.],4.59,0.01,8.3,0.01,0.0,0.9375,,,,,,,,,,,,,,,,,,,,
1.0,75.0,6,0.26,0.97,[4.8  5.78],[2. 2.],4.74,0.01,7.29,0.12,0.0,0.5,,,,,,,,,,,,,,,,,,,,
1.0,75.0,7,0.26,0.97,[6.01 3.87],[2. 2.],4.46,0.03,8.45,0.0,0.0,0.5625,,,,,,,,,,,,,,,,,,,,
1.0,82.5,3,0.13,0.99,[5.53 7.64],[2. 2.],4.63,0.0,7.72,0.14,0.0,0.5625,,,,,,,,,,,,,,,,,,,,
1.0,82.5,4,0.13,0.99,[3.31 6.36],[2. 2.],6.95,0.0,5.02,0.55,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,82.5,5,0.13,0.99,[2.73 7.86],[2. 2.],4.47,0.0,9.0,0.01,0.0,0.5833,,,,,,,,,,,,,,,,,,,,
1.0,82.5,6,0.13,0.99,[4.61 3.43],[2. 2.],4.69,0.02,7.66,0.0,0.0,0.7083,,,,,,,,,,,,,,,,,,,,
1.0,82.5,7,0.13,0.99,[3.2 5.3],[2. 2.],6.88,0.0,5.06,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,1,0.0,1.0,[2.75 6.7 ],[2. 2.],6.96,0.0,6.13,0.72,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,2,0.0,1.0,[2.67 7.03],[2. 2.],6.85,0.0,8.27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,3,0.0,1.0,[4.53 7.78],[2. 2.],6.99,0.0,6.62,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,4,0.0,1.0,[4.2 7. ],[2. 2.],6.91,0.0,3.91,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,5,0.0,1.0,[5.43 7.42],[2. 2.],4.51,0.04,8.8,0.06,0.0,0.7917,,,,,,,,,,,,,,,,,,,,
1.0,90.0,6,0.0,1.0,[5.78 4.46],[2. 2.],6.79,0.01,4.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,7,0.0,1.0,[5.04 5.28],[2. 2.],6.94,0.0,2.54,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,45.0,0,0.85,0.85,[5.67 5.65],[2. 2.],4.24,0.0,9.89,0.0,0.2708,0.625,4.3099,0.0451,-4.2468,0.0408,1.9016,0.0022,0.844,0.0,1.0535,0.2024,0.8891,1.6948,0.4086,0.0747,0.3364,0.0762,86.1393,12.2045,0.156,0.0083
1.2,45.0,2,0.85,0.85,[5.89 3.66],[2. 2.],6.98,0.0,3.37,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,60.0,0,0.6,1.04,[6.17 7.22],[2. 2.],4.78,0.0,8.0,0.05,0.0,0.6875,,,,,,,,,,,,,,,,,,,,
