vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,,4.1,3.02,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.72 2.4 ],[1.5 1.5]
1.5,0.0,1,,5.0,2.02,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.87 6.35],[1.5 1.5]
1.5,0.0,2,0.09090909361839294,4.25,6.67,0.0,0.01,4.902,0.0,-6.672999999999999,-131.91255004086295,0.21399999999999864,[0. 0.],[0. 0.],[3.94 3.16],[1.5 1.5]
1.5,0.0,3,0.125,4.69,5.16,0.02,0.19,5.473,0.0,-5.118,-132.0105708065788,0.18200000000000216,[0. 0.],[0. 0.],[4.37 4.66],[1.5 1.5]
1.5,0.0,4,0.10526315867900848,4.49,5.9,0.0,0.03,4.728,0.0,-5.894500000000001,-172.70195371154068,0.25799999999999557,[0. 0.],[0. 0.],[3.33 5.32],[1.5 1.5]
1.5,0.0,5,,4.83,6.34,0.01,0.0,,,,,,[0. 0.],[0. 0.],[6.23 3.63],[1.5 1.5]
1.5,0.25,0,,4.87,2.4,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.25 1.47],[1.5 1.5]
1.5,0.25,1,0.0,6.6,0.37,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.47 1.95],[1.5 1.5]
1.5,0.25,2,0.0,7.16,0.87,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.79 1.32],[1.5 1.5]
1.5,0.25,3,,9.04,8.14,0.01,0.14,,,,,,[0. 0.],[0. 0.],[5.66 5.81],[1.5 1.5]
1.5,0.25,4,0.0,3.1,4.78,0.01,0.02,,,,,,[0. 0.],[0. 0.],[2.49 3.68],[1.5 1.5]
1.5,0.25,5,0.0,3.6,0.32,0.05,0.0,,,,,,[0. 0.],[0. 0.],[6.9  3.47],[1.5 1.5]
1.5,0.5,0,0.0,5.7,0.37,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.21 1.77],[1.5 1.5]
1.5,0.5,1,,2.33,0.44,0.06,0.0,,,,,,[0. 0.],[0. 0.],[1.08 1.66],[1.5 1.5]
1.5,0.5,2,,4.24,8.45,0.06,0.02,,,,,,[0. 0.],[0. 0.],[3.07 4.9 ],[1.5 1.5]
1.5,0.5,3,0.0,6.93,1.14,0.15,0.01,,,,,,[0. 0.],[0. 0.],[4.7  1.34],[1.5 1.5]
1.5,0.5,4,,5.29,7.38,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.76 2.65],[1.5 1.5]
1.5,0.5,5,0.6666666865348816,4.82,5.52,0.0,0.0,5.083749999999999,-1.4804999999999997,-5.51625,-156.54425313623165,0.2120000000000175,[0. 0.],[0. 0.],[1.71 4.18],[1.5 1.5]
1.5,0.75,0,0.5833333134651184,4.3,8.64,0.0,0.09,4.811428571428572,-2.1021428571428573,-8.634571428571428,-159.52640548708104,0.2022857142857141,[0. 0.],[0. 0.],[1.99 5.69],[1.5 1.5]
1.5,0.75,1,0.6666666865348816,4.21,4.8,0.0,0.01,4.887499999999999,-2.135,-4.7955,-160.5664312371815,0.23499999999998522,[0. 0.],[0. 0.],[6.78 4.33],[1.5 1.5]
1.5,0.75,2,0.3076923191547394,4.52,6.46,0.02,0.0,4.937,-2.1570000000000005,-6.463499999999999,-144.46935064044087,0.20650000000001256,[0. 0.],[0. 0.],[1.26 6.04],[1.5 1.5]
1.5,0.75,3,0.5714285969734192,4.4,6.84,0.0,0.0,4.887416666666667,-2.1352499999999996,-6.840916666666668,-148.56883345525526,0.1970000000000051,[0. 0.],[0. 0.],[3.1  4.45],[1.5 1.5]
1.5,0.75,4,0.5384615659713745,4.89,9.66,0.01,0.02,5.132857142857143,-2.2422857142857144,-9.706857142857142,-155.1858338314401,0.18028571428571435,[0. 0.],[0. 0.],[2.13 1.84],[1.5 1.5]
1.5,0.75,5,0.0,3.01,4.84,0.03,0.02,,,,,,[0. 0.],[0. 0.],[1.02 4.79],[1.5 1.5]
1.5,1.0,0,,4.75,6.86,0.0,0.04,,,,,,[0. 0.],[0. 0.],[3.23 5.79],[1.5 1.5]
1.5,1.0,1,0.0,2.51,5.37,0.0,0.0,,,,,,[0. 0.],[0. 0.],[1.3  2.02],[1.5 1.5]
1.5,1.25,4,0.2222222238779068,4.44,12.12,0.05,0.39,4.924,-3.585,-12.049999999999999,-160.52378586928472,0.19350000000000733,[0. 0.],[0. 0.],[4.32 2.05],[1.5 1.5]
1.5,1.25,5,0.4166666567325592,4.13,7.23,0.0,0.0,4.7684,-3.4717999999999996,-7.2274,-156.57962202831638,0.2019999999999902,[0. 0.],[0. 0.],[2.76 6.22],[1.5 1.5]
1.5,1.5,1,0.0,7.79,0.4,0.02,0.0,,,,,,[0. 0.],[0. 0.],[3.51 1.88],[1.5 1.5]
1.5,1.5,2,0.4545454680919647,4.86,4.81,0.0,0.0,5.135,-4.4864,-4.8069999999999995,-144.47203491913032,0.2140000000000019,[0. 0.],[0. 0.],[5.18 4.26],[1.5 1.5]
1.5,1.5,3,0.550000011920929,4.39,7.8,0.02,0.01,4.979363636363636,-4.350727272727273,-7.798272727272728,-124.53786155809608,0.19781818181818298,[0. 0.],[0. 0.],[6.22 6.07],[1.5 1.5]
1.5,1.5,4,,4.8,2.81,0.01,0.0,,,,,,[0. 0.],[0. 0.],[4.08 1.48],[1.5 1.5]
1.5,1.5,5,0.7058823704719543,4.76,7.15,0.03,0.05,5.116583333333334,-4.470583333333333,-7.162749999999999,-146.7446592560599,0.19216666666666427,[0. 0.],[0. 0.],[4.48 4.95],[1.5 1.5]
1.5,1.75,0,0.5263158082962036,4.44,6.46,0.01,0.0,4.9755,-5.0718000000000005,-6.456200000000001,-158.66880668469753,0.2031999999999993,[0. 0.],[0. 0.],[4.61 6.22],[1.5 1.5]
1.5,1.75,1,0.5555555820465088,4.47,12.36,0.01,0.35,4.841200000000001,-4.9350000000000005,-12.134,-155.55876548677531,0.1967999999999986,[0. 0.],[0. 0.],[2.54 6.34],[1.5 1.5]
1.5,1.75,2,0.0,6.25,0.32,0.01,0.03,,,,,,[0. 0.],[0. 0.],[3.58 2.31],[1.5 1.5]
1.5,1.75,3,0.3333333432674408,4.48,5.18,0.0,0.01,5.02875,-5.126250000000001,-5.1765,-176.5926837721375,0.22499999999999432,[0. 0.],[0. 0.],[4.95 5.48],[1.5 1.5]
1.5,1.75,4,0.0,2.86,0.33,0.0,0.0,,,,,,[0. 0.],[0. 0.],[3.42 1.89],[1.5 1.5]
1.5,1.75,5,0.5,4.62,6.99,0.01,0.04,5.028818181818182,-5.126181818181819,-7.0079090909090915,-152.37360542959212,0.19836363636364174,[0. 0.],[0. 0.],[2.64 6.63],[1.5 1.5]
1.5,2.0,0,0.4166666567325592,4.68,5.22,0.0,0.0,5.0814,-5.9196,-5.219199999999999,-159.72379844934986,0.21440000000000126,[0. 0.],[0. 0.],[1.94 6.11],[1.5 1.5]
1.5,2.0,1,0.3333333432674408,4.61,6.04,0.05,0.03,5.103999999999999,-5.946000000000001,-6.008500000000001,-147.6363054229747,0.19866666666666818,[0. 0.],[0. 0.],[6.31 3.17],[1.5 1.5]
1.5,2.0,2,0.0,4.98,2.77,0.11,0.0,,,,,,[0. 0.],[0. 0.],[1.92 4.71],[1.5 1.5]
1.5,2.0,3,0.6363636255264282,4.37,13.68,0.0,0.02,4.933857142857143,-5.748285714285715,-13.673714285714286,-122.06905377876141,0.18971428571428817,[0. 0.],[0. 0.],[1.39 5.6 ],[1.5 1.5]
1.5,2.0,4,0.5625,4.75,5.28,0.0,0.07,5.062000000000001,-5.896888888888888,-5.287444444444445,-153.12282138733156,0.21866666666666706,[0. 0.],[0. 0.],[4.56 3.65],[1.5 1.5]
1.5,2.0,5,0.0,4.55,7.44,0.0,0.02,,,,,,[0. 0.],[0. 0.],[2.56 4.08],[1.5 1.5]
1.5,2.25,0,0.5,5.17,4.96,0.0,0.0,5.333333333333333,-6.989666666666666,-4.961666666666667,-152.9353822796577,0.21466666666666848,[0. 0.],[0. 0.],[1.43 5.59],[1.5 1.5]
1.5,2.25,1,0.7142857313156128,4.35,5.19,0.0,0.01,4.9396,-6.474000000000001,-5.189,-166.31068499444498,0.23320000000001045,[0. 0.],[0. 0.],[2.77 4.52],[1.5 1.5]
1.5,2.25,2,0.5,4.54,6.84,0.0,0.07,4.878111111111111,-6.393111111111112,-6.8278888888888885,-166.830193324124,0.20200000000000765,[0. 0.],[0. 0.],[1.92 5.87],[1.5 1.5]
1.5,2.25,3,,3.71,4.18,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.59 6.82],[1.5 1.5]
1.5,2.25,4,0.4444444477558136,4.57,8.27,0.0,0.04,5.0421249999999995,-6.6083750000000006,-8.268125000000001,-151.50461576642454,0.17599999999999943,[0. 0.],[0. 0.],[3.18 3.94],[1.5 1.5]
1.5,2.25,5,0.3333333432674408,4.57,6.42,0.01,0.0,5.0294,-6.591200000000001,-6.4205999999999985,-85.548607003857,0.20359999999999445,[0. 0.],[0. 0.],[2.41 5.66],[1.5 1.5]
1.5,2.5,0,0.3684210479259491,4.66,5.98,0.02,0.0,5.015714285714286,-7.304,-5.984571428571429,-162.07709921568343,0.20685714285714177,[0. 0.],[0. 0.],[4.6  6.43],[1.5 1.5]
1.5,2.5,1,0.27272728085517883,4.81,8.32,0.46,1.71,5.079,-7.396000000000001,-9.057333333333332,-149.51520360060456,0.17800000000000202,[0. 0.],[0. 0.],[1.9 3.8],[1.5 1.5]
1.5,2.5,2,0.0,6.41,0.39,0.09,0.0,,,,,,[0. 0.],[0. 0.],[6.81 1.55],[1.5 1.5]
1.5,2.5,3,0.5333333611488342,4.74,5.6,0.0,0.0,5.0806249999999995,-7.398625,-5.60175,-164.81021072262064,0.21425000000000338,[0. 0.],[0. 0.],[6.91 6.06],[1.5 1.5]
1.5,2.5,4,,6.87,10.34,0.0,0.15,,,,,,[0. 0.],[0. 0.],[6.68 4.47],[1.5 1.5]
1.5,2.5,5,0.800000011920929,4.5,4.23,0.01,0.01,5.219250000000001,-7.6,-4.23175,-151.75772044332092,0.23449999999999704,[0. 0.],[0. 0.],[4.06 3.67],[1.5 1.5]
1.5,2.75,0,0.5625,4.5,5.54,0.0,0.0,5.046333333333333,-8.083444444444444,-5.540777777777778,-157.3765305501633,0.2099999999999985,[0. 0.],[0. 0.],[5.02 3.12],[1.5 1.5]
1.5,2.75,1,0.6000000238418579,4.55,5.11,0.0,0.04,5.125,-8.209666666666665,-5.137833333333334,-149.33433263011065,0.2186666666666781,[0. 0.],[0. 0.],[1.01 6.93],[1.5 1.5]
1.5,2.75,2,0.0,3.84,0.45,0.01,0.03,,,,,,[0. 0.],[0. 0.],[3.66 2.21],[1.5 1.5]
1.5,2.75,3,0.4615384638309479,4.25,8.09,0.11,0.04,4.810333333333333,-7.7059999999999995,-8.108333333333333,2.553935333632836,0.20533333333333795,[0. 0.],[0. 0.],[1.92 3.68],[1.5 1.5]
1.5,2.75,4,0.7222222089767456,4.54,7.76,0.01,0.0,5.035692307692307,-8.066076923076924,-7.758230769230769,-131.2702930797276,0.18600000000000266,[0. 0.],[0. 0.],[3.83 5.01],[1.5 1.5]
1.5,2.75,5,0.6111111044883728,4.61,7.68,0.01,0.0,5.052999999999999,-8.093909090909092,-7.6771818181818166,-150.68854330979624,0.18490909090908952,[0. 0.],[0. 0.],[2.51 5.71],[1.5 1.5]
1.75,0.0,0,0.1111111119389534,4.71,5.9,0.0,0.0,4.862,0.0,-5.8995,-170.11297108861461,0.2119999999999962,[0. 0.],[0. 0.],[3.63 4.96],[1.5 1.5]
1.75,0.0,1,,4.69,9.84,0.01,0.03,,,,,,[0. 0.],[0. 0.],[5.04 3.04],[1.5 1.5]
1.75,0.0,2,0.1111111119389534,4.63,4.6,0.0,0.0,4.9915,0.0,-4.602,-181.6442959807289,0.27299999999999613,[0. 0.],[0. 0.],[4.23 5.6 ],[1.5 1.5]
1.75,0.0,3,0.0,5.1,0.35,0.0,0.0,,,,,,[0. 0.],[0. 0.],[3.66 1.65],[1.5 1.5]
1.75,0.0,4,0.5,5.06,1.21,0.0,0.0,5.084,0.0,-1.2109999999999999,-93.44265612336696,0.4679999999999982,[0. 0.],[0. 0.],[5.42 2.05],[1.5 1.5]
1.75,0.0,5,0.0,3.39,4.27,0.0,0.02,,,,,,[0. 0.],[0. 0.],[4.02 1.33],[1.5 1.5]
1.75,0.25,0,0.0,8.14,0.69,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.43 1.17],[1.5 1.5]
1.75,0.25,1,0.0,1.25,6.41,0.01,0.03,,,,,,[0. 0.],[0. 0.],[2.37 5.05],[1.5 1.5]
1.75,0.25,2,0.44999998807907104,4.71,6.28,0.02,0.0,5.069333333333334,-0.6442222222222223,-6.275333333333332,-157.02128995789292,0.20866666666669667,[0. 0.],[0. 0.],[1.03 6.92],[1.5 1.5]
