vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.27272728085517883,4.59,4.95,0.0,0.05,5.021833333333333,0.0,-4.937833333333333,-97.08820617525315,0.19966666666666769,[0. 0.],[0. 0.],[2.81 3.88],[1.5 1.5]
1.5,0.0,1,0.25,5.15,5.66,0.01,0.0,5.418166666666665,0.0,-5.6610000000000005,-91.9433259102873,0.17333333333334267,[0. 0.],[0. 0.],[1.22 4.45],[1.5 1.5]
1.5,0.0,2,0.0,7.64,13.13,0.01,0.57,,,,,,[0. 0.],[0. 0.],[6.69 4.99],[1.5 1.5]
1.5,0.0,3,0.2916666567325592,4.46,7.38,0.01,0.59,4.897285714285714,0.0,-7.344285714285715,-118.56649947852024,0.1685714285714275,[0. 0.],[0. 0.],[5.54 6.08],[1.5 1.5]
1.5,0.0,4,0.4166666567325592,4.74,5.31,0.01,0.01,5.2687,-0.0001,-5.315900000000001,-95.37566483257842,0.18239999999999768,[0. 0.],[0. 0.],[1.76 6.35],[1.5 1.5]
1.5,0.0,5,0.6000000238418579,4.79,3.22,0.0,0.87,5.411333333333334,-8.333333333333333e-05,-3.454833333333333,-86.93802582955412,0.20750000000000057,[0. 0.],[0. 0.],[6.31 6.04],[1.5 1.5]
1.5,0.25,0,0.38461539149284363,5.68,2.8,0.02,0.0,5.887,-0.8573999999999999,-2.7987999999999995,-75.1628639122492,0.20880000000000648,[0. 0.],[0. 0.],[6.57 4.7 ],[1.5 1.5]
1.5,0.25,1,0.5909090638160706,5.04,2.89,0.01,0.08,5.705923076923076,-0.8309230769230768,-2.9219999999999997,-80.22674256598732,0.21646153846153135,[0. 0.],[0. 0.],[1.29 4.17],[1.5 1.5]
1.5,0.25,2,0.260869562625885,4.75,5.45,0.02,0.05,5.281000000000001,-0.7691666666666667,-5.4735000000000005,-92.62316912713312,0.1779999999999696,[0. 0.],[0. 0.],[5.51 1.63],[1.5 1.5]
1.5,0.25,3,0.1666666716337204,4.3,5.97,0.03,0.02,5.0525,-0.736,-5.96425,-97.6665285560066,0.1659999999999897,[0. 0.],[0. 0.],[5.79 4.96],[1.5 1.5]
1.5,0.25,4,0.4166666567325592,4.76,4.63,0.0,0.05,5.3546,-0.7798,-4.6313,-86.19766868182583,0.18600000000000136,[0. 0.],[0. 0.],[2.47 3.21],[1.5 1.5]
1.5,0.25,5,0.2916666567325592,4.69,4.71,0.0,0.01,5.305285714285715,-0.7727142857142856,-4.708714285714286,-89.75653597238637,0.18914285714285636,[0. 0.],[0. 0.],[3.95 6.26],[1.5 1.5]
1.5,0.5,0,0.09090909361839294,5.61,5.02,0.0,0.2,5.8265,-1.6969999999999998,-5.1095,-76.89710070316933,0.15400000000000347,[0. 0.],[0. 0.],[3.1  4.56],[1.5 1.5]
1.5,0.5,1,0.4583333432674408,5.28,3.27,0.18,0.31,5.668636363636363,-1.651,-3.3154545454545445,-79.31973378101874,0.21018181818181408,[0. 0.],[0. 0.],[4.46 3.14],[1.5 1.5]
1.5,0.5,2,0.5833333134651184,5.02,3.43,0.04,0.12,5.682428571428571,-1.6549999999999998,-3.417714285714286,-77.66867735327007,0.20328571428571252,[0. 0.],[0. 0.],[2.24 2.71],[1.5 1.5]
1.5,0.5,3,0.4583333432674408,5.12,4.01,0.04,0.05,5.591181818181818,-1.628272727272727,-3.9864545454545453,-81.62676359424586,0.20254545454545372,[0. 0.],[0. 0.],[2.94 3.46],[1.5 1.5]
1.5,0.5,4,0.1666666716337204,4.64,5.37,0.0,0.03,5.535499999999999,-1.61225,-5.36575,-80.96204203017963,0.15000000000000213,[0. 0.],[0. 0.],[3.81 4.43],[1.5 1.5]
1.5,0.5,5,0.27272728085517883,4.71,3.88,0.01,0.02,5.4639999999999995,-1.5913333333333333,-3.8803333333333327,-79.86117743821866,0.18700000000000028,[0. 0.],[0. 0.],[4.74 5.39],[1.5 1.5]
1.5,0.75,0,0.2916666567325592,5.23,7.0,0.01,0.0,5.504714285714286,-2.404857142857143,-6.999,-85.47756456440273,0.15228571428571488,[0. 0.],[0. 0.],[5.9  6.94],[1.5 1.5]
1.5,0.75,1,0.5833333134651184,5.1,4.15,0.0,0.0,5.625214285714285,-2.4572857142857143,-4.149928571428571,-81.6095827979057,0.18814285714285411,[0. 0.],[0. 0.],[1.02 4.8 ],[1.5 1.5]
1.5,0.75,2,0.5416666865348816,5.01,3.79,0.03,0.01,5.661076923076923,-2.473,-3.7946153846153843,-82.95711457151604,0.189076923076912,[0. 0.],[0. 0.],[2.94 3.88],[1.5 1.5]
1.5,0.75,3,0.5652173757553101,5.07,3.62,0.0,0.01,5.658923076923077,-2.472153846153846,-3.62,-85.62300413870928,0.19723076923076965,[0. 0.],[0. 0.],[4.28 1.58],[1.5 1.5]
1.5,0.75,4,0.5652173757553101,5.2,3.84,0.0,0.0,5.601923076923076,-2.447461538461538,-3.844692307692308,-82.52132666393494,0.19230769230769212,[0. 0.],[0. 0.],[3.46 2.51],[1.5 1.5]
1.5,0.75,5,0.52173912525177,4.99,4.47,0.0,0.01,5.5965,-2.445,-4.466583333333333,-81.36706327981075,0.18366666666666762,[0. 0.],[0. 0.],[4.1  1.34],[1.5 1.5]
1.5,1.0,0,0.3333333432674408,5.4,5.62,0.04,0.09,5.658625000000001,-3.2958749999999997,-5.56875,-82.8613504800548,0.16474999999999962,[0. 0.],[0. 0.],[4.55 1.13],[1.5 1.5]
1.5,1.0,1,0.0,2.41,1.01,1.5,1.5,,,,,,[0. 0.],[0. 0.],[2.41 1.01],[1.5 1.5]
1.5,1.0,2,0.75,4.78,3.11,0.01,0.07,5.2428333333333335,-3.0536666666666665,-3.1429166666666664,-99.02990520018373,0.22100000000000244,[0. 0.],[0. 0.],[1.76 6.7 ],[1.5 1.5]
1.5,1.0,3,0.47826087474823,5.17,5.47,0.0,0.02,5.7197272727272725,-3.3316363636363637,-5.469818181818182,-81.62044294559458,0.16400000000000084,[0. 0.],[0. 0.],[6.96 4.84],[1.5 1.5]
1.5,1.0,4,0.1304347813129425,4.18,9.84,0.0,0.15,4.580666666666667,-2.6686666666666667,-9.835666666666667,-144.78096977389689,0.18600000000000705,[0. 0.],[0. 0.],[3.3  6.29],[1.5 1.5]
1.5,1.0,5,0.625,4.88,5.83,0.0,0.02,5.599066666666667,-3.2610666666666663,-5.841733333333334,-86.58407510828356,0.17080000000000647,[0. 0.],[0. 0.],[1.86 6.85],[1.5 1.5]
1.5,1.25,0,0.7083333134651184,5.25,3.13,0.0,0.03,5.768411764705881,-4.199941176470588,-3.132235294117647,-80.92847494450142,0.19999999999999846,[0. 0.],[0. 0.],[1.83 4.55],[1.5 1.5]
1.5,1.25,1,0.8333333134651184,4.86,4.72,0.0,0.49,5.1719,-3.76545,-4.5451,-103.14645032763069,0.19179999999999603,[0. 0.],[0. 0.],[1.01 5.37],[1.5 1.5]
1.5,1.25,2,0.375,4.79,6.21,0.0,0.04,5.549777777777777,-4.041,-6.207222222222222,-83.76784007745431,0.15822222222221663,[0. 0.],[0. 0.],[1.54 3.62],[1.5 1.5]
1.5,1.25,3,0.9166666865348816,4.93,4.59,0.02,0.0,5.474363636363637,-3.985818181818182,-4.595999999999999,-90.26039005035949,0.185727272727271,[0. 0.],[0. 0.],[4.67 5.94],[1.5 1.5]
1.5,1.25,4,0.75,5.07,4.38,0.03,0.13,5.548611111111111,-4.039833333333334,-4.263888888888889,-87.95237848120061,0.1869999999999992,[0. 0.],[0. 0.],[3.93 3.83],[1.5 1.5]
1.5,1.25,5,0.5833333134651184,5.33,11.2,0.03,0.13,5.682571428571429,-4.137428571428571,-11.18957142857143,-81.51622849496312,0.14757142857142572,[0. 0.],[0. 0.],[5.88 6.77],[1.5 1.5]
1.5,1.5,0,,3.49,4.86,0.0,0.04,,,,,,[0. 0.],[0. 0.],[2.03 2.11],[1.5 1.5]
1.5,1.5,1,0.695652186870575,5.01,4.78,0.0,0.0,5.4929375,-4.799062500000001,-4.787000000000001,-89.32984502101391,0.18200000000000052,[0. 0.],[0. 0.],[6.92 5.  ],[1.5 1.5]
1.5,1.5,2,0.0,3.48,12.49,0.0,0.01,,,,,,[0. 0.],[0. 0.],[1.45 1.9 ],[1.5 1.5]
