vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,G2,RREV_sig,G1_sig,G2_sig,RREV_trigger,OF_y,My_d,impact_eul,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.0,4.81,9.69,2.22,0.01,0.17,0.02,,,,,[0. 0.],[0. 0.],[5.47 4.49 3.57],[2. 2. 2.]
1.5,0.0,1,0.0,15.17,6.04,6.3,1.23,0.72,0.08,,,,,[0. 0.],[0. 0.],[2.08 5.95 3.96],[2. 2. 2.]
1.5,0.0,2,0.0,1.1,6.36,2.43,0.0,0.01,0.09,,,,,[0. 0.],[0. 0.],[1.26 6.07 4.5 ],[2. 2. 2.]
1.5,0.0,3,0.0,4.89,8.53,4.55,0.04,0.05,0.02,,,,,[0. 0.],[0. 0.],[6.37 6.68 2.3 ],[2. 2. 2.]
1.5,0.0,4,0.0,1.08,6.66,3.39,0.01,0.02,0.87,,,,,[0. 0.],[0. 0.],[1.5  4.   3.05],[2. 2. 2.]
1.5,0.0,5,0.0,12.56,0.23,5.55,0.3,0.0,0.04,,,,,[0. 0.],[0. 0.],[2.97 4.94 4.64],[2. 2. 2.]
1.5,0.25,0,0.0,10.02,6.84,1.22,0.06,0.04,0.38,,,,,[0. 0.],[0. 0.],[4.84 4.72 3.11],[2. 2. 2.]
1.5,0.25,1,0.0,2.05,3.47,7.81,0.04,0.04,0.16,,,,,[0. 0.],[0. 0.],[2.   5.68 4.19],[2. 2. 2.]
1.5,0.25,2,0.0,3.51,1.7,5.45,0.04,0.02,0.1,,,,,[0. 0.],[0. 0.],[2.6  2.19 1.15],[2. 2. 2.]
1.5,0.25,4,0.04545454680919647,5.39,5.3,2.66,0.01,0.0,0.1,6.2139999999999995,-0.912,-3.056,-59.4867250941681,[0. 0.],[0. 0.],[5.95 4.72 3.49],[2. 2. 2.]
1.5,0.25,5,0.03846153989434242,5.08,7.48,7.19,0.01,0.4,0.23,6.229,-0.914,-4.1610000000000005,-70.50686972489345,[0. 0.],[0. 0.],[5.47 6.05 5.45],[2. 2. 2.]
1.5,0.5,0,0.0,3.85,2.49,2.84,0.15,0.0,0.01,,,,,[0. 0.],[0. 0.],[4.99 6.46 4.15],[2. 2. 2.]
1.5,0.5,1,0.0,7.09,1.91,4.69,0.34,0.01,0.02,,,,,[0. 0.],[0. 0.],[2.17 3.94 1.51],[2. 2. 2.]
1.5,0.5,2,0.0,12.4,14.17,8.25,0.63,0.83,0.38,,,,,[0. 0.],[0. 0.],[1.43 6.59 6.28],[2. 2. 2.]
1.5,0.5,4,0.0,4.45,5.26,15.12,0.05,0.09,0.06,,,,,[0. 0.],[0. 0.],[3.2  5.54 4.3 ],[2. 2. 2.]
1.5,0.5,5,0.0,4.96,10.9,12.43,0.05,0.05,0.11,,,,,[0. 0.],[0. 0.],[6.74 6.7  2.88],[2. 2. 2.]
1.5,0.75,0,0.0,4.5,10.79,1.28,0.05,2.92,0.14,,,,,[0. 0.],[0. 0.],[5.93 5.27 1.57],[2. 2. 2.]
1.5,0.75,1,0.0,1.49,3.74,1.69,0.0,0.45,0.04,,,,,[0. 0.],[0. 0.],[2.48 6.17 1.5 ],[2. 2. 2.]
1.5,0.75,2,0.0,5.12,8.26,3.26,0.01,0.34,0.01,,,,,[0. 0.],[0. 0.],[6.65 6.87 3.86],[2. 2. 2.]
1.5,0.75,3,0.0,12.62,9.33,3.5,0.01,0.06,0.08,,,,,[0. 0.],[0. 0.],[6.84 4.29 3.28],[2. 2. 2.]
1.5,0.75,4,0.0,2.89,4.09,6.18,0.02,0.01,0.02,,,,,[0. 0.],[0. 0.],[1.39 4.48 3.74],[2. 2. 2.]
1.5,0.75,5,0.0,13.39,6.36,3.09,0.86,0.03,0.32,,,,,[0. 0.],[0. 0.],[5.61 5.62 3.2 ],[2. 2. 2.]
1.5,1.0,0,0.4166666567325592,5.15,5.68,2.05,0.55,0.02,0.0,5.6158,-3.2966,-2.5164,-99.05707857350528,[0. 0.],[0. 0.],[4.19 2.7  1.92],[2. 2. 2.]
