vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,7,,6.33,8.39,0.0,0.0,7.2662916666666675,0.021125,-8.392333333333333,-1.3095494360137017,0.11858333333333822,[0. 0.],[0. 0.],[6.72 4.64],[1.5 1.5]
1.5,0.0,8,0.2380952388048172,4.93,6.77,0.0,0.0,5.443749999999999,0.0,-6.773333333333333,-107.08622576407113,0.16708333333333356,[0. 0.],[0. 0.],[6.53 4.56],[1.5 1.5]
1.5,0.25,7,0.4444444477558136,5.39,4.06,0.0,0.57,5.94075,-0.8651666666666668,-4.026083333333333,-81.77088982783567,0.18216666666663173,[0. 0.],[0. 0.],[1.99 1.9 ],[1.5 1.5]
1.5,0.25,8,,4.87,4.21,0.0,0.01,5.3525,-0.7673333333333332,-4.210333333333334,-2.449275174026399,0.22291666666666762,[0. 0.],[0. 0.],[3.68 2.38],[1.5 1.5]
1.5,0.5,7,,4.64,4.74,0.01,0.01,5.02625,-1.4532916666666669,-4.736375,-2.8290204914877974,0.2272500000000098,[0. 0.],[0. 0.],[6.81 4.73],[1.5 1.5]
1.5,0.5,9,,5.35,7.4,0.01,0.04,5.882083333333334,-1.7003333333333337,-7.378583333333334,-2.538967820358875,0.1470833333333227,[0. 0.],[0. 0.],[6.89 2.55],[1.5 1.5]
1.5,1.0,7,,4.38,8.88,0.02,0.0,4.838125000000001,-2.810458333333333,-8.875208333333333,-3.2167282216731503,0.18358333333332646,[0. 0.],[0. 0.],[3.36 5.33],[1.5 1.5]
1.5,1.25,7,,4.82,7.36,0.0,0.08,5.337083333333333,-3.8763749999999995,-7.322333333333333,-2.6629900013485437,0.16716666666666433,[0. 0.],[0. 0.],[6.98 3.89],[1.5 1.5]
1.5,1.25,8,,4.68,6.65,0.07,0.0,5.036083333333333,-3.661041666666667,-6.650000000000001,-3.3080862073990214,0.18708333333332897,[0. 0.],[0. 0.],[6.76 6.17],[1.5 1.5]
1.5,1.25,9,0.25,5.15,5.9,0.0,0.0,5.743958333333334,-4.1825833333333335,-5.901291666666668,-86.6361858084861,0.15650000000000172,[0. 0.],[0. 0.],[2.85 6.23],[1.5 1.5]
1.5,1.5,7,,4.64,7.72,0.02,0.02,5.024208333333333,-4.384291666666667,-7.725874999999999,-3.2418754969193007,0.1770833333333357,[0. 0.],[0. 0.],[4.02 6.02],[1.5 1.5]
1.5,1.75,7,0.30000001192092896,5.13,3.98,0.05,0.01,5.767666666666667,-5.879208333333334,-3.982875,-95.21813392540804,0.18841666666666748,[0. 0.],[0. 0.],[1.33 3.37],[1.5 1.5]
1.5,1.75,8,0.0,4.88,7.3,0.0,0.05,5.352875,-5.451791666666668,-7.299875,-2.777310126571671,0.16708333333332584,[0. 0.],[0. 0.],[1.37 6.81],[1.5 1.5]
1.75,0.0,7,0.47826087474823,4.53,7.09,0.01,0.01,4.957541666666667,0.0,-7.095541666666667,-114.81985298575437,0.1994999999999957,[0. 0.],[0. 0.],[5.08 6.59],[1.5 1.5]
1.75,0.0,9,0.6190476417541504,4.96,4.05,0.0,0.0,5.406166666666667,0.0,-4.049791666666667,-108.36537022038412,0.20816666666668007,[0. 0.],[0. 0.],[5.32 3.68],[1.5 1.5]
1.75,0.25,9,,16.24,4.47,0.0,0.0,23.56845833333333,-2.9460416666666673,-4.472125,-0.19576154604785714,0.027250000000023533,[0. 0.],[0. 0.],[6.51 5.25],[1.5 1.5]
1.75,0.5,8,,7.01,8.34,0.02,0.0,8.195833333333333,-2.0731249999999997,-8.333208333333333,-1.6249200057393705,0.10999999999997101,[0. 0.],[0. 0.],[6.43 5.87],[1.5 1.5]
