vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,20,0.23,0.09,[1.   6.64],[2. 2.],2.54,0.08,6.97,0.0,0.0,0.0,0.947,0.0,0.8421,0.0,-3.145,0.0,2.015,0.0,0.085,0.078,0.0,1.2793,0.249,1.2793,0.249,0.2487,0.0022,0.081,0.0,,,394.8531,27.4556
0.25,20.0,21,0.23,0.09,[2.5  6.34],[2. 2.],1.11,0.01,6.26,0.0,0.0,0.0,1.1238,0.0071,1.2508,0.0286,-3.6662,0.0396,2.0284,0.0008,0.0716,0.0801,0.0006,0.0001,0.0003,0.5407,0.3099,0.2108,0.0084,-0.2693,0.024,,,0.0968,0.0036
0.25,20.0,22,0.23,0.09,[4.   6.79],[2. 2.],5.34,0.07,7.57,0.01,0.0,0.0,0.912,0.0,1.0,0.0,-3.113,0.0,2.014,0.0,0.086,0.086,0.0,1.2392,0.2108,1.2392,0.2108,0.2497,0.0027,0.081,0.0,,,318.5915,27.4221
0.25,25.0,20,0.23,0.11,[1.   6.97],[2. 2.],1.29,0.0,7.06,0.03,0.0,0.0,1.303,0.0055,1.6683,0.0169,-3.1381,0.0425,2.0218,0.0004,0.0782,0.101,0.0,0.0,0.0,1.1789,0.4919,0.1787,0.01,-0.2205,0.0246,,,0.0997,0.0034
0.25,25.0,21,0.23,0.11,[2.5  7.15],[2. 2.],1.29,0.0,7.21,0.0,0.0,0.0,1.2981,0.0045,1.6841,0.0197,-3.1291,0.0429,2.0222,0.0005,0.0778,0.101,0.0,0.0,0.0,1.8061,0.3458,0.1854,0.0078,-0.1951,0.0166,,,0.0961,0.0027
0.25,25.0,22,0.23,0.11,[4.   5.53],[2. 2.],4.97,0.07,1.94,0.01,0.0,0.0,1.546,0.0,2.4144,0.0,-3.522,0.0,2.035,0.0,0.065,0.101,0.0,1.4751,0.2549,1.4751,0.2549,0.2231,0.0021,0.101,0.0,,,363.5662,28.9587
0.25,30.0,20,0.22,0.12,[1.   5.95],[2. 2.],3.92,0.0,7.74,0.01,0.0,0.0,1.025,0.0,1.0515,0.0,-2.091,0.0,1.982,0.0,0.118,0.121,0.0,1.951,0.51,1.951,0.51,0.2043,0.0012,0.12,0.0,,,394.7225,29.2174
0.25,30.0,21,0.22,0.12,[2.5  3.75],[2. 2.],6.51,0.06,2.82,0.28,0.0,0.0,1.016,0.0,1.0328,0.0,-2.003,0.0,1.977,0.0,0.123,0.125,0.0,1.8698,0.454,1.8698,0.454,0.2045,0.001,0.12,0.0,,,461.6217,29.2073
0.25,30.0,22,0.22,0.12,[4.   3.03],[2. 2.],3.45,0.01,4.46,0.06,0.0,0.0,1.354,0.0,1.818,0.0,-2.559,0.0,2.011,0.0,0.089,0.12,0.0,1.9463,0.5033,1.9463,0.5033,0.2044,0.0011,0.12,0.0,,,323.9589,29.4324
0.25,35.0,20,0.2,0.14,[1.  6.6],[2. 2.],3.22,0.0,7.25,0.02,0.0,0.0,1.596,0.0,2.5526,0.0,-2.324,0.0,2.013,0.0,0.087,0.139,0.0,2.7561,0.7071,2.7561,0.7071,0.1889,0.0007,0.139,0.0,,,384.8612,29.6586
0.25,35.0,21,0.2,0.14,[2.5  7.82],[2. 2.],2.4,0.0,1.86,0.09,0.0,0.0,2.287,0.0,5.3669,0.0,-3.119,0.0,2.04,0.0,0.06,0.139,0.0,2.6143,0.724,2.6143,0.724,0.1824,0.0339,0.1344,0.025,,,436.874,29.6645
0.25,35.0,22,0.2,0.14,[4.   4.53],[2. 2.],5.69,0.26,3.12,0.04,0.0,0.0,1.911,0.0,3.5283,0.0,-2.701,0.0,2.026,0.0,0.074,0.139,0.0,2.715,0.7208,2.715,0.7208,0.1888,0.0006,0.139,0.0,,,350.0646,30.2667
0.25,40.0,20,0.19,0.16,[1.   7.64],[2. 2.],1.71,0.0,8.43,0.0,0.0,0.0,1.7221,0.0087,2.9695,0.0367,-2.0549,0.0225,2.0095,0.0006,0.0905,0.156,0.0,0.0,0.0,3.2561,0.5445,0.0945,0.0093,-0.1146,0.0154,,,0.1019,0.0024
0.25,40.0,21,0.19,0.16,[2.5  6.43],[2. 2.],4.71,0.02,6.71,0.0,0.0,0.0,2.013,0.0,4.1046,0.0,-2.33,0.0,2.023,0.0,0.077,0.156,0.0,3.0967,1.4987,3.0967,1.4987,0.0,0.0,0.0004,0.0005,,,339.6614,25.3287
0.25,40.0,22,0.19,0.16,[4.  5.4],[2. 2.],4.94,0.39,4.84,0.0,0.0,0.0,1.929,0.0,3.7092,0.0,-2.253,0.0,2.019,0.0,0.081,0.156,0.0,,,,,,,,,,,,
0.25,45.0,20,0.18,0.18,[1.  4.2],[2. 2.],5.45,0.0,3.85,0.0,0.0,0.0,1.553,0.0,2.4011,0.0,-1.627,0.0,1.989,0.0,0.111,0.172,0.0,4.8997,1.3727,5.4054,1.6967,0.0,0.0,0.0009,0.001,,,367.8808,25.4933
0.25,45.0,21,0.18,0.18,[2.5  7.65],[2. 2.],1.87,0.0,7.85,0.07,0.0,0.0,1.8912,0.0123,3.4757,0.0514,-1.8312,0.0154,2.0077,0.0007,0.0923,0.172,0.0,0.0,0.0,1.6909,0.749,0.0652,0.0134,-0.1545,0.027,,,0.1098,0.0033
0.25,45.0,22,0.18,0.18,[4.  7.9],[2. 2.],4.79,0.01,7.08,0.23,0.0,0.0,2.718,0.0,7.4538,0.0,-2.508,0.0,2.037,0.0,0.063,0.172,0.0,4.8237,1.2861,5.282,1.6267,0.0,0.0,0.0013,0.001,,,364.2242,25.281
0.25,50.0,20,0.16,0.19,[1.   6.28],[2. 2.],5.82,0.12,6.08,0.03,0.0,0.0,0.996,0.0,0.0,0.0,-1.003,0.0,0.399,0.0,1.701,0.006,0.0,3.8936,0.5793,4.3162,1.2247,0.0,0.0,0.0011,0.001,,,370.4043,25.546
0.25,50.0,21,0.16,0.19,[2.5  5.92],[2. 2.],2.49,0.0,5.31,0.0,0.0,0.0,2.5226,0.0226,6.3652,0.1381,-1.9337,0.0166,2.0259,0.0008,0.0741,0.187,0.0,0.0001,0.0003,0.7732,0.3198,0.1123,0.0062,-0.1864,0.0344,,,0.0936,0.0068
0.25,50.0,22,0.16,0.19,[4.   7.33],[2. 2.],6.07,0.02,4.17,0.02,0.0,0.0,2.48,0.0,5.898,0.0,-1.902,0.0,2.023,0.0,0.077,0.187,0.0,3.8428,0.5275,4.2071,1.1168,0.0,0.0,0.001,0.001,,,377.7009,25.4382
0.25,55.0,20,0.14,0.2,[1.   7.75],[2. 2.],5.02,0.09,7.98,0.01,0.0,0.0,2.739,0.0,7.5061,0.0,-1.717,0.0,2.027,0.0,0.073,0.2,0.0,2.9249,0.1213,4.045,0.5098,0.0,0.0,0.0013,0.0009,,,250.3301,25.3839
0.25,55.0,21,0.14,0.2,[2.5  5.04],[2. 2.],2.3,0.0,6.95,0.02,0.0,0.0,2.3281,0.0132,5.4176,0.0793,-1.4728,0.0077,2.0141,0.0006,0.0859,0.2,0.0,0.0,0.0,2.584,0.2509,0.0679,0.0097,-0.1269,0.0261,,,0.0991,0.0029
0.25,55.0,22,0.14,0.2,[4.   6.53],[2. 2.],2.54,0.0,5.64,0.01,0.0,0.0,2.5754,0.0212,6.3784,0.1136,-1.6176,0.0126,2.0208,0.0007,0.0792,0.2,0.0,0.0005,0.0005,1.1785,0.2503,0.0865,0.0083,-0.1795,0.0358,,,0.0973,0.0046
