vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,10,0.23,0.09,[7.27 4.16],[2. 2.],6.42,0.03,0.74,0.0,0.0,0.0,0.896,0.0,0.8195,0.0,-2.73,0.0,2.005,0.0,0.095,0.086,0.0,1.2032,0.1959,1.2032,0.1959,0.2483,0.0029,0.081,0.0,,,691.3131,58.6217
0.25,20.0,11,0.23,0.09,[3.73 7.16],[2. 2.],2.61,0.03,6.98,0.03,0.0,0.0,1.237,0.0,1.5529,0.0,-3.982,0.0,2.035,0.0,0.065,0.081,0.0,,,,,,,,,,,,
0.25,20.0,20,0.23,0.09,[1.   4.28],[2. 2.],1.17,0.0,5.9,0.0,0.0,0.0,1.1818,0.0048,1.389,0.0132,-3.8416,0.0583,2.032,0.0003,0.068,0.0801,0.0003,0.0002,0.0004,0.7131,0.1965,0.2333,0.0064,-0.2215,0.0236,,,0.0851,0.0045
0.25,20.0,21,0.23,0.09,[2.   7.83],[2. 2.],0.24,0.0,8.91,0.0,0.0,0.0,0.9272,0.0339,0.8339,0.1674,-3.1125,0.0107,1.961,0.2901,0.139,0.0764,0.0142,0.0,0.0,2.7404,0.7214,0.1827,0.0083,-0.1594,0.0125,,,0.1047,0.003
0.25,20.0,22,0.23,0.09,[3.   7.51],[2. 2.],2.54,0.0,3.38,0.17,0.0,0.0,0.919,0.0,0.8638,0.0,-3.116,0.0,2.015,0.0,0.085,0.079,0.0,,,,,,,,,,,,
0.25,20.0,23,0.23,0.09,[4.   3.69],[2. 2.],2.65,0.0,3.46,1.15,0.0,0.0,0.916,0.0,0.8206,0.0,-3.153,0.0,2.015,0.0,0.085,0.077,0.0,,,,,,,,,,,,
0.25,20.0,24,0.23,0.09,[5.   5.98],[2. 2.],5.41,0.0,7.87,0.0,0.0,0.0,0.916,0.0,0.8206,0.0,-3.153,0.0,2.015,0.0,0.085,0.077,0.0,,,,,,,,,,,,
0.25,25.0,10,0.23,0.11,[6.5  7.43],[2. 2.],6.37,0.0,8.15,0.01,0.0,0.0,1.411,0.0,1.9678,0.0,-3.319,0.0,2.028,0.0,0.072,0.101,0.0,1.3971,0.1436,1.3971,0.1436,0.2229,0.0019,0.101,0.0,,,835.2184,56.3715
0.25,25.0,11,0.23,0.11,[7.35 7.83],[2. 2.],2.55,0.04,7.88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.428,0.0,1.994,0.0,0.106,0.106,0.0,1.4237,0.1995,1.4237,0.1995,0.223,0.002,0.101,0.0,,,632.0836,55.883
0.25,25.0,20,0.23,0.11,[1.   4.01],[2. 2.],2.67,0.0,3.66,0.42,0.0,0.0,3.054,0.0,9.3956,0.0,-2.891,0.0,2.008,0.0,0.092,0.282,0.0,1.254,0.1491,1.254,0.1491,0.225,0.0055,0.101,0.0002,,,174.1484,23.4139
0.25,25.0,21,0.23,0.11,[2.   5.14],[2. 2.],3.69,0.22,4.79,0.01,0.0,0.0,1.342,0.0,1.8135,0.0,-3.166,0.0,2.025,0.0,0.075,0.101,0.0,1.3663,0.0304,1.3663,0.0304,0.2236,0.0024,0.101,0.0,,,299.5241,24.1304
0.25,25.0,22,0.23,0.11,[3.   7.16],[2. 2.],1.42,0.01,6.11,0.12,0.0,0.0,1.4415,0.0199,2.085,0.0578,-3.3782,0.0826,2.03,0.001,0.07,0.101,0.0,0.249,0.6113,1.638,0.5657,0.2138,0.0078,-0.1523,0.0366,,,0.0781,0.0067
0.25,25.0,23,0.23,0.11,[4.   7.52],[2. 2.],5.68,0.01,5.15,0.36,0.0,0.0,1.15,0.0,1.3173,0.0,-2.887,0.0,2.012,0.0,0.088,0.101,0.0,1.3726,0.0068,1.3726,0.0068,0.2237,0.0029,0.101,0.0,,,380.0755,24.3085
0.25,25.0,24,0.23,0.11,[5.   7.75],[2. 2.],5.48,0.0,7.55,0.02,0.0,0.0,0.94,0.0,0.8711,0.0,-2.449,0.0,1.995,0.0,0.105,0.098,0.0,1.3675,0.0385,1.3675,0.0385,0.2248,0.0017,0.101,0.0,,,392.4998,24.2097
