k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,1.276,0.0,0.0,,,,-0.0,0.0,0.376,0.0,-0.0,0.139,1.0,-1e-05,-0.0,-0.0,-0.001,-0.0,-0.0,,False,False,,0.098,0.0,-0.0,1.73,0.35,0.001,0.001,0.0,33175,33178,33171,33167,0,0,0,0,0,0,0,0,0,,
0,0,1.335,0.0,0.0,,,,-0.0,0.0,0.383,0.0,0.0,0.095,1.0,-2e-05,-1e-05,-0.0,0.001,0.0,-0.0,,False,False,,0.059,-0.0,-0.0,1.718,0.356,-0.001,-0.0,0.0,33657,33651,33659,33657,0,0,0,0,0,0,0,0,0,,
0,0,1.355,0.0,0.0,,,,-0.0,0.0,0.386,0.0,0.0,0.076,1.0,1e-05,-0.0,-1e-05,0.002,0.0,-0.0,,False,False,,0.045,-0.0,-0.0,1.714,0.359,-0.003,-0.0,0.0,33868,33865,33884,33881,0,0,0,0,0,0,0,0,0,,
0,0,1.417,0.0,0.0,,,,-0.0,0.0,0.389,0.0,-0.0,0.055,1.0,4e-05,0.0,-1e-05,0.0,0.0,-0.0,,False,False,,0.039,-0.0,-0.0,1.713,0.363,-0.002,-0.0,0.0,34196,34190,34204,34203,0,0,0,0,0,0,0,0,0,,
0,0,1.434,0.0,0.0,,,,-0.0,0.0,0.39,0.0,-0.0,0.047,1.0,4e-05,0.0,-1e-05,-0.001,0.001,-0.0,,False,False,,0.029,0.0,-0.0,1.711,0.365,-0.0,-0.001,0.0,34317,34310,34313,34317,0,0,0,0,0,0,0,0,0,,
0,0,1.441,0.0,0.0,,,,-0.0,0.0,0.39,0.0,-0.0,0.047,1.0,4e-05,0.0,-1e-05,-0.001,0.001,-0.0,,False,False,,0.029,0.0,-0.0,1.711,0.366,0.0,-0.001,0.0,34374,34367,34365,34371,0,0,0,0,0,0,0,0,0,,
0,0,1.486,0.0,0.0,,,,-0.0,0.0,0.392,0.0,-0.0,0.033,1.0,1e-05,1e-05,-1e-05,-0.002,0.0,0.0,,False,False,,0.021,0.0,-0.0,1.709,0.368,0.001,-0.001,0.0,34571,34566,34560,34565,0,0,0,0,0,0,0,0,0,,
0,0,1.535,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.017,1.0,-2e-05,0.0,-0.0,-0.001,-0.0,0.0,,False,False,,0.015,0.0,-0.0,1.708,0.371,0.001,-0.0,-0.0,34771,34771,34764,34765,0,0,0,0,0,0,0,0,0,,
0,0,1.54,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.016,1.0,-2e-05,0.0,-0.0,-0.0,-0.0,0.0,,False,False,,0.01,0.0,-0.0,1.707,0.371,0.001,-0.0,-0.0,34805,34806,34800,34801,0,0,0,0,0,0,0,0,0,,
0,0,1.544,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.015,1.0,-2e-05,0.0,-0.0,-0.0,-0.0,0.0,,False,False,,0.01,0.0,-0.0,1.707,0.371,0.001,-0.0,-0.0,34805,34806,34800,34801,0,0,0,0,0,0,0,0,0,,
0,0,1.545,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.015,1.0,-2e-05,0.0,-0.0,-0.0,-0.0,0.0,,False,False,,0.01,0.0,-0.0,1.707,0.371,0.001,-0.0,-0.0,34805,34806,34800,34801,0,0,0,0,0,0,0,0,0,,
0,0,1.55,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.014,1.0,-2e-05,0.0,-0.0,0.0,-0.0,0.0,,False,False,,0.009,0.0,-0.0,1.707,0.372,0.0,0.0,-0.0,34836,34838,34834,34835,0,0,0,0,0,0,0,0,0,,
0,0,1.552,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.014,1.0,-2e-05,0.0,-0.0,0.0,-0.0,0.0,,False,False,,0.009,0.0,-0.0,1.707,0.372,0.0,0.0,-0.0,34836,34838,34834,34835,0,0,0,0,0,0,0,0,0,,
0,0,1.554,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.014,1.0,-2e-05,0.0,-0.0,0.0,-0.0,0.0,,False,False,,0.009,0.0,-0.0,1.707,0.372,0.0,0.0,-0.0,34836,34838,34834,34835,0,0,0,0,0,0,0,0,0,,
0,0,1.56,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.013,1.0,-2e-05,-0.0,-0.0,0.0,-0.0,0.0,,False,False,,0.008,0.0,-0.0,1.707,0.372,0.0,0.0,-0.0,34866,34868,34865,34866,0,0,0,0,0,0,0,0,0,,
0,0,1.561,0.0,0.0,,,,-0.0,0.0,0.393,0.0,-0.0,0.012,1.0,-2e-05,-0.0,-0.0,0.0,-0.0,0.0,,False,False,,0.008,0.0,-0.0,1.707,0.372,0.0,0.0,-0.0,34866,34868,34865,34866,0,0,0,0,0,0,0,0,0,,
