k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,x_Ext,y_Ext,z_Ext,qw_Ext,qx_Ext,qy_Ext,qz_Ext,vx_Ext,vy_Ext,vz_Ext,wx_Ext,wy_Ext,wz_Ext,Error,x_Raw,y_Raw,z_Raw,qw_Raw,qx_Raw,qy_Raw,qz_Raw
0,0,,,,,,25.13,-0.272,-0.012,0.507,0.999,-0.008,-0.0,-0.035,0.027,0.003,0.021,-0.107,-0.049,-0.029,,False,,,0.008,0.0,0.017,0.0,0.0,0.0,0.0,12.832,0.272,0.115,0.661,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.3,3.156,-0.273,-0.014,0.508,1,0,0,0,0.018,-0.019,0.009,-0.056,-0.038,-0.013,,-0.272,-0.014,0.508,0.997,-0.021,0.021,-0.077
0,0,,,,,,25.14,-0.272,-0.012,0.508,0.999,-0.01,-0.001,-0.035,0.027,0.004,0.031,-0.111,-0.091,-0.029,,False,,,0.013,0.002,0.017,0.0,0.0,0.0,0.0,12.766,0.295,0.165,0.672,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.3,3.003,-0.273,-0.014,0.508,1,0,0,0,0.018,-0.019,0.009,-0.056,-0.038,-0.013,,-0.272,-0.014,0.508,0.997,-0.021,0.021,-0.077
0,0,,,,,,25.15,-0.272,-0.012,0.508,0.999,-0.01,-0.001,-0.035,0.026,0.005,0.046,-0.1,-0.091,-0.024,,False,,,0.019,0.002,0.016,0.0,0.0,0.0,0.0,12.668,0.292,0.177,0.647,-0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.3,3.003,-0.272,-0.014,0.508,1,0,0,0,0.018,-0.018,0.01,-0.057,-0.034,-0.012,,-0.272,-0.014,0.508,0.997,-0.024,0.021,-0.077
0,0,,,,,,25.16,-0.272,-0.012,0.509,0.999,-0.011,-0.001,-0.035,0.026,0.006,0.065,-0.106,-0.115,-0.034,,False,,,0.029,0.003,0.016,0.0,0.0,0.0,0.0,12.833,0.296,0.201,0.702,-0.25,0.0,0.5,0.0,0.0,0.025,0.0,0.0,4.3,2.956,-0.272,-0.014,0.508,1,0,0,0,0.018,-0.017,0.012,-0.058,-0.034,-0.011,,-0.272,-0.013,0.509,0.997,-0.018,0.023,-0.076
0,0,,,,,,25.17,-0.271,-0.012,0.509,0.999,-0.011,-0.003,-0.035,0.026,0.008,0.089,-0.099,-0.107,-0.022,,False,,,0.041,0.004,0.016,0.0,0.0,0.0,0.0,13.046,0.302,0.208,0.659,-0.25,0.0,0.5,0.0,0.0,0.068,0.0,0.0,4.3,2.929,-0.272,-0.014,0.508,1,0,0,0,0.018,-0.015,0.014,-0.053,-0.028,-0.009,,-0.272,-0.013,0.509,0.997,-0.018,0.023,-0.076
0,0,,,,,,25.18,-0.271,-0.012,0.509,0.999,-0.011,-0.003,-0.035,0.026,0.008,0.089,-0.099,-0.107,-0.022,,False,,,0.041,0.004,0.016,0.0,0.0,0.0,0.0,13.046,0.302,0.208,0.659,-0.25,0.0,0.5,0.0,0.0,0.068,0.0,0.0,4.3,2.929,-0.272,-0.014,0.508,1,0,0,0,0.018,-0.015,0.014,-0.053,-0.028,-0.009,,-0.272,-0.014,0.51,0.997,-0.017,0.025,-0.075
0,0,,,,,,25.19,-0.271,-0.012,0.511,0.999,-0.011,-0.003,-0.035,0.024,0.013,0.149,-0.031,-0.107,0.003,,False,,,0.073,0.006,0.015,0.0,0.0,0.0,0.0,13.2,0.207,0.212,0.531,-0.25,0.0,0.502,0.0,0.0,0.154,0.0,0.0,4.3,2.908,-0.271,-0.014,0.51,1,0,0,0,0.019,-0.014,0.023,-0.041,-0.017,-0.002,,-0.271,-0.014,0.511,0.997,-0.019,0.023,-0.074
0,0,,,,,,25.2,-0.271,-0.012,0.511,0.999,-0.011,-0.003,-0.035,0.024,0.013,0.149,-0.031,-0.107,0.003,,False,,,0.073,0.006,0.015,0.0,0.0,0.0,0.0,13.2,0.207,0.212,0.531,-0.25,0.0,0.502,0.0,0.0,0.154,0.0,0.0,4.3,2.908,-0.271,-0.014,0.511,1,0,0,0,0.019,-0.013,0.031,-0.036,-0.013,0.001,,-0.271,-0.014,0.512,0.997,-0.018,0.023,-0.074
0,0,,,,,,25.21,-0.271,-0.012,0.513,0.999,-0.011,-0.004,-0.035,0.024,0.016,0.185,-0.002,-0.1,-0.008,,False,,,0.093,0.008,0.015,0.0,0.0,0.0,0.0,13.2,0.177,0.201,0.58,-0.25,0.0,0.502,0.0,0.0,0.154,0.0,0.0,4.3,2.919,-0.271,-0.014,0.511,1,0,0,0,0.019,-0.013,0.031,-0.036,-0.013,0.001,,-0.271,-0.014,0.514,0.997,-0.018,0.024,-0.074
0,0,,,,,,25.22,-0.271,-0.012,0.515,0.999,-0.011,-0.004,-0.035,0.024,0.018,0.226,0.001,-0.056,-0.023,,False,,,0.116,0.01,0.015,0.0,0.0,0.0,0.0,13.2,0.161,0.152,0.641,-0.25,0.0,0.506,0.0,0.0,0.24,0.0,0.0,4.3,2.913,-0.271,-0.014,0.514,1,0,0,0,0.019,-0.009,0.053,-0.025,-0.004,0.008,,-0.271,-0.013,0.516,0.997,-0.016,0.023,-0.073
0,0,,,,,,25.23,-0.271,-0.012,0.517,0.999,-0.011,-0.004,-0.035,0.023,0.021,0.27,0.001,-0.057,-0.014,,False,,,0.142,0.011,0.014,0.0,0.0,0.0,0.0,13.2,0.154,0.148,0.625,-0.25,0.0,0.509,0.0,0.0,0.283,0.0,0.0,4.3,2.929,-0.271,-0.014,0.514,1,0,0,0,0.019,-0.009,0.053,-0.025,-0.004,0.008,,-0.271,-0.014,0.519,0.997,-0.018,0.025,-0.073
