k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
0,0,,,,,,4.838,0.0,-0.0,0.415,1.0,0.0,-3e-05,0.0,0.03,-0.0,2.503,0.001,-0.027,0.002,,False,False,8,0.0,-0.0,0.0,1969.0,1944.0,1943.0,1970.0,0.338,-0.001,-0.126,-0.0,
0,0,,,,,,4.887,0.001,-0.0,0.523,1.0,1e-05,-0.00164,5e-05,0.029,-0.0,2.507,-0.0,-0.076,0.001,,False,False,8,0.0,-0.0,0.0,1951.0,1953.0,1952.0,1952.0,0.337,0.0,0.004,0.0,
0,0,,,,,,4.908,0.002,-0.0,0.588,1.0,1e-05,-0.00259,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.595,0.0,-0.019,1950.0,1951.0,1951.0,1950.0,0.336,0.0,0.005,0.0,
0,0,,,,,,4.919,0.002,-0.0,0.588,1.0,1e-05,-0.00259,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.595,0.0,-0.019,1950.0,1951.0,1951.0,1950.0,0.336,0.0,0.005,0.0,
0,0,,,,,,4.948,0.003,-0.0,0.678,0.99999,1e-05,-0.00374,5e-05,0.026,-0.0,2.51,-0.0,-0.059,-0.001,,False,False,8,1.595,0.0,-0.019,1949.0,1950.0,1950.0,1949.0,0.336,0.0,0.006,0.0,
0,0,,,,,,4.952,0.003,-0.0,0.678,0.99999,1e-05,-0.00374,5e-05,0.026,-0.0,2.51,-0.0,-0.059,-0.001,,False,False,8,1.595,0.0,-0.019,1949.0,1949.0,1950.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,4.966,0.004,-0.0,0.746,0.99999,1e-05,-0.00446,3e-05,0.024,-0.0,2.511,-0.0,-0.049,-0.001,,False,False,8,1.595,0.0,-0.019,1948.0,1949.0,1949.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,5.006,0.004,-0.0,0.811,0.99999,0.0,-0.00504,2e-05,0.021,-0.0,2.512,-0.0,-0.04,-0.001,,False,False,8,1.938,0.0,-0.017,1948.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.009,0.005,-0.0,0.854,0.99999,-0.0,-0.00535,2e-05,0.02,-0.0,2.512,-0.0,-0.034,-0.001,,False,False,8,1.938,0.0,-0.017,1947.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.023,0.005,-0.0,0.879,0.99998,-0.0,-0.00551,1e-05,0.019,-0.0,2.512,-0.0,-0.03,-0.001,,False,False,8,1.938,0.0,-0.017,1947.0,1948.0,1948.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.053,0.005,-0.0,0.924,0.99998,-0.0,-0.00575,1e-05,0.017,-0.0,2.512,-0.0,-0.023,-0.001,,False,False,8,1.938,0.0,-0.017,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.068,0.006,-0.0,0.96,0.99998,-1e-05,-0.00589,0.0,0.015,-0.0,2.512,-0.0,-0.018,-0.001,,False,False,8,1.938,0.0,-0.017,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.083,0.006,-0.0,1.002,0.99998,-1e-05,-0.00601,-1e-05,0.013,-0.0,2.513,-0.0,-0.012,-0.001,,False,False,8,1.938,0.0,-0.017,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,5.122,0.006,-0.0,1.115,0.99998,-1e-05,-0.0061,-2e-05,0.008,-0.0,2.513,-0.0,0.004,-0.001,,False,False,8,2.526,0.0,-0.008,1946.0,1947.0,1947.0,1946.0,0.335,0.0,0.005,0.0,
0,0,,,,,,5.137,0.006,-0.0,1.158,0.99998,-1e-05,-0.00604,-2e-05,0.006,-0.0,2.513,-0.0,0.009,-0.001,,False,False,8,2.526,0.0,-0.008,1946.0,1947.0,1947.0,1946.0,0.335,0.0,0.005,0.0,
0,0,,,,,,5.185,0.006,-0.0,1.244,0.99998,-1e-05,-0.00579,-3e-05,0.002,-0.0,2.513,-0.0,0.02,-0.0,,False,False,8,2.526,0.0,-0.008,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.004,0.0,
0,0,,,,,,5.201,0.006,-0.0,1.294,0.99998,-1e-05,-0.00557,-4e-05,-0.0,0.0,2.513,-0.0,0.025,-0.0,,False,False,8,2.526,0.0,-0.008,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.004,0.0,
0,0,,,,,,5.217,0.006,-0.0,1.364,0.99999,-2e-05,-0.00517,-4e-05,-0.003,0.0,2.513,-0.0,0.032,-0.0,,False,False,8,2.526,0.0,-0.008,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.004,0.0,
0,0,,,,,,5.239,0.006,-0.0,1.422,0.99999,-2e-05,-0.00477,-4e-05,-0.006,0.0,2.513,0.0,0.036,-0.0,,False,False,8,3.626,-0.0,0.007,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.003,0.0,
0,0,,,,,,5.26,0.006,-0.0,1.467,0.99999,-1e-05,-0.00443,-4e-05,-0.007,0.0,2.513,0.0,0.04,-0.0,,False,False,8,3.762,-0.0,0.009,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.003,0.0,
0,0,,,,,,5.299,0.006,-0.0,1.558,0.99999,-1e-05,-0.00367,-4e-05,-0.01,0.0,2.513,0.0,0.045,-0.0,,False,False,8,3.762,-0.0,0.009,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.003,0.0,
0,0,,,,,,5.347,0.005,-0.0,1.695,0.99038,0.00699,-0.13797,0.00772,-0.045,-0.002,2.33,0.605,-12.749,0.749,,True,False,8,3.762,-0.0,0.009,2069.0,62.0,62.0,2069.0,0.189,0.0,-5.348,0.0,
0,0,,,,,,5.374,0.003,-0.0,1.74,0.95607,0.01353,-0.29234,0.01714,-0.089,-0.005,2.22,0.686,-18.551,1.107,,True,False,8,5.833,0.006,0.132,2069.0,62.0,62.0,2069.0,0.189,0.0,-5.348,0.0,
0,0,,,,,,5.392,-0.001,-0.0,1.803,0.80315,0.02107,-0.59428,0.0367,-0.186,-0.013,1.995,0.472,-26.33,1.405,,True,False,8,5.833,0.006,0.132,2069.0,62.0,62.0,2069.0,0.189,0.0,-5.348,0.0,
