k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,Error
0,0,,,,,,1.068,0.0,0.0,0.403,1.0,0.0,0.0,-0.0,0.03,0.0,2.643,0.0,0.0,-0.0,,False,False,8,-0.04,0.0,0.0,8.579,-0.003,-0.027,-0.015,
0,0,,,,,,1.091,0.001,-0.0,0.495,1.0,-1e-05,-0.00139,6e-05,0.03,-0.0,2.65,-0.002,-0.089,0.002,,False,False,8,1.638,0.0,-0.018,8.571,0.003,0.002,-0.002,
0,0,,,,,,1.149,0.002,0.0,0.578,1.0,-3e-05,-0.00254,6e-05,0.028,0.0,2.651,-0.001,-0.069,-0.001,,False,False,8,1.818,-0.0,-0.018,8.558,0.0,0.005,0.002,
0,0,,,,,,1.174,0.003,0.0,0.721,0.99999,-3e-05,-0.0042,4e-05,0.025,0.0,2.653,0.0,-0.053,-0.001,,False,False,8,1.818,-0.0,-0.018,8.557,0.0,0.005,0.002,
0,0,,,,,,1.221,0.004,0.0,0.79,0.99999,-3e-05,-0.00483,3e-05,0.022,0.0,2.654,0.0,-0.044,-0.001,,False,False,8,1.962,-0.0,-0.018,8.545,0.0,0.005,0.003,
0,0,,,,,,1.262,0.005,0.0,0.962,0.99998,-3e-05,-0.00586,0.0,0.016,0.0,2.654,0.0,-0.02,-0.001,,False,False,8,2.175,-0.0,-0.016,8.539,0.0,0.005,0.003,
0,0,,,,,,1.292,0.006,0.0,1.013,0.99998,-2e-05,-0.00602,-0.0,0.013,0.0,2.654,0.0,-0.013,-0.001,,False,False,8,2.503,-0.0,-0.012,8.538,0.0,0.005,0.003,
0,0,,,,,,1.309,0.006,0.0,1.061,0.99998,-2e-05,-0.0061,-1e-05,0.011,0.0,2.655,0.0,-0.006,-0.001,,False,False,8,2.503,-0.0,-0.012,8.536,0.0,0.005,0.003,
0,0,,,,,,1.332,0.006,0.0,1.106,0.99998,-2e-05,-0.00613,-1e-05,0.009,0.0,2.655,0.0,-0.0,-0.001,,False,False,8,2.781,-0.0,-0.008,8.536,0.0,0.005,0.003,
0,0,,,,,,1.384,0.006,0.0,1.236,0.99998,-1e-05,-0.00594,-3e-05,0.003,0.0,2.655,0.0,0.015,-0.0,,False,False,8,2.781,-0.0,-0.008,8.535,0.0,0.005,0.003,
