k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,Error
SIM,Note:
0,0,,,,,,3.232,-0.0,0.0,0.404,1.0,-0.0,3e-05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,False,False,8,-0.0,0.0,0.0,8.65,-0.0,-0.0,-0.0,
0,0,,,,,,3.237,0.0,0.0,0.411,1.0,0.0,-0.0,0.0,0.03,0.0,2.643,0.0,-0.001,0.0,,False,False,8,1.557,0.0,-0.018,8.735,-0.0,-0.122,-0.001,
0,0,,,,,,3.261,0.001,-0.0,0.487,1.0,1e-05,-0.0008,4e-05,0.03,-0.0,2.648,-0.001,-0.09,0.004,,False,False,8,1.636,0.0,-0.018,8.696,0.001,0.019,-0.017,
0,0,,,,,,3.263,0.001,-0.0,0.487,1.0,1e-05,-0.0008,4e-05,0.03,-0.0,2.648,-0.001,-0.09,0.004,,False,False,8,1.636,0.0,-0.018,8.693,0.002,0.019,-0.016,
0,0,,,,,,3.267,0.001,-0.0,0.503,1.0,1e-05,-0.00106,5e-05,0.03,-0.0,2.649,-0.001,-0.087,0.003,,False,False,8,1.636,0.0,-0.018,8.687,0.002,0.016,-0.013,
0,0,,,,,,3.276,0.001,-0.0,0.524,1.0,0.0,-0.0014,6e-05,0.029,-0.0,2.65,-0.001,-0.08,0.002,,False,False,8,1.665,0.0,-0.019,8.677,0.001,0.01,-0.01,
0,0,,,,,,3.295,0.002,-0.0,0.564,1.0,0.0,-0.00197,7e-05,0.029,-0.0,2.653,-0.0,-0.074,0.001,,False,False,8,1.724,0.0,-0.019,8.653,0.0,0.004,-0.004,
0,0,,,,,,3.301,0.002,-0.0,0.575,1.0,-0.0,-0.00211,7e-05,0.029,-0.0,2.653,-0.0,-0.073,0.0,,False,False,8,1.724,0.0,-0.019,8.645,0.0,0.004,-0.003,
0,0,,,,,,3.306,0.002,-0.0,0.599,1.0,-0.0,-0.00243,7e-05,0.028,-0.0,2.654,-0.0,-0.07,-0.0,,False,False,8,1.755,0.0,-0.019,8.645,0.0,0.004,-0.003,
0,0,,,,,,3.321,0.003,-0.0,0.641,1.0,-0.0,-0.00298,7e-05,0.028,-0.0,2.656,-0.0,-0.066,-0.0,,False,False,8,1.821,0.0,-0.019,8.622,0.0,0.004,0.0,
0,0,,,,,,3.331,0.003,-0.0,0.662,0.99999,-0.0,-0.00323,6e-05,0.027,-0.0,2.657,-0.0,-0.063,-0.001,,False,False,8,1.855,0.0,-0.019,8.612,0.0,0.005,0.001,
0,0,,,,,,3.351,0.003,-0.0,0.718,0.99999,-0.0,-0.00386,6e-05,0.026,-0.0,2.659,-0.0,-0.056,-0.001,,False,False,8,1.891,0.0,-0.019,8.599,0.0,0.005,0.002,
0,0,,,,,,3.356,0.004,-0.0,0.734,0.99999,-0.0,-0.00403,5e-05,0.025,-0.0,2.659,-0.0,-0.054,-0.001,,False,False,8,1.928,0.0,-0.019,8.594,0.0,0.005,0.002,
0,0,,,,,,3.357,0.004,-0.0,0.734,0.99999,-0.0,-0.00403,5e-05,0.025,-0.0,2.659,-0.0,-0.054,-0.001,,False,False,8,1.928,0.0,-0.019,8.594,0.0,0.005,0.002,
0,0,,,,,,3.368,0.004,-0.0,0.771,0.99999,-1e-05,-0.00439,5e-05,0.024,-0.0,2.66,-0.0,-0.05,-0.001,,False,False,8,2.006,0.0,-0.018,8.587,0.0,0.005,0.002,
0,0,,,,,,3.381,0.004,-0.0,0.795,0.99999,-1e-05,-0.00461,4e-05,0.023,-0.0,2.661,-0.0,-0.047,-0.001,,False,False,8,2.048,0.0,-0.018,8.58,0.0,0.005,0.003,
