k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,Error
SIM,Note:
0,0,,,,,,5.112,0.002,0.0,0.623,1.0,-0.00018,-0.00266,7e-05,0.028,0.0,2.657,0.003,-0.072,-0.001,,False,False,8,1.771,-0.0,-0.019,8.513,-0.001,0.004,0.002,
0,0,,,,,,5.199,0.005,0.0,0.833,0.99999,-0.00013,-0.00495,3e-05,0.022,0.0,2.656,0.002,-0.044,-0.001,,False,False,8,1.771,-0.0,-0.019,8.524,0.0,0.004,0.004,
0,0,,,,,,5.249,0.005,0.0,0.934,0.99998,-0.0001,-0.00563,1e-05,0.018,0.0,2.656,0.002,-0.029,-0.001,,False,False,8,2.198,-0.0,-0.017,8.528,0.0,0.005,0.003,
0,0,,,,,,5.356,0.007,0.0,1.197,0.99998,-2e-05,-0.00615,-3e-05,0.007,0.001,2.655,0.002,0.007,-0.001,,False,False,8,2.898,-0.001,-0.008,8.53,0.0,0.005,0.003,
0,0,,,,,,5.403,0.007,0.0,1.285,0.99998,1e-05,-0.00594,-3e-05,0.003,0.001,2.655,0.002,0.017,-0.0,,False,False,8,2.898,-0.001,-0.008,8.531,0.0,0.004,0.003,
0,0,,,,,,5.501,0.006,0.0,1.587,0.99999,8e-05,-0.00415,-5e-05,-0.009,0.0,2.655,0.001,0.043,-0.0,,False,False,8,4.254,-0.001,0.008,8.532,-0.0,0.002,0.001,
0,0,,,,,,5.54,0.006,0.0,1.656,0.99994,0.00045,-0.01062,0.00034,-0.013,0.0,2.575,0.109,-2.09,0.118,,True,False,8,4.254,-0.001,0.008,0.0,0.0,-5.458,0.0,
0,0,,,,,,5.601,0.004,0.0,1.796,0.97393,0.01023,-0.22624,0.01294,-0.054,-0.002,2.167,0.469,-12.349,0.732,,True,False,8,6.695,0.003,0.102,0.0,0.0,-5.458,0.0,
0,0,,,,,,5.68,-0.006,-0.0,1.944,0.55819,0.01692,-0.82792,0.05183,-0.172,-0.012,1.454,0.06,-22.462,0.782,,True,False,8,9.594,0.085,1.193,0.0,0.0,0.0,0.0,
0,0,,,,,,5.76,-0.022,0.001,2.019,0.05513,0.04469,-0.99712,-0.02669,-0.068,-0.017,-0.101,0.31,0.306,-3.381,,True,True,8,9.594,0.085,1.193,0.0,0.0,0.0,0.0,
0,0,,,,,,5.809,-0.021,-0.001,2.014,0.02444,0.03621,-0.99901,-0.00822,0.032,-0.015,-0.132,-1.258,-1.921,-2.964,,True,True,8,-1.534,0.171,-0.37,0.0,0.0,0.0,0.0,
0,0,,,,,,5.845,-0.021,-0.001,2.013,0.00668,0.03507,-0.99936,-0.0016,0.019,-0.004,-0.088,-0.933,-0.752,-1.82,,True,True,8,-1.534,0.171,-0.37,0.0,0.0,0.0,0.0,
0,0,,,,,,5.933,-0.021,-0.001,2.013,0.0,0.03692,-0.99932,-0.00062,0.018,-0.009,-0.084,-0.128,0.372,-0.229,,True,True,8,-0.963,0.103,-0.101,0.0,0.0,0.0,0.0,
0,0,,,,,,6.005,-0.021,-0.001,2.013,-0.00227,0.03267,-0.99946,0.00169,0.007,-0.004,-0.084,-0.392,-0.333,-0.498,,True,True,8,-0.967,0.061,-0.097,0.0,0.0,0.0,0.0,
0,0,,,,,,6.098,-0.021,-0.001,2.013,-0.0024,0.03318,-0.99945,0.00174,0.008,-0.006,-0.084,-0.166,-0.186,-0.021,,True,True,8,-0.967,0.061,-0.097,0.0,0.0,0.0,0.0,
0,0,,,,,,6.14,-0.021,-0.001,2.013,-0.00235,0.03321,-0.99944,0.00177,0.008,-0.006,-0.084,-0.154,-0.21,-0.004,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.188,-0.021,-0.001,2.013,-0.00237,0.03321,-0.99944,0.00175,0.008,-0.006,-0.084,-0.158,-0.203,-0.01,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.269,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.153,-0.21,-0.008,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.332,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.155,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.411,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.552,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.617,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.707,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.721,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.835,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.882,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.901,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,6.964,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,
0,0,,,,,,7.038,-0.021,-0.001,2.013,-0.00238,0.03322,-0.99944,0.00175,0.008,-0.006,-0.084,-0.154,-0.208,-0.009,,True,True,8,-0.967,0.066,-0.09,0.0,0.0,0.0,0.0,

0,0,[0 0],[0 0],[5.34 3.03],[0. 0.],[5.34 3.03 0.  ],,,,,,,,,0.0,0,2.65,,,,119.62,[   2.02 -196.86 -218.38],,,,,,,,,,Rollout Completed: Pitch Timeout
0,0,,,,,,5.515,0.006,0.0,1.617,0.99999,9e-05,-0.00391,-5e-05,-0.01,0.0,2.655,0.001,0.044,0.0,,,,,5.403,0.019,0.019,0.0,0.0,-5.458,0.0,Flip Data
0,0,,,,,,5.741,-0.018,0.001,2.018,-0.10514,-0.00215,-0.99426,0.01977,-0.29,0.154,0.368,6.028,2.467,6.003,True,False,[3 2 1 4],,2.077,1.279,0.732,,,,,Impact Data

0,1,,,,,,9.582,0.001,-0.0,0.512,1.0,-1e-05,-0.00158,6e-05,0.029,-0.0,2.655,-0.002,-0.084,0.001,,False,False,8,0.741,-0.002,-0.001,8.534,0.002,0.002,-0.002,
0,1,,,,,,9.686,0.004,0.0,0.78,0.99999,-3e-05,-0.00471,3e-05,0.023,0.0,2.655,0.0,-0.046,-0.001,,False,False,8,1.804,-0.0,-0.019,8.534,0.0,0.006,0.003,
0,1,,,,,,9.756,0.005,0.0,0.997,0.99998,-2e-05,-0.00597,-1e-05,0.014,0.0,2.655,0.0,-0.016,-0.001,,False,False,8,2.303,-0.0,-0.014,8.533,0.0,0.005,0.003,
0,1,,,,,,9.887,0.006,0.0,1.369,0.99999,-0.0,-0.0054,-4e-05,-0.002,0.0,2.655,0.0,0.029,-0.0,,False,False,8,3.182,-0.0,-0.003,8.532,0.0,0.004,0.003,
0,1,,,,,,9.914,0.006,0.0,1.377,0.99999,-0.0,-0.00536,-4e-05,-0.002,0.0,2.655,0.0,0.029,-0.0,,False,False,8,3.182,-0.0,-0.003,8.532,0.0,0.003,0.002,
0,1,,,,,,9.946,0.006,0.0,1.377,0.99999,-0.0,-0.00536,-4e-05,-0.002,0.0,2.655,0.0,0.029,-0.0,,False,False,8,3.182,-0.0,-0.003,8.532,0.0,0.003,0.002,
0,1,,,,,,9.996,0.006,0.0,1.619,0.99999,1e-05,-0.00361,-5e-05,-0.01,0.0,2.655,0.0,0.045,0.0,,True,False,8,5.146,-0.0,0.018,0.0,0.0,-5.459,0.0,
0,1,,,,,,10.08,0.0,-0.0,1.873,0.86469,0.01729,-0.5011,0.03029,-0.129,-0.008,1.882,0.351,-19.022,1.054,,True,False,8,7.562,0.014,0.284,0.0,0.0,-5.459,0.0,
0,1,,,,,,10.11,-0.003,-0.0,1.91,0.73472,0.0184,-0.67683,0.04179,-0.179,-0.012,1.69,0.194,-22.505,1.095,,True,False,8,7.562,0.014,0.284,0.0,0.0,-5.459,0.0,
0,1,,,,,,10.147,-0.006,-0.001,1.941,0.56755,0.0157,-0.8216,0.05107,-0.186,-0.013,1.504,0.027,-23.448,0.806,,True,False,8,9.326,0.08,1.135,0.0,0.0,0.0,0.0,
0,1,,,,,,10.17,-0.011,-0.001,1.975,0.30613,0.00554,-0.95023,0.05756,-0.175,-0.013,1.268,-0.008,-23.377,0.307,,True,False,8,9.613,0.086,1.212,0.0,0.0,0.0,0.0,
0,1,,,,,,10.204,-0.014,-0.001,1.996,0.10108,-0.0053,-0.99319,0.05768,-0.17,-0.012,1.101,0.074,-23.332,0.018,,True,False,8,10.699,0.123,1.694,0.0,0.0,0.0,0.0,
0,1,,,,,,10.244,-0.024,0.0,2.019,0.03765,0.02003,-0.99906,-0.00722,-0.138,-0.017,-0.159,-2.839,-12.681,-3.342,,True,True,8,10.699,0.123,1.694,0.0,0.0,0.0,0.0,
0,1,,,,,,10.301,-0.024,-0.001,2.013,-0.00538,0.01414,-0.99982,0.01131,-0.033,-0.025,-0.106,0.171,-4.65,0.508,,True,True,8,-1.718,0.171,1.487,0.0,0.0,0.0,0.0,
0,1,,,,,,10.355,-0.023,-0.002,2.013,0.005,0.02211,-0.99971,0.00843,0.018,-0.008,-0.078,-0.947,-0.191,-0.872,,True,True,8,-1.718,0.171,1.487,0.0,0.0,0.0,0.0,
0,1,,,,,,10.408,-0.023,-0.002,2.013,0.00126,0.01931,-0.99976,0.01047,0.01,-0.013,-0.078,-0.156,-0.376,0.261,,True,True,8,-0.895,0.121,-0.261,0.0,0.0,0.0,0.0,
0,1,,,,,,10.449,-0.023,-0.002,2.013,0.00148,0.01972,-0.99975,0.01025,0.011,-0.011,-0.078,-0.381,-0.335,-0.129,,True,True,8,-0.895,0.121,-0.261,0.0,0.0,0.0,0.0,
0,1,,,,,,10.49,-0.023,-0.002,2.013,0.00152,0.02081,-0.99974,0.00972,0.01,-0.013,-0.078,-0.242,-0.363,0.138,,True,True,8,-0.894,0.146,-0.121,0.0,0.0,0.0,0.0,
0,1,,,,,,10.54,-0.023,-0.002,2.013,0.00138,0.02051,-0.99974,0.00986,0.011,-0.012,-0.078,-0.318,-0.351,-0.027,,True,True,8,-0.894,0.146,-0.121,0.0,0.0,0.0,0.0,
0,1,,,,,,10.61,-0.023,-0.002,2.013,0.00143,0.02042,-0.99974,0.00989,0.011,-0.012,-0.078,-0.32,-0.331,-0.018,,True,True,8,-0.894,0.133,-0.125,0.0,0.0,0.0,0.0,
0,1,,,,,,10.677,-0.023,-0.002,2.013,0.00145,0.02042,-0.99974,0.0099,0.011,-0.012,-0.078,-0.317,-0.335,-0.011,,True,True,8,-0.894,0.133,-0.125,0.0,0.0,0.0,0.0,
0,1,,,,,,10.718,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.313,-0.343,-0.004,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,10.774,-0.023,-0.002,2.013,0.00146,0.02042,-0.99974,0.0099,0.011,-0.012,-0.078,-0.315,-0.34,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,10.84,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,10.914,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.315,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.014,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.064,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.111,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.232,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.286,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.346,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.417,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.45,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,
0,1,,,,,,11.506,-0.023,-0.002,2.013,0.00146,0.02043,-0.99974,0.0099,0.011,-0.012,-0.078,-0.314,-0.341,-0.005,,True,True,8,-0.894,0.134,-0.123,0.0,0.0,0.0,0.0,

