k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
SIM,Note:
0,0,,,,,,3.511,0.0,-0.0,0.404,1.0,-0.0,-1e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,,False,False,8,-0.0,0.0,0.0,2495.0,2495.0,2495.0,2495.0,0.55,-0.0,-0.0,-0.0,
0,0,,,,,,3.512,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.03,0.0,2.653,0.0,0.0,0.0,,False,False,8,-0.0,0.0,0.0,2495.0,2495.0,2495.0,2495.0,0.55,-0.0,-0.0,-0.0,
0,0,,,,,,3.513,0.0,-0.0,0.408,1.0,-0.0,0.0,0.0,0.03,-0.0,2.656,-0.0,-0.0,0.0,,False,False,8,-0.0,0.0,0.0,1984.0,1955.0,1955.0,1984.0,0.343,0.0,-0.14,0.0,
0,0,,,,,,3.515,0.0,-0.0,0.408,1.0,-0.0,0.0,0.0,0.03,-0.0,2.656,-0.0,-0.0,0.0,,False,False,8,-0.0,0.0,0.0,1971.0,1942.0,1942.0,1971.0,0.338,0.0,-0.142,0.0,
0,0,,,,,,3.612,0.003,-0.0,0.666,0.99999,1e-05,-0.00337,5e-05,0.027,-0.0,2.663,-0.0,-0.062,-0.001,,False,False,8,1.84,0.0,-0.019,1950.0,1950.0,1951.0,1949.0,0.336,0.0,0.005,0.0,
0,0,,,,,,3.632,0.003,-0.0,0.669,0.99999,1e-05,-0.0034,5e-05,0.027,-0.0,2.663,-0.0,-0.062,-0.001,,False,False,8,1.91,0.0,-0.018,1949.0,1950.0,1951.0,1949.0,0.336,0.0,0.005,0.0,
0,0,,,,,,3.643,0.004,-0.0,0.749,0.99999,1e-05,-0.00425,4e-05,0.024,-0.0,2.664,-0.0,-0.052,-0.001,,False,False,8,1.948,0.0,-0.018,1949.0,1949.0,1950.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,3.644,0.004,-0.0,0.751,0.99999,1e-05,-0.00428,4e-05,0.024,-0.0,2.664,-0.0,-0.052,-0.001,,False,False,8,1.948,0.0,-0.018,1949.0,1949.0,1950.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,3.645,0.004,-0.0,0.754,0.99999,1e-05,-0.0043,4e-05,0.024,-0.0,2.664,-0.0,-0.051,-0.001,,False,False,8,1.948,0.0,-0.018,1949.0,1949.0,1950.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,3.663,0.004,-0.0,0.757,0.99999,1e-05,-0.00433,4e-05,0.024,-0.0,2.664,-0.0,-0.051,-0.001,,False,False,8,2.027,0.0,-0.018,1948.0,1949.0,1949.0,1947.0,0.336,0.0,0.006,0.0,
0,0,,,,,,3.664,0.004,-0.0,0.804,0.99999,0.0,-0.00476,3e-05,0.023,-0.0,2.664,-0.0,-0.045,-0.001,,False,False,8,2.027,0.0,-0.018,1948.0,1949.0,1949.0,1947.0,0.336,0.0,0.006,0.0,
0,0,,,,,,3.687,0.005,-0.0,0.866,0.99999,0.0,-0.00522,2e-05,0.02,-0.0,2.665,-0.0,-0.036,-0.001,,False,False,8,2.159,0.0,-0.017,1948.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.706,0.005,-0.0,0.866,0.99999,0.0,-0.00522,2e-05,0.02,-0.0,2.665,-0.0,-0.036,-0.001,,False,False,8,2.207,0.0,-0.016,1948.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.719,0.005,-0.0,0.927,0.99998,-0.0,-0.00559,1e-05,0.018,-0.0,2.665,-0.0,-0.028,-0.001,,False,False,8,2.309,0.0,-0.015,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
