k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
SIM,Note:
0,0,,,,,,3.524,0.0,0.0,0.404,1.0,1e-05,-4e-05,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,,False,False,8,-0.0,-0.0,0.0,2495.0,2495.0,2495.0,2495.0,0.55,0.0,0.0,0.0,
0,0,,,,,,3.565,0.001,-0.0,0.475,1.0,1e-05,-0.00073,3e-05,0.03,-0.0,2.663,0.0,-0.08,0.003,,False,False,8,1.652,0.0,-0.018,1947.0,1950.0,1948.0,1950.0,0.336,-0.0,0.003,-0.0,
0,0,,,,,,3.569,0.001,-0.0,0.475,1.0,1e-05,-0.00073,3e-05,0.03,-0.0,2.663,0.0,-0.08,0.003,,False,False,8,1.652,0.0,-0.018,1948.0,1950.0,1948.0,1949.0,0.336,-0.0,0.004,-0.0,
0,0,,,,,,3.572,0.001,-0.0,0.525,1.0,2e-05,-0.00148,5e-05,0.029,-0.0,2.664,-0.0,-0.078,0.001,,False,False,8,1.709,0.0,-0.019,1948.0,1949.0,1948.0,1948.0,0.336,0.0,0.004,0.0,
0,0,,,,,,3.583,0.001,-0.0,0.525,1.0,2e-05,-0.00148,5e-05,0.029,-0.0,2.664,-0.0,-0.078,0.001,,False,False,8,1.709,0.0,-0.019,1948.0,1949.0,1948.0,1948.0,0.336,-0.0,0.004,-0.0,
0,0,,,,,,3.59,0.002,-0.0,0.573,1.0,1e-05,-0.00216,6e-05,0.029,-0.0,2.664,-0.0,-0.073,0.0,,False,False,8,1.709,0.0,-0.019,1947.0,1949.0,1948.0,1948.0,0.336,0.0,0.005,0.0,
0,0,,,,,,3.595,0.002,-0.0,0.573,1.0,1e-05,-0.00216,6e-05,0.029,-0.0,2.664,-0.0,-0.073,0.0,,False,False,8,1.709,0.0,-0.019,1947.0,1949.0,1948.0,1948.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.6,0.002,-0.0,0.573,1.0,1e-05,-0.00216,6e-05,0.029,-0.0,2.664,-0.0,-0.073,0.0,,False,False,8,1.709,0.0,-0.019,1947.0,1949.0,1948.0,1948.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.602,0.002,-0.0,0.573,1.0,1e-05,-0.00216,6e-05,0.029,-0.0,2.664,-0.0,-0.073,0.0,,False,False,8,1.77,0.0,-0.019,1947.0,1949.0,1948.0,1948.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.635,0.003,-0.0,0.672,0.99999,1e-05,-0.00341,5e-05,0.027,-0.0,2.665,-0.0,-0.062,-0.001,,False,False,8,1.835,0.0,-0.019,1947.0,1948.0,1948.0,1947.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.64,0.003,-0.0,0.704,0.99999,1e-05,-0.00377,5e-05,0.026,-0.0,2.665,-0.0,-0.058,-0.001,,False,False,8,1.835,0.0,-0.019,1947.0,1948.0,1948.0,1947.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.642,0.003,-0.0,0.704,0.99999,1e-05,-0.00377,5e-05,0.026,-0.0,2.665,-0.0,-0.058,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.646,0.004,-0.0,0.746,0.99999,1e-05,-0.00421,4e-05,0.025,-0.0,2.665,-0.0,-0.053,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.658,0.004,-0.0,0.749,0.99999,1e-05,-0.00424,4e-05,0.025,-0.0,2.665,-0.0,-0.052,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.66,0.004,-0.0,0.749,0.99999,1e-05,-0.00424,4e-05,0.025,-0.0,2.665,-0.0,-0.052,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.661,0.004,-0.0,0.749,0.99999,1e-05,-0.00424,4e-05,0.025,-0.0,2.665,-0.0,-0.052,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.662,0.004,-0.0,0.749,0.99999,1e-05,-0.00424,4e-05,0.025,-0.0,2.665,-0.0,-0.052,-0.001,,False,False,8,1.905,0.0,-0.019,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.701,0.005,-0.0,0.866,0.99999,0.0,-0.00522,2e-05,0.021,-0.0,2.666,-0.0,-0.037,-0.001,,False,False,8,2.106,0.0,-0.017,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.702,0.005,-0.0,0.866,0.99999,0.0,-0.00522,2e-05,0.021,-0.0,2.666,-0.0,-0.037,-0.001,,False,False,8,2.199,0.0,-0.016,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.714,0.005,-0.0,0.917,0.99998,-0.0,-0.00553,2e-05,0.019,-0.0,2.666,-0.0,-0.03,-0.001,,False,False,8,2.248,0.0,-0.016,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.722,0.005,-0.0,0.917,0.99998,-0.0,-0.00553,2e-05,0.019,-0.0,2.666,-0.0,-0.03,-0.001,,False,False,8,2.248,0.0,-0.016,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.728,0.005,-0.0,0.917,0.99998,-0.0,-0.00553,2e-05,0.019,-0.0,2.666,-0.0,-0.03,-0.001,,False,False,8,2.3,0.0,-0.015,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.743,0.005,-0.0,0.968,0.99998,-0.0,-0.00578,1e-05,0.016,-0.0,2.666,-0.0,-0.023,-0.001,,False,False,8,2.3,0.0,-0.015,1946.0,1947.0,1947.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.746,0.005,-0.0,0.968,0.99998,-0.0,-0.00578,1e-05,0.016,-0.0,2.666,-0.0,-0.023,-0.001,,False,False,8,2.3,0.0,-0.015,1946.0,1947.0,1947.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.754,0.006,-0.0,1.016,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.666,-0.0,-0.016,-0.001,,False,False,8,2.411,0.0,-0.014,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.758,0.006,-0.0,1.016,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.666,-0.0,-0.016,-0.001,,False,False,8,2.411,0.0,-0.014,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.767,0.006,-0.0,1.016,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.666,-0.0,-0.016,-0.001,,False,False,8,2.411,0.0,-0.014,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.769,0.006,-0.0,1.016,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.666,-0.0,-0.016,-0.001,,False,False,8,2.411,0.0,-0.014,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.779,0.006,-0.0,1.064,0.99998,-1e-05,-0.00606,-1e-05,0.012,-0.0,2.666,-0.0,-0.009,-0.001,,False,False,8,2.533,0.0,-0.012,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.785,0.006,-0.0,1.064,0.99998,-1e-05,-0.00606,-1e-05,0.012,-0.0,2.666,-0.0,-0.009,-0.001,,False,False,8,2.533,0.0,-0.012,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.789,0.006,-0.0,1.109,0.99998,-1e-05,-0.00611,-1e-05,0.01,-0.0,2.666,-0.0,-0.003,-0.001,,False,False,8,2.533,0.0,-0.012,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.796,0.006,-0.0,1.114,0.99998,-1e-05,-0.00611,-1e-05,0.01,-0.0,2.666,-0.0,-0.003,-0.001,,False,False,8,2.668,0.0,-0.011,1946.0,1947.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,3.843,0.006,-0.0,1.215,0.99998,-1e-05,-0.00604,-2e-05,0.005,-0.0,2.666,-0.0,0.01,-0.001,,False,False,8,3.079,0.0,-0.005,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.858,0.007,-0.0,1.285,0.99998,-1e-05,-0.00586,-3e-05,0.002,-0.0,2.666,-0.0,0.018,-0.0,,False,False,8,3.079,0.0,-0.005,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.005,0.0,
0,0,,,,,,3.86,0.007,-0.0,1.287,0.99998,-1e-05,-0.00585,-3e-05,0.002,-0.0,2.666,-0.0,0.018,-0.0,,False,False,8,3.393,0.0,-0.002,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.872,0.007,-0.0,1.33,0.99998,-2e-05,-0.00568,-3e-05,0.001,0.0,2.666,-0.0,0.023,-0.0,,False,False,8,3.512,-0.0,-0.0,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.899,0.007,-0.0,1.375,0.99999,-2e-05,-0.00547,-4e-05,-0.001,0.0,2.666,-0.0,0.027,-0.0,,False,False,8,3.777,-0.0,0.003,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.911,0.006,-0.0,1.423,0.99999,-2e-05,-0.0052,-4e-05,-0.003,0.0,2.666,-0.0,0.031,-0.0,,False,False,8,3.777,-0.0,0.003,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.912,0.006,-0.0,1.423,0.99999,-2e-05,-0.0052,-4e-05,-0.003,0.0,2.666,-0.0,0.031,-0.0,,False,False,8,3.777,-0.0,0.003,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.927,0.006,-0.0,1.471,0.99995,0.00027,-0.01006,0.00025,-0.008,-0.0,2.641,0.135,-2.451,0.137,,False,False,8,4.086,-0.0,0.006,1946.0,1946.0,1947.0,1946.0,0.335,0.0,0.004,0.0,
0,0,,,,,,3.931,0.006,-0.0,1.471,0.99995,0.00027,-0.01006,0.00025,-0.008,-0.0,2.641,0.135,-2.451,0.137,,True,False,8,4.086,-0.0,0.006,2191.0,62.0,62.0,2191.0,0.212,0.0,-5.994,0.0,
0,0,,,,,,3.936,0.006,-0.0,1.471,0.99995,0.00027,-0.01006,0.00025,-0.008,-0.0,2.641,0.135,-2.451,0.137,,True,False,8,4.086,-0.0,0.006,2191.0,62.0,62.0,2191.0,0.212,0.0,-5.994,0.0,
