k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,Error
0,0,,,,,,3.75,1.211,0.0,0.925,0.99998,-0.0,-0.00646,0.0,2.869,0.0,1.979,0.0,0.015,-0.0,,False,False,10,1.687,-0.0,-2.446,9.657,-0.0,0.013,0.0,
0,0,,,,,,3.774,1.268,0.0,0.965,0.99998,-0.0,-0.00627,0.0,2.867,0.0,1.978,0.0,0.021,0.0,,False,False,10,1.745,-0.0,-2.529,9.658,-0.0,0.012,-0.0,
0,0,,,,,,3.787,1.325,0.0,1.004,0.99998,-0.0,-0.00603,0.0,2.864,0.0,1.978,-0.0,0.027,-0.0,,False,False,10,1.809,-0.0,-2.618,9.659,0.0,0.011,0.0,
0,0,,,,,,3.794,1.354,0.0,1.024,0.99998,-0.0,-0.00589,0.0,2.863,0.0,1.978,0.0,0.029,0.0,,False,False,10,1.842,-0.0,-2.665,9.659,-0.0,0.01,-0.0,
0,0,,,,,,3.804,1.354,0.0,1.024,0.99998,-0.0,-0.00589,0.0,2.863,0.0,1.978,0.0,0.029,0.0,,False,False,10,1.842,-0.0,-2.665,9.659,-0.0,0.01,-0.0,
0,0,,,,,,3.809,1.383,0.0,1.044,0.99998,-0.0,-0.00574,0.0,2.862,0.0,1.978,-0.0,0.032,-0.0,,False,False,10,1.876,-0.0,-2.714,9.659,0.0,0.01,0.0,
0,0,,,,,,3.815,1.383,0.0,1.044,0.99998,-0.0,-0.00574,0.0,2.862,0.0,1.978,-0.0,0.032,-0.0,,False,False,10,1.876,-0.0,-2.714,9.659,0.0,0.01,0.0,
0,0,,,,,,3.816,1.411,0.0,1.063,0.99998,-0.0,-0.00557,0.0,2.861,0.0,1.978,0.0,0.034,0.0,,False,False,10,1.912,-0.0,-2.765,9.66,-0.0,0.009,-0.0,
0,0,,,,,,3.833,1.44,0.0,1.083,0.99999,-0.0,-0.0054,0.0,2.86,0.0,1.978,-0.0,0.036,-0.0,,False,False,10,1.949,-0.0,-2.818,9.66,0.0,0.009,0.0,
0,0,,,,,,3.843,1.469,0.0,1.103,0.99999,-0.0,-0.00521,0.0,2.859,0.0,1.978,0.0,0.039,0.0,,False,False,10,1.988,-0.0,-2.873,9.66,0.0,0.008,-0.0,
0,0,,,,,,3.85,1.497,0.0,1.123,0.99999,-0.0,-0.00501,0.0,2.858,0.0,1.978,0.0,0.041,0.0,,False,False,10,2.028,-0.0,-2.93,9.66,-0.0,0.008,-0.0,
0,0,,,,,,3.858,1.526,0.0,1.143,0.99999,-0.0,-0.0048,0.0,2.857,0.0,1.978,-0.0,0.042,-0.0,,False,False,10,2.07,-0.0,-2.99,9.66,0.0,0.007,0.0,
0,0,,,,,,3.867,1.526,0.0,1.143,0.99999,-0.0,-0.0048,0.0,2.857,0.0,1.978,-0.0,0.042,-0.0,,False,False,10,2.07,-0.0,-2.99,9.66,0.0,0.007,0.0,
0,0,,,,,,3.869,1.554,0.0,1.162,0.99999,-0.0,-0.00459,0.0,2.856,0.0,1.978,0.0,0.044,0.0,,False,False,10,2.114,-0.0,-3.052,9.661,-0.0,0.006,-0.0,
0,0,,,,,,3.872,1.554,0.0,1.162,0.99999,-0.0,-0.00459,0.0,2.856,0.0,1.978,0.0,0.044,0.0,,False,False,10,2.114,-0.0,-3.052,9.661,-0.0,0.006,-0.0,
0,0,,,,,,3.893,1.611,0.0,1.202,0.99999,-0.0,-0.00413,0.0,2.854,0.0,1.978,-0.0,0.047,-0.0,,False,False,10,2.207,-0.0,-3.185,9.661,0.0,0.005,0.0,
0,0,,,,,,3.914,1.668,0.0,1.241,0.99999,-0.0,-0.00364,0.0,2.853,0.0,1.978,-0.0,0.05,0.0,,False,False,10,2.309,-0.0,-3.33,9.661,0.0,0.004,-0.0,
0,0,,,,,,3.921,1.697,0.0,1.261,0.99999,-0.0,-0.00339,0.0,2.852,0.0,1.978,0.0,0.051,-0.0,,False,False,10,2.364,-0.0,-3.408,9.662,-0.0,0.003,0.0,
0,0,,,,,,3.935,1.754,0.0,1.301,1.0,-0.0,-0.00288,0.0,2.851,0.0,1.978,-0.0,0.052,0.0,,False,False,10,2.421,-0.0,-3.49,9.662,0.0,0.002,-0.0,
0,0,,,,,,3.943,1.754,0.0,1.301,1.0,-0.0,-0.00288,0.0,2.851,0.0,1.978,-0.0,0.052,0.0,,False,False,10,2.481,-0.0,-3.576,9.662,0.0,0.002,-0.0,
0,0,,,,,,3.975,1.84,0.0,1.36,1.0,-0.0,-0.00208,0.0,2.849,0.0,1.978,-0.0,0.054,0.0,,False,False,10,2.681,-0.0,-3.862,9.662,0.0,0.0,-0.0,
0,0,,,,,,3.989,1.896,0.0,1.4,1.0,-0.0,-0.00154,0.0,2.849,0.0,1.978,-0.0,0.054,-0.0,,False,False,10,2.833,-0.0,-4.079,9.662,0.0,-0.001,-0.0,
0,0,,,,,,3.991,1.896,0.0,1.4,1.0,-0.0,-0.00154,0.0,2.849,0.0,1.978,-0.0,0.054,-0.0,,False,False,10,2.833,-0.0,-4.079,9.662,0.0,-0.001,-0.0,
0,0,,,,,,3.993,1.896,0.0,1.4,1.0,-0.0,-0.00154,0.0,2.849,0.0,1.978,-0.0,0.054,-0.0,,False,False,10,2.833,-0.0,-4.079,9.662,0.0,-0.001,-0.0,
0,0,,,,,,4.002,1.925,0.0,1.42,1.0,-0.0,-0.00128,0.0,2.848,0.0,1.978,-0.0,0.054,0.0,,False,False,10,2.915,-0.0,-4.198,9.663,0.0,-0.002,-0.0,
0,0,,,,,,4.021,1.982,0.0,1.459,1.0,-0.0,-0.00074,0.0,2.848,0.0,1.978,-0.0,0.053,0.0,,False,False,10,3.096,-0.0,-4.457,9.663,0.0,-0.003,-0.0,
0,0,,,,,,4.037,2.01,0.0,1.479,1.0,-0.0,-0.00048,0.0,2.848,0.0,1.978,0.0,0.052,-0.0,,False,False,10,3.195,-0.0,-4.599,9.663,-0.0,-0.003,0.0,
0,0,,,,,,4.042,2.039,0.0,1.499,1.0,-0.0,-0.00022,0.0,2.848,0.0,1.978,0.0,0.052,0.0,,False,False,10,3.3,-0.0,-4.751,9.663,0.0,-0.004,-0.0,
0,0,,,,,,4.05,2.067,0.0,1.518,1.0,-0.0,4e-05,0.0,2.848,0.0,1.978,-0.0,0.051,-0.0,,False,False,10,3.413,-0.0,-4.913,9.663,0.0,-0.004,0.0,
0,0,,,,,,4.052,2.067,0.0,1.518,1.0,-0.0,4e-05,0.0,2.848,0.0,1.978,-0.0,0.051,-0.0,,False,False,10,3.413,-0.0,-4.913,9.663,0.0,-0.004,0.0,
0,0,,,,,,4.08,2.153,0.0,1.578,1.0,-0.0,0.00078,0.0,2.848,0.0,1.978,0.0,0.048,0.0,,False,False,10,3.802,-0.0,-5.474,9.663,-0.0,-0.006,-0.0,
0,0,,,,,,4.086,2.181,0.0,1.598,1.0,-0.0,0.00102,0.0,2.848,0.0,1.978,-0.0,0.047,-0.0,,False,False,10,3.952,-0.0,-5.691,9.663,0.0,-0.006,0.0,
0,0,,,,,,4.101,2.21,0.0,1.617,1.0,-0.0,0.00125,0.0,2.848,0.0,1.978,-0.0,0.045,0.0,,False,False,10,4.115,-0.0,-5.925,9.663,0.0,-0.007,-0.0,
0,0,,,,,,4.115,2.267,0.0,1.657,1.0,-0.0,0.00169,0.0,2.849,0.0,1.978,-0.0,0.043,-0.0,,False,False,10,4.292,-0.0,-6.18,9.663,0.0,-0.007,0.0,
0,0,,,,,,4.132,2.295,0.0,1.677,1.0,-0.0,0.0019,0.0,2.849,0.0,1.978,-0.0,0.041,-0.0,,False,False,10,4.695,-0.0,-6.762,9.663,0.0,-0.008,0.0,
0,0,,,,,,4.147,2.352,0.0,1.716,1.0,-0.0,0.00095,0.0,2.849,0.0,1.951,-0.0,-0.719,0.0,,True,False,10,5.097,-0.0,-7.458,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.167,2.437,0.0,1.773,0.99917,-0.0,-0.04077,0.0,2.832,0.0,1.84,0.0,-4.827,0.0,,True,False,10,5.648,-0.0,-8.705,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.196,2.494,0.0,1.809,0.99458,-0.0,-0.104,0.0,2.808,0.0,1.769,0.0,-7.726,0.0,,True,False,10,6.102,-0.0,-9.7,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.231,2.577,0.0,1.86,0.96787,-0.0,-0.25145,0.0,2.733,0.0,1.649,0.0,-12.151,0.0,,True,False,10,6.906,-0.0,-11.463,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.237,2.604,0.0,1.876,0.94953,-0.0,-0.31368,0.0,2.696,0.0,1.602,0.0,-13.66,0.0,,True,False,10,7.196,-0.0,-12.13,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.244,2.631,0.0,1.892,0.92431,-0.0,-0.38163,0.0,2.652,0.0,1.549,0.0,-15.188,0.0,,True,False,10,7.485,-0.0,-12.837,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.267,2.683,0.0,1.922,0.84739,-0.0,-0.53097,0.0,2.547,0.0,1.421,0.0,-18.313,0.0,,True,False,10,7.998,-0.0,-14.381,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.271,2.683,0.0,1.922,0.84739,-0.0,-0.53097,0.0,2.547,0.0,1.421,0.0,-18.313,0.0,,True,False,10,7.998,-0.0,-14.381,0.0,0.0,-12.591,0.0,
0,0,,,,,,4.276,2.683,0.0,1.922,0.84739,-0.0,-0.53097,0.0,2.547,0.0,1.421,0.0,-18.313,0.0,,True,False,10,7.998,-0.0,-14.381,0.0,0.0,-12.591,0.0,

0,0,[0 0],[0 0],[4.75 8.21],[0. 0.],[4.75 8.21 0.  ],,,,,,,,,2.87,0,2.01,,,,169.12,[   1.98 -200.83 -201.06],,,,,,,,,,Rollout Completed: Pitch Timeout
0,0,,,,,,4.142,2.324,0.0,1.696,1.0,-0.0,0.0021,0.0,2.85,0.0,1.978,0.0,0.039,-0.0,,,,,4.926,-7.096,-7.096,0.0,0.0,-12.591,0.0,Flip Data
0,0,,,,,,4.318,2.733,0.0,1.949,0.72501,0.0,-0.68874,0.0,2.425,0.0,1.249,0.0,-21.55,0.0,True,False,[4 1 2 3],,17.22,11.169,3.295,,,,,Impact Data

