k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,x_Ext,y_Ext,z_Ext,qw_Ext,qx_Ext,qy_Ext,qz_Ext,vx_Ext,vy_Ext,vz_Ext,wx_Ext,wy_Ext,wz_Ext,Error,x_Raw,y_Raw,z_Raw,qw_Raw,qx_Raw,qy_Raw,qz_Raw
EXP,Note:This converged on a suboptimal policy. The RREV should have been higher for better performance
0,0,,,,,,7.47,-0.301,0.205,0.147,-0.072,0.721,0.689,0.011,0.313,-0.325,-0.026,0.002,-0.001,0.001,,False,,8,-0.013,-0.167,0.16,0.0,0.0,0.0,0.0,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.921,-0.343,0.25,0.153,1,0,0,0,-0.0,0.0,0.0,-0.0,0.0,-0.001,,-0.343,0.25,0.153,-0.013,0.754,0.656,0.008
0,0,[0 0],[0 0],[4.2 5. ],[1.5 1.5],[3.59 5.74 0.  ],,,,,,,,,0.0,0,2.5,,,,0.7,[0.15 1.28 0.  ],,8,,,,,,,,,,,,,,,,,3.927,,,,,,,,,,,,,,Failed Rollout,,,,,,,
0,0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-32.767,-32.767,0.0,-32.767,-32.767,0.0,,,,,0.0,-32.767,-32.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flip Data,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impact Data,,,,,,,

0,0,,,,,,36.15,-0.264,0.002,0.398,1.0,0.001,0.003,0.029,0.073,-0.023,0.03,0.0,-0.368,-0.019,,False,,8,0.018,-0.014,0.043,13.2,-0.025,0.54,0.163,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,3.024,-0.258,0.0,0.395,1,0,0,0,0.076,-0.033,-0.007,-0.966,6.109,-2.032,,-0.258,0.0,0.395,0.997,-0.024,0.04,0.061
0,0,,,,,,36.16,-0.264,0.002,0.398,1.0,0.001,0.003,0.029,0.073,-0.023,0.03,0.0,-0.368,-0.019,,False,,8,0.018,-0.014,0.043,13.2,-0.025,0.54,0.163,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,3.024,-0.258,0.0,0.395,1,0,0,0,0.076,-0.033,-0.007,-0.966,6.109,-2.032,,-0.258,0.0,0.395,0.997,-0.024,0.04,0.061
0,0,,,,,,36.17,-0.263,0.002,0.398,1.0,0.001,0.0,0.028,0.073,-0.023,0.04,-0.043,-0.362,-0.013,,False,,8,0.023,-0.014,0.043,13.157,0.021,0.518,0.14,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,2.95,-0.258,0.0,0.395,1,0,0,0,0.072,-0.032,-0.008,-0.985,6.178,-1.991,,-0.258,0.0,0.395,0.997,-0.018,0.035,0.062
0,0,,,,,,36.18,-0.262,0.002,0.398,1.0,0.001,-0.001,0.028,0.076,-0.024,0.054,-0.144,-0.315,-0.03,,False,,8,0.032,-0.014,0.044,13.171,0.144,0.488,0.218,-0.25,0.0,0.4,0.0,0.0,0.017,0.0,0.0,4.3,2.95,-0.257,0.0,0.395,1,0,0,0,0.069,-0.03,-0.007,-0.989,6.2,-1.941,,-0.257,-0.0,0.396,0.997,-0.021,0.037,0.065
0,0,,,,,,36.19,-0.261,0.001,0.399,1.0,0.001,-0.003,0.028,0.075,-0.024,0.074,-0.177,-0.306,-0.026,,False,,8,0.043,-0.014,0.044,13.2,0.215,0.454,0.206,-0.25,0.0,0.4,0.0,0.0,0.06,0.0,0.0,4.3,2.897,-0.257,-0.0,0.395,1,0,0,0,0.066,-0.03,-0.004,-0.988,6.189,-1.882,,-0.257,-0.0,0.396,0.997,-0.02,0.031,0.063
0,0,,,,,,36.2,-0.26,0.001,0.399,1.0,0.0,-0.004,0.028,0.075,-0.024,0.095,-0.218,-0.278,-0.026,,False,,8,0.056,-0.014,0.044,13.2,0.215,0.454,0.206,-0.25,0.0,0.4,0.0,0.0,0.06,0.0,0.0,4.3,2.897,-0.257,-0.0,0.396,1,0,0,0,0.064,-0.029,-0.0,-0.981,6.137,-1.816,,-0.256,-0.0,0.397,0.997,-0.025,0.035,0.06
0,0,,,,,,36.21,-0.259,0.001,0.4,1.0,-0.001,-0.006,0.028,0.074,-0.024,0.12,-0.26,-0.221,-0.006,,False,,8,0.07,-0.014,0.043,13.2,0.346,0.345,0.133,-0.25,0.0,0.402,0.0,0.0,0.146,0.0,0.0,4.3,2.855,-0.256,-0.0,0.396,1,0,0,0,0.063,-0.028,0.005,-0.978,6.063,-1.747,,-0.256,-0.001,0.398,0.997,-0.03,0.034,0.063
0,0,,,,,,36.22,-0.258,0.0,0.4,1.0,-0.001,-0.007,0.028,0.073,-0.024,0.147,-0.259,-0.146,-0.008,,False,,8,0.086,-0.015,0.043,13.2,0.382,0.229,0.144,-0.25,0.0,0.404,0.0,0.0,0.189,0.0,0.0,4.3,2.845,-0.256,-0.001,0.397,1,0,0,0,0.062,-0.027,0.012,-0.974,5.962,-1.67,,-0.255,-0.001,0.4,0.997,-0.019,0.028,0.064
