k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,x_Ext,y_Ext,z_Ext,qw_Ext,qx_Ext,qy_Ext,qz_Ext,vx_Ext,vy_Ext,vz_Ext,wx_Ext,wy_Ext,wz_Ext,Error,x_Raw,y_Raw,z_Raw,qw_Raw,qx_Raw,qy_Raw,qz_Raw
0,0,,,,,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,,False,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.022,0.071,0.19,1,0,0,0,-0.0,-0.003,-0.016,0.177,0.179,0.001,,0,0,0,0,0,0,0
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.012,-0.024,0.0,-0.002,0.001,0.0,,False,,0,0.0,-0.013,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.048,0.022,0.071,0.19,1,0,0,0,-0.0,-0.003,-0.016,0.198,0.202,0.0,,0.022,0.071,0.19,0.995,0.078,0.055,0.009
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.012,-0.024,0.0,-0.002,0.001,0.0,,False,,0,0.0,-0.013,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.048,0.022,0.071,0.19,1,0,0,0,-0.0,-0.003,-0.015,0.216,0.221,-0.0,,0.022,0.071,0.19,0.995,0.078,0.055,0.01
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.012,-0.024,0.0,-0.002,0.001,0.0,,False,,0,0.0,-0.013,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.048,0.013,0.075,0.191,1,0,0,0,-0.077,0.029,0.001,0.076,-1.39,0.548,,0.001,0.08,0.194,-0.043,0.376,0.925,0.032
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.012,-0.025,0.0,-0.008,0.0,-0.143,,False,,0,0.0,-0.013,-0.007,3.416,0.558,-0.151,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.043,0.007,0.077,0.192,1,0,0,0,-0.117,0.045,0.01,-0.048,-2.813,1.04,,0.001,0.08,0.194,-0.043,0.377,0.925,0.032
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.012,-0.025,0.0,0.024,-0.002,0.009,,False,,0,0.0,-0.013,-0.007,3.423,0.533,-0.143,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.811,0.004,0.079,0.193,1,0,0,0,-0.135,0.053,0.015,-0.158,-4.063,1.48,,0.001,0.08,0.194,-0.044,0.378,0.924,0.036
0,0,,,,,,0.0,0.02,0.068,0.191,0.995,0.021,-0.014,0.101,-0.014,-0.027,0.0,-0.025,0.043,0.048,,False,,0,0.0,-0.014,-0.008,3.406,0.565,-0.193,-2.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.689,0.011,0.076,0.193,1,0,0,0,-0.063,0.026,0.011,-0.13,-3.554,1.275,,0.022,0.072,0.192,0.999,0.037,0.012,0.01
0,0,,,,,,0.0,0.019,0.068,0.191,0.995,0.021,-0.014,0.101,-0.017,-0.025,0.001,0.031,-0.049,-0.196,,False,,0,0.0,-0.013,-0.009,3.398,0.592,0.006,-1.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.016,0.074,0.193,1,0,0,0,-0.021,0.01,0.009,-0.108,-3.083,1.087,,0.022,0.072,0.192,0.999,0.037,0.012,0.01
0,0,,,,,,0.0,0.017,0.069,0.191,0.995,0.021,-0.014,0.101,-0.024,-0.021,0.001,0.015,0.003,0.258,,False,,0,0.0,-0.011,-0.013,3.373,0.605,-0.043,-3.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842,0.018,0.073,0.192,1,0,0,0,0.003,0.0,0.007,-0.096,-2.648,0.922,,0.022,0.072,0.192,0.999,0.037,0.012,0.01
0,0,,,,,,0.0,0.017,0.069,0.191,0.995,0.021,-0.014,0.101,-0.024,-0.021,0.001,0.015,0.003,0.258,,False,,0,0.0,-0.011,-0.013,3.373,0.605,-0.043,-3.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842,0.02,0.073,0.192,1,0,0,0,0.017,-0.005,0.006,-0.092,-2.25,0.779,,0.022,0.072,0.192,0.999,0.04,0.01,0.01
