k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,0.824,0.000,0.000,--,--,--,0.000,0.000,0.283,0.000,0.000,-0.301,-0.000,0.000,0.000,1.000,-0.000,0.000,0.000,-0.000,0.000,0.000,False,False,0.000,0.000,-0.041,nan,0.000,-0.000,1.806,0.442,0.000,-0.000,-0.000,11.270,11.269,11.269,11.270,49884,49883,49883,49884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,--
0,0,0.843,0.000,0.000,--,--,--,0.000,0.000,0.277,0.000,0.000,-0.288,-0.000,0.000,0.000,1.000,-0.000,0.000,0.000,-0.000,0.001,0.000,False,False,0.000,-0.001,0.030,nan,0.000,-0.000,1.812,0.437,0.000,-0.000,-0.000,11.139,11.138,11.138,11.139,49596,49595,49595,49596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,--
0,0,0.863,0.000,0.000,--,--,--,0.000,0.000,0.271,0.000,0.000,-0.268,-0.000,0.000,0.000,1.000,-0.000,0.000,0.000,-0.000,0.001,0.000,False,False,1.024,-0.006,-6.801,0.591,0.000,0.000,1.480,1.304,0.000,-0.000,-0.000,13.500,13.500,13.500,13.500,54455,54454,54454,54455,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.883,0.000,0.000,--,--,--,-0.000,0.000,0.648,-0.000,0.000,2.529,-0.000,-0.000,-0.000,1.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,False,False,0.605,-0.000,0.056,0.564,0.000,-0.000,1.430,0.325,0.000,0.000,-0.000,8.273,8.273,8.273,8.273,42514,42514,42514,42514,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.904,0.000,0.000,--,--,--,-0.000,0.000,0.699,-0.000,0.000,2.555,-0.000,-0.000,-0.000,1.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,False,False,0.563,0.000,0.441,0.539,0.000,-0.000,1.379,0.314,0.000,0.000,-0.000,7.999,7.999,7.999,7.999,41733,41733,41733,41733,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.924,0.000,0.000,--,--,--,-0.000,0.000,0.750,-0.000,0.000,2.574,-0.000,-0.000,0.000,1.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,False,False,0.520,-0.001,-0.974,0.516,0.000,-0.000,1.330,0.306,0.000,0.000,-0.000,7.788,7.788,7.788,7.788,41116,41116,41116,41116,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.943,0.000,0.000,--,--,--,-0.000,0.000,0.802,-0.000,0.000,2.587,-0.000,-0.000,0.000,1.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,False,False,0.496,-0.001,-0.375,0.494,0.000,-0.000,1.279,0.300,0.000,0.000,-0.000,7.638,7.638,7.638,7.638,40666,40667,40667,40666,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.963,0.000,0.000,--,--,--,-0.000,0.000,0.853,-0.000,0.000,2.594,-0.000,-0.000,0.000,1.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,False,False,0.492,0.001,1.143,0.473,0.000,-0.000,1.227,0.296,0.000,0.000,-0.000,7.538,7.538,7.538,7.538,40362,40362,40362,40362,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,0.984,0.000,0.000,--,--,--,-0.000,0.000,0.905,-0.000,0.000,2.594,-0.000,-0.000,0.000,1.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,False,False,0.483,0.000,0.844,0.452,0.000,-0.000,1.172,0.294,0.000,-0.000,-0.000,7.482,7.482,7.482,7.482,40191,40190,40190,40191,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
0,0,1.004,0.000,0.000,--,--,--,-0.000,0.000,0.957,-0.000,0.000,2.590,-0.000,-0.000,0.000,1.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,False,False,0.453,0.000,0.004,0.433,0.000,-0.000,1.120,0.293,0.000,-0.000,-0.000,7.474,7.474,7.474,7.474,40168,40167,40167,40168,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,4.000,--
