Step,Value,Episode
101,0.037,4
139,0.142,8
208,0.248,12
254,0.265,16
307,0.220,20
410,0.233,24
499,0.219,28
586,0.203,32
706,0.191,36
720,0.178,40
888,0.163,44
976,0.157,48
1124,0.152,52
1264,0.142,56
1432,0.134,60
1602,0.129,64
1771,0.122,68
1941,0.117,72
2108,0.111,76
2246,0.108,80
2414,0.104,84
2586,0.101,88
2753,0.098,92
2924,0.096,96
3093,0.095,100
3261,0.093,104
3429,0.085,108
3597,0.067,112
3766,0.056,116
3934,0.056,120
4100,0.045,124
4267,0.039,128
4430,0.039,132
4599,0.036,136
4764,0.034,140
4934,0.036,144
5098,0.033,148
5265,0.031,152
5433,0.031,156
5600,0.033,160
5767,0.034,164
5928,0.037,168
6095,0.036,172
6263,0.036,176
6432,0.035,180
6598,0.035,184
6765,0.034,188
6922,0.034,192
7090,0.034,196
7259,0.034,200
7425,0.036,204
7578,0.038,208
7735,0.040,212
7888,0.042,216
8011,0.046,220
8142,0.050,224
8277,0.054,228
8409,0.057,232
8531,0.060,236
8640,0.073,240
8784,0.075,244
8881,0.085,248
8962,0.089,252
9043,0.110,256
9160,0.113,260
9279,0.121,264
9384,0.125,268
9474,0.129,272
9543,0.134,276
9667,0.143,280
9755,0.156,284
9880,0.165,288
9958,0.177,292
10068,0.188,296
10126,0.192,300
10218,0.200,304
10325,0.206,308
10403,0.209,312
10495,0.217,316
10586,0.217,320
10660,0.216,324
10776,0.219,328
10839,0.217,332
10935,0.231,336
11029,0.223,340
11101,0.234,344
11164,0.235,348
11219,0.249,352
11297,0.231,356
11369,0.230,360
11405,0.223,364
11477,0.226,368
11507,0.231,372
11594,0.248,376
11648,0.242,380
11720,0.239,384
11752,0.232,388
11819,0.231,392
11923,0.232,396
12057,0.229,400
12101,0.228,404
12147,0.234,408
12223,0.236,412
12274,0.236,416
12317,0.244,420
12363,0.249,424
12470,0.247,428
12532,0.258,432
12600,0.244,436
12666,0.242,440
12703,0.242,444
12739,0.239,448
12816,0.232,452
12862,0.241,456
12928,0.245,460
12973,0.251,464
13001,0.247,468
13052,0.247,472
13078,0.229,476
13149,0.229,480
13190,0.227,484
13291,0.231,488
13325,0.223,492
13356,0.211,496
13385,0.212,500
13447,0.205,504
13471,0.193,508
13524,0.201,512
13569,0.204,516
13603,0.197,520
13664,0.194,524
13713,0.220,528
13770,0.207,532
13806,0.221,536
13837,0.230,540
13892,0.217,544
13923,0.211,548
13969,0.227,552
14005,0.217,556
14032,0.212,560
14094,0.215,564
14130,0.217,568
14144,0.210,572
14174,0.216,576
14202,0.215,580
14237,0.210,584
14295,0.215,588
14332,0.220,592
14365,0.225,596
14428,0.234,600
14450,0.233,604
14479,0.233,608
14524,0.220,612
14546,0.209,616
14557,0.204,620
14574,0.200,624
14627,0.173,628
14656,0.173,632
14757,0.162,636
14777,0.153,640
14804,0.154,644
14848,0.153,648
14869,0.132,652
14892,0.132,656
14964,0.140,660
14999,0.135,664
15040,0.130,668
15069,0.131,672
15108,0.130,676
15145,0.135,680
15179,0.137,684
15220,0.137,688
15244,0.131,692
15294,0.141,696
15336,0.139,700
15353,0.139,704
15385,0.157,708
15438,0.159,712
15499,0.165,716
15562,0.172,720
15570,0.172,724
15627,0.178,728
15647,0.178,732
15673,0.178,736
15696,0.178,740
15711,0.178,744
15758,0.178,748
15807,0.174,752
15847,0.175,756
15871,0.175,760
15884,0.170,764
15932,0.168,768
15977,0.167,772
16018,0.163,776
16055,0.158,780
16080,0.162,784
16095,0.153,788
16103,0.152,792
16110,0.136,796
16128,0.137,800
16150,0.143,804
16186,0.133,808
16203,0.130,812
16242,0.125,816
16260,0.125,820
16283,0.125,824
16299,0.118,828
16315,0.118,832
16330,0.113,836
16348,0.113,840
16365,0.113,844
16379,0.112,848
16415,0.119,852
16438,0.119,856
16456,0.110,860
16470,0.110,864
16486,0.111,868
16496,0.111,872
16517,0.110,876
16535,0.110,880
16553,0.101,884
16557,0.100,888
16585,0.105,892
16615,0.113,896
16667,0.104,900
16682,0.097,904
16697,0.090,908
16717,0.090,912
16722,0.088,916
16738,0.081,920
16758,0.081,924
16778,0.090,928
16805,0.100,932
16823,0.099,936
16838,0.099,940
16845,0.099,944
16865,0.105,948
16881,0.098,952
16893,0.096,956
16916,0.097,960
16937,0.097,964
16943,0.095,968
16966,0.095,972
16999,0.097,976
17027,0.107,980
17065,0.113,984
17080,0.114,988
17107,0.116,992
17120,0.109,996
17139,0.109,1000
17159,0.109,1004
17190,0.114,1008
17196,0.113,1012
17223,0.116,1016
17253,0.121,1020
17282,0.121,1024
17288,0.112,1028
17304,0.103,1032
17323,0.103,1036
17352,0.112,1040
17378,0.117,1044
17390,0.110,1048
17408,0.110,1052
17425,0.111,1056
17446,0.110,1060
17465,0.110,1064
17487,0.112,1068
17497,0.111,1072
17524,0.115,1076
17549,0.115,1080
17578,0.122,1084
17589,0.122,1088
17595,0.115,1092
17622,0.119,1096
17658,0.133,1100
17678,0.142,1104
17716,0.145,1108
17732,0.146,1112
17756,0.150,1116
17776,0.155,1120
17786,0.154,1124
17804,0.155,1128
17820,0.155,1132
17839,0.159,1136
17867,0.155,1140
17878,0.150,1144
17892,0.150,1148
17923,0.161,1152
17937,0.161,1156
17958,0.162,1160
17969,0.162,1164
17983,0.160,1168
18002,0.161,1172
18032,0.158,1176
18043,0.149,1180
18062,0.135,1184
18074,0.135,1188
18095,0.142,1192
18127,0.145,1196
18140,0.131,1200
18145,0.121,1204
18167,0.113,1208
18177,0.113,1212
18202,0.111,1216
18223,0.109,1220
18244,0.118,1224
18265,0.118,1228
18273,0.118,1232
18293,0.122,1236
18347,0.117,1240
18381,0.127,1244
18393,0.127,1248
18401,0.115,1252
18409,0.114,1256
18417,0.113,1260
18425,0.113,1264
18444,0.113,1268
18465,0.120,1272
18486,0.116,1276
18529,0.135,1280
18582,0.145,1284
18617,0.151,1288
18631,0.145,1292
18645,0.137,1296
18649,0.137,1300
18653,0.137,1304
18673,0.145,1308
18695,0.152,1312
18714,0.149,1316
18727,0.143,1320
18731,0.133,1324
18748,0.141,1328
18770,0.150,1332
18785,0.142,1336
18798,0.142,1340
18805,0.132,1344
18811,0.132,1348
18816,0.132,1352
18824,0.132,1356
18828,0.132,1360
18840,0.132,1364
18844,0.131,1368
18849,0.124,1372
18855,0.123,1376
18876,0.116,1380
18880,0.105,1384
18895,0.099,1388
18919,0.099,1392
18940,0.100,1396
18952,0.101,1400
18962,0.101,1404
18968,0.091,1408
18980,0.085,1412
18996,0.083,1416
19000,0.083,1420
19013,0.084,1424
19021,0.075,1428
19045,0.066,1432
19063,0.066,1436
19079,0.066,1440
19083,0.066,1444
19094,0.066,1448
19100,0.066,1452
19122,0.071,1456
19142,0.072,1460
19189,0.083,1464
19194,0.083,1468
19206,0.083,1472
19214,0.083,1476
19227,0.072,1480
19231,0.072,1484
19245,0.072,1488
19264,0.072,1492
19269,0.071,1496
19281,0.071,1500
19298,0.073,1504
19325,0.074,1508
19365,0.075,1512
19389,0.075,1516
19428,0.078,1520
19454,0.078,1524
19497,0.085,1528
19531,0.087,1532
19553,0.087,1536
19574,0.087,1540
19590,0.088,1544
19636,0.090,1548
19683,0.101,1552
19715,0.101,1556
19739,0.107,1560
19769,0.097,1564
19814,0.100,1568
19839,0.106,1572
19880,0.114,1576
19917,0.116,1580
19964,0.129,1584
19996,0.145,1588
20009,0.144,1592
20047,0.155,1596
20072,0.155,1600
20131,0.157,1604
20161,0.163,1608
20201,0.171,1612
20242,0.181,1616
