vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.5,30.0,0.35,0.1,0.2421,-11.5043,0.1177,-7.8423,0.4981,1.3614,0.0048,0.4156,0.004,0.1084,0.0242,0.0235,[4.395 4.853],[0.968 0.163]
1.5,33.75,0.7,0.1,0.2244,-9.1505,0.1408,-7.8791,0.6371,1.2899,0.0079,0.7674,0.011,0.1142,0.0613,0.024,[4.855 5.774],[0.659 1.321]
1.5,37.5,0.25,0.0,0.1324,-4.4288,0.1006,-7.8504,0.4556,0.737,0.1082,3.6962,0.0835,0.0614,0.3791,0.6018,[5.041 3.434],[0.584 1.707]
1.5,41.25,0.1,0.0,0.2145,-6.772,0.1705,-7.956,0.8055,1.16,0.0035,0.073,0.0045,0.03,0.0405,0.017,[4.642 4.018],[0.817 1.006]
1.5,45.0,0.15,0.0,0.142,-3.918,0.1243,-7.8307,0.5877,0.7327,0.1005,2.7734,0.0881,0.0374,0.4156,0.5182,[3.677 4.737],[1.385 0.468]
1.5,48.75,0.7,0.0,0.1865,-4.2251,0.1764,-7.8881,0.8153,0.8714,0.0762,1.7509,0.0729,0.0858,0.3358,0.3562,[2.968 3.878],[2.15  1.368]
1.5,52.5,0.8,0.2,0.2037,-4.0429,0.2052,-7.9342,0.9476,0.8886,0.0526,1.0581,0.0536,0.0459,0.2472,0.2301,[4.253 5.338],[1.412 1.288]
1.5,56.25,0.5,0.5,0.2182,-3.7866,0.2265,-7.8723,1.042,0.8592,0.0021,0.2021,0.0086,0.1058,0.0355,0.0189,[4.681 5.671],[0.978 0.769]
1.5,60.0,0.35,0.4,0.1549,-2.4209,0.1637,-7.8764,0.756,0.5571,0.098,1.5322,0.1037,0.0823,0.479,0.3526,[4.259 3.647],[1.537 1.463]
1.5,63.75,0.3,0.55,0.1803,-2.3503,0.201,-7.8852,0.9303,0.5682,0.0807,1.0545,0.09,0.1524,0.4172,0.2543,[3.637 6.088],[1.832 1.72 ]
1.5,71.25,0.05,0.95,0.216,-1.883,0.264,-7.738,1.229,0.497,0.0,0.0,0.0,0.0,0.0,0.0,[4.803 7.265],[0.829 2.604]
1.5,75.0,0.25,0.65,0.1748,-1.175,0.2156,-7.852,0.99,0.3172,0.0874,0.5883,0.108,0.0464,0.4965,0.1588,[5.061 5.299],[0.247 1.663]
1.5,82.5,0.25,0.75,0.1774,-2.1708,0.68,-7.7396,0.8148,0.919,0.0887,2.8983,0.7875,0.1557,0.9562,1.42,[4.507 6.82 ],[0.736 2.102]
1.5,86.25,0.3,0.65,0.1873,-0.2958,0.2398,-7.7127,1.0672,0.0857,0.0838,0.1327,0.1073,0.1328,0.4778,0.0384,[3.928 6.288],[1.705 1.612]
1.5,90.0,0.65,0.2,0.2272,0.003,0.3089,-7.7795,1.3612,-0.0015,0.0033,0.0219,0.0111,0.3643,0.054,0.0081,[3.978 3.686],[1.136 1.553]
1.6,30.0,0.5,0.1,0.2137,-9.8478,0.1171,-7.8827,0.5031,1.2844,0.0717,3.3353,0.0397,0.048,0.174,0.4286,[5.203 4.599],[0.644 1.048]
1.6,33.75,0.55,0.0,0.2251,-8.8265,0.1557,-7.8696,0.6996,1.3791,0.0067,0.6444,0.0099,0.0748,0.0579,0.0216,[4.815 5.413],[0.729 0.555]
1.6,45.0,0.8,0.0,0.2006,-5.2435,0.1957,-7.8718,0.9184,1.0997,0.0519,1.38,0.0515,0.1077,0.2398,0.2843,[4.656 6.137],[1.257 1.563]
1.6,48.75,0.9,0.0,0.1918,-4.3874,0.1966,-7.8842,0.9134,0.9711,0.0679,1.5905,0.0712,0.0978,0.3295,0.3435,[4.873 5.387],[0.498 1.615]
1.6,56.25,0.75,0.25,0.1577,-2.7413,0.1807,-7.8832,0.8455,0.6771,0.0951,1.6628,0.1095,0.07,0.5123,0.4083,[4.563 4.88 ],[0.967 0.724]
1.6,63.75,0.5,0.5,0.1512,-1.9269,0.1873,-7.7706,0.8655,0.5178,0.099,1.2635,0.1227,0.1244,0.5671,0.3391,[4.929 4.934],[0.497 1.085]
1.6,67.5,0.5,0.5,0.214,-2.2898,0.2763,-7.8899,1.2925,0.6339,0.0029,0.1308,0.0125,0.0575,0.052,0.0171,[4.237 5.957],[1.168 1.496]
1.6,71.25,0.45,0.55,0.1902,-1.6543,0.2531,-7.8334,1.1861,0.4733,0.0673,0.5868,0.0897,0.136,0.4207,0.1676,[4.495 4.1  ],[1.099 1.1  ]
