Step,Reward,Episode
104,0.130,4
251,0.095,12
356,0.083,16
459,0.083,20
1448,0.068,44
1580,0.063,48
2080,0.052,60
2252,0.049,64
2420,0.047,68
2760,0.044,76
2931,0.043,80
3093,0.044,84
3422,0.045,92
3590,0.044,96
4090,0.038,108
4248,0.038,112
4585,0.038,120
4754,0.040,124
5235,0.038,136
5383,0.043,140
5700,0.048,148
5856,0.052,152
5988,0.056,156
6124,0.060,160
6222,0.066,164
7118,0.103,192
7261,0.107,196
7389,0.108,200
7492,0.113,204
7604,0.115,208
7753,0.117,212
7997,0.128,220
8150,0.128,224
8348,0.148,232
8577,0.168,244
8603,0.168,248
8675,0.168,252
8757,0.190,256
8910,0.188,264
8982,0.193,268
9030,0.198,272
9099,0.199,276
9213,0.215,284
9318,0.199,288
9439,0.203,296
9515,0.214,304
9596,0.213,312
9650,0.203,320
9704,0.204,324
9760,0.184,332
9770,0.177,336
9834,0.168,344
9868,0.167,348
9946,0.145,360
9955,0.143,364
10110,0.121,384
10185,0.111,400
10206,0.107,404
10256,0.119,416
10330,0.116,428
10352,0.120,432
10396,0.119,440
10414,0.123,444
10430,0.124,448
10456,0.117,460
10467,0.117,464
10476,0.116,468
10622,0.132,488
10727,0.136,504
10747,0.120,508
10789,0.126,516
10830,0.130,520
10852,0.130,524
10891,0.144,528
10917,0.149,532
11001,0.157,540
11050,0.165,548
11087,0.170,552
11214,0.172,576
11222,0.163,580
11261,0.162,588
11292,0.163,592
11362,0.158,604
11521,0.135,632
11587,0.132,640
11623,0.124,644
11684,0.123,652
11692,0.111,656
11724,0.121,660
11789,0.126,668
11877,0.135,684
11885,0.135,688
11898,0.133,692
11986,0.139,704
12021,0.153,708
12048,0.153,712
12055,0.152,716
12106,0.154,724
12117,0.154,728
12143,0.152,736
12147,0.152,740
12151,0.151,744
12156,0.148,748
12182,0.133,760
12187,0.127,764
12191,0.126,768
12196,0.126,772
12210,0.108,784
12239,0.111,796
12258,0.112,800
12262,0.107,804
12278,0.092,812
12285,0.092,816
12292,0.085,820
12296,0.078,824
12307,0.077,832
12315,0.068,840
12326,0.068,848
12335,0.067,856
12345,0.067,864
12354,0.067,868
12373,0.076,876
12382,0.076,880
12387,0.076,884
12397,0.066,888
12402,0.066,892
12418,0.057,900
12422,0.057,904
12440,0.057,920
