Step,Value,Episode,,Step,Value,Value,,,Step,Value,Value,,,Step,Value,Value
101,0.037,4,,101,0.037,4,,,33538,0.572,2,,,77557,0.798,3
139,0.142,8,,139,0.142,8,,,33572,0.567,6,,,77636,0.807,7
208,0.248,12,,208,0.248,12,,,33621,0.564,10,,,77709,0.806,11
254,0.265,16,,254,0.265,16,,,33673,0.557,14,,,77781,0.807,15
307,0.220,20,,307,0.220,20,,,33724,0.560,18,,,77857,0.804,19
410,0.233,24,,410,0.233,24,,,33785,0.564,22,,,77926,0.811,23
499,0.219,28,,499,0.219,28,,,33826,0.580,26,,,77992,0.804,27
586,0.203,32,,586,0.203,32,,,33891,0.594,30,,,78059,0.800,31
706,0.191,36,,706,0.191,36,,,33956,0.580,34,,,78130,0.804,35
720,0.178,40,,720,0.178,40,,,33992,0.568,38,,,78196,0.825,39
888,0.163,44,,888,0.163,44,,,34069,0.560,42,,,78267,0.823,43
976,0.157,48,,976,0.157,48,,,34117,0.567,46,,,78333,0.844,47
1124,0.152,52,,1124,0.152,52,,,34177,0.570,50,,,78404,0.848,51
1264,0.142,56,,1264,0.142,56,,,34245,0.585,54,,,78467,0.851,55
1432,0.134,60,,1432,0.134,60,,,34298,0.583,58,,,78542,0.857,59
1602,0.129,64,,1602,0.129,64,,,34346,0.571,62,,,78617,0.858,63
1771,0.122,68,,1771,0.122,68,,,34391,0.549,66,,,78692,0.854,67
1941,0.117,72,,1941,0.117,72,,,34452,0.536,70,,,78769,0.852,71
2108,0.111,76,,2108,0.111,76,,,34515,0.529,74,,,78840,0.852,75
2246,0.108,80,,2246,0.108,80,,,34588,0.537,78,,,78907,0.850,79
2414,0.104,84,,2414,0.104,84,,,34658,0.550,82,,,78969,0.855,83
2586,0.101,88,,2586,0.101,88,,,34706,0.545,86,,,79033,0.851,87
2753,0.098,92,,2753,0.098,92,,,34776,0.550,90,,,79104,0.858,91
2924,0.096,96,,2924,0.096,96,,,34844,0.569,94,,,79182,0.853,95
3093,0.095,100,,3093,0.095,100,,,34908,0.561,98,,,79314,0.856,103
3261,0.093,104,,3261,0.093,104,,,34955,0.544,102,,,79382,0.855,107
3429,0.085,108,,3429,0.085,108,,,35020,0.556,106,,,79458,0.846,111
3597,0.067,112,,3597,0.067,112,,,35090,0.581,110,,,79526,0.839,115
3766,0.056,116,,3766,0.056,116,,,35159,0.584,114,,,79604,0.839,119
3934,0.056,120,,3934,0.056,120,,,35227,0.589,118,,,79666,0.838,123
4100,0.045,124,,4100,0.045,124,,,35290,0.575,122,,,79742,0.844,127
4267,0.039,128,,4267,0.039,128,,,35360,0.582,126,,,79810,0.855,131
4430,0.039,132,,4430,0.039,132,,,35432,0.587,130,,,79883,0.862,135
4599,0.036,136,,4599,0.036,136,,,35505,0.613,134,,,79947,0.860,139
4764,0.034,140,,4764,0.034,140,,,35577,0.625,138,,,80015,0.858,143
4934,0.036,144,,4934,0.036,144,,,35647,0.638,142,,,80080,0.860,147
5098,0.033,148,,5098,0.033,148,,,35711,0.642,146,,,80149,0.857,151
5265,0.031,152,,5265,0.031,152,,,35778,0.634,150,,,80223,0.862,155
5433,0.031,156,,5433,0.031,156,,,35846,0.628,154,,,80296,0.865,159
5600,0.033,160,,5600,0.033,160,,,35919,0.648,158,,,80364,0.865,163
5767,0.034,164,,5767,0.034,164,,,35983,0.666,162,,,80430,0.871,167
5928,0.037,168,,5928,0.037,168,,,36048,0.675,166,,,80501,0.880,171
6095,0.036,172,,6095,0.036,172,,,36122,0.687,170,,,80574,0.881,175
6263,0.036,176,,6263,0.036,176,,,36195,0.694,174,,,80648,0.885,179
6432,0.035,180,,6432,0.035,180,,,36261,0.694,178,,,80700,0.876,183
6598,0.035,184,,6598,0.035,184,,,36337,0.682,182,,,80770,0.880,187
6765,0.034,188,,6765,0.034,188,,,36407,0.689,186,,,80835,0.871,191
6922,0.034,192,,6922,0.034,192,,,36471,0.695,190,,,80904,0.869,195
7090,0.034,196,,7090,0.034,196,,,36545,0.677,194,,,80978,0.873,199
7259,0.034,200,,7259,0.034,200,,,36616,0.684,198,,,81047,0.878,203
7425,0.036,204,,7425,0.036,204,,,36683,0.700,202,,,81115,0.880,207
7578,0.038,208,,7578,0.038,208,,,36753,0.712,206,,,81182,0.882,211
7735,0.040,212,,7735,0.040,212,,,36823,0.694,210,,,81254,0.887,215
7888,0.042,216,,7888,0.042,216,,,36896,0.707,214,,,81329,0.884,219
8011,0.046,220,,8011,0.046,220,,,36969,0.709,218,,,81401,0.888,223
8142,0.050,224,,8142,0.050,224,,,37040,0.726,222,,,81467,0.885,227
8277,0.054,228,,8277,0.054,228,,,37110,0.725,226,,,81534,0.877,231
8409,0.057,232,,8409,0.057,232,,,37174,0.721,230,,,81598,0.875,235
8531,0.060,236,,8531,0.060,236,,,37243,0.713,234,,,81669,0.866,239
8640,0.073,240,,8640,0.073,240,,,37311,0.705,238,,,81738,0.862,243
8784,0.075,244,,8784,0.075,244,,,37380,0.693,242,,,81814,0.861,247
8881,0.085,248,,8881,0.085,248,,,37450,0.707,246,,,81882,0.864,251
8962,0.089,252,,8962,0.089,252,,,37523,0.706,250,,,81958,0.863,255
9043,0.110,256,,9043,0.110,256,,,37596,0.705,254,,,82026,0.857,259
9160,0.113,260,,9160,0.113,260,,,37673,0.694,258,,,82093,0.857,263
9279,0.121,264,,9279,0.121,264,,,37741,0.699,262,,,82161,0.852,267
9384,0.125,268,,9384,0.125,268,,,37813,0.694,266,,,82228,0.850,271
9474,0.129,272,,9474,0.129,272,,,37880,0.691,270,,,82305,0.844,275
9543,0.134,276,,9543,0.134,276,,,37951,0.701,274,,,82370,0.839,279
9667,0.143,280,,9667,0.143,280,,,38029,0.702,278,,,82436,0.846,283
9755,0.156,284,,9755,0.156,284,,,38099,0.700,282,,,82506,0.844,287
9880,0.165,288,,9880,0.165,288,,,38166,0.692,286,,,82572,0.852,291
9958,0.177,292,,9958,0.177,292,,,38239,0.685,290,,,82640,0.857,295
10068,0.188,296,,10068,0.188,296,,,38312,0.694,294,,,82708,0.856,299
10126,0.192,300,,10126,0.192,300,,,38378,0.699,298,,,82773,0.840,303
10218,0.200,304,,10218,0.200,304,,,38444,0.697,302,,,82848,0.832,307
