Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-45,0,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-45,1,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-45,2,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-45,3,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-45,4,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-40,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-40,1,--,0,True,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-40,2,--,0,True,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-40,3,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-40,4,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-35,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-35,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-35,2,--,0,True,0.0,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-35,3,--,0,False,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-35,4,--,0,True,0.0,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-30,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-30,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-30,2,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-30,3,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-30,4,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-25,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-25,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-25,2,--,0,True,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-25,3,--,0,True,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-25,4,--,0,True,0.5,-24.61,0.209,12.884,0.036,0.057,1.611,7.896,0.454,-0.208,0.175,[0.1   0.05  0.025 0.    0.   ],--,0,0,0,0,0,1
0.5,-20,0,--,0,True,0.5,-19.67,0.192,10.988,0.041,-0.036,1.686,7.929,0.47,-0.168,0.182,[0.1   0.05  0.032 0.    0.   ],--,0,0,0,0,0,1
0.5,-20,1,--,0,True,0.5,-19.52,0.194,10.845,0.042,0.01,1.668,7.916,0.471,-0.167,0.179,[0.1   0.05  0.029 0.    0.   ],--,0,0,0,0,0,1
0.5,-20,2,--,0,True,0.5,-19.48,0.176,11.897,0.038,0.149,1.609,7.979,0.475,-0.168,0.17,[0.1  0.05 0.02 0.   0.  ],--,0,0,0,0,0,1
0.5,-20,3,--,0,True,0.5,-19.63,0.188,11.188,0.04,0.0,1.512,7.924,0.471,-0.168,0.179,[0.1   0.05  0.029 0.    0.   ],--,0,0,0,0,0,1
0.5,-20,4,--,0,True,0.5,-19.59,0.201,10.476,0.043,0.004,1.517,7.947,0.472,-0.168,0.179,[0.1   0.05  0.029 0.    0.   ],--,0,0,0,0,0,1
0.5,-15,0,--,0,True,0.5,-14.59,0.187,9.138,0.047,-0.203,1.644,7.912,0.484,-0.126,0.195,[0.1   0.05  0.045 0.    0.   ],--,0,0,0,0,0,1
0.5,-15,1,--,0,True,0.5,-14.53,0.196,8.659,0.05,-0.549,1.704,7.837,0.486,-0.126,0.227,[0.1   0.05  0.077 0.    0.   ],--,0,0,0,0,0,1
