Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,Leg_4_NBC,Leg_4_BC,Leg_2_NBC,Leg_2_BC,Leg_0_NBC,Leg_0_BC
0.5,-30,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,False,False,True
0.5,-30,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,False,False,True
0.5,-30,2,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,False,False,True
0.5,-30,3,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,False,False,True
0.5,-30,4,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,False,False,True
0.5,-25,0,--,0,True,0.5,-24.81,0.239,11.356,0.041,1.619,7.999,0.45,-0.208,0.214,[0.1   0.05  0.064 0.    0.   ],False,False,False,False,False,True
0.5,-25,1,--,0,True,0.5,-24.71,0.249,10.863,0.043,1.533,7.999,0.452,-0.208,0.259,[0.1   0.05  0.109 0.    0.   ],False,False,False,False,False,True
0.5,-25,2,--,0,True,0.5,-24.82,0.244,11.139,0.042,1.531,7.993,0.452,-0.209,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-25,3,--,0,True,0.5,-24.56,0.241,11.185,0.042,1.557,7.997,0.453,-0.207,0.207,[0.1   0.05  0.057 0.    0.   ],False,False,False,False,False,True
0.5,-25,4,--,0,True,0.5,-24.62,0.239,11.322,0.042,1.634,7.999,0.456,-0.209,0.195,[0.1   0.05  0.045 0.    0.   ],False,False,False,False,False,True
0.5,-20,0,--,0,True,0.5,-19.71,0.246,8.617,0.052,1.558,7.994,0.469,-0.168,0.345,[0.1   0.05  0.195 0.    0.   ],False,False,False,False,False,True
0.5,-20,1,--,0,True,0.5,-19.82,0.243,8.732,0.052,1.541,7.997,0.469,-0.169,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-20,2,--,0,True,0.5,-19.71,0.249,8.501,0.053,1.524,7.997,0.469,-0.168,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-20,3,--,0,True,0.5,-19.48,0.249,8.422,0.054,1.528,7.999,0.472,-0.167,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-20,4,--,0,True,0.5,-19.82,0.246,8.638,0.052,1.518,7.989,0.469,-0.169,0.349,[0.1   0.05  0.199 0.    0.   ],False,False,False,False,False,True
0.5,-15,0,--,0,True,0.5,-14.65,0.239,7.148,0.06,1.543,7.999,0.482,-0.126,0.169,[0.1   0.05  0.019 0.    0.   ],False,False,False,False,False,True
0.5,-15,1,--,0,True,0.5,-14.65,0.241,7.094,0.061,1.518,7.997,0.482,-0.126,0.249,[0.1   0.05  0.099 0.    0.   ],False,False,False,False,False,True
0.5,-15,2,--,0,True,0.5,-14.65,0.245,6.983,0.062,1.513,7.995,0.482,-0.126,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-15,3,--,0,True,0.5,-14.64,0.243,7.001,0.062,1.513,7.994,0.486,-0.127,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-15,4,--,0,True,0.5,-14.76,0.229,7.495,0.057,1.665,8.0,0.482,-0.127,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-10,0,--,0,True,0.5,-9.69,0.242,5.847,0.07,1.533,7.986,0.492,-0.084,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-10,1,--,0,True,0.5,-9.58,0.238,5.91,0.069,1.526,7.999,0.492,-0.083,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-10,2,--,0,True,0.5,-9.8,0.241,5.882,0.069,1.537,7.982,0.492,-0.085,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,-10,3,--,0,True,0.5,-9.59,0.234,5.991,0.069,1.549,7.999,0.497,-0.084,0.331,[0.1   0.05  0.181 0.    0.   ],False,False,False,False,False,True
0.5,-10,4,--,0,True,0.5,-9.69,0.242,5.837,0.07,1.538,7.96,0.492,-0.084,0.208,[0.1   0.05  0.058 0.    0.   ],False,False,False,False,False,True
0.5,-5,0,--,0,True,0.5,-4.72,0.234,5.046,0.075,1.541,7.999,0.497,-0.041,0.152,[0.1   0.05  0.002 0.    0.   ],False,False,False,False,False,True
0.5,-5,1,--,0,True,0.5,-4.72,0.237,4.968,0.077,1.543,7.993,0.497,-0.041,0.307,[0.1   0.05  0.157 0.    0.   ],False,False,False,False,False,True
0.5,-5,2,--,0,True,0.5,-4.71,0.235,5.006,0.076,1.535,7.991,0.498,-0.041,0.343,[0.1   0.05  0.193 0.    0.   ],False,False,False,False,False,True
0.5,-5,3,--,0,True,0.5,-4.72,0.246,4.786,0.08,1.517,7.995,0.497,-0.041,0.311,[0.1   0.05  0.161 0.    0.   ],False,False,False,False,False,True
0.5,-5,4,--,0,True,0.5,-4.68,0.239,4.933,0.078,1.531,7.99,0.501,-0.041,0.179,[0.1   0.05  0.029 0.    0.   ],False,False,False,False,False,True
0.5,0,0,--,0,True,0.5,0.46,0.224,4.399,0.08,1.581,8.0,0.5,0.004,0.236,[0.1   0.05  0.086 0.    0.   ],False,False,False,False,False,True
0.5,0,1,--,0,True,0.5,0.34,0.231,4.27,0.082,1.567,7.997,0.5,0.003,0.299,[0.1   0.05  0.149 0.    0.   ],False,False,False,False,False,True
