Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-90,0,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,1,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,2,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,3,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,4,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-85,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,0,1
0.5,-85,1,--,4,True,0.5,-85.16,0.974,12.017,0.041,-4.281,1.923,0.858,0.042,-0.496,0.45,[0.009 0.05  0.191 0.2   0.   ],--,0,1,0,0,0,0
0.5,-85,2,--,0,False,0.5,-85.04,2.824,4.104,0.121,0.0,1.538,1.24,0.043,-0.495,0.131,[0.003 0.029 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-85,3,--,0,True,0.5,-85.04,0.0,0.0,0.0,-0.25,0.0,0.0,0.043,-0.495,0,[0.003 0.029 0.1   0.    0.   ],--,0,0,0,0,0,1
0.5,-85,4,--,0,True,0.5,-85.04,0.0,0.0,0.0,-0.066,0.0,0.0,0.043,-0.495,0,[0.003 0.029 0.1   0.    0.   ],--,0,0,0,0,0,1
0.5,-80,0,--,4,True,0.5,-79.82,0.595,9.342,0.052,-2.34,2.082,0.628,0.088,-0.49,0.295,[0.017 0.05  0.028 0.2   0.   ],--,0,1,0,0,0,0
0.5,-80,1,--,4,False,0.5,-79.93,0.774,7.266,0.067,-16.696,1.719,1.491,0.087,-0.49,0.895,[0.012 0.05  0.183 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,2,--,4,False,0.5,-79.95,0.851,6.642,0.074,-24.423,1.643,1.699,0.087,-0.491,0.876,[0.01  0.05  0.165 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,3,--,4,True,0.5,-81.43,0.64,10.184,0.048,-3.432,1.88,1.331,0.074,-0.491,0.394,[0.015 0.05  0.129 0.2   0.   ],--,0,1,0,0,0,0
0.5,-80,4,--,4,True,0.5,-79.95,0.608,9.241,0.053,-2.304,1.506,0.609,0.087,-0.491,0.292,[0.017 0.05  0.026 0.2   0.   ],--,0,1,0,0,0,0
0.5,-75,0,--,2,True,0.5,-79.95,0.0,0.0,0.0,0.002,0.0,0.0,0.087,-0.491,0,[0.017 0.05  0.026 0.2   0.   ],--,0,0,0,1,0,0
0.5,-75,1,--,2,True,0.5,-79.95,0.0,0.0,0.0,-0.187,0.0,0.0,0.087,-0.491,0,[0.017 0.05  0.026 0.2   0.   ],--,0,0,0,1,0,0
0.5,-75,2,--,2,True,0.5,-79.95,0.0,0.0,0.0,-1.654,0.0,0.0,0.087,-0.491,0,[0.017 0.05  0.026 0.2   0.   ],--,0,0,0,1,0,0
0.5,-75,3,--,2,True,0.5,-79.95,0.0,0.0,0.0,-3.717,0.0,0.0,0.087,-0.491,0,[0.017 0.05  0.026 0.2   0.   ],--,0,0,0,1,0,0
0.5,-75,4,--,2,True,0.5,-79.95,0.0,0.0,0.0,-4.432,0.0,0.0,0.087,-0.491,0,[0.017 0.05  0.026 0.2   0.   ],--,0,0,0,1,0,0
0.5,-70,0,--,4,True,0.5,-69.65,0.255,10.556,0.044,-4.171,1.958,1.916,0.174,-0.469,0.536,[0.1   0.05  0.186 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,1,--,4,True,0.5,-69.86,0.246,11.168,0.042,-1.539,2.685,3.08,0.172,-0.469,0.35,[0.1  0.05 0.   0.2  0.  ],--,0,1,0,0,0,0
0.5,-70,2,--,4,True,0.5,-70.0,0.237,11.599,0.04,0.035,2.362,2.392,0.17,-0.467,0.453,[0.1   0.05  0.103 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,3,--,4,True,0.5,-70.22,0.236,11.777,0.04,0.057,2.655,2.868,0.169,-0.47,0.456,[0.1   0.05  0.106 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,4,--,4,True,0.5,-70.0,0.231,11.868,0.039,0.035,2.8,2.746,0.17,-0.467,0.453,[0.1   0.05  0.103 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,0,--,2,True,0.5,-64.92,0.275,7.783,0.058,-0.704,2.166,2.018,0.212,-0.453,0.285,[0.1   0.05  0.035 0.1   0.   ],--,0,0,0,1,0,0
0.5,-65,1,--,4,True,0.5,-64.93,0.271,7.884,0.057,-1.009,1.924,2.057,0.21,-0.449,0.365,[0.1   0.05  0.015 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,2,--,4,True,0.5,-64.93,0.273,7.823,0.058,-0.985,1.859,2.228,0.211,-0.451,0.367,[0.1   0.05  0.017 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,3,--,4,True,0.5,-64.93,0.266,8.066,0.056,-0.986,2.457,2.091,0.211,-0.451,0.367,[0.1   0.05  0.017 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,4,--,4,True,0.5,-64.87,0.275,7.756,0.058,-2.424,2.377,2.293,0.212,-0.452,0.384,[0.1   0.05  0.034 0.2   0.   ],--,0,1,0,0,0,0
