vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,10,0.23,0.09,[2.93 4.65],[2. 2.],4.02,0.38,2.67,0.01,0.0,0.0,1.25,0.0,1.5529,0.0,-3.984,0.0,2.035,0.0,0.065,0.081,0.0,,,,,,,,,,,,
0.25,20.0,11,0.23,0.09,[5.2  3.34],[2. 2.],6.75,0.28,6.55,0.17,0.0,0.0,0.892,0.0,0.7994,0.0,-3.104,0.0,2.015,0.0,0.085,0.076,0.0,1.1739,0.1444,1.1739,0.1444,0.2492,0.0028,0.081,0.0,,,388.3102,59.2684
0.25,20.0,20,0.23,0.09,[1.   3.07],[2. 2.],2.43,0.02,8.64,0.0,0.0,0.0,1.134,0.0,1.2696,0.0,-3.665,0.0,2.029,0.0,0.071,0.08,0.0,1.1707,0.1378,1.1707,0.1378,0.2486,0.0027,0.081,0.0,,,356.6317,23.0018
0.25,20.0,21,0.23,0.09,[3.   6.09],[2. 2.],3.19,0.02,6.35,0.17,0.0,0.0,0.891,0.0,0.0,0.0,-3.104,0.0,0.399,0.0,1.701,0.0,0.0,1.1927,0.178,1.1927,0.178,0.2481,0.0029,0.081,0.0,,,386.664,23.5329
0.25,20.0,22,0.23,0.09,[5.   3.98],[2. 2.],4.18,0.06,6.4,0.14,0.0,0.0,0.891,0.0,0.0,0.0,-3.104,0.0,0.399,0.0,1.701,0.0,0.0,1.1719,0.1453,1.1719,0.1453,0.2482,0.0028,0.081,0.0,,,386.3261,23.4988
0.25,25.0,10,0.23,0.11,[6.13 4.25],[2. 2.],3.76,0.01,8.11,0.01,0.0,0.0,1.762,0.0,3.0081,0.0,-3.424,0.0,2.036,0.0,0.064,0.111,0.0,1.4069,0.1468,1.4069,0.1468,0.2232,0.0019,0.101,0.0,,,48.3966,54.3863
0.25,25.0,11,0.23,0.11,[4.9  7.35],[2. 2.],5.04,0.14,5.56,0.0,0.0,0.0,1.762,0.0,3.0081,0.0,-3.424,0.0,2.036,0.0,0.064,0.111,0.0,1.3805,0.0046,1.3805,0.0046,0.2234,0.0018,0.101,0.0,,,42.6134,56.7817
0.25,25.0,20,0.23,0.11,[1.   6.05],[2. 2.],2.4,0.06,9.63,0.01,0.0,0.0,0.914,0.0,0.8359,0.0,-2.433,0.0,1.995,0.0,0.105,0.096,0.0,1.4325,0.2021,1.4325,0.2021,0.223,0.0025,0.101,0.0,,,355.6724,24.3743
0.25,25.0,21,0.23,0.11,[3.   5.31],[2. 2.],2.47,0.04,3.76,0.06,0.0,0.0,0.913,0.0,0.8534,0.0,-2.433,0.0,1.995,0.0,0.105,0.097,0.0,1.4068,0.1479,1.4068,0.1479,0.2231,0.0018,0.101,0.0,,,319.0594,24.7779
0.25,25.0,22,0.23,0.11,[5.   3.72],[2. 2.],4.25,0.22,7.44,0.53,0.0,0.0,0.913,0.0,0.8534,0.0,-2.433,0.0,1.995,0.0,0.105,0.097,0.0,1.4894,0.2802,1.4894,0.2802,0.2232,0.0018,0.101,0.0,,,316.9016,24.0027
0.25,30.0,10,0.22,0.12,[5.81 6.68],[2. 2.],5.92,0.0,8.63,0.0,0.0,0.0,1.645,0.0,2.7079,0.0,-2.653,0.0,2.021,0.0,0.079,0.13,0.0,,,,,,,,,,,,
0.25,30.0,11,0.22,0.12,[7.08 6.05],[2. 2.],4.98,0.13,4.5,0.05,0.0,0.0,1.901,0.0,3.5156,0.0,-3.216,0.0,2.036,0.0,0.064,0.12,0.0,1.8579,0.4556,1.8579,0.4556,0.2044,0.0011,0.12,0.0,,,928.3438,55.8131
0.25,30.0,20,0.22,0.12,[1.   3.62],[2. 2.],4.28,0.0,7.24,0.14,0.0,0.0,1.468,0.0,2.1416,0.0,-2.671,0.0,2.018,0.0,0.082,0.12,0.0,2.1159,0.5551,2.1159,0.5551,0.2046,0.0013,0.12,0.0,,,356.749,25.2633
0.25,30.0,21,0.22,0.12,[3.   5.88],[2. 2.],4.47,0.05,6.24,0.0,0.0,0.0,1.212,0.0,1.44,0.0,-2.4,0.0,2.0,0.0,0.1,0.12,0.0,1.9288,0.5074,1.9288,0.5074,0.2047,0.0013,0.12,0.0,,,399.5553,25.3017
0.25,30.0,22,0.22,0.12,[5.  3.6],[2. 2.],6.3,0.18,3.39,0.0,0.0,0.0,1.981,0.0,3.8699,0.0,-3.381,0.0,2.039,0.0,0.061,0.12,0.0,,,,,,,,,,,,
