vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,10,0.23,0.09,[7.08 6.65],[2. 2.],4.48,0.07,7.55,0.0,0.0,0.0,0.923,0.0,0.8421,0.0,-3.123,0.0,2.015,0.0,0.085,0.078,0.0,0.7673,0.0056,0.7673,0.0056,0.2361,0.0028,0.0561,0.0003,,,791.599,59.0856
0.25,20.0,11,0.23,0.09,[6.48 3.74],[2. 2.],1.76,0.0,0.9,0.27,0.0,0.0,0.892,0.0,0.8206,0.0,-3.107,0.0,2.015,0.0,0.085,0.077,0.0,0.7791,0.0663,0.7791,0.0663,0.236,0.0024,0.0561,0.0003,,,310.1988,58.7312
0.25,20.0,20,0.23,0.09,[1.   5.68],[2. 2.],1.89,0.01,6.34,0.99,0.0,0.0,0.906,0.0,0.8206,0.0,-3.116,0.0,2.015,0.0,0.085,0.077,0.0,0.7785,0.0671,0.7785,0.0671,0.2354,0.0023,0.056,0.0,,,307.8259,24.3294
0.25,20.0,21,0.23,0.09,[3.   6.42],[2. 2.],6.02,0.0,1.55,0.04,0.0,0.0,0.878,0.0,1.0,0.0,-3.124,0.0,2.014,0.0,0.086,0.086,0.0,0.8429,0.1493,0.8429,0.1493,0.2369,0.003,0.0562,0.0004,,,398.9979,24.3133
0.25,20.0,22,0.23,0.09,[5.   4.34],[2. 2.],4.7,0.01,3.6,0.01,0.0,0.0,0.878,0.0,1.0,0.0,-3.124,0.0,2.014,0.0,0.086,0.086,0.0,0.7995,0.1105,0.7995,0.1105,0.2366,0.0023,0.0561,0.0002,,,403.7465,24.0387
0.25,25.0,10,0.23,0.11,[2.67 5.04],[2. 2.],2.59,0.0,3.89,0.0,0.0,0.0,0.94,0.0,0.889,0.0,-2.445,0.0,1.995,0.0,0.105,0.099,0.0,1.3396,0.3695,1.3396,0.3695,0.2126,0.0012,0.076,0.0,,,929.6578,55.9905
0.25,25.0,11,0.23,0.11,[6.91 3.73],[2. 2.],5.42,0.09,0.39,0.02,0.0,0.0,0.94,0.0,0.889,0.0,-2.445,0.0,1.995,0.0,0.105,0.099,0.0,1.3561,0.3644,1.3561,0.3644,0.2125,0.0012,0.076,0.0,,,944.2179,53.3005
0.25,25.0,20,0.23,0.11,[1.   3.79],[2. 2.],2.05,0.0,2.18,0.0,0.0,0.0,0.924,0.0,0.8534,0.0,-2.438,0.0,1.995,0.0,0.105,0.097,0.0,1.4814,0.3556,1.4814,0.3556,0.2122,0.001,0.076,0.0,,,372.4279,26.0239
0.25,25.0,21,0.23,0.11,[3.   7.61],[2. 2.],3.1,0.04,8.85,0.0,0.0,0.0,1.23,0.0,1.5026,0.0,-3.444,0.0,2.038,0.0,0.062,0.076,0.0,1.3699,0.3547,1.3699,0.3547,0.2126,0.0011,0.076,0.0,,,340.6931,25.8458
0.25,25.0,22,0.23,0.11,[5.   4.57],[2. 2.],6.47,0.02,9.55,0.0,0.0,0.0,1.23,0.0,1.5026,0.0,-3.444,0.0,2.038,0.0,0.062,0.076,0.0,1.2778,0.3443,1.2778,0.3443,0.2125,0.0011,0.076,0.0,,,339.2422,25.1206
0.25,30.0,20,0.22,0.12,[1.   4.49],[2. 2.],2.87,0.72,3.13,0.0,0.0,0.0,1.5638,0.2046,2.3828,0.7943,-3.244,0.42,1.876,0.495,0.224,0.0865,0.0285,2.2584,0.9479,2.2584,0.9479,0.1985,0.0005,0.096,0.0,,,85.2494,31.4567
0.25,30.0,21,0.22,0.12,[3.   3.06],[2. 2.],3.35,0.28,0.82,0.04,0.0,0.0,1.0,0.0,1.0,0.0,-1.972,0.0,1.975,0.0,0.125,0.125,0.0,2.2108,0.9865,2.2108,0.9865,0.1986,0.0005,0.096,0.0,,,396.1096,26.1783
0.25,30.0,22,0.22,0.12,[5.   7.26],[2. 2.],1.12,0.0,8.92,0.04,0.0,0.0,1.1218,0.0036,1.2328,0.0142,-2.5596,0.0289,2.0135,0.0005,0.0865,0.096,0.0,0.0,0.0,2.2458,0.6206,0.1077,0.0105,-0.1744,0.0164,,,0.1056,0.0029
0.25,35.0,10,0.2,0.14,[2.6  4.49],[2. 2.],2.86,0.0,7.11,0.31,0.0,0.0,1.27,0.0,1.6044,0.0,-2.225,0.0,2.01,0.0,0.09,0.114,0.0,2.5382,0.616,2.5382,0.616,0.1862,0.0004,0.114,0.0,,,901.7953,57.8846
0.25,35.0,20,0.2,0.14,[1.   7.49],[2. 2.],3.86,0.04,6.99,0.03,0.0,0.0,1.71,0.0,2.8106,0.0,-2.802,0.0,2.032,0.0,0.068,0.114,0.0,2.8347,0.6856,2.8347,0.6856,0.1864,0.0005,0.114,0.0,,,420.0505,26.2579
0.25,35.0,21,0.2,0.14,[3.   3.94],[2. 2.],4.02,0.14,4.17,0.02,0.0,0.0,1.267,0.0,1.6044,0.0,-2.22,0.0,2.01,0.0,0.09,0.114,0.0,2.4833,0.365,2.4833,0.365,0.1864,0.0005,0.114,0.0,,,407.2987,26.8433
0.25,35.0,22,0.2,0.14,[5.   7.97],[2. 2.],2.81,0.01,3.07,0.04,0.0,0.0,0.964,0.0,0.9308,0.0,-1.649,0.0,1.958,0.0,0.142,0.137,0.0,2.6356,0.5045,2.6356,0.5045,0.1862,0.0004,0.114,0.0,,,294.5803,26.4178
