Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,0,True,0.0,0.0,0.276,6.183,0.07,-26.605,1.725,7.945,0,0,0.173,[0.033 0.05  0.09  0.    0.   ],--,0,0,0,0,0,1
0.5,30,1,--,0,True,0.0,0.0,0.272,6.287,0.069,-27.238,1.855,7.938,0,0,0.234,[0.033 0.05  0.151 0.    0.   ],--,0,0,0,0,0,1
0.5,30,2,--,0,True,0.0,0.0,0.276,6.152,0.07,-23.276,1.57,7.966,0,0,0.212,[0.033 0.05  0.128 0.    0.   ],--,0,0,0,0,0,1
0.5,30,3,--,0,True,0.0,0.0,0.277,6.117,0.07,-26.708,1.559,7.874,0,0,0.184,[0.033 0.05  0.1   0.    0.   ],--,0,0,0,0,0,1
0.5,30,4,--,0,True,0.0,0.0,0.272,6.241,0.069,-24.63,1.811,7.997,0,0,0.096,[0.033 0.05  0.012 0.    0.   ],--,0,0,0,0,0,1
0.5,35,0,--,0,True,0.0,0.0,0.27,5.199,0.079,-29.166,1.779,7.989,0,0,0.246,[0.033 0.05  0.163 0.    0.   ],--,0,0,0,0,0,1
0.5,35,1,--,0,True,0.0,0.0,0.274,5.141,0.08,-30.817,1.704,7.98,0,0,0.101,[0.033 0.05  0.017 0.    0.   ],--,0,0,0,0,0,1
0.5,35,2,--,0,True,0.0,0.0,0.272,5.174,0.079,-32.118,1.814,7.989,0,0,0.107,[0.033 0.05  0.024 0.    0.   ],--,0,0,0,0,0,1
0.5,35,3,--,0,True,0.0,0.0,0.268,5.232,0.078,-27.994,1.766,7.944,0,0,0.279,[0.033 0.05  0.196 0.    0.   ],--,0,0,0,0,0,1
0.5,35,4,--,0,True,0.0,0.0,0.272,5.191,0.079,-31.104,1.85,7.986,0,0,0.088,[0.033 0.05  0.005 0.    0.   ],--,0,0,0,0,0,1
0.5,40,0,--,0,True,0.0,0.0,0.273,4.313,0.089,-36.89,1.775,7.998,0,0,0.114,[0.033 0.05  0.031 0.    0.   ],--,0,0,0,0,0,1
0.5,40,1,--,0,True,0.0,0.0,0.271,4.287,0.088,-36.686,1.773,7.995,0,0,0.13,[0.033 0.05  0.047 0.    0.   ],--,0,0,0,0,0,1
0.5,40,2,--,0,True,0.0,0.0,0.275,4.249,0.09,-33.873,1.561,7.985,0,0,0.261,[0.033 0.05  0.177 0.    0.   ],--,0,0,0,0,0,1
0.5,40,3,--,0,True,0.0,0.0,0.265,4.44,0.086,-31.585,1.82,7.985,0,0,0.085,[0.033 0.05  0.001 0.    0.   ],--,0,0,0,0,0,1
0.5,40,4,--,0,True,0.0,0.0,0.274,4.263,0.089,-37.409,1.677,7.968,0,0,0.088,[0.033 0.05  0.004 0.    0.   ],--,0,0,0,0,0,1
0.5,45,0,--,0,True,0.0,0.0,0.269,3.675,0.097,-37.698,1.839,7.991,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,45,1,--,0,True,0.0,0.0,0.27,3.653,0.097,-34.122,1.813,7.958,0,0,0.274,[0.033 0.05  0.191 0.    0.   ],--,0,0,0,0,0,1
0.5,45,2,--,0,True,0.0,0.0,0.271,3.653,0.097,-35.737,1.815,7.996,0,0,0.221,[0.033 0.05  0.138 0.    0.   ],--,0,0,0,0,0,1
0.5,45,3,--,0,True,0.0,0.0,0.27,3.665,0.097,-40.398,1.831,7.968,0,0,0.274,[0.033 0.05  0.19  0.    0.   ],--,0,0,0,0,0,1
0.5,45,4,--,0,True,0.0,0.0,0.273,3.647,0.097,-32.768,1.786,7.991,0,0,0.162,[0.033 0.05  0.078 0.    0.   ],--,0,0,0,0,0,1
0.5,50,0,--,2,True,0.0,0.0,0.275,3.013,0.107,-74.713,1.659,7.968,0,0,0.206,[0.033 0.05  0.023 0.1   0.   ],--,0,0,0,1,0,0
0.5,50,1,--,0,True,0.0,0.0,0.272,3.039,0.105,0.0,1.755,7.994,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,50,2,--,0,True,0.0,0.0,0.27,3.065,0.105,-42.29,1.795,7.938,0,0,0.195,[0.033 0.05  0.112 0.    0.   ],--,0,0,0,0,0,1
0.5,50,3,--,0,True,0.0,0.0,0.271,3.076,0.105,0.0,1.799,7.962,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,50,4,--,0,True,0.0,0.0,0.272,3.056,0.105,-39.573,1.766,7.993,0,0,0.213,[0.033 0.05  0.13  0.    0.   ],--,0,0,0,0,0,1
0.5,55,0,--,0,True,0.0,0.0,0.261,2.562,0.109,-38.042,1.804,7.984,0,0,0.089,[0.033 0.05  0.006 0.    0.   ],--,0,0,0,0,0,1
0.5,55,1,--,0,True,0.0,0.0,0.267,2.598,0.111,-41.306,1.785,7.978,0,0,0.273,[0.033 0.05  0.189 0.    0.   ],--,0,0,0,0,0,1
0.5,55,2,--,0,True,0.0,0.0,0.268,2.565,0.111,-41.66,1.763,7.969,0,0,0.252,[0.033 0.05  0.168 0.    0.   ],--,0,0,0,0,0,1
0.5,55,3,--,0,True,0.0,0.0,0.263,2.633,0.109,-44.473,1.87,7.979,0,0,0.095,[0.033 0.05  0.012 0.    0.   ],--,0,0,0,0,0,1
0.5,55,4,--,0,True,0.0,0.0,0.267,2.599,0.111,-41.921,1.78,7.993,0,0,0.23,[0.033 0.05  0.147 0.    0.   ],--,0,0,0,0,0,1
0.5,60,0,--,2,True,0.0,0.0,0.271,2.114,0.118,-46.678,1.73,7.982,0,0,0.374,[0.033 0.05  0.19  0.1   0.   ],--,0,0,0,1,0,0
0.5,60,1,--,2,True,0.0,0.0,0.268,2.128,0.118,-68.287,1.776,7.994,0,0,0.216,[0.033 0.05  0.032 0.1   0.   ],--,0,0,0,1,0,0
0.5,60,2,--,2,True,0.0,0.0,0.273,2.074,0.12,-46.294,1.769,7.978,0,0,0.351,[0.033 0.05  0.167 0.1   0.   ],--,0,0,0,1,0,0
0.5,60,3,--,0,True,0.0,0.0,0.271,2.118,0.118,-39.243,1.744,7.996,0,0,0.181,[0.033 0.05  0.097 0.    0.   ],--,0,0,0,0,0,1
0.5,60,4,--,0,True,0.0,0.0,0.259,2.216,0.113,-44.095,1.922,7.983,0,0,0.084,[0.033 0.05  0.001 0.    0.   ],--,0,0,0,0,0,1
0.5,65,0,--,0,True,0.0,0.0,0.267,1.737,0.122,0.0,1.795,7.989,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,65,1,--,2,True,0.0,0.0,0.269,1.724,0.123,-69.88,1.823,7.999,0,0,0.211,[0.033 0.05  0.028 0.1   0.   ],--,0,0,0,1,0,0
0.5,65,2,--,2,True,0.0,0.0,0.275,1.666,0.126,-57.192,1.688,7.951,0,0,0.203,[0.033 0.05  0.02  0.1   0.   ],--,0,0,0,1,0,0
0.5,65,3,--,2,True,0.0,0.0,0.273,1.663,0.125,-60.86,1.763,7.994,0,0,0.322,[0.033 0.05  0.139 0.1   0.   ],--,0,0,0,1,0,0
0.5,65,4,--,2,True,0.0,0.0,0.266,1.73,0.122,-66.279,1.808,7.973,0,0,0.379,[0.033 0.05  0.195 0.1   0.   ],--,0,0,0,1,0,0
0.5,70,0,--,2,True,0.0,0.0,0.269,1.344,0.127,-54.901,1.828,7.981,0,0,0.291,[0.033 0.05  0.108 0.1   0.   ],--,0,0,0,1,0,0
0.5,70,1,--,2,True,0.0,0.0,0.271,1.328,0.128,-59.169,1.728,7.949,0,0,0.37,[0.033 0.05  0.187 0.1   0.   ],--,0,0,0,1,0,0
0.5,70,2,--,2,False,0.0,0.0,0.274,1.316,0.13,-67.465,1.731,7.932,0,0,0.591,[0.033 0.05  0.108 0.4   0.   ],--,0,0,1,0,0,0
0.5,70,3,--,0,True,0.0,0.0,0.26,1.39,0.123,-42.162,1.933,7.993,0,0,0.208,[0.033 0.05  0.125 0.    0.   ],--,0,0,0,0,0,1
0.5,70,4,--,2,True,0.0,0.0,0.27,1.351,0.128,-69.28,1.767,7.92,0,0,0.185,[0.033 0.05  0.001 0.1   0.   ],--,0,0,0,1,0,0
0.5,75,0,--,2,True,0.0,0.0,0.276,0.962,0.135,-55.511,1.611,7.982,0,0,0.233,[0.033 0.05  0.049 0.1   0.   ],--,0,0,0,1,0,0
0.5,75,1,--,2,True,0.0,0.0,0.26,1.018,0.127,-70.0,1.887,7.982,0,0,0.22,[0.033 0.05  0.037 0.1   0.   ],--,0,0,0,1,0,0
0.5,75,2,--,2,True,0.0,0.0,0.27,0.976,0.132,-64.447,1.767,7.926,0,0,0.288,[0.033 0.05  0.104 0.1   0.   ],--,0,0,0,1,0,0
0.5,75,3,--,2,True,0.0,0.0,0.268,0.99,0.131,-58.828,1.817,7.985,0,0,0.348,[0.033 0.05  0.165 0.1   0.   ],--,0,0,0,1,0,0
0.5,75,4,--,2,True,0.0,0.0,0.275,0.965,0.134,-61.193,1.672,7.992,0,0,0.29,[0.033 0.05  0.107 0.1   0.   ],--,0,0,0,1,0,0
0.5,80,0,--,2,True,0.0,0.0,0.27,0.643,0.134,-62.334,1.782,7.995,0,0,0.195,[0.033 0.05  0.012 0.1   0.   ],--,0,0,0,1,0,0
0.5,80,1,--,0,True,0.0,0.0,0.269,0.645,0.133,-45.528,1.828,7.993,0,0,0.181,[0.033 0.05  0.097 0.    0.   ],--,0,0,0,0,0,1
0.5,80,2,--,2,True,0.0,0.0,0.271,0.645,0.135,-56.465,1.736,7.976,0,0,0.184,[0.033 0.05  0.    0.1   0.   ],--,0,0,0,1,0,0
0.5,80,3,--,2,True,0.0,0.0,0.269,0.648,0.134,-48.69,1.852,7.976,0,0,0.284,[0.033 0.05  0.1   0.1   0.   ],--,0,0,0,1,0,0
0.5,80,4,--,2,True,0.0,0.0,0.266,0.658,0.132,-52.505,1.816,7.989,0,0,0.345,[0.033 0.05  0.162 0.1   0.   ],--,0,0,0,1,0,0
0.5,85,0,--,2,True,0.0,0.0,0.269,0.321,0.135,-49.659,1.766,7.986,0,0,0.201,[0.033 0.05  0.018 0.1   0.   ],--,0,0,0,1,0,0
0.5,85,1,--,2,False,0.0,0.0,0.276,0.307,0.139,-59.159,1.706,7.991,0,0,0.67,[0.033 0.05  0.186 0.4   0.   ],--,0,0,1,0,0,0
0.5,85,2,--,2,False,0.0,0.0,0.275,0.309,0.138,-61.892,1.743,7.986,0,0,0.524,[0.033 0.05  0.041 0.4   0.   ],--,0,0,1,0,0,0
0.5,85,3,--,2,True,0.0,0.0,0.27,0.324,0.135,-61.632,1.828,7.942,0,0,0.247,[0.033 0.05  0.064 0.1   0.   ],--,0,0,0,1,0,0
0.5,85,4,--,2,True,0.0,0.0,0.269,0.322,0.135,-67.462,1.837,7.99,0,0,0.292,[0.033 0.05  0.108 0.1   0.   ],--,0,0,0,1,0,0
