Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,4,False,0.0,0.0,0.254,2.871,0.37,-101.186,3.066,7.991,0,0,0.754,[0.033 0.05  0.021 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,1,--,4,False,0.0,0.0,0.254,3.505,0.402,-109.838,2.86,7.995,0,0,0.932,[0.033 0.05  0.199 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,2,--,4,True,0.0,0.0,0.252,0.152,0.556,-110.046,1.844,7.986,0,0,0.483,[0.033 0.05  0.2   0.2   0.   ],--,0,1,0,0,0,0
0.5,30,3,--,4,False,0.0,0.0,0.264,3.344,0.291,-119.495,3.484,7.997,0,0,0.728,[0.033 0.044 0.001 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,4,--,4,False,0.0,0.0,0.253,3.858,0.623,-103.158,1.657,7.871,0,0,0.92,[0.033 0.05  0.187 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,5,--,4,True,0.0,0.0,0.258,0.159,0.733,-114.535,1.863,7.99,0,0,0.37,[0.033 0.05  0.087 0.2   0.   ],--,0,1,0,0,0,0
0.5,30,6,--,4,False,0.0,0.0,0.265,0.957,0.231,-109.759,3.411,8.0,0,0,0.931,[0.033 0.05  0.198 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,7,--,4,False,0.0,0.0,0.276,5.389,0.262,-134.295,2.728,7.997,0,0,0.896,[0.033 0.042 0.17  0.65  0.   ],--,1,0,0,0,0,0
0.5,30,8,--,4,True,0.0,0.0,0.261,1.442,0.767,-107.1,1.663,7.994,0,0,0.287,[0.033 0.05  0.004 0.2   0.   ],--,0,1,0,0,0,0
0.5,30,9,--,4,False,0.0,0.0,0.268,1.275,0.166,-119.177,3.8,7.996,0,0,0.735,[0.033 0.05  0.002 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,10,--,4,False,0.0,0.0,0.268,4.956,0.214,-124.807,3.8,7.957,0,0,0.768,[0.033 0.05  0.035 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,11,--,4,False,0.0,0.0,0.265,4.756,0.352,-118.729,2.092,7.964,0,0,0.749,[0.033 0.046 0.02  0.65  0.   ],--,1,0,0,0,0,0
0.5,30,12,--,4,False,0.0,0.0,0.26,2.757,0.284,-116.48,3.503,7.991,0,0,0.93,[0.033 0.05  0.197 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,13,--,4,True,0.0,0.0,0.253,1.494,0.64,-110.841,1.958,7.978,0,0,0.447,[0.033 0.05  0.163 0.2   0.   ],--,0,1,0,0,0,0
0.5,30,14,--,4,True,0.0,0.0,0.258,0.594,0.788,-108.949,2.021,7.981,0,0,0.437,[0.033 0.05  0.153 0.2   0.   ],--,0,1,0,0,0,0
0.5,30,15,--,4,False,0.0,0.0,0.262,2.003,0.779,-106.996,1.61,7.86,0,0,0.735,[0.033 0.05  0.002 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,16,--,4,True,0.0,0.0,0.258,0.29,0.677,-113.387,1.737,7.906,0,0,0.287,[0.033 0.05  0.004 0.2   0.   ],--,0,1,0,0,0,0
0.5,30,17,--,4,False,0.0,0.0,0.255,0.044,0.266,-111.539,3.4,7.993,0,0,0.832,[0.033 0.05  0.099 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,18,--,4,False,0.0,0.0,0.264,0.366,0.245,-115.053,1.548,7.991,0,0,0.871,[0.033 0.05  0.138 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,19,--,4,False,0.0,0.0,0.256,2.166,0.624,-107.686,1.618,7.996,0,0,0.769,[0.033 0.05  0.036 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,0,--,4,True,0.0,0.0,0.245,5.342,0.509,-97.834,3.499,7.992,0,0,0.474,[0.033 0.05  0.19  0.2   0.   ],--,0,1,0,0,0,0
0.5,35,1,--,4,False,0.0,0.0,0.264,4.483,0.282,-120.484,3.615,7.983,0,0,0.784,[0.033 0.046 0.055 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,2,--,4,False,0.0,0.0,0.25,3.523,0.565,-102.09,1.885,7.992,0,0,0.832,[0.033 0.05  0.099 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,3,--,4,False,0.0,0.0,0.257,1.983,0.7,-112.689,1.818,7.995,0,0,0.742,[0.033 0.05  0.008 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,4,--,4,False,0.0,0.0,0.244,0.867,0.357,-102.49,3.8,7.958,0,0,0.871,[0.033 0.05  0.138 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,5,--,4,False,0.0,0.0,0.253,0.261,0.329,-107.493,2.644,7.994,0,0,0.756,[0.033 0.05  0.022 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,6,--,4,False,0.0,0.0,0.278,3.5,0.128,-131.281,3.8,7.998,0,0,0.755,[0.033 0.05  0.021 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,7,--,4,False,0.0,0.0,0.265,4.319,0.278,-118.259,3.481,7.98,0,0,0.784,[0.033 0.044 0.057 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,8,--,4,True,0.0,0.0,0.252,1.065,0.583,-100.259,1.892,7.999,0,0,0.287,[0.033 0.05  0.004 0.2   0.   ],--,0,1,0,0,0,0
0.5,35,9,--,4,False,0.0,0.0,0.264,2.669,0.302,-113.409,2.4,7.98,0,0,0.736,[0.033 0.048 0.005 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,10,--,4,False,0.0,0.0,0.253,0.581,0.328,-102.357,3.138,7.998,0,0,0.859,[0.033 0.05  0.125 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,11,--,4,False,0.0,0.0,0.261,2.258,0.732,-110.228,1.609,7.953,0,0,0.93,[0.033 0.05  0.196 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,12,--,4,True,0.0,0.0,0.246,1.429,0.498,-96.673,2.06,7.965,0,0,0.459,[0.033 0.05  0.175 0.2   0.   ],--,0,1,0,0,0,0
0.5,35,13,--,4,False,0.0,0.0,0.251,4.453,0.545,-98.096,1.741,7.975,0,0,0.909,[0.033 0.05  0.176 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,14,--,4,True,0.0,0.0,0.259,5.921,0.438,-101.326,1.928,7.988,0,0,0.313,[0.033 0.05  0.03  0.2   0.   ],--,0,1,0,0,0,0
0.5,35,15,--,4,True,0.0,0.0,0.249,0.615,0.466,-95.129,1.944,7.998,0,0,0.32,[0.033 0.05  0.036 0.2   0.   ],--,0,1,0,0,0,0
0.5,35,16,--,4,False,0.0,0.0,0.272,2.217,0.172,-121.197,3.8,7.999,0,0,0.858,[0.033 0.05  0.124 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,17,--,4,True,0.0,0.0,0.249,6.394,0.368,-99.189,3.8,7.926,0,0,0.361,[0.033 0.05  0.077 0.2   0.   ],--,0,1,0,0,0,0
0.5,35,18,--,4,True,0.0,0.0,0.252,0.985,0.666,-107.416,2.117,7.995,0,0,0.293,[0.033 0.042 0.018 0.2   0.   ],--,0,1,0,0,0,0
0.5,35,19,--,4,True,0.0,0.0,0.258,4.942,0.426,-108.381,1.653,7.985,0,0,0.383,[0.033 0.05  0.1   0.2   0.   ],--,0,1,0,0,0,0
0.5,40,0,--,4,False,0.0,0.0,0.254,2.238,0.684,-104.442,1.879,7.988,0,0,0.905,[0.033 0.05  0.172 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,1,--,4,False,0.0,0.0,0.253,1.941,0.466,-95.846,1.594,7.993,0,0,0.836,[0.033 0.05  0.103 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,2,--,4,False,0.0,0.0,0.258,2.714,0.704,-114.798,1.715,7.994,0,0,0.843,[0.033 0.047 0.113 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,3,--,4,False,0.0,0.0,0.261,1.227,0.16,-113.143,3.8,7.805,0,0,0.733,[0.033 0.05  0.    0.65  0.   ],--,1,0,0,0,0,0
0.5,40,4,--,4,False,0.0,0.0,0.266,5.066,0.302,-112.289,3.087,7.986,0,0,0.763,[0.033 0.048 0.031 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,5,--,4,False,0.0,0.0,0.248,3.882,0.578,-108.701,1.988,7.997,0,0,0.864,[0.033 0.05  0.131 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,6,--,4,False,0.0,0.0,0.277,1.756,0.126,-125.846,3.8,7.999,0,0,0.735,[0.033 0.05  0.002 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,7,--,4,False,0.0,0.0,0.258,2.947,0.325,-109.626,2.915,7.991,0,0,0.928,[0.033 0.05  0.195 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,8,--,4,False,0.0,0.0,0.265,2.54,0.271,-112.457,3.212,7.999,0,0,0.751,[0.033 0.048 0.02  0.65  0.   ],--,1,0,0,0,0,0
0.5,40,9,--,4,False,0.0,0.0,0.255,1.668,0.37,-115.037,1.513,7.986,0,0,0.869,[0.033 0.05  0.136 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,10,--,4,True,0.0,0.0,0.246,0.729,0.466,-102.492,2.0,7.998,0,0,0.421,[0.033 0.05  0.138 0.2   0.   ],--,0,1,0,0,0,0
0.5,40,11,--,4,False,0.0,0.0,0.272,3.54,0.205,-115.842,3.774,7.999,0,0,0.926,[0.033 0.05  0.192 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,12,--,4,False,0.0,0.0,0.275,4.395,0.202,-117.78,3.793,7.998,0,0,0.836,[0.033 0.05  0.103 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,13,--,4,False,0.0,0.0,0.275,0.143,0.125,-120.917,3.626,7.997,0,0,0.83,[0.033 0.05  0.097 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,14,--,4,False,0.0,0.0,0.253,3.388,0.385,-98.332,3.171,7.989,0,0,0.892,[0.033 0.05  0.159 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,15,--,4,True,0.0,0.0,0.257,1.179,0.617,-114.501,1.543,7.98,0,0,0.367,[0.033 0.05  0.083 0.2   0.   ],--,0,1,0,0,0,0
0.5,40,16,--,4,True,0.0,0.0,0.255,1.063,0.58,-105.143,1.693,7.823,0,0,0.393,[0.033 0.05  0.11  0.2   0.   ],--,0,1,0,0,0,0
0.5,40,17,--,4,True,0.0,0.0,0.25,2.193,0.524,-99.876,1.88,7.982,0,0,0.304,[0.033 0.05  0.021 0.2   0.   ],--,0,1,0,0,0,0
0.5,40,18,--,4,False,0.0,0.0,0.249,4.082,0.586,-102.519,2.037,7.992,0,0,0.874,[0.033 0.05  0.141 0.65  0.   ],--,1,0,0,0,0,0
0.5,40,19,--,0,False,0.0,0.0,0.279,3.266,0.115,0.0,3.8,7.995,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,1,0
0.5,45,0,--,4,False,0.0,0.0,0.269,0.398,0.893,-127.81,1.691,7.996,0,0,0.888,[0.033 0.05  0.154 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,1,--,4,True,0.0,0.0,0.252,0.589,0.374,-99.063,1.582,7.994,0,0,0.373,[0.033 0.05  0.09  0.2   0.   ],--,0,1,0,0,0,0
0.5,45,2,--,4,False,0.0,0.0,0.254,2.543,0.241,-111.375,3.8,7.931,0,0,0.848,[0.033 0.05  0.115 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,3,--,4,True,0.0,0.0,0.249,5.359,0.419,-104.557,3.8,7.858,0,0,0.447,[0.033 0.05  0.163 0.2   0.   ],--,0,1,0,0,0,0
0.5,45,4,--,4,False,0.0,0.0,0.255,3.582,0.364,-111.318,3.112,7.98,0,0,0.854,[0.033 0.05  0.121 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,5,--,4,False,0.0,0.0,0.259,3.272,0.663,-111.928,1.505,7.981,0,0,0.794,[0.033 0.05  0.061 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,6,--,4,False,0.0,0.0,0.278,3.573,0.189,-132.755,3.187,7.999,0,0,0.755,[0.033 0.041 0.031 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,7,--,0,False,0.0,0.0,0.294,6.212,0.1,0.0,3.8,8.0,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,1,0
0.5,45,8,--,4,False,0.0,0.0,0.26,4.364,0.24,-115.697,3.8,7.917,0,0,0.919,[0.033 0.05  0.186 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,9,--,4,False,0.0,0.0,0.255,0.763,0.252,-103.161,3.8,7.989,0,0,0.921,[0.033 0.05  0.187 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,10,--,4,False,0.0,0.0,0.258,1.78,0.717,-113.8,1.723,7.983,0,0,0.757,[0.033 0.05  0.024 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,11,--,4,True,0.0,0.0,0.246,0.025,0.474,-93.2,2.008,7.998,0,0,0.333,[0.033 0.05  0.05  0.2   0.   ],--,0,1,0,0,0,0
0.5,45,12,--,4,False,0.0,0.0,0.269,2.353,0.209,-114.856,3.8,7.999,0,0,0.852,[0.033 0.05  0.119 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,13,--,4,False,0.0,0.0,0.255,2.813,0.519,-107.997,1.523,7.992,0,0,0.796,[0.033 0.05  0.062 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,14,--,4,False,0.0,0.0,0.284,5.561,0.151,-124.292,3.8,8.0,0,0,0.814,[0.033 0.05  0.08  0.65  0.   ],--,1,0,0,0,0,0
0.5,45,15,--,4,False,0.0,0.0,0.249,3.887,0.537,-101.699,1.832,7.955,0,0,0.794,[0.033 0.05  0.061 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,16,--,4,False,0.0,0.0,0.253,1.366,0.345,-107.293,3.056,7.996,0,0,0.745,[0.033 0.05  0.011 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,17,--,4,False,0.0,0.0,0.267,1.323,0.195,-115.318,3.8,8.0,0,0,0.894,[0.033 0.05  0.161 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,18,--,4,False,0.0,0.0,0.273,2.292,0.165,-105.496,3.8,7.999,0,0,0.808,[0.033 0.05  0.075 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,19,--,4,False,0.0,0.0,0.254,2.955,0.384,-101.771,2.938,7.997,0,0,0.797,[0.033 0.046 0.068 0.65  0.   ],--,1,0,0,0,0,0
0.5,50,0,--,4,False,0.0,0.0,0.256,1.848,0.635,-110.866,1.745,7.997,0,0,0.895,[0.033 0.05  0.161 0.65  0.   ],--,1,0,0,0,0,0
0.5,50,1,--,4,False,0.0,0.0,0.276,4.507,0.255,-122.929,1.753,7.957,0,0,0.923,[0.033 0.048 0.192 0.65  0.   ],--,1,0,0,0,0,0
0.5,50,2,--,4,False,0.0,0.0,0.261,2.153,0.237,-108.687,3.8,7.986,0,0,0.863,[0.033 0.05  0.13  0.65  0.   ],--,1,0,0,0,0,0
