Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,4,False,0.0,0.0,0.253,2.849,0.611,-106.092,1.565,7.991,0,0,0.758,[0.033 0.05  0.025 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,1,--,4,False,0.0,0.0,0.265,1.255,0.774,177.847,1.599,7.968,0,0,0.867,[0.033 0.05  0.134 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,2,--,2,False,0.0,0.0,0.274,1.061,0.134,-70.932,1.519,7.996,0,0,0.608,[0.033 0.05  0.124 0.4   0.   ],--,0,0,1,0,0,0
0.5,30,3,--,4,False,0.0,0.0,0.244,4.785,0.476,-97.605,1.626,7.94,0,0,0.931,[0.033 0.05  0.198 0.65  0.   ],--,1,0,0,0,0,0
0.5,30,4,--,4,False,0.0,0.0,0.244,3.796,0.565,-99.032,1.651,7.994,0,0,0.826,[0.033 0.05  0.093 0.65  0.   ],--,1,0,0,0,0,0
0.5,35,0,--,2,False,0.0,0.0,0.254,2.906,0.381,-92.223,1.526,7.974,0,0,0.627,[0.033 0.05  0.144 0.4   0.   ],--,0,0,1,0,0,0
0.5,35,1,--,2,False,0.0,0.0,0.254,1.768,0.452,-95.763,1.6,7.975,0,0,0.578,[0.033 0.05  0.094 0.4   0.   ],--,0,0,1,0,0,0
0.5,35,2,--,2,False,0.0,0.0,0.269,3.105,0.156,-70.343,1.519,7.974,0,0,0.55,[0.033 0.05  0.066 0.4   0.   ],--,0,0,1,0,0,0
0.5,35,3,--,2,False,0.0,0.0,0.251,1.339,0.442,-99.116,1.746,7.941,0,0,0.568,[0.033 0.05  0.084 0.4   0.   ],--,0,0,1,0,0,0
0.5,35,4,--,2,False,0.0,0.0,0.245,3.863,0.397,-88.594,1.664,7.96,0,0,0.502,[0.033 0.05  0.019 0.4   0.   ],--,0,0,1,0,0,0
0.5,40,0,--,4,False,0.0,0.0,0.265,0.728,0.646,176.576,1.551,7.998,0,0,0.754,[0.033 0.05  0.02  0.65  0.   ],--,1,0,0,0,0,0
0.5,40,1,--,2,False,0.0,0.0,0.255,1.589,0.319,-95.105,1.587,7.956,0,0,0.518,[0.033 0.05  0.035 0.4   0.   ],--,0,0,1,0,0,0
0.5,40,2,--,2,False,0.0,0.0,0.265,2.738,0.161,-76.956,1.577,7.983,0,0,0.582,[0.033 0.05  0.099 0.4   0.   ],--,0,0,1,0,0,0
0.5,40,3,--,0,True,0.0,0.0,0.269,4.581,0.08,-36.534,1.621,7.992,0,0,0.144,[0.033 0.05  0.061 0.    0.   ],--,0,0,0,0,0,1
0.5,40,4,--,4,False,0.0,0.0,0.268,0.484,0.694,-145.391,1.516,7.958,0,0,0.768,[0.033 0.049 0.036 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,0,--,4,False,0.0,0.0,0.251,3.179,0.671,-106.42,1.623,7.972,0,0,0.741,[0.033 0.05  0.008 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,1,--,4,False,0.0,0.0,0.249,2.866,0.622,-111.038,1.634,7.997,0,0,0.88,[0.033 0.05  0.147 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,2,--,2,False,0.0,0.0,0.251,0.857,0.443,-103.084,1.706,7.996,0,0,0.667,[0.033 0.05  0.183 0.4   0.   ],--,0,0,1,0,0,0
0.5,45,3,--,2,False,0.0,0.0,0.251,0.892,0.444,-101.009,1.676,7.968,0,0,0.495,[0.033 0.05  0.011 0.4   0.   ],--,0,0,1,0,0,0
