Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,0,True,0.0,0.0,0.273,6.278,0.069,-23.669,1.502,7.99,0,0,0.173,[0.033 0.05  0.089 0.    0.   ],--,0,0,0,0,0,1
0.5,30,1,--,0,True,0.0,0.0,0.276,6.176,0.07,-25.26,1.507,7.92,0,0,0.084,[0.033 0.05  0.001 0.    0.   ],--,0,0,0,0,0,1
0.5,30,2,--,0,True,0.0,0.0,0.265,6.458,0.067,-23.874,1.739,7.995,0,0,0.153,[0.033 0.05  0.069 0.    0.   ],--,0,0,0,0,0,1
0.5,30,3,--,0,True,0.0,0.0,0.278,6.124,0.07,-23.471,1.501,7.965,0,0,0.192,[0.033 0.05  0.109 0.    0.   ],--,0,0,0,0,0,1
0.5,30,4,--,0,True,0.0,0.0,0.256,6.658,0.065,-23.83,1.99,7.937,0,0,0.157,[0.033 0.05  0.074 0.    0.   ],--,0,0,0,0,0,1
0.5,30,5,--,0,True,0.0,0.0,0.27,6.332,0.069,-21.669,1.618,7.994,0,0,0.278,[0.033 0.05  0.195 0.    0.   ],--,0,0,0,0,0,1
0.5,30,6,--,0,True,0.0,0.0,0.271,6.325,0.069,-22.586,1.551,7.944,0,0,0.266,[0.033 0.05  0.183 0.    0.   ],--,0,0,0,0,0,1
0.5,30,7,--,0,True,0.0,0.0,0.27,6.35,0.068,-21.825,1.575,7.992,0,0,0.282,[0.033 0.05  0.199 0.    0.   ],--,0,0,0,0,0,1
0.5,30,8,--,0,True,0.0,0.0,0.267,6.378,0.068,-25.211,1.666,7.988,0,0,0.084,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,9,--,0,True,0.0,0.0,0.256,6.68,0.065,-24.414,2.03,7.976,0,0,0.108,[0.033 0.05  0.025 0.    0.   ],--,0,0,0,0,0,1
