Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,0,True,0.0,0.0,0.268,6.391,0.068,-26.588,1.628,7.963,0,0,0.172,[0.033 0.05  0.088 0.    0.   ],--,0,0,0,0,0,1
0.5,30,1,--,0,True,0.0,0.0,0.272,6.303,0.069,-25.179,1.502,7.983,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,2,--,0,True,0.0,0.0,0.262,6.478,0.067,-24.384,1.802,7.984,0,0,0.11,[0.033 0.05  0.027 0.    0.   ],--,0,0,0,0,0,1
0.5,30,3,--,0,True,0.0,0.0,0.266,6.454,0.067,-21.416,1.704,7.992,0,0,0.267,[0.033 0.05  0.184 0.    0.   ],--,0,0,0,0,0,1
0.5,30,4,--,0,True,0.0,0.0,0.267,6.347,0.068,-25.718,1.677,7.984,0,0,0.1,[0.033 0.05  0.017 0.    0.   ],--,0,0,0,0,0,1
0.5,35,0,--,0,True,0.0,0.0,0.269,5.276,0.078,-30.429,1.609,7.985,0,0,0.128,[0.033 0.05  0.045 0.    0.   ],--,0,0,0,0,0,1
0.5,35,1,--,0,True,0.0,0.0,0.274,5.128,0.08,-30.052,1.51,7.989,0,0,0.151,[0.033 0.038 0.079 0.    0.   ],--,0,0,0,0,0,1
0.5,35,2,--,0,True,0.0,0.0,0.258,5.489,0.075,-27.293,1.966,7.96,0,0,0.239,[0.033 0.05  0.156 0.    0.   ],--,0,0,0,0,0,1
0.5,35,3,--,0,True,0.0,0.0,0.268,5.27,0.078,-25.856,1.621,7.995,0,0,0.108,[0.033 0.05  0.025 0.    0.   ],--,0,0,0,0,0,1
0.5,35,4,--,0,True,0.0,0.0,0.267,5.279,0.078,-26.491,1.665,7.988,0,0,0.162,[0.033 0.05  0.079 0.    0.   ],--,0,0,0,0,0,1
0.5,40,0,--,0,True,0.0,0.0,0.259,4.584,0.084,-27.171,1.904,7.936,0,0,0.228,[0.033 0.05  0.145 0.    0.   ],--,0,0,0,0,0,1
0.5,40,1,--,0,True,0.0,0.0,0.271,4.353,0.088,-33.607,1.559,7.98,0,0,0.241,[0.033 0.05  0.158 0.    0.   ],--,0,0,0,0,0,1
