Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,0,True,0.0,0.0,0.287,5.865,0.074,-30.624,1.563,7.997,0,0,0.113,[0.033 0.05  0.03  0.    0.   ],--,0,0,0,0,0,1
0.5,30,1,--,0,True,0.0,0.0,0.292,5.867,0.074,0.0,1.548,7.986,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,2,--,0,True,0.0,0.0,0.298,5.695,0.078,-36.452,1.535,7.995,0,0,0.152,[0.033 0.05  0.068 0.    0.   ],--,0,0,0,0,0,1
0.5,30,3,--,0,True,0.0,0.0,0.289,5.484,0.077,-34.31,1.524,7.993,0,0,0.28,[0.033 0.05  0.197 0.    0.   ],--,0,0,0,0,0,1
0.5,30,4,--,0,True,0.0,0.0,0.301,5.618,0.077,-35.441,1.51,7.994,0,0,0.247,[0.033 0.05  0.163 0.    0.   ],--,0,0,0,0,0,1
0.5,30,5,--,0,True,0.0,0.0,0.301,5.6,0.076,0.0,1.505,7.875,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,6,--,0,True,0.0,0.0,0.283,5.833,0.075,-34.339,1.583,7.989,0,0,0.281,[0.033 0.05  0.198 0.    0.   ],--,0,0,0,0,0,1
0.5,30,7,--,0,True,0.0,0.0,0.282,5.684,0.074,-34.116,1.574,7.999,0,0,0.274,[0.033 0.05  0.19  0.    0.   ],--,0,0,0,0,0,1
0.5,30,8,--,0,True,0.0,0.0,0.287,6.162,0.071,0.0,1.573,7.999,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,9,--,0,True,0.0,0.0,0.286,5.715,0.075,-32.6,1.549,7.984,0,0,0.146,[0.033 0.05  0.062 0.    0.   ],--,0,0,0,0,0,1
0.5,30,10,--,0,True,0.0,0.0,0.3,5.837,0.074,-29.404,1.514,7.984,0,0,0.226,[0.033 0.05  0.143 0.    0.   ],--,0,0,0,0,0,1
0.5,30,11,--,0,True,0.0,0.0,0.293,5.811,0.076,0.0,1.547,7.978,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,12,--,0,True,0.0,0.0,0.286,5.859,0.074,-33.278,1.564,7.999,0,0,0.212,[0.033 0.05  0.129 0.    0.   ],--,0,0,0,0,0,1
0.5,30,13,--,0,True,0.0,0.0,0.292,5.749,0.073,-29.122,1.56,7.977,0,0,0.25,[0.033 0.05  0.166 0.    0.   ],--,0,0,0,0,0,1
0.5,30,14,--,0,True,0.0,0.0,0.288,5.545,0.079,0.0,1.543,7.996,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
