Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,30,0,--,0,True,0.0,0.0,0.292,9.717,0.045,-15.113,2.786,7.996,0,0,0.266,[0.033 0.05  0.183 0.    0.   ],--,0,0,0,0,0,1
0.5,30,1,--,0,True,0.0,0.0,0.293,6.428,0.067,-36.679,1.591,7.997,0,0,0.131,[0.033 0.05  0.048 0.    0.   ],--,0,0,0,0,0,1
0.5,30,2,--,0,True,0.0,0.0,0.308,9.6,0.045,0.0,1.508,7.999,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,30,3,--,0,True,0.0,0.0,0.317,9.281,0.047,-22.771,1.507,7.999,0,0,0.254,[0.033 0.05  0.171 0.    0.   ],--,0,0,0,0,0,1
0.5,30,4,--,0,True,0.0,0.0,0.293,6.024,0.072,0.0,1.572,7.997,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,35,0,--,0,True,0.0,0.0,0.292,5.371,0.076,0.0,1.522,7.999,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,35,1,--,0,True,0.0,0.0,0.294,6.576,0.062,-31.193,1.581,7.998,0,0,0.086,[0.033 0.05  0.002 0.    0.   ],--,0,0,0,0,0,1
0.5,35,2,--,0,True,0.0,0.0,0.299,7.659,0.054,-23.99,1.638,7.989,0,0,0.142,[0.033 0.05  0.058 0.    0.   ],--,0,0,0,0,0,1
0.5,35,3,--,0,True,0.0,0.0,0.288,5.248,0.078,-36.73,1.567,7.978,0,0,0.127,[0.033 0.05  0.043 0.    0.   ],--,0,0,0,0,0,1
0.5,35,4,--,0,True,0.0,0.0,0.291,5.799,0.071,-38.318,1.589,7.986,0,0,0.102,[0.033 0.05  0.019 0.    0.   ],--,0,0,0,0,0,1
0.5,40,0,--,0,True,0.0,0.0,0.291,5.651,0.068,-29.351,1.621,7.998,0,0,0.231,[0.033 0.05  0.147 0.    0.   ],--,0,0,0,0,0,1
0.5,40,1,--,0,True,0.0,0.0,0.289,5.317,0.072,-32.658,1.652,7.994,0,0,0.151,[0.033 0.05  0.068 0.    0.   ],--,0,0,0,0,0,1
0.5,40,2,--,0,True,0.0,0.0,0.282,4.64,0.083,-40.473,2.353,7.991,0,0,0.277,[0.033 0.05  0.193 0.    0.   ],--,0,0,0,0,0,1
0.5,40,3,--,0,True,0.0,0.0,0.28,4.651,0.082,0.0,2.631,7.991,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,40,4,--,0,True,0.0,0.0,0.291,4.925,0.078,-38.107,1.527,7.983,0,0,0.092,[0.033 0.05  0.008 0.    0.   ],--,0,0,0,0,0,1
0.5,45,0,--,0,True,0.0,0.0,0.291,5.121,0.069,-34.509,1.589,7.991,0,0,0.283,[0.033 0.05  0.2   0.    0.   ],--,0,0,0,0,0,1
0.5,45,1,--,4,False,0.0,0.0,0.285,4.232,0.084,-93.523,1.652,7.998,0,0,0.758,[0.033 0.05  0.025 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,2,--,2,True,0.0,0.0,0.277,3.733,0.095,-48.287,2.659,7.995,0,0,0.323,[0.033 0.05  0.14  0.1   0.   ],--,0,0,0,1,0,0
0.5,45,3,--,4,False,0.0,0.0,0.281,3.995,0.088,-85.1,2.215,7.994,0,0,0.93,[0.033 0.05  0.196 0.65  0.   ],--,1,0,0,0,0,0
0.5,45,4,--,2,True,0.0,0.0,0.279,4.065,0.087,-45.982,2.714,7.99,0,0,0.325,[0.033 0.05  0.142 0.1   0.   ],--,0,0,0,1,0,0
0.5,50,0,--,4,False,0.0,0.0,0.281,3.14,0.102,-92.137,1.734,7.963,0,0,0.885,[0.033 0.05  0.151 0.65  0.   ],--,1,0,0,0,0,0
0.5,50,1,--,4,False,0.0,0.0,0.279,3.133,0.103,-89.532,2.101,7.903,0,0,0.833,[0.033 0.05  0.1   0.65  0.   ],--,1,0,0,0,0,0
0.5,50,2,--,0,True,0.0,0.0,0.279,3.865,0.083,0.0,2.592,7.999,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,50,3,--,4,True,0.0,0.0,0.277,3.433,0.094,-91.002,2.72,7.971,0,0,0.483,[0.033 0.05  0.199 0.2   0.   ],--,0,1,0,0,0,0
0.5,50,4,--,2,True,0.0,0.0,0.279,3.674,0.088,-50.079,2.598,7.993,0,0,0.185,[0.033 0.05  0.002 0.1   0.   ],--,0,0,0,1,0,0
0.5,55,0,--,4,True,0.0,0.0,0.275,2.571,0.112,-91.102,2.655,7.988,0,0,0.483,[0.033 0.05  0.2   0.2   0.   ],--,0,1,0,0,0,0
0.5,55,1,--,4,True,0.0,0.0,0.274,2.965,0.097,-89.561,3.228,7.996,0,0,0.386,[0.033 0.05  0.103 0.2   0.   ],--,0,1,0,0,0,0
0.5,55,2,--,4,False,0.0,0.0,0.277,2.849,0.101,-87.682,2.51,7.992,0,0,0.737,[0.033 0.05  0.004 0.65  0.   ],--,1,0,0,0,0,0
0.5,55,3,--,0,True,0.0,0.0,0.28,3.472,0.083,-34.996,2.294,7.991,0,0,0.274,[0.033 0.05  0.191 0.    0.   ],--,0,0,0,0,0,1
0.5,55,4,--,2,False,0.0,0.0,0.28,2.751,0.104,-90.543,1.769,7.964,0,0,0.668,[0.033 0.05  0.185 0.4   0.   ],--,0,0,1,0,0,0
0.5,60,0,--,4,False,0.0,0.0,0.274,2.196,0.114,-89.072,2.767,7.996,0,0,0.789,[0.033 0.05  0.055 0.65  0.   ],--,1,0,0,0,0,0
0.5,60,1,--,2,False,0.0,0.0,0.28,2.238,0.112,-89.674,1.637,7.935,0,0,0.597,[0.033 0.05  0.114 0.4   0.   ],--,0,0,1,0,0,0
0.5,60,2,--,2,False,0.0,0.0,0.284,2.31,0.108,-102.744,1.536,7.7,0,0,0.643,[0.033 0.05  0.16  0.4   0.   ],--,0,0,1,0,0,0
0.5,60,3,--,4,False,0.0,0.0,0.266,2.321,0.108,-88.417,3.8,7.999,0,0,0.743,[0.033 0.05  0.01  0.65  0.   ],--,1,0,0,0,0,0
0.5,60,4,--,4,False,0.0,0.0,0.283,2.622,0.095,-93.109,1.613,7.997,0,0,0.791,[0.033 0.05  0.058 0.65  0.   ],--,1,0,0,0,0,0
0.5,65,0,--,2,False,0.0,0.0,0.274,1.857,0.114,-94.454,2.804,7.977,0,0,0.485,[0.033 0.05  0.002 0.4   0.   ],--,0,0,1,0,0,0
0.5,65,1,--,2,False,0.0,0.0,0.281,2.019,0.105,-91.568,1.793,7.992,0,0,0.673,[0.033 0.05  0.19  0.4   0.   ],--,0,0,1,0,0,0
0.5,65,2,--,2,False,0.0,0.0,0.277,1.758,0.12,-89.172,1.896,7.941,0,0,0.548,[0.033 0.05  0.064 0.4   0.   ],--,0,0,1,0,0,0
0.5,65,3,--,2,False,0.0,0.0,0.276,1.911,0.111,-97.759,2.5,7.977,0,0,0.677,[0.033 0.05  0.193 0.4   0.   ],--,0,0,1,0,0,0
0.5,65,4,--,2,False,0.0,0.0,0.282,2.14,0.099,-90.96,1.624,7.911,0,0,0.682,[0.033 0.05  0.199 0.4   0.   ],--,0,0,1,0,0,0
0.5,70,0,--,2,False,0.0,0.0,0.277,1.357,0.126,-92.092,1.627,7.98,0,0,0.639,[0.033 0.05  0.155 0.4   0.   ],--,0,0,1,0,0,0
0.5,70,1,--,2,False,0.0,0.0,0.278,1.511,0.113,-96.837,1.795,7.973,0,0,0.668,[0.033 0.05  0.185 0.4   0.   ],--,0,0,1,0,0,0
0.5,70,2,--,4,False,0.0,0.0,0.271,1.385,0.124,-89.199,2.695,7.987,0,0,0.8,[0.033 0.05  0.067 0.65  0.   ],--,1,0,0,0,0,0
0.5,70,3,--,2,False,0.0,0.0,0.271,1.537,0.111,-86.544,3.076,7.994,0,0,0.568,[0.033 0.05  0.085 0.4   0.   ],--,0,0,1,0,0,0
0.5,70,4,--,2,False,0.0,0.0,0.275,1.527,0.112,-91.364,2.204,7.97,0,0,0.68,[0.033 0.05  0.197 0.4   0.   ],--,0,0,1,0,0,0
0.5,75,0,--,2,False,0.0,0.0,0.272,1.136,0.114,-96.148,2.717,7.98,0,0,0.616,[0.033 0.05  0.132 0.4   0.   ],--,0,0,1,0,0,0
0.5,75,1,--,2,False,0.0,0.0,0.276,1.016,0.128,-91.682,1.656,7.989,0,0,0.667,[0.033 0.05  0.184 0.4   0.   ],--,0,0,1,0,0,0
0.5,75,2,--,2,False,0.0,0.0,0.276,1.119,0.116,-91.468,1.979,7.981,0,0,0.677,[0.033 0.05  0.194 0.4   0.   ],--,0,0,1,0,0,0
0.5,75,3,--,2,False,0.0,0.0,0.275,1.115,0.116,-95.991,2.222,7.899,0,0,0.6,[0.033 0.05  0.117 0.4   0.   ],--,0,0,1,0,0,0
0.5,75,4,--,2,False,0.0,0.0,0.273,1.045,0.124,-89.562,2.455,7.979,0,0,0.586,[0.033 0.05  0.103 0.4   0.   ],--,0,0,1,0,0,0
0.5,80,0,--,4,False,0.0,0.0,0.272,0.699,0.124,-85.452,2.348,7.976,0,0,0.914,[0.033 0.05  0.181 0.65  0.   ],--,1,0,0,0,0,0
0.5,80,1,--,4,False,0.0,0.0,0.271,0.749,0.116,-92.391,2.78,7.98,0,0,0.862,[0.033 0.05  0.128 0.65  0.   ],--,1,0,0,0,0,0
0.5,80,2,--,4,False,0.0,0.0,0.264,0.795,0.109,-91.663,3.8,7.991,0,0,0.918,[0.033 0.05  0.185 0.65  0.   ],--,1,0,0,0,0,0
0.5,80,3,--,3,False,0.0,0.0,0.276,0.679,0.128,-96.217,1.576,7.988,0,0,0.872,[0.033 0.05  0.139 0.65  0.   ],--,1,0,0,0,0,0
0.5,80,4,--,2,False,0.0,0.0,0.273,0.699,0.124,-89.213,2.16,7.973,0,0,0.552,[0.033 0.05  0.068 0.4   0.   ],--,0,0,1,0,0,0
0.5,85,0,--,2,False,0.0,0.0,0.273,0.368,0.118,-90.53,2.132,7.998,0,0,0.667,[0.033 0.05  0.184 0.4   0.   ],--,0,0,1,0,0,0
0.5,85,1,--,4,False,0.0,0.0,0.272,0.37,0.118,-91.864,2.322,7.997,0,0,0.906,[0.033 0.05  0.173 0.65  0.   ],--,1,0,0,0,0,0
0.5,85,2,--,4,False,0.0,0.0,0.275,0.332,0.131,-91.755,1.586,7.967,0,0,0.913,[0.033 0.05  0.18  0.65  0.   ],--,1,0,0,0,0,0
0.5,85,3,--,4,False,0.0,0.0,0.27,0.376,0.116,-93.058,2.639,7.993,0,0,0.796,[0.033 0.05  0.063 0.65  0.   ],--,1,0,0,0,0,0
0.5,85,4,--,2,False,0.0,0.0,0.275,0.372,0.117,-92.132,1.805,7.995,0,0,0.635,[0.033 0.05  0.152 0.4   0.   ],--,0,0,1,0,0,0
0.5,90,0,--,4,False,0.0,0.0,0.262,0.0,0.121,-94.882,3.8,7.994,0,0,0.753,[0.033 0.05  0.019 0.65  0.   ],--,1,0,0,0,0,0
0.5,90,1,--,4,False,0.0,0.0,0.266,0.0,0.114,-89.128,3.8,7.995,0,0,0.794,[0.033 0.05  0.06  0.65  0.   ],--,1,0,0,0,0,0
0.5,90,2,--,2,False,0.0,0.0,0.271,0.0,0.113,-89.408,2.642,7.988,0,0,0.571,[0.033 0.05  0.087 0.4   0.   ],--,0,0,1,0,0,0
0.5,90,3,--,4,False,0.0,0.0,0.265,-0.0,0.133,-91.291,3.8,7.997,0,0,0.932,[0.033 0.05  0.198 0.65  0.   ],--,1,0,0,0,0,0
0.5,90,4,--,4,False,0.0,0.0,0.27,-0.0,0.114,-95.295,3.074,7.996,0,0,0.783,[0.033 0.05  0.05  0.65  0.   ],--,1,0,0,0,0,0
0.75,30,0,--,4,False,0.0,0.0,0.288,6.346,0.102,-96.889,1.639,7.951,0,0,0.921,[0.033 0.05  0.188 0.65  0.   ],--,1,0,0,0,0,0
0.75,30,1,--,4,False,0.0,0.0,0.289,6.888,0.094,-93.094,1.737,7.971,0,0,0.793,[0.033 0.05  0.059 0.65  0.   ],--,1,0,0,0,0,0
0.75,30,2,--,4,False,0.0,0.0,0.29,7.225,0.09,-91.449,1.711,7.999,0,0,0.928,[0.033 0.05  0.194 0.65  0.   ],--,1,0,0,0,0,0
0.75,30,3,--,4,False,0.0,0.0,0.278,6.343,0.102,-89.613,3.429,7.995,0,0,0.841,[0.033 0.05  0.108 0.65  0.   ],--,1,0,0,0,0,0
0.75,30,4,--,4,False,0.0,0.0,0.286,6.593,0.099,-90.963,2.128,7.987,0,0,0.932,[0.033 0.05  0.199 0.65  0.   ],--,1,0,0,0,0,0
0.75,35,0,--,4,False,0.0,0.0,0.283,5.767,0.107,-93.418,2.321,7.996,0,0,0.766,[0.033 0.05  0.032 0.65  0.   ],--,1,0,0,0,0,0
0.75,35,1,--,4,False,0.0,0.0,0.285,5.756,0.107,-93.952,1.956,7.991,0,0,0.738,[0.033 0.05  0.004 0.65  0.   ],--,1,0,0,0,0,0
0.75,35,2,--,4,False,0.0,0.0,0.287,5.63,0.109,-96.897,1.516,7.972,0,0,0.921,[0.033 0.05  0.188 0.65  0.   ],--,1,0,0,0,0,0
0.75,35,3,--,4,False,0.0,0.0,0.281,5.065,0.121,-87.263,2.23,7.992,0,0,0.757,[0.033 0.05  0.024 0.65  0.   ],--,1,0,0,0,0,0
0.75,35,4,--,4,False,0.0,0.0,0.282,5.594,0.11,-89.837,2.418,7.988,0,0,0.863,[0.033 0.05  0.13  0.65  0.   ],--,1,0,0,0,0,0
0.75,40,0,--,4,False,0.0,0.0,0.279,4.841,0.119,-95.824,2.567,7.983,0,0,0.834,[0.033 0.05  0.101 0.65  0.   ],--,1,0,0,0,0,0
0.75,40,1,--,4,False,0.0,0.0,0.281,4.644,0.124,-95.299,2.044,7.991,0,0,0.784,[0.033 0.05  0.05  0.65  0.   ],--,1,0,0,0,0,0
0.75,40,2,--,4,False,0.0,0.0,0.277,4.673,0.123,-92.548,2.845,7.991,0,0,0.846,[0.033 0.05  0.113 0.65  0.   ],--,1,0,0,0,0,0
0.75,40,3,--,4,False,0.0,0.0,0.281,4.66,0.123,-93.141,2.021,7.995,0,0,0.789,[0.033 0.05  0.055 0.65  0.   ],--,1,0,0,0,0,0
0.75,40,4,--,4,False,0.0,0.0,0.279,4.723,0.122,-96.035,2.563,7.993,0,0,0.855,[0.033 0.05  0.121 0.65  0.   ],--,1,0,0,0,0,0
0.75,45,0,--,4,False,0.0,0.0,0.278,3.882,0.137,-92.351,2.321,7.98,0,0,0.865,[0.033 0.05  0.132 0.65  0.   ],--,1,0,0,0,0,0
0.75,45,1,--,4,False,0.0,0.0,0.279,4.038,0.131,-92.192,2.226,7.964,0,0,0.88,[0.033 0.05  0.147 0.65  0.   ],--,1,0,0,0,0,0
0.75,45,2,--,4,False,0.0,0.0,0.28,4.039,0.131,-96.925,2.072,7.995,0,0,0.919,[0.033 0.046 0.189 0.65  0.   ],--,1,0,0,0,0,0
0.75,45,3,--,4,False,0.0,0.0,0.267,3.944,0.134,-93.329,3.8,7.997,0,0,0.773,[0.033 0.05  0.039 0.65  0.   ],--,1,0,0,0,0,0
