vel_IC,phi_IC,d_ceiling,My,k_run,vx,vz,RREV_trig,OFy_trig,impact_eul,landing_success
1.0,30.0,0.55,-3.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-3.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-3.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-3.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-4.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-4.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-4.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-4.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-5.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-5.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-5.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-5.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-6.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-6.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-6.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-6.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-7.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-7.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-7.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-7.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-8.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-8.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-8.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-8.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-9.0,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-9.25,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-9.5,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.55,-9.75,2,0.87,0.5,0.9091,-1.5818,,0.0
1.0,30.0,0.5,-3.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-3.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-3.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-3.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-4.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-4.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-4.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-4.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-5.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-5.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-5.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-5.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-6.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-6.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-6.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-6.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-7.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-7.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-7.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-7.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-8.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-8.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-8.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-8.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-9.0,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-9.25,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-9.5,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.5,-9.75,2,0.87,0.5,1.0,-1.74,,0.0
1.0,30.0,0.45,-3.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-3.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-3.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-3.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-4.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-4.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-4.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-4.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-5.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-5.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-5.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-5.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-6.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-6.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-6.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-6.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-7.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-7.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-7.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-7.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.4,-3.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.75,2,0.87,0.5,1.25,-2.175,,0.0
