# V_d,phi,Tau_0,trial_num
1.00,90.00,0.16,0.00
1.00,90.00,0.20,1.00
1.00,90.00,0.25,2.00
1.00,85.00,0.16,0.00
1.00,85.00,0.20,1.00
1.00,85.00,0.25,2.00
1.00,80.00,0.16,0.00
1.00,80.00,0.20,1.00
1.00,80.00,0.25,2.00
1.00,75.00,0.16,0.00
1.00,75.00,0.20,1.00
1.00,75.00,0.25,2.00
1.00,70.00,0.16,0.00
1.00,70.00,0.20,1.00
1.00,70.00,0.25,2.00
1.00,65.00,0.16,0.00
1.00,65.00,0.20,1.00
1.00,65.00,0.25,2.00
1.00,60.00,0.16,0.00
1.00,60.00,0.20,1.00
1.00,60.00,0.25,2.00
1.00,55.00,0.16,0.00
1.00,55.00,0.20,1.00
1.00,55.00,0.25,2.00
1.00,50.00,0.16,0.00
1.00,50.00,0.20,1.00
1.00,50.00,0.25,2.00
1.00,45.00,0.16,0.00
1.00,45.00,0.20,1.00
1.00,45.00,0.25,2.00
1.00,40.00,0.16,0.00
1.00,40.00,0.20,1.00
1.00,40.00,0.25,2.00
1.00,35.00,0.16,0.00
1.00,35.00,0.20,1.00
1.00,35.00,0.25,2.00
1.00,30.00,0.16,0.00
1.00,30.00,0.20,1.00
1.00,30.00,0.25,2.00
1.00,25.00,0.16,0.00
1.00,25.00,0.20,1.00
1.00,25.00,0.25,2.00
1.00,20.00,0.16,0.00
1.00,20.00,0.20,1.00
1.00,20.00,0.25,2.00
1.25,90.00,0.16,0.00
1.25,90.00,0.20,1.00
1.25,90.00,0.25,2.00
1.25,85.00,0.16,0.00
1.25,85.00,0.20,1.00
1.25,85.00,0.25,2.00
1.25,80.00,0.16,0.00
1.25,80.00,0.20,1.00
1.25,80.00,0.25,2.00
1.25,75.00,0.16,0.00
1.25,75.00,0.20,1.00
1.25,75.00,0.25,2.00
1.25,70.00,0.16,0.00
1.25,70.00,0.20,1.00
1.25,70.00,0.25,2.00
1.25,65.00,0.16,0.00
1.25,65.00,0.20,1.00
1.25,65.00,0.25,2.00
1.25,60.00,0.16,0.00
1.25,60.00,0.20,1.00
1.25,60.00,0.25,2.00
1.25,55.00,0.16,0.00
