# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.55,-3.00,1.00,0.00
3.00,90.00,0.55,-3.00,1.00,1.00
3.00,90.00,0.55,-3.00,1.00,2.00
3.00,90.00,0.55,-3.25,1.00,0.00
3.00,90.00,0.55,-3.25,1.00,1.00
3.00,90.00,0.55,-3.25,1.00,2.00
3.00,90.00,0.55,-3.50,1.00,0.00
3.00,90.00,0.55,-3.50,1.00,1.00
3.00,90.00,0.55,-3.50,1.00,2.00
3.00,90.00,0.55,-3.75,1.00,0.00
3.00,90.00,0.55,-3.75,1.00,1.00
3.00,90.00,0.55,-3.75,1.00,2.00
3.00,90.00,0.55,-4.00,1.00,0.00
3.00,90.00,0.55,-4.00,1.00,1.00
3.00,90.00,0.55,-4.00,1.00,2.00
3.00,90.00,0.55,-4.25,1.00,0.00
3.00,90.00,0.55,-4.25,1.00,1.00
3.00,90.00,0.55,-4.25,1.00,2.00
3.00,90.00,0.55,-4.50,1.00,0.00
3.00,90.00,0.55,-4.50,1.00,1.00
3.00,90.00,0.55,-4.50,1.00,2.00
3.00,90.00,0.55,-4.75,1.00,0.00
3.00,90.00,0.55,-4.75,1.00,1.00
3.00,90.00,0.55,-4.75,1.00,2.00
3.00,90.00,0.55,-5.00,1.00,0.00
3.00,90.00,0.55,-5.00,1.00,1.00
3.00,90.00,0.55,-5.00,1.00,2.00
3.00,90.00,0.55,-5.25,1.00,0.00
3.00,90.00,0.55,-5.25,1.00,1.00
3.00,90.00,0.55,-5.25,1.00,2.00
3.00,90.00,0.55,-5.50,1.00,0.00
3.00,90.00,0.55,-5.50,1.00,1.00
3.00,90.00,0.55,-5.50,1.00,2.00
3.00,90.00,0.55,-5.75,1.00,0.00
3.00,90.00,0.55,-5.75,1.00,1.00
3.00,90.00,0.55,-5.75,1.00,2.00
3.00,90.00,0.55,-6.00,1.00,0.00
3.00,90.00,0.55,-6.00,1.00,1.00
3.00,90.00,0.55,-6.00,1.00,2.00
3.00,90.00,0.55,-6.25,1.00,0.00
3.00,90.00,0.55,-6.25,1.00,1.00
3.00,90.00,0.55,-6.25,1.00,2.00
3.00,90.00,0.55,-6.50,1.00,0.00
3.00,90.00,0.55,-6.50,1.00,1.00
3.00,90.00,0.55,-6.50,1.00,2.00
3.00,90.00,0.55,-6.75,1.00,0.00
3.00,90.00,0.55,-6.75,1.00,1.00
3.00,90.00,0.55,-6.75,1.00,2.00
3.00,90.00,0.55,-7.00,1.00,0.00
3.00,90.00,0.55,-7.00,1.00,1.00
3.00,90.00,0.55,-7.00,1.00,2.00
3.00,90.00,0.55,-7.25,1.00,0.00
3.00,90.00,0.55,-7.25,1.00,1.00
3.00,90.00,0.55,-7.25,1.00,2.00
3.00,90.00,0.55,-7.50,1.00,0.00
3.00,90.00,0.55,-7.50,1.00,1.00
3.00,90.00,0.55,-7.50,1.00,2.00
3.00,90.00,0.55,-7.75,1.00,0.00
3.00,90.00,0.55,-7.75,1.00,1.00
3.00,90.00,0.55,-7.75,1.00,2.00
3.00,90.00,0.55,-8.00,1.00,0.00
3.00,90.00,0.55,-8.00,1.00,1.00
3.00,90.00,0.55,-8.00,1.00,2.00
3.00,90.00,0.55,-8.25,1.00,0.00
3.00,90.00,0.55,-8.25,1.00,1.00
3.00,90.00,0.55,-8.25,1.00,2.00
3.00,90.00,0.55,-8.50,1.00,0.00
3.00,90.00,0.55,-8.50,1.00,1.00
3.00,90.00,0.55,-8.50,1.00,2.00
3.00,90.00,0.55,-8.75,1.00,0.00
3.00,90.00,0.55,-8.75,1.00,1.00
3.00,90.00,0.55,-8.75,1.00,2.00
3.00,90.00,0.55,-9.00,1.00,0.00
3.00,90.00,0.55,-9.00,1.00,1.00
3.00,90.00,0.55,-9.00,1.00,2.00
3.00,90.00,0.55,-9.25,1.00,0.00
3.00,90.00,0.55,-9.25,1.00,1.00
3.00,90.00,0.55,-9.25,1.00,2.00
3.00,90.00,0.55,-9.50,1.00,0.00
3.00,90.00,0.55,-9.50,1.00,1.00
3.00,90.00,0.55,-9.50,1.00,2.00
3.00,90.00,0.55,-9.75,1.00,0.00
3.00,90.00,0.55,-9.75,1.00,1.00
3.00,90.00,0.55,-9.75,1.00,2.00
3.00,90.00,0.50,-3.00,1.00,0.00
3.00,90.00,0.50,-3.00,1.00,1.00
3.00,90.00,0.50,-3.00,1.00,2.00
3.00,90.00,0.50,-3.25,1.00,0.00
3.00,90.00,0.50,-3.25,1.00,1.00
3.00,90.00,0.50,-3.25,1.00,2.00
3.00,90.00,0.50,-3.50,1.00,0.00
3.00,90.00,0.50,-3.50,1.00,1.00
3.00,90.00,0.50,-3.50,1.00,2.00
3.00,90.00,0.50,-3.75,1.00,0.00
3.00,90.00,0.50,-3.75,1.00,1.00
3.00,90.00,0.50,-3.75,1.00,2.00
3.00,90.00,0.50,-4.00,1.00,0.00
3.00,90.00,0.50,-4.00,1.00,1.00
3.00,90.00,0.50,-4.00,1.00,2.00
3.00,90.00,0.50,-4.25,1.00,0.00
3.00,90.00,0.50,-4.25,1.00,1.00
3.00,90.00,0.50,-4.25,1.00,2.00
3.00,90.00,0.50,-4.50,1.00,0.00
3.00,90.00,0.50,-4.50,1.00,1.00
3.00,90.00,0.50,-4.50,1.00,2.00
3.00,90.00,0.50,-4.75,1.00,0.00
3.00,90.00,0.50,-4.75,1.00,1.00
3.00,90.00,0.50,-4.75,1.00,2.00
3.00,90.00,0.50,-5.00,1.00,0.00
3.00,90.00,0.50,-5.00,1.00,1.00
3.00,90.00,0.50,-5.00,1.00,2.00
3.00,90.00,0.50,-5.25,1.00,0.00
3.00,90.00,0.50,-5.25,1.00,1.00
3.00,90.00,0.50,-5.25,1.00,2.00
3.00,90.00,0.50,-5.50,1.00,0.00
3.00,90.00,0.50,-5.50,1.00,1.00
3.00,90.00,0.50,-5.50,1.00,2.00
3.00,90.00,0.50,-5.75,1.00,0.00
3.00,90.00,0.50,-5.75,1.00,1.00
3.00,90.00,0.50,-5.75,1.00,2.00
