vel_IC,phi_IC,trial_num,LR_4leg,vz_flip_mean,vz_flip_std,vx_flip_mean,vx_flip_std,Tau_flip_mean,Tau_flip_std,OFy_flip_mean,OFy_flip_std,D_ceil_flip_mean,D_ceil_flip_std,My_mean,My_std
2.5,55.0,0,1.0,1.8999,0.0046,1.4857,0.0062,0.2284,0.0025,-3.5736,0.039,0.4261,0.005,-4.0327,0.1968
2.5,55.0,2,1.0,1.8938,0.0058,1.4797,0.0096,0.2207,0.0024,-3.6847,0.058,0.4109,0.0049,-5.6867,0.0255
2.5,57.5,0,0.0,1.9504,0.0068,1.3858,0.0104,0.2094,0.0023,-3.5388,0.0614,0.4018,0.0041,-4.2912,0.0161
2.5,57.5,1,0.9444,1.9581,0.0083,1.3884,0.0115,0.2271,0.0024,-3.2567,0.0426,0.4378,0.0048,-4.161,0.0068
2.5,57.5,2,0.7222,1.9586,0.0068,1.3881,0.0098,0.2282,0.0034,-3.2386,0.0638,0.4399,0.0067,-3.6143,0.0636
2.5,60.0,0,0.8889,2.0143,0.0068,1.2925,0.0088,0.2216,0.0025,-3.0222,0.0444,0.44,0.0051,-4.7857,0.0014
2.5,60.0,1,0.8333,2.0206,0.0088,1.2959,0.0102,0.2336,0.0029,-2.8804,0.0359,0.4648,0.0063,-3.2419,0.0449
2.5,60.0,2,0.3333,2.0024,0.0053,1.2857,0.008,0.1986,0.0025,-3.3771,0.0513,0.3919,0.0051,-7.4028,0.0032
2.5,62.5,1,0.8889,2.0665,0.0063,1.1925,0.0075,0.2263,0.0027,-2.6648,0.0488,0.4622,0.0056,-4.4286,0.0212
2.5,62.5,2,0.8333,2.0698,0.0073,1.1964,0.0091,0.2233,0.0026,-2.7132,0.0409,0.4558,0.0056,-4.7353,0.1731
2.5,65.0,0,1.0,2.1105,0.0056,1.0901,0.0093,0.2166,0.0024,-2.4914,0.056,0.4526,0.0052,-8.6831,0.0108
2.5,65.0,1,0.8889,2.1154,0.0058,1.0898,0.0071,0.2281,0.002,-2.3602,0.0361,0.4775,0.0043,-4.0339,0.0073
2.5,65.0,2,0.2778,2.1101,0.0054,1.0882,0.0068,0.2188,0.0026,-2.4611,0.0399,0.4569,0.0056,-5.036,0.0031
2.6,55.0,0,0.2222,1.9635,0.0038,1.5304,0.007,0.1866,0.0028,-4.3889,0.0746,0.3588,0.0059,-8.9576,0.0077
2.6,55.0,1,0.1667,1.9811,0.0067,1.5407,0.0097,0.2259,0.0027,-3.5956,0.0513,0.4392,0.0058,-3.3378,0.0048
2.6,55.0,2,0.8889,1.9763,0.0072,1.54,0.0119,0.2136,0.0025,-3.8082,0.0599,0.4143,0.0052,-7.8816,0.0047
2.6,57.5,0,0.9444,2.0473,0.0062,1.4458,0.0091,0.2274,0.0019,-3.2483,0.0477,0.4579,0.0039,-4.0684,0.0422
2.6,57.5,1,0.7778,2.0409,0.008,1.4379,0.0119,0.2243,0.0029,-3.2706,0.0525,0.4509,0.0062,-4.3924,0.0603
2.6,57.5,2,0.1111,2.0298,0.0027,1.4369,0.0052,0.1939,0.0024,-3.8222,0.0578,0.3867,0.0048,-7.9581,0.0026
2.6,60.0,0,0.8889,2.1041,0.0067,1.3444,0.0093,0.2239,0.0024,-2.9884,0.0349,0.4639,0.0054,-4.8501,0.1743
2.6,60.0,1,0.9444,2.1027,0.0078,1.3416,0.0092,0.2252,0.0023,-2.9586,0.0346,0.4668,0.0051,-4.585,0.0189
2.6,60.0,2,0.4444,2.0986,0.0062,1.3404,0.0097,0.2176,0.003,-3.0654,0.0668,0.45,0.0062,-4.9764,0.0026
