vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.5,30.0,0,0.0,,,,,,,,,,,,,[2.005 5.452],[0.01  0.078]
1.5,30.0,1,0.0,,,,,,,,,,,,,[2.285 8.994],[0.036 0.014]
1.5,33.75,0,0.0,,,,,,,,,,,,,[1.674 3.224],[0.015 0.012]
1.5,33.75,1,0.0,,,,,,,,,,,,,[1.982 5.792],[0.032 0.022]
1.5,33.75,2,0.0,,,,,,,,,,,,,[1.842 5.356],[0.006 0.027]
1.5,37.5,0,0.0,,,,,,,,,,,,,[1.75  4.009],[0.08  0.006]
1.5,37.5,1,0.0,,,,,,,,,,,,,[2.128 7.783],[0.011 0.44 ]
1.5,37.5,2,0.0,,,,,,,,,,,,,[1.927 6.069],[0.002 0.017]
1.5,41.25,0,0.0,,,,,,,,,,,,,[1.939 6.39 ],[0.021 0.015]
1.5,41.25,1,0.7222,0.2362,-6.9698,0.1702,-7.714,0.7208,1.1927,0.0011,0.1409,0.0042,0.1237,0.0179,0.0171,[2.414 7.704],[0.003 0.112]
1.5,41.25,2,0.9444,0.2284,-7.3018,0.163,-7.4753,0.7181,1.1961,0.0028,0.1677,0.0035,0.0595,0.013,0.0199,[2.331 7.464],[0.006 0.052]
1.5,45.0,1,0.0,,,,,,,,,,,,,[1.906 4.694],[0.002 0.204]
1.5,45.0,2,0.9444,0.2278,-6.2321,0.1791,-7.7693,0.7861,1.1228,0.0021,0.1497,0.0053,0.1928,0.0199,0.021,[2.318 7.684],[0.001 0.058]
1.5,48.75,0,0.8333,0.2313,-5.292,0.1969,-7.3949,0.8537,1.049,0.0017,0.1251,0.0043,0.3936,0.0186,0.0221,[2.351 7.542],[0.009 0.572]
1.5,48.75,1,0.9444,0.2216,-5.4986,0.1887,-6.862,0.8542,1.0436,0.0026,0.1165,0.0045,0.119,0.0134,0.0199,[2.252 6.833],[0.022 0.098]
1.5,48.75,2,0.0,,,,,,,,,,,,,[1.916 5.619],[0.002 0.117]
1.5,52.5,0,0.6111,0.2187,-4.7729,0.2048,-6.4902,0.9406,0.979,0.0017,0.2372,0.0055,0.0372,0.0218,0.0368,[2.233 6.495],[0.017 0.047]
1.5,52.5,1,0.0,,,,,,,,,,,,,[1.984 5.374],[0.002 0.077]
1.5,52.5,2,0.0,,,,,,,,,,,,,[1.749 2.672],[0.041 0.035]
1.5,56.25,0,0.0,0.1572,-3.905,0.1864,-9.2816,1.1455,0.7965,0.0021,0.7694,0.0272,0.0655,0.1253,0.228,[1.612 9.256],[0.002 0.046]
1.5,56.25,1,0.0,,,,,,,,,,,,,[1.851 4.241],[0.015 0.035]
1.5,56.25,2,0.1667,0.2097,-4.0353,0.2157,-5.8077,1.0307,0.8737,0.0037,0.1451,0.0065,0.2418,0.0442,0.0082,[2.001 5.494],[0.092 0.393]
1.5,60.0,0,0.3333,0.2098,-3.4545,0.2255,-8.0635,1.0794,0.7791,0.0022,0.1987,0.0075,0.1109,0.0316,0.0236,[2.152 8.016],[0.022 0.082]
1.5,60.0,1,0.6111,0.213,-3.4372,0.2278,-6.9136,1.0718,0.785,0.0019,0.1333,0.0075,0.1545,0.0351,0.016,[2.173 6.883],[0.001 0.161]
1.5,60.0,2,0.5,0.2143,-3.4086,0.2271,-8.2783,1.0602,0.7765,0.0024,0.0728,0.0053,0.2175,0.0249,0.016,[2.186 8.21 ],[0.008 0.201]
1.5,63.75,0,0.0,,,,,,,,,,,,,[1.884 4.657],[0.025 0.079]
1.5,63.75,2,0.0,,,,,,,,,,,,,[1.998 4.978],[0.044 0.012]
1.5,67.5,0,0.2778,0.2126,-2.4607,0.2464,-5.9599,1.1634,0.6079,0.0014,0.1325,0.0058,0.2026,0.0352,0.0192,[2.162 5.972],[0.    0.263]
1.5,67.5,1,0.2222,0.2168,-2.3602,0.247,-6.5815,1.14,0.5847,0.0013,0.0832,0.0027,0.73,0.0061,0.0155,[2.229 6.739],[0.002 0.64 ]
1.5,67.5,2,0.6111,0.213,-2.4173,0.2447,-8.4286,1.1515,0.5926,0.0025,0.0831,0.0048,0.0423,0.0316,0.0152,[2.164 8.442],[0.007 0.061]
1.5,71.25,0,0.1111,0.2128,-2.0428,0.2478,-8.4671,1.1695,0.5068,0.0018,0.1098,0.0045,0.0496,0.0191,0.0281,[2.196 8.474],[0.017 0.073]
1.5,71.25,1,0.3333,0.2162,-1.892,0.2577,-6.8377,1.1913,0.4892,0.0011,0.2188,0.0049,0.0969,0.0203,0.0546,[2.207 6.815],[0.    0.083]
1.5,71.25,2,0.0,,,,,,,,,,,,,[1.556 7.075],[0.032 0.361]
1.5,75.0,0,0.0,,,,,,,,,,,,,[1.937 3.754],[0.02  0.032]
1.5,75.0,1,0.0,,,,,,,,,,,,,[1.759 7.527],[0.01  0.042]
1.5,75.0,2,0.0,,,,,,,,,,,,,[2.224 7.97 ],[0.001 0.622]
1.5,78.75,0,0.0,,,,,,,,,,,,,[1.955 2.834],[0.039 0.328]
1.5,78.75,1,0.6111,0.2179,-1.0677,0.2695,-7.8482,1.2399,0.2887,0.0021,0.076,0.0066,0.0285,0.0337,0.0217,[2.217 7.851],[0.    0.027]
1.5,78.75,2,0.2778,0.221,-1.072,0.2727,-8.1307,1.2358,0.2932,0.0023,0.0493,0.0051,0.0805,0.017,0.0155,[2.26  8.096],[0.001 0.086]
1.5,82.5,0,0.2222,0.2152,-0.7494,0.2706,-6.0652,1.2614,0.2036,0.003,0.012,0.0052,0.0983,0.0313,0.0033,[2.181 6.05 ],[0.    0.104]
1.5,82.5,2,0.5556,0.2204,-0.7027,0.2779,-8.5356,1.264,0.1958,0.0027,0.0793,0.0062,0.3177,0.0283,0.0218,[2.252 8.551],[0.009 0.354]
1.5,86.25,0,0.1111,0.229,-0.3033,0.288,-8.2433,1.2587,0.0873,0.0,0.0755,0.0036,0.0376,0.0169,0.0222,[2.364 8.246],[0.021 0.056]
1.5,86.25,1,0.0,0.2146,-0.3669,0.277,-8.7693,1.2939,0.1024,0.0022,0.0431,0.0071,0.1215,0.0351,0.0114,[2.184 8.651],[0.   0.19]
1.5,86.25,2,0.4444,0.2164,-0.3742,0.2779,-7.5714,1.2866,0.1046,0.0038,0.0472,0.007,0.0448,0.0283,0.0145,[2.22  7.562],[0.045 0.044]
1.5,90.0,0,0.7222,0.2265,0.0035,0.2935,-7.3736,1.2981,-0.001,0.003,0.0247,0.0089,0.032,0.037,0.0073,[2.31  7.354],[0.024 0.049]
1.5,90.0,1,0.4444,0.2139,-0.0074,0.2708,-5.1358,1.2681,0.0015,0.0018,0.0531,0.0032,0.0896,0.0158,0.0146,[2.179 5.141],[0.006 0.14 ]
1.5,90.0,2,0.1111,0.2151,0.0037,0.2742,-7.2959,1.2768,-0.0011,0.0028,0.0163,0.007,0.0143,0.0313,0.0045,[2.203 7.296],[0.021 0.013]
1.6,30.0,0,0.0,,,,,,,,,,,,,[1.401 9.532],[0.042 0.042]
1.6,30.0,1,0.3333,0.2478,-10.9265,0.1317,-9.7385,0.5415,1.4472,0.0022,0.4559,0.0029,0.0825,0.0133,0.0496,[2.518 9.694],[0.023 0.149]
1.6,30.0,2,0.0,,,,,,,,,,,,,[1.697 3.45 ],[0.259 0.032]
1.6,33.75,0,0.0,,,,,,,,,,,,,[1.849 6.498],[0.049 0.046]
1.6,33.75,1,0.8333,0.2378,-9.4349,0.1471,-7.9539,0.6285,1.3941,0.0029,0.3563,0.0053,0.0495,0.0206,0.0293,[2.419 7.96 ],[0.012 0.045]
1.6,33.75,2,0.4444,0.2426,-9.3115,0.1494,-8.076,0.6251,1.3966,0.0037,0.5225,0.0031,0.1042,0.0143,0.054,[2.478 8.064],[0.028 0.091]
