y_test,y_pred_test,y_error
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,1.00,0.96
0.00,0.00,0.05
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.93
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,1.00,0.94
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.97
0.00,1.00,0.95
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.15
0.00,1.00,0.92
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.71
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.95
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.95
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.21
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.83
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.26
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.28
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.95
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.30
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.18
0.00,0.00,0.24
0.00,0.00,0.00
0.00,0.00,0.03
0.00,1.00,0.69
0.00,1.00,0.79
0.00,1.00,0.96
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.02
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.05
0.00,0.00,0.00
0.00,1.00,0.94
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.87
0.00,1.00,0.62
0.00,0.00,0.00
0.00,1.00,0.96
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.92
0.00,0.00,0.02
0.00,0.00,0.00
0.00,1.00,0.92
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.02
0.00,1.00,0.73
0.00,1.00,0.96
0.00,1.00,0.73
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.95
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.86
0.00,0.00,0.00
0.00,1.00,0.93
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.13
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.13
0.00,1.00,0.89
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.23
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.04
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,1.00,0.95
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.91
0.00,0.00,0.00
0.00,0.00,0.04
0.00,1.00,0.93
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.00
0.00,1.00,0.94
0.00,0.00,0.00
0.00,0.00,0.00
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.29
1.00,1.00,-0.04
1.00,1.00,-0.10
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,0.00,-0.88
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.06
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.03
1.00,1.00,-0.04
1.00,1.00,-0.09
1.00,1.00,-0.22
1.00,1.00,-0.04
1.00,1.00,-0.08
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.06
1.00,1.00,-0.04
1.00,1.00,-0.18
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.11
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.06
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.12
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.09
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.13
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.06
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.22
1.00,0.00,-0.72
1.00,1.00,-0.04
1.00,1.00,-0.06
