y_test,y_pred_test,y_error
0.00,1.00,0.80
0.00,0.00,0.21
0.00,1.00,0.95
0.00,0.00,0.31
0.00,1.00,0.95
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.07
0.00,1.00,0.83
0.00,0.00,0.00
0.00,0.00,0.48
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.36
0.00,0.00,0.41
0.00,1.00,0.89
0.00,1.00,0.93
0.00,1.00,0.54
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.18
0.00,0.00,0.11
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.88
0.00,0.00,0.03
0.00,1.00,0.59
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.32
0.00,0.00,0.00
0.00,1.00,0.96
0.00,1.00,0.77
0.00,0.00,0.01
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,1.00,0.51
0.00,1.00,0.51
0.00,1.00,0.86
0.00,1.00,0.81
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.96
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.79
0.00,0.00,0.00
0.00,0.00,0.16
0.00,0.00,0.00
0.00,1.00,0.80
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.77
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.03
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.97
0.00,0.00,0.00
0.00,0.00,0.09
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.81
0.00,1.00,0.97
0.00,0.00,0.00
0.00,1.00,0.81
0.00,0.00,0.01
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.89
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.97
0.00,1.00,0.85
0.00,0.00,0.00
0.00,0.00,0.22
0.00,0.00,0.42
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.14
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.39
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.02
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.72
0.00,0.00,0.03
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.84
0.00,1.00,0.80
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.84
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.77
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.95
0.00,1.00,0.92
0.00,1.00,0.78
0.00,1.00,0.97
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.94
0.00,0.00,0.00
0.00,0.00,0.00
0.00,1.00,0.58
1.00,1.00,-0.03
1.00,1.00,-0.02
1.00,1.00,-0.03
1.00,0.00,-1.00
1.00,1.00,-0.05
1.00,1.00,-0.05
1.00,1.00,-0.35
1.00,1.00,-0.05
1.00,1.00,-0.03
1.00,1.00,-0.14
1.00,1.00,-0.09
1.00,1.00,-0.02
1.00,1.00,-0.02
1.00,1.00,-0.09
1.00,1.00,-0.09
1.00,1.00,-0.04
1.00,1.00,-0.04
1.00,1.00,-0.02
1.00,1.00,-0.03
1.00,1.00,-0.04
1.00,1.00,-0.03
1.00,1.00,-0.04
1.00,1.00,-0.07
1.00,1.00,-0.03
1.00,1.00,-0.03
1.00,1.00,-0.03
1.00,1.00,-0.07
1.00,1.00,-0.02
1.00,1.00,-0.31
1.00,1.00,-0.04
1.00,1.00,-0.08
1.00,1.00,-0.06
1.00,1.00,-0.11
1.00,1.00,-0.03
1.00,1.00,-0.08
1.00,1.00,-0.04
1.00,1.00,-0.13
1.00,1.00,-0.12
1.00,1.00,-0.11
1.00,1.00,-0.06
1.00,1.00,-0.11
1.00,1.00,-0.03
1.00,1.00,-0.08
1.00,1.00,-0.07
1.00,1.00,-0.22
1.00,1.00,-0.12
1.00,1.00,-0.01
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.04
1.00,1.00,-0.08
1.00,1.00,-0.08
1.00,1.00,-0.07
1.00,1.00,-0.16
1.00,1.00,-0.11
1.00,1.00,-0.10
1.00,1.00,-0.03
1.00,1.00,-0.05
1.00,1.00,-0.03
1.00,1.00,-0.04
1.00,1.00,-0.05
1.00,1.00,-0.06
1.00,1.00,-0.03
1.00,1.00,-0.03
1.00,1.00,-0.08
1.00,1.00,-0.05
1.00,1.00,-0.10
1.00,1.00,-0.05
1.00,1.00,-0.03
1.00,1.00,-0.08
1.00,1.00,-0.05
1.00,1.00,-0.03
1.00,1.00,-0.08
1.00,1.00,-0.25
1.00,1.00,-0.07
1.00,1.00,-0.21
1.00,1.00,-0.32
1.00,1.00,-0.13
1.00,0.00,-0.51
1.00,1.00,-0.09
1.00,1.00,-0.36
1.00,1.00,-0.06
1.00,1.00,-0.03
1.00,1.00,-0.05
1.00,1.00,-0.09
1.00,1.00,-0.10
1.00,1.00,-0.09
1.00,1.00,-0.05
1.00,1.00,-0.14
1.00,0.00,-0.99
1.00,1.00,-0.06
1.00,1.00,-0.24
