OF_y_flip_mean,RREV_flip_mean,flip_d_mean,landing_rate_4_leg
-20.0,6.5,0.0,0.0
-18.0,6.5,0.0,0.0
-16.0,6.5,0.0,0.0
-14.0,6.5,0.0,0.0
-12.0,6.5,0.0,0.0
-10.0,6.5,0.0,0.0
-8.0,6.5,0.0,0.0
-6.0,6.5,0.0,0.0
-4.0,6.5,0.0,0.0
-2.0,6.5,0.0,0.0
0.0,6.5,0.0,0.0
-20.0,6.5,0.15,0.0
-18.0,6.5,0.15,0.0
-16.0,6.5,0.15,0.0
-14.0,6.5,0.15,0.0
-12.0,6.5,0.15,0.0
-10.0,6.5,0.15,0.0
-8.0,6.5,0.15,0.0
-6.0,6.5,0.15,0.0
-4.0,6.5,0.15,0.0
-2.0,6.5,0.15,0.0
0.0,6.5,0.15,0.0
-20.0,6.5,0.3,0.0
-18.0,6.5,0.3,0.0
-16.0,6.5,0.3,0.0
-14.0,6.5,0.3,0.0
-12.0,6.5,0.3,0.0
-10.0,6.5,0.3,0.0
-8.0,6.5,0.3,0.0
-6.0,6.5,0.3,0.0
-4.0,6.5,0.3,0.0
-2.0,6.5,0.3,0.0
0.0,6.5,0.3,0.0
-20.0,6.5,0.44999999999999996,0.0
-18.0,6.5,0.44999999999999996,0.0
-16.0,6.5,0.44999999999999996,0.0
-14.0,6.5,0.44999999999999996,0.0
-12.0,6.5,0.44999999999999996,0.0
-10.0,6.5,0.44999999999999996,0.0
-8.0,6.5,0.44999999999999996,0.0
-6.0,6.5,0.44999999999999996,0.0
-4.0,6.5,0.44999999999999996,0.0
-2.0,6.5,0.44999999999999996,0.0
0.0,6.5,0.44999999999999996,0.0
-20.0,6.5,0.6,0.0
-18.0,6.5,0.6,0.0
-16.0,6.5,0.6,0.0
-14.0,6.5,0.6,0.0
-12.0,6.5,0.6,0.0
-10.0,6.5,0.6,0.0
-8.0,6.5,0.6,0.0
-6.0,6.5,0.6,0.0
-4.0,6.5,0.6,0.0
-2.0,6.5,0.6,0.0
0.0,6.5,0.6,0.0
-20.0,6.5,0.75,0.0
-18.0,6.5,0.75,0.0
-16.0,6.5,0.75,0.0
-14.0,6.5,0.75,0.0
-12.0,6.5,0.75,0.0
-10.0,6.5,0.75,0.0
-8.0,6.5,0.75,0.0
-6.0,6.5,0.75,0.0
-4.0,6.5,0.75,0.0
-2.0,6.5,0.75,0.0
0.0,6.5,0.75,0.0
-20.0,6.5,0.8999999999999999,0.0
-18.0,6.5,0.8999999999999999,0.0
-16.0,6.5,0.8999999999999999,0.0
-14.0,6.5,0.8999999999999999,0.0
-12.0,6.5,0.8999999999999999,0.0
-10.0,6.5,0.8999999999999999,0.0
