vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.5,30.0,0,0.0,,,,,,,,,,,,,[1.701 4.783],[0.04  0.558]
1.5,30.0,1,0.0,,,,,,,,,,,,,[2.142 6.279],[0.047 0.015]
1.5,30.0,2,0.0,,,,,,,,,,,,,[1.897 4.858],[0.054 0.044]
1.5,33.75,0,0.0,,,,,,,,,,,,,[1.925 5.051],[0.005 0.047]
1.5,33.75,1,0.0,,,,,,,,,,,,,[1.905 6.801],[0.002 0.281]
1.5,33.75,2,0.0,,,,,,,,,,,,,[2.056 8.02 ],[0.05  0.815]
1.5,37.5,0,0.0,,,,,,,,,,,,,[1.949 5.298],[0.007 0.034]
1.5,37.5,1,0.0556,0.181,-8.483,0.146,-6.856,0.824,1.236,0.0,0.0,0.0,0.0,0.0,0.0,[1.875 6.659],[0.018 0.556]
1.5,37.5,2,0.0,,,,,,,,,,,,,[1.028 4.029],[0.021 0.003]
1.5,41.25,0,0.0,,,,,,,,,,,,,[1.889 5.078],[0.042 0.098]
1.5,41.25,1,0.1111,0.17,-8.035,0.148,-6.825,0.888,1.183,0.004,0.152,0.004,0.014,0.006,0.01,[1.749 6.851],[0.02  0.033]
1.5,41.25,2,0.0,,,,,,,,,,,,,[2.051 6.392],[0.029 0.065]
1.5,45.0,0,0.6667,0.1807,-6.5117,0.1693,-7.4929,0.9474,1.0988,0.0023,0.1849,0.0035,0.0218,0.0273,0.0272,[1.86  7.491],[0.008 0.024]
1.5,45.0,1,0.0,,,,,,,,,,,,,[2.073 6.852],[0.011 0.025]
1.5,45.0,2,0.0556,0.19,-6.221,0.181,-7.766,0.979,1.115,0.0,0.0,0.0,0.0,0.0,0.0,[1.983 7.13 ],[0.   0.47]
1.5,48.75,0,0.3889,0.2183,-4.6044,0.2273,-7.6953,1.0501,1.0427,0.0022,0.1479,0.0046,0.0279,0.0227,0.0236,[2.214 7.666],[0.015 0.04 ]
1.5,48.75,1,0.1667,0.1973,-5.226,0.2007,-7.7167,1.03,1.0387,0.0019,0.1608,0.0038,0.4148,0.0153,0.0259,[2.016 7.899],[0.006 0.685]
1.5,48.75,2,0.7222,0.1828,-5.4288,0.1837,-5.1322,1.0087,0.9978,0.003,0.2104,0.0043,0.1276,0.0168,0.0355,[1.885 5.161],[0.003 0.128]
1.5,52.5,0,0.0,,,,,,,,,,,,,[2.065 6.65 ],[0.008 0.088]
1.5,52.5,1,0.0,,,,,,,,,,,,,[2.239 4.52 ],[0.007 0.089]
1.5,52.5,2,0.5556,0.218,-4.1038,0.2345,-8.2065,1.0858,0.9569,0.0045,0.1018,0.0049,0.1261,0.0257,0.0183,[2.231 8.183],[0.003 0.194]
1.5,56.25,0,0.4444,0.2024,-3.6762,0.229,-5.517,1.134,0.8431,0.0035,0.2072,0.0067,0.0202,0.0235,0.0307,[2.1  5.53],[0.009 0.04 ]
1.5,56.25,1,0.7778,0.2141,-3.4685,0.2486,-9.1466,1.165,0.8623,0.0038,0.1717,0.007,0.3944,0.0287,0.0291,[2.205 9.164],[0.018 0.479]
1.5,56.25,2,0.1111,0.2085,-3.4775,0.2385,-7.9305,1.144,0.8335,0.0005,0.0695,0.0025,0.1525,0.005,0.0085,[2.141 7.842],[0.014 0.192]
1.5,60.0,0,0.0556,0.19,-3.435,0.224,-3.098,1.178,0.769,0.0,0.0,0.0,0.0,0.0,0.0,[2.008 3.44 ],[0.004 0.303]
1.5,60.0,1,0.0556,0.191,-3.537,0.224,-6.134,1.181,0.793,0.0,0.0,0.0,0.0,0.0,0.0,[1.991 6.447],[0.002 0.367]
