vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.5,30.0,0,0.0,,,,,,,,,,,,,[0.784 4.181],[0.351 0.266]
1.5,33.75,0,0.0,,,,,,,,,,,,,[0.146 5.703],[0.058 0.703]
1.5,37.5,0,0.5,0.2274,-7.1083,0.1738,-8.1044,0.7638,1.2441,0.0012,0.2178,0.0043,0.08,0.017,0.0274,[0.435 7.02 ],[0.202 0.345]
1.5,41.25,0,0.8889,0.2269,-6.104,0.1903,-7.9088,0.8379,1.168,0.0024,0.3128,0.009,0.1616,0.0379,0.0168,[0.733 3.83 ],[0.134 1.355]
1.5,45.0,0,0.9444,0.2272,-5.1147,0.215,-7.4779,0.9396,1.1094,0.0023,0.3167,0.0109,0.1912,0.0407,0.0279,[0.591 5.692],[0.347 0.536]
1.5,48.75,0,0.8889,0.2242,-4.5358,0.2252,-7.2458,1.0016,1.0315,0.0022,0.192,0.0095,0.1523,0.0378,0.02,[0.724 2.078],[0.2   0.846]
1.5,52.5,0,0.1667,0.2243,-4.162,0.2353,-6.991,1.0423,0.9947,0.0009,0.0402,0.0009,0.054,0.0017,0.0049,[0.368 6.246],[0.196 0.189]
1.5,56.25,0,0.0,,,,,,,,,,,,,[0.685 4.256],[0.162 0.814]
1.5,60.0,0,0.0,,,,,,,,,,,,,[0.031 3.945],[0.013 2.615]
1.5,63.75,0,0.0,,,,,,,,,,,,,[0.21  4.054],[0.036 0.031]
1.5,67.5,0,0.0,,,,,,,,,,,,,[0.419 7.714],[0.07  1.113]
1.5,71.25,0,0.0,,,,,,,,,,,,,[0.471 5.519],[0.316 0.546]
1.5,75.0,0,0.0,,,,,,,,,,,,,[0.443 7.11 ],[0.247 1.027]
1.5,78.75,0,0.0,,,,,,,,,,,,,[1.054 3.74 ],[0.482 1.991]
1.5,82.5,0,0.0,,,,,,,,,,,,,[0.404 2.959],[0.186 1.17 ]
1.5,86.25,0,0.0,,,,,,,,,,,,,[0.356 5.459],[0.092 0.673]
1.5,90.0,0,0.0,,,,,,,,,,,,,[0.563 6.656],[0.56  0.359]
1.6,30.0,0,0.0,,,,,,,,,,,,,[1.673 6.507],[1.245 1.242]
1.6,33.75,0,0.1111,0.228,-7.6335,0.1815,-8.01,0.7755,1.407,0.001,0.0355,0.0005,0.052,0.0055,0.013,[0.792 2.61 ],[0.254 0.343]
1.6,37.5,0,0.8333,0.2277,-6.939,0.1885,-7.9986,0.8248,1.3163,0.0022,0.3304,0.0101,0.1778,0.0335,0.025,[0.359 7.453],[0.26  1.327]
1.6,41.25,0,0.8889,0.2279,-5.8184,0.2142,-7.7137,0.9326,1.2568,0.0024,0.3125,0.0114,0.1966,0.0429,0.0257,[0.692 6.81 ],[0.73  0.526]
1.6,45.0,0,0.9444,0.2278,-5.0729,0.2296,-7.4033,1.0006,1.1771,0.0025,0.1742,0.0084,0.1762,0.0247,0.0255,[0.269 6.16 ],[0.142 0.969]
1.6,48.75,0,0.9444,0.2254,-4.4655,0.2424,-7.1564,1.0721,1.0932,0.0019,0.137,0.008,0.1163,0.0313,0.0191,[0.247 2.527],[0.071 0.207]
1.6,52.5,0,0.8333,0.2213,-3.9619,0.2534,-6.9332,1.1427,1.0139,0.002,0.1013,0.0076,0.0948,0.0359,0.017,[0.867 5.562],[0.631 0.543]
1.6,56.25,0,0.0,,,,,,,,,,,,,[1.213 8.339],[0.388 0.992]
1.6,60.0,0,0.0,,,,,,,,,,,,,[0.688 5.953],[0.305 0.746]
1.6,63.75,0,0.0,,,,,,,,,,,,,[0.468 5.914],[0.346 1.06 ]
1.6,67.5,0,0.0,,,,,,,,,,,,,[0.665 6.65 ],[0.267 1.033]
1.6,71.25,0,0.0,,,,,,,,,,,,,[0.726 3.187],[0.426 1.008]
1.6,75.0,0,0.0,,,,,,,,,,,,,[0.784 4.981],[0.185 1.729]
1.6,78.75,0,0.0,,,,,,,,,,,,,[0.792 2.357],[0.354 1.267]
1.6,82.5,0,0.0,,,,,,,,,,,,,[0.219 6.432],[0.048 0.804]
1.6,86.25,0,0.0,,,,,,,,,,,,,[0.299 5.748],[0.072 0.949]
1.6,90.0,0,0.0,,,,,,,,,,,,,[0.029 7.311],[0.193 0.801]
1.7,30.0,0,0.0,,,,,,,,,,,,,[1.019 8.642],[0.474 0.982]
1.7,33.75,0,0.1667,0.2253,-7.8643,0.189,-8.1493,0.8257,1.5097,0.0009,0.119,0.0008,0.0542,0.0052,0.0338,[1.372 7.321],[0.515 0.437]
1.7,37.5,0,0.7778,0.2283,-6.8205,0.2059,-7.8709,0.9017,1.4101,0.0022,0.4366,0.0093,0.1847,0.0359,0.0424,[0.421 2.061],[0.127 1.454]
1.7,41.25,0,0.8333,0.2285,-5.8253,0.2255,-7.6571,0.9829,1.3255,0.0023,0.17,0.0074,0.1739,0.023,0.019,[0.654 4.839],[0.167 0.443]
