k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,895.808,-1.366,0.000,--,--,--,-0.479,0.011,0.724,2.202,-0.068,0.111,-0.018,0.053,0.029,0.998,0.000,-0.710,-0.117,-2.237,6.095,3.217,False,False,0.000,0.000,0.000,12.179,0.049,-1.625,1.355,0.518,0.284,1.815,0.226,12.954,13.937,15.000,10.644,64344,65534,65534,58434,-0.173,0.000,0.711,2.298,0.000,0.305,0.000,0.000,3.000,3.500,--
0,0,895.828,-1.366,0.000,--,--,--,-0.434,0.009,0.726,2.209,-0.056,0.169,-0.018,0.046,0.028,0.998,0.080,-1.020,-0.177,-2.207,5.297,3.074,False,False,0.000,0.000,0.000,7.990,0.041,-1.633,1.353,0.520,0.046,2.356,0.291,12.659,13.947,15.000,10.179,63506,65534,65534,57020,-0.127,0.000,0.718,2.298,0.000,0.365,0.000,0.000,3.000,3.500,--
0,0,895.828,-1.366,0.000,--,--,--,-0.434,0.009,0.726,2.209,-0.056,0.169,-0.018,0.046,0.028,0.998,0.080,-1.020,-0.165,-2.207,5.297,3.074,False,False,0.000,0.000,0.000,7.990,0.041,-1.633,1.349,0.518,-0.492,2.632,0.287,11.953,13.712,15.000,10.354,61034,65214,65534,56838,-0.081,0.000,0.726,2.298,0.000,0.425,0.000,0.000,3.000,3.500,--
0,0,895.861,-1.366,0.000,--,--,--,-0.366,0.007,0.732,2.212,-0.048,0.276,-0.017,0.032,0.026,0.999,0.480,-1.240,-0.212,-2.000,3.701,2.951,False,False,0.000,0.000,0.000,4.865,0.035,-1.643,1.344,0.515,-0.903,2.855,0.340,11.584,13.250,15.000,10.187,59752,63778,65534,56040,-0.035,0.000,0.735,2.298,0.000,0.485,0.000,0.000,3.000,3.500,--
0,0,895.887,-1.366,0.000,--,--,--,-0.277,0.004,0.745,2.196,-0.040,0.438,-0.007,0.010,0.022,1.000,0.710,-1.130,-0.292,-0.818,1.128,2.529,False,False,0.000,0.000,0.000,3.397,0.029,-1.649,1.338,0.509,-1.071,2.710,0.430,11.806,12.504,15.000,9.932,59616,61306,65534,54684,0.011,0.000,0.745,2.298,0.000,0.545,0.000,0.000,3.000,3.500,--
0,0,895.906,-1.366,0.000,--,--,--,-0.232,0.003,0.754,2.177,-0.044,0.521,0.001,0.000,0.019,1.000,0.690,-0.790,-0.243,0.159,-0.003,2.220,False,False,0.000,0.000,0.000,2.783,0.034,-1.646,1.330,0.502,-1.106,2.277,0.394,11.568,12.319,15.000,10.385,58782,59552,65534,54882,0.034,0.000,0.751,2.298,0.000,0.575,0.000,0.000,3.000,3.500,--
0,0,895.935,-1.366,0.000,--,--,--,-0.188,0.001,0.765,2.158,-0.056,0.603,0.008,-0.007,0.017,1.000,0.550,-0.300,-0.149,0.965,-0.809,1.896,False,False,0.000,0.000,0.000,2.177,0.042,-1.642,1.320,0.511,-1.019,1.852,0.305,11.723,11.709,15.000,10.507,59162,60070,65534,56884,0.099,0.000,0.768,2.298,0.000,0.659,0.000,0.000,3.000,3.500,--
0,0,895.955,-1.366,0.000,--,--,--,-0.144,-0.002,0.777,2.125,-0.067,0.687,0.012,-0.011,0.015,1.000,0.220,0.010,-0.126,1.447,-1.291,1.728,False,False,0.000,0.000,0.000,1.895,0.050,-1.633,1.308,0.502,-0.740,1.464,0.287,11.951,11.672,15.000,10.454,59362,59178,65352,56400,0.144,0.000,0.782,2.298,0.000,0.719,0.000,0.000,3.000,3.500,--
0,0,895.975,-1.366,0.000,--,--,--,-0.101,-0.004,0.792,2.096,-0.088,0.766,0.015,-0.012,0.014,1.000,-0.180,0.240,-0.133,1.764,-1.452,1.564,False,False,0.000,0.000,0.000,1.680,0.067,-1.628,1.295,0.481,-0.145,0.752,0.295,12.778,11.524,14.184,10.571,60326,57366,63410,54954,0.195,0.000,0.798,2.298,0.000,0.785,0.000,0.000,3.000,3.500,--
0,0,895.995,-1.366,0.000,--,--,--,-0.038,-0.008,0.816,2.050,-0.112,0.886,0.012,-0.007,0.012,1.000,-0.720,0.530,-0.024,1.437,-0.811,1.417,False,False,0.000,0.000,0.000,1.501,0.083,-1.623,1.280,0.490,0.564,0.492,0.185,12.865,12.086,12.652,10.408,61632,59930,61382,55904,0.236,0.000,0.813,2.298,0.000,0.839,0.000,0.000,3.000,3.500,--
0,0,896.014,-1.366,0.000,--,--,--,-0.017,-0.011,0.825,2.033,-0.126,0.926,0.010,-0.007,0.011,1.000,-0.920,0.630,-0.071,1.119,-0.805,1.261,False,False,0.000,0.000,0.000,1.354,0.100,-1.621,1.263,0.469,1.158,0.525,0.230,13.126,12.497,12.386,10.130,61426,58994,59198,52324,0.264,0.000,0.823,2.298,0.000,0.875,0.000,0.000,3.000,3.500,--
0,0,896.032,-1.366,0.000,--,--,--,0.025,-0.014,0.844,2.007,-0.136,1.003,0.003,-0.003,0.011,1.000,-0.920,0.530,0.016,0.321,-0.321,1.268,False,False,0.000,0.000,0.000,1.231,0.109,-1.625,1.235,0.463,1.284,0.700,0.149,13.178,12.515,11.783,9.757,59790,59490,57690,51764,0.305,0.000,0.840,2.298,0.000,0.929,0.000,0.000,3.000,3.500,--
0,0,896.032,-1.366,0.000,--,--,--,0.025,-0.014,0.844,2.007,-0.136,1.003,0.003,-0.003,0.011,1.000,-0.920,0.530,0.016,0.321,-0.321,1.268,False,False,0.000,0.000,0.000,1.231,0.109,-1.625,1.235,0.463,1.284,0.700,0.149,12.888,12.755,11.972,9.643,59790,59490,57690,51764,0.356,0.000,0.861,2.298,0.000,0.995,0.000,0.000,3.000,3.500,--
0,0,896.066,-1.366,0.000,--,--,--,0.086,-0.020,0.875,1.973,-0.142,1.108,-0.010,0.003,0.011,1.000,-0.720,0.500,-0.053,-1.114,0.329,1.265,False,False,0.000,0.000,0.000,1.086,0.117,-1.639,1.204,0.456,1.028,0.846,0.222,12.689,12.180,12.404,9.239,58798,57642,58154,50164,0.420,0.000,0.890,2.298,0.000,1.079,0.000,0.000,3.000,3.500,--
0,0,896.077,-1.366,0.000,--,--,--,0.107,-0.021,0.886,1.957,-0.142,1.173,-0.015,0.007,0.011,1.000,-0.530,0.460,-0.030,-1.753,0.812,1.256,False,False,0.000,0.000,0.000,1.044,0.120,-1.649,1.182,0.456,0.571,0.924,0.204,12.205,11.972,12.759,9.625,57490,56950,58738,51054,0.466,0.000,0.912,2.298,0.000,1.139,0.000,0.000,3.000,3.500,--
0,0,896.095,-1.366,0.000,--,--,--,0.167,-0.026,0.921,1.942,-0.137,1.230,-0.019,0.011,0.011,1.000,-0.300,0.400,0.012,-2.234,1.293,1.244,False,False,0.000,0.000,0.000,0.972,0.120,-1.668,1.170,0.458,0.396,0.992,0.163,12.035,11.769,12.985,9.958,56744,57222,58866,51826,0.512,0.000,0.935,2.298,0.000,1.199,0.000,0.000,3.000,3.500,--
0,0,896.133,-1.366,0.000,--,--,--,0.247,-0.032,0.972,1.919,-0.111,1.345,-0.024,0.019,0.011,0.999,-0.190,0.620,-0.027,-2.720,2.250,1.216,False,False,0.000,0.000,0.000,0.848,0.103,-1.720,1.146,0.458,0.111,0.950,0.212,11.976,11.906,12.653,10.287,56596,55990,59538,51830,0.558,0.000,0.960,2.298,0.000,1.259,0.000,0.000,3.000,3.500,--
0,0,896.153,-1.366,0.000,--,--,--,0.287,-0.034,1.000,1.912,-0.100,1.402,-0.028,0.025,0.011,0.999,-0.320,0.720,0.005,-3.203,2.889,1.189,False,False,0.000,0.000,0.000,0.795,0.094,-1.754,1.107,0.462,0.494,0.637,0.190,12.472,11.901,12.695,10.125,58094,56786,58596,52396,0.604,0.000,0.986,2.298,0.000,1.319,0.000,0.000,3.000,3.500,--
0,0,896.174,-1.366,0.000,--,--,--,0.326,-0.036,1.028,1.909,-0.088,1.449,-0.030,0.032,0.012,0.999,-0.390,0.700,-0.030,-3.533,3.690,1.315,False,False,0.000,0.000,0.000,0.747,0.088,-1.795,1.079,0.467,0.563,0.491,0.233,12.933,11.777,12.820,10.123,59230,56598,58982,52484,0.650,0.000,1.013,2.298,0.000,1.379,0.000,0.000,3.000,3.500,--
0,0,896.193,-1.366,0.000,--,--,--,0.366,-0.038,1.058,1.906,-0.070,1.503,-0.035,0.039,0.012,0.999,-0.430,0.700,0.032,-4.018,4.489,1.272,False,False,0.000,0.000,0.000,0.701,0.077,-1.840,1.051,0.477,0.840,0.273,0.181,12.933,11.777,12.820,10.123,60278,57910,58312,53692,0.650,0.000,1.013,2.298,0.000,1.379,0.000,0.000,3.000,3.500,--
0,0,896.212,-1.366,0.000,--,--,--,0.405,-0.040,1.088,1.911,-0.055,1.552,-0.039,0.044,0.012,0.998,-0.290,0.680,0.072,-4.501,5.128,1.228,False,False,0.000,0.000,0.000,0.658,0.060,-1.897,1.006,0.479,0.726,0.407,0.159,13.459,12.298,12.569,10.290,60322,58808,59204,54514,0.742,0.000,1.070,2.298,0.000,1.499,0.000,0.000,3.000,3.500,--
0,0,896.231,-1.366,0.000,--,--,--,0.446,-0.041,1.120,1.923,-0.041,1.600,-0.042,0.051,0.014,0.998,-0.280,0.650,0.078,-4.834,5.932,1.339,False,False,0.000,0.000,0.000,0.618,0.048,-1.971,0.975,0.485,0.764,0.394,0.162,13.686,12.330,12.841,10.357,61000,59390,59710,55024,0.788,0.000,1.101,2.298,0.000,1.559,0.000,0.000,3.000,3.500,--
0,0,896.245,-1.366,0.000,--,--,--,0.466,-0.042,1.136,1.928,-0.032,1.623,-0.043,0.054,0.014,0.998,-0.180,0.530,0.006,-4.997,6.251,1.317,False,False,0.000,0.000,0.000,0.599,0.042,-2.008,0.959,0.488,0.623,0.552,0.240,13.493,12.375,13.381,10.532,61574,59066,61330,54548,0.834,0.000,1.133,2.298,0.000,1.619,0.000,0.000,3.000,3.500,--
0,0,896.269,-1.366,0.000,--,--,--,0.506,-0.043,1.169,1.940,-0.008,1.673,-0.046,0.060,0.014,0.997,-0.100,0.490,0.066,-5.321,6.889,1.270,False,False,0.000,0.000,0.000,0.562,0.021,-2.092,0.926,0.492,0.570,0.571,0.195,13.365,12.645,13.365,10.854,61988,60360,61988,56002,0.880,0.000,1.166,2.298,0.000,1.679,0.000,0.000,3.000,3.500,--
0,0,896.288,-1.366,0.000,--,--,--,0.547,-0.043,1.203,1.958,0.020,1.723,-0.047,0.064,0.015,0.997,-0.130,0.480,0.084,-5.495,7.375,1.396,False,False,0.000,0.000,0.000,0.526,-0.010,-2.187,0.893,0.496,0.710,0.513,0.190,13.587,12.821,13.279,10.902,63074,61342,62384,56660,0.926,0.000,1.200,2.298,0.000,1.739,0.000,0.000,3.000,3.500,--
0,0,896.309,-1.366,0.000,--,--,--,0.588,-0.043,1.239,1.982,0.041,1.777,-0.048,0.068,0.015,0.996,-0.080,0.430,0.080,-5.659,7.853,1.362,False,False,0.000,0.000,0.000,0.490,-0.036,-2.298,0.858,0.504,0.692,0.501,0.204,13.862,12.958,13.563,11.086,64044,62012,63382,57464,0.976,0.000,1.239,2.298,0.000,1.805,0.000,0.000,3.000,3.500,--
0,0,896.329,-1.366,0.000,--,--,--,0.630,-0.042,1.275,2.001,0.068,1.834,-0.050,0.072,0.015,0.996,-0.030,0.480,0.165,-5.823,8.331,1.327,False,False,0.000,0.000,0.000,0.454,-0.063,-2.425,0.822,0.505,0.682,0.340,0.134,13.716,13.139,13.180,11.534,64214,62908,63002,59052,1.022,0.000,1.276,2.298,0.000,1.865,0.000,0.000,3.000,3.500,--
0,0,896.339,-1.366,0.000,--,--,--,0.651,-0.042,1.294,2.012,0.081,1.861,-0.050,0.075,0.015,0.996,0.000,0.360,0.156,-5.827,8.649,1.311,False,False,0.000,0.000,0.000,0.438,-0.086,-2.493,0.785,0.506,0.762,0.223,0.152,13.959,13.048,13.113,11.502,64752,62698,62848,58970,1.068,0.000,1.314,2.298,0.000,1.925,0.000,0.000,3.000,3.500,--
0,0,896.367,-1.366,0.000,--,--,--,0.714,-0.040,1.352,2.055,0.121,1.951,-0.051,0.082,0.017,0.995,0.070,0.400,0.206,-6.007,9.454,1.415,False,False,0.000,0.000,0.000,0.388,-0.147,-2.736,0.747,0.373,0.808,0.772,0.192,10.344,9.965,10.289,7.485,55292,54254,55142,46510,1.114,0.000,1.352,2.298,0.000,1.928,0.000,0.000,0.000,3.500,--
