k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,23.205,-1.366,0.000,--,--,--,-0.165,0.049,0.809,1.764,-0.108,0.073,0.006,0.095,-0.044,0.994,0.340,-0.400,0.038,1.120,11.018,-4.992,False,False,0.000,0.000,0.000,17.345,0.084,-1.386,1.270,0.481,-1.239,0.605,0.140,11.407,11.197,14.300,12.190,56130,55616,62598,57984,0.069,0.000,0.799,1.915,0.000,0.173,0.000,0.000,2.000,3.500,--
0,0,23.224,-1.366,0.000,--,--,--,-0.126,0.047,0.810,1.797,-0.111,0.106,0.007,0.091,-0.046,0.995,0.340,-0.590,0.053,1.272,10.548,-5.140,False,False,0.000,0.000,0.000,11.879,0.087,-1.413,1.269,0.484,-1.268,0.859,0.136,11.241,11.463,14.577,12.103,56036,56578,63520,58104,0.107,0.000,0.803,1.915,0.000,0.213,0.000,0.000,2.000,3.500,--
0,0,23.254,-1.366,0.000,--,--,--,-0.068,0.044,0.814,1.842,-0.119,0.167,0.011,0.082,-0.046,0.996,0.190,-0.570,0.072,1.697,9.452,-5.113,False,False,0.000,0.000,0.000,7.513,0.093,-1.453,1.266,0.485,-1.105,0.786,0.125,11.398,11.600,14.365,12.098,56738,57230,63434,58418,0.145,0.000,0.808,1.915,0.000,0.253,0.000,0.000,2.000,3.500,--
0,0,23.264,-1.366,0.000,--,--,--,-0.048,0.043,0.815,1.855,-0.124,0.190,0.012,0.079,-0.046,0.996,0.080,-0.560,0.080,1.841,9.140,-5.105,False,False,0.000,0.000,0.000,6.619,0.096,-1.466,1.263,0.484,-0.898,0.733,0.123,11.587,11.719,14.145,11.976,57198,57516,62974,58130,0.184,0.000,0.813,1.915,0.000,0.293,0.000,0.000,2.000,3.500,--
0,0,23.284,-1.366,0.000,--,--,--,-0.008,0.041,0.819,1.881,-0.133,0.242,0.012,0.073,-0.046,0.996,0.000,-0.450,0.092,1.813,8.502,-5.115,False,False,0.000,0.000,0.000,5.187,0.104,-1.491,1.259,0.482,-0.798,0.524,0.117,11.745,11.598,13.818,12.026,57364,57010,62044,58032,0.222,0.000,0.819,1.915,0.000,0.333,0.000,0.000,2.000,3.500,--
0,0,23.304,-1.366,0.000,--,--,--,0.033,0.038,0.824,1.904,-0.142,0.295,0.012,0.069,-0.046,0.996,-0.080,-0.440,0.068,1.792,8.024,-5.122,False,False,0.000,0.000,0.000,4.238,0.112,-1.515,1.255,0.479,-0.680,0.475,0.144,11.914,11.466,13.726,11.787,57342,56274,61392,57040,0.260,0.000,0.826,1.915,0.000,0.373,0.000,0.000,2.000,3.500,--
0,0,23.324,-1.366,0.000,--,--,--,0.074,0.036,0.830,1.925,-0.150,0.349,0.012,0.064,-0.046,0.997,-0.050,-0.470,0.082,1.763,7.386,-5.132,False,False,0.000,0.000,0.000,3.565,0.119,-1.538,1.249,0.476,-0.772,0.496,0.133,11.696,11.379,13.685,11.809,56616,55854,61080,56882,0.299,0.000,0.834,1.915,0.000,0.413,0.000,0.000,2.000,3.500,--
0,0,23.353,-1.366,0.000,--,--,--,0.136,0.031,0.841,1.952,-0.163,0.430,0.012,0.057,-0.044,0.997,0.060,-0.550,0.087,1.718,6.587,-4.986,False,False,0.000,0.000,0.000,2.868,0.131,-1.573,1.242,0.473,-0.918,0.628,0.129,11.515,11.364,13.753,11.776,55452,55246,60886,56328,0.318,0.000,0.839,1.915,0.000,0.433,0.000,0.000,2.000,3.500,--
0,0,23.363,-1.366,0.000,--,--,--,0.157,0.030,0.845,1.960,-0.167,0.456,0.012,0.054,-0.044,0.997,0.010,-0.640,0.098,1.704,6.268,-4.991,False,False,0.000,0.000,0.000,2.693,0.134,-1.585,1.234,0.469,-0.944,0.739,0.119,11.144,11.314,13.784,11.635,54384,54792,60292,55550,0.375,0.000,0.852,1.915,0.000,0.493,0.000,0.000,2.000,3.500,--
0,0,23.390,-1.366,0.000,--,--,--,0.199,0.027,0.854,1.973,-0.174,0.508,0.012,0.048,-0.044,0.998,0.010,-0.690,0.094,1.676,5.631,-5.000,False,False,0.000,0.000,0.000,2.400,0.141,-1.607,1.225,0.466,-0.984,0.833,0.125,10.982,11.293,13.659,11.792,53818,54468,60194,55026,0.394,0.000,0.857,1.915,0.000,0.513,0.000,0.000,2.000,3.500,--
0,0,23.408,-1.366,0.000,--,--,--,0.242,0.023,0.863,1.984,-0.181,0.556,0.014,0.043,-0.043,0.998,-0.050,-0.630,0.115,1.800,4.998,-4.844,False,False,0.000,0.000,0.000,2.175,0.147,-1.629,1.215,0.465,-0.913,0.727,0.106,11.009,11.274,13.581,11.564,53570,54206,59330,54890,0.452,0.000,0.874,1.915,0.000,0.573,0.000,0.000,2.000,3.500,--
0,0,23.427,-1.366,0.000,--,--,--,0.284,0.020,0.874,1.993,-0.188,0.603,0.012,0.036,-0.042,0.998,-0.140,-0.600,0.089,1.602,4.193,-4.703,False,False,0.000,0.000,0.000,1.989,0.155,-1.650,1.204,0.464,-0.792,0.696,0.131,11.208,11.214,13.543,11.363,53856,53870,59038,54222,0.490,0.000,0.886,1.915,0.000,0.613,0.000,0.000,2.000,3.500,--
0,0,23.446,-1.366,0.000,--,--,--,0.327,0.016,0.886,1.999,-0.194,0.645,0.012,0.032,-0.042,0.999,-0.230,-0.620,0.102,1.582,3.716,-4.710,False,False,0.000,0.000,0.000,1.841,0.162,-1.671,1.193,0.465,-0.647,0.741,0.119,11.254,11.433,13.431,11.284,53964,54386,58806,54034,0.528,0.000,0.898,1.915,0.000,0.653,0.000,0.000,2.000,3.500,--
0,0,23.466,-1.366,0.000,--,--,--,0.370,0.012,0.899,2.001,-0.200,0.686,0.010,0.026,-0.040,0.999,-0.240,-0.550,0.113,1.234,3.065,-4.569,False,False,0.000,0.000,0.000,1.714,0.168,-1.692,1.180,0.466,-0.646,0.641,0.107,11.029,11.171,12.999,11.021,54096,54380,58590,54396,0.570,0.000,0.913,1.915,0.000,0.697,0.000,0.000,2.000,3.500,--
0,0,23.486,-1.366,0.000,--,--,--,0.414,0.009,0.912,2.002,-0.203,0.726,0.008,0.022,-0.039,0.999,-0.330,-0.540,0.114,1.052,2.580,-4.419,False,False,0.000,0.000,0.000,1.602,0.173,-1.712,1.166,0.467,-0.485,0.641,0.103,11.462,11.610,13.228,11.365,54454,54800,58378,54226,0.605,0.000,0.926,1.915,0.000,0.733,0.000,0.000,2.000,3.500,--
0,0,23.506,-1.366,0.000,--,--,--,0.457,0.005,0.927,2.001,-0.205,0.766,0.006,0.017,-0.037,0.999,-0.270,-0.580,0.102,0.707,1.931,-4.271,False,False,0.000,0.000,0.000,1.501,0.177,-1.732,1.152,0.469,-0.593,0.734,0.113,11.395,11.609,13.477,11.386,54492,54992,59112,54472,0.643,0.000,0.941,1.915,0.000,0.773,0.000,0.000,2.000,3.500,--
0,0,23.526,-1.366,0.000,--,--,--,0.500,0.001,0.942,1.997,-0.204,0.803,0.003,0.011,-0.036,0.999,-0.190,-0.570,0.110,0.363,1.282,-4.120,False,False,0.000,0.000,0.000,1.412,0.179,-1.752,1.137,0.472,-0.706,0.758,0.103,11.306,11.645,13.603,11.562,54378,55176,59482,54982,0.682,0.000,0.957,1.915,0.000,0.813,0.000,0.000,2.000,3.500,--
0,0,23.546,-1.366,0.000,--,--,--,0.563,-0.005,0.967,1.982,-0.202,0.864,-0.000,0.004,-0.035,0.999,-0.160,-0.570,0.108,0.016,0.477,-3.965,False,False,0.000,0.000,0.000,1.328,0.180,-1.773,1.121,0.459,-0.783,0.800,0.104,10.908,11.302,13.391,11.274,53612,54566,59250,54498,0.724,0.000,0.975,1.915,0.000,0.857,0.000,0.000,2.000,3.500,--
0,0,23.566,-1.366,0.000,--,--,--,0.586,-0.007,0.975,1.984,-0.201,0.882,-0.001,0.001,-0.035,0.999,-0.120,-0.560,0.095,-0.153,0.153,-3.965,False,False,0.000,0.000,0.000,1.248,0.181,-1.793,1.104,0.474,-0.805,0.830,0.113,11.286,11.655,13.851,11.616,54626,55498,60322,55406,0.758,0.000,0.991,1.915,0.000,0.893,0.000,0.000,2.000,3.500,--
0,0,23.591,-1.366,0.000,--,--,--,0.629,-0.011,0.993,1.974,-0.198,0.923,-0.003,-0.004,-0.033,0.999,-0.190,-0.560,0.107,-0.333,-0.487,-3.805,False,False,0.000,0.000,0.000,1.175,0.181,-1.813,1.086,0.475,-0.682,0.896,0.096,11.350,11.624,13.861,11.607,54704,56146,60226,55356,0.777,0.000,1.000,1.915,0.000,0.913,0.000,0.000,2.000,3.500,--
0,0,23.610,-1.366,0.000,--,--,--,0.671,-0.014,1.012,1.960,-0.194,0.963,-0.004,-0.008,-0.032,0.999,-0.120,-0.310,0.098,-0.507,-0.968,-3.644,False,False,0.000,0.000,0.000,1.107,0.180,-1.833,1.067,0.476,-0.792,0.534,0.099,11.473,11.605,13.665,11.770,55446,55486,60094,56430,0.816,0.000,1.019,1.915,0.000,0.953,0.000,0.000,2.000,3.500,--
0,0,23.629,-1.366,0.000,--,--,--,0.713,-0.018,1.032,1.945,-0.189,1.002,-0.006,-0.011,-0.030,0.999,-0.220,-0.350,0.073,-0.674,-1.290,-3.482,False,False,0.000,0.000,0.000,1.045,0.179,-1.852,1.047,0.461,-0.595,0.676,0.116,11.566,11.475,13.615,11.929,54950,55192,59484,54884,0.854,0.000,1.038,1.915,0.000,0.993,0.000,0.000,2.000,3.500,--
0,0,23.651,-1.366,0.000,--,--,--,0.755,-0.022,1.052,1.928,-0.183,1.042,-0.007,-0.015,-0.029,0.999,-0.180,-0.200,0.059,-0.845,-1.770,-3.318,False,False,0.000,0.000,0.000,0.985,0.177,-1.873,1.027,0.462,-0.717,0.509,0.122,11.664,11.794,13.508,11.673,55114,54598,59480,55382,0.892,0.000,1.059,1.915,0.000,1.033,0.000,0.000,2.000,3.500,--
0,0,23.671,-1.366,0.000,--,--,--,0.797,-0.025,1.074,1.910,-0.176,1.082,-0.010,-0.017,-0.029,0.999,-0.190,-0.330,0.042,-1.167,-1.938,-3.311,False,False,0.000,0.000,0.000,0.929,0.175,-1.895,1.006,0.462,-0.641,0.743,0.134,11.765,11.830,13.660,11.458,54928,55070,59846,54676,0.931,0.000,1.080,1.915,0.000,1.073,0.000,0.000,2.000,3.500,--
0,0,23.691,-1.366,0.000,--,--,--,0.855,-0.030,1.107,1.871,-0.167,1.143,-0.011,-0.021,-0.028,0.999,-0.110,-0.300,0.029,-1.336,-2.416,-3.145,False,False,0.000,0.000,0.000,0.876,0.171,-1.912,0.983,0.461,-0.775,0.783,0.139,11.612,11.735,13.678,11.717,54598,54790,60138,54754,0.969,0.000,1.102,1.915,0.000,1.113,0.000,0.000,2.000,3.500,--
0,0,23.710,-1.366,0.000,--,--,--,0.896,-0.034,1.131,1.852,-0.160,1.183,-0.012,-0.024,-0.028,0.999,-0.120,-0.270,0.055,-1.503,-2.738,-3.137,False,False,0.000,0.000,0.000,0.825,0.169,-1.938,0.960,0.460,-0.732,0.813,0.107,11.420,11.783,13.985,11.486,54258,55206,59802,54896,1.007,0.000,1.124,1.915,0.000,1.153,0.000,0.000,2.000,3.500,--
0,0,23.729,-1.366,0.000,--,--,--,0.937,-0.037,1.155,1.830,-0.153,1.222,-0.012,-0.026,-0.028,0.999,-0.120,-0.230,0.037,-1.512,-3.056,-3.133,False,False,0.000,0.000,0.000,0.778,0.166,-1.966,0.936,0.460,-0.728,0.825,0.119,11.414,11.748,13.847,11.622,54224,54978,59774,54604,1.045,0.000,1.148,1.915,0.000,1.193,0.000,0.000,2.000,3.500,--
0,0,23.748,-1.366,0.000,--,--,--,0.977,-0.040,1.180,1.810,-0.146,1.261,-0.014,-0.028,-0.026,0.999,-0.170,-0.170,0.021,-1.670,-3.216,-2.968,False,False,0.000,0.000,0.000,0.734,0.163,-1.996,0.912,0.459,-0.630,0.783,0.128,11.135,11.304,13.351,11.063,54558,54966,59596,54382,1.107,0.000,1.187,1.915,0.000,1.257,0.000,0.000,2.000,3.500,--
0,0,23.767,-1.366,0.000,--,--,--,1.016,-0.042,1.206,1.787,-0.136,1.299,-0.015,-0.029,-0.026,0.999,-0.140,-0.090,0.015,-1.833,-3.379,-2.961,False,False,0.000,0.000,0.000,0.692,0.159,-2.030,0.886,0.459,-0.645,0.729,0.128,11.154,11.240,13.308,11.106,54506,54712,59396,54390,1.145,0.000,1.213,1.915,0.000,1.297,0.000,0.000,2.000,3.500,--
0,0,23.792,-1.366,0.000,--,--,--,1.055,-0.045,1.233,1.766,-0.124,1.337,-0.017,-0.030,-0.025,0.999,-0.100,0.000,0.003,-1.991,-3.539,-2.795,False,False,0.000,0.000,0.000,0.652,0.149,-2.067,0.873,0.476,-0.654,0.737,0.136,11.623,11.651,13.805,11.518,55624,55690,60444,55378,1.160,0.000,1.223,1.915,0.000,1.313,0.000,0.000,2.000,3.500,--
0,0,23.810,-1.366,0.000,--,--,--,1.094,-0.047,1.260,1.742,-0.113,1.375,-0.018,-0.030,-0.025,0.999,-0.050,-0.020,-0.029,-2.149,-3.543,-2.790,False,False,0.000,0.000,0.000,0.613,0.141,-2.106,0.833,0.459,-0.728,0.742,0.162,11.709,11.564,13.698,11.635,54652,54228,59846,54172,1.199,0.000,1.250,1.915,0.000,1.353,0.000,0.000,2.000,3.500,--
0,0,23.830,-1.366,0.000,--,--,--,1.132,-0.049,1.289,1.720,-0.103,1.411,-0.018,-0.030,-0.026,0.999,0.010,-0.010,-0.030,-2.154,-3.546,-2.948,False,False,0.000,0.000,0.000,0.578,0.133,-2.151,0.805,0.459,-0.810,0.786,0.160,11.671,11.409,13.595,11.081,54342,54114,59970,54202,1.237,0.000,1.277,1.915,0.000,1.393,0.000,0.000,2.000,3.500,--
0,0,23.850,-1.366,0.000,--,--,--,1.169,-0.051,1.318,1.699,-0.093,1.446,-0.017,-0.030,-0.026,0.999,0.100,-0.020,-0.026,-1.996,-3.542,-2.953,False,False,0.000,0.000,0.000,0.543,0.125,-2.202,0.776,0.460,-0.956,0.865,0.153,11.060,11.011,13.673,11.138,53968,54194,60414,54536,1.279,0.000,1.308,1.915,0.000,1.437,0.000,0.000,2.000,3.500,--
0,0,23.868,-1.366,0.000,--,--,--,1.206,-0.053,1.347,1.678,-0.084,1.481,-0.015,-0.030,-0.026,0.999,0.090,0.010,-0.031,-1.837,-3.538,-2.958,False,False,0.000,0.000,0.000,0.510,0.117,-2.261,0.747,0.460,-0.917,0.883,0.154,10.973,11.082,13.796,11.136,54260,54528,60644,54658,1.337,0.000,1.352,1.915,0.000,1.497,0.000,0.000,2.000,3.500,--
0,0,23.888,-1.366,0.000,--,--,--,1.228,-0.054,1.364,1.669,-0.078,1.502,-0.015,-0.030,-0.026,0.999,0.060,0.160,-0.043,-1.837,-3.538,-2.958,False,False,0.000,0.000,0.000,0.476,0.108,-2.329,0.715,0.483,-0.821,0.674,0.164,11.824,11.525,14.170,11.753,56196,55492,61310,56030,1.375,0.000,1.383,1.915,0.000,1.537,0.000,0.000,2.000,3.500,--
0,0,23.898,-1.366,0.000,--,--,--,1.246,-0.054,1.379,1.659,-0.071,1.518,-0.015,-0.030,-0.025,0.999,0.060,0.190,-0.071,-1.832,-3.535,-2.800,False,False,0.000,0.000,0.000,0.461,0.105,-2.364,0.684,0.486,-0.728,0.726,0.183,12.002,11.632,14.283,11.633,56918,56052,61878,56054,1.413,0.000,1.414,1.915,0.000,1.577,0.000,0.000,2.000,3.500,--
0,0,23.927,-1.366,0.000,--,--,--,1.300,-0.056,1.426,1.627,-0.053,1.568,-0.015,-0.028,-0.026,0.999,0.060,0.180,-0.083,-1.829,-3.221,-2.963,False,False,0.000,0.000,0.000,0.416,0.084,-2.483,0.669,0.487,-0.697,0.710,0.194,9.653,9.796,12.449,9.813,57198,56048,61976,55998,1.451,0.000,1.446,1.915,0.000,1.606,0.000,0.000,0.000,3.500,--
0,0,23.946,-1.366,0.000,--,--,--,1.334,-0.057,1.458,1.603,-0.046,1.602,-0.014,-0.026,-0.026,0.999,0.010,0.160,-0.083,-1.666,-3.058,-2.970,False,False,0.000,0.000,0.000,0.388,0.072,-2.573,0.621,0.397,-0.820,1.015,0.170,9.391,9.581,12.268,9.273,49062,49574,56096,48738,1.490,0.000,1.478,1.915,0.000,1.606,0.000,0.000,0.000,3.500,--
0,0,23.966,-1.366,0.000,--,--,--,1.369,-0.058,1.491,1.585,-0.038,1.631,-0.014,-0.024,-0.028,0.999,-0.100,0.240,-0.098,-1.662,-2.743,-3.133,False,False,0.000,0.000,0.000,0.361,0.063,-2.686,0.588,0.386,-0.632,0.968,0.179,9.325,9.366,11.835,8.837,46960,47068,52954,45650,1.528,0.000,1.510,1.915,0.000,1.606,0.000,0.000,0.000,3.500,--
0,0,23.989,-1.366,0.000,--,--,--,1.404,-0.058,1.524,1.570,-0.032,1.652,-0.014,-0.022,-0.028,0.999,-0.130,0.430,-0.117,-1.657,-2.584,-3.136,False,False,0.000,0.000,0.000,0.336,0.056,-2.819,0.555,0.377,-0.586,0.704,0.196,9.473,8.966,11.761,8.698,46198,44858,50966,44358,1.547,0.000,1.526,1.915,0.000,1.606,0.000,0.000,0.000,3.500,--
0,0,24.007,-1.366,0.000,--,--,--,1.439,-0.059,1.558,1.556,-0.025,1.663,-0.015,-0.018,-0.029,0.999,-0.190,0.490,-0.130,-1.806,-2.115,-3.298,False,False,0.000,0.000,0.000,0.314,0.045,-2.973,0.521,0.373,-0.472,0.654,0.209,9.497,8.798,11.263,8.511,45690,43892,49806,43118,1.605,0.000,1.574,1.915,0.000,1.606,0.000,0.000,0.000,3.500,--
