k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,779.568,-1.366,0.000,--,--,--,0.917,-0.018,0.393,0.809,0.098,0.102,-0.019,0.030,-0.024,0.999,0.180,-0.480,0.068,-2.139,3.439,-2.762,False,False,0.000,0.000,0.000,16.437,-0.059,-0.481,1.686,0.511,0.050,0.636,0.075,12.884,13.256,13.801,12.178,62802,63668,64906,61114,0.973,0.000,0.393,0.855,0.000,0.240,0.000,0.000,2.700,3.500,--
0,0,779.586,-1.366,0.000,--,--,--,0.935,-0.017,0.396,0.818,0.101,0.160,-0.018,0.026,-0.024,0.999,0.180,-0.760,-0.159,-1.992,2.967,-2.749,False,False,0.000,0.000,0.000,10.489,-0.061,-0.485,1.683,0.517,0.050,1.143,0.306,13.235,12.851,14.795,11.368,64960,63262,65534,58582,0.982,0.000,0.396,0.855,0.000,0.267,0.000,0.000,2.700,3.500,--
0,0,779.604,-1.366,0.000,--,--,--,0.952,-0.015,0.400,0.822,0.104,0.210,-0.015,0.021,-0.024,0.999,0.340,-0.660,-0.111,-1.689,2.339,-2.731,False,False,0.000,0.000,0.000,7.973,-0.063,-0.490,1.679,0.517,-0.232,1.113,0.260,13.204,12.805,15.000,11.422,64046,63110,65534,59690,1.007,0.000,0.405,0.855,0.000,0.348,0.000,0.000,2.700,3.500,--
0,0,779.613,-1.366,0.000,--,--,--,0.961,-0.014,0.403,0.827,0.106,0.240,-0.014,0.017,-0.025,0.999,0.440,-0.490,-0.156,-1.540,1.865,-2.880,False,False,0.000,0.000,0.000,6.970,-0.064,-0.494,1.676,0.517,-0.416,0.725,0.308,13.062,12.621,15.000,11.712,64522,61220,65534,60014,1.026,0.000,0.413,0.855,0.000,0.407,0.000,0.000,2.700,3.500,--
0,0,779.613,-1.366,0.000,--,--,--,0.961,-0.014,0.403,0.827,0.106,0.240,-0.014,0.017,-0.025,0.999,0.440,-0.490,-0.156,-1.540,1.865,-2.880,False,False,0.000,0.000,0.000,6.970,-0.064,-0.494,1.676,0.517,-0.416,0.725,0.308,12.801,12.195,15.000,11.788,64522,61220,65534,60014,1.043,0.000,0.422,0.855,0.000,0.461,0.000,0.000,2.700,3.500,--
0,0,779.650,-1.366,0.000,--,--,--,0.988,-0.012,0.412,0.831,0.105,0.364,-0.007,0.008,-0.028,1.000,0.580,-0.550,-0.147,-0.767,0.931,-3.178,False,False,0.000,0.000,0.000,4.579,-0.064,-0.498,1.658,0.504,-0.829,1.220,0.319,12.443,11.837,14.916,11.582,61100,59364,65534,57826,1.059,0.000,0.431,0.855,0.000,0.510,0.000,0.000,2.700,3.500,--
0,0,779.689,-1.366,0.000,--,--,--,1.023,-0.009,0.431,0.817,0.092,0.539,0.004,-0.006,-0.030,1.000,0.490,-0.630,-0.090,0.457,-0.621,-3.492,False,False,0.000,0.000,0.000,3.053,-0.057,-0.496,1.648,0.486,-0.648,1.175,0.270,12.443,11.837,14.916,11.582,59374,58428,65534,56342,1.059,0.000,0.431,0.855,0.000,0.510,0.000,0.000,2.700,3.500,--
0,0,779.698,-1.366,0.000,--,--,--,1.032,-0.008,0.437,0.811,0.087,0.585,0.007,-0.010,-0.030,0.999,0.390,-0.460,-0.138,0.760,-1.087,-3.496,False,False,0.000,0.000,0.000,2.805,-0.054,-0.495,1.636,0.473,-0.448,1.299,0.326,12.486,11.181,14.710,10.518,58754,57166,64808,53702,1.084,0.000,0.447,0.855,0.000,0.591,0.000,0.000,2.700,3.500,--
0,0,779.727,-1.366,0.000,--,--,--,1.057,-0.007,0.457,0.794,0.067,0.705,0.010,-0.015,-0.033,0.999,-0.170,-0.150,-0.047,1.054,-1.710,-3.823,False,False,0.000,0.000,0.000,2.301,-0.042,-0.490,1.622,0.471,0.369,0.512,0.243,12.225,11.934,13.478,9.715,60622,57800,61126,54292,1.110,0.000,0.466,0.855,0.000,0.672,0.000,0.000,2.700,3.500,--
0,0,779.747,-1.366,0.000,--,--,--,1.074,-0.007,0.472,0.777,0.053,0.783,0.008,-0.018,-0.035,0.999,-0.320,-0.070,-0.130,0.882,-2.032,-3.981,False,False,0.000,0.000,0.000,2.053,-0.034,-0.484,1.615,0.458,0.384,0.438,0.330,12.382,11.698,12.150,10.060,60514,55692,60704,52276,1.127,0.000,0.480,0.855,0.000,0.726,0.000,0.000,2.700,3.500,--
0,0,779.766,-1.366,0.000,--,--,--,1.090,-0.007,0.489,0.759,0.044,0.853,0.006,-0.019,-0.035,0.999,-0.450,-0.070,-0.031,0.558,-2.202,-3.977,False,False,0.000,0.000,0.000,1.863,-0.029,-0.478,1.590,0.453,0.812,0.520,0.238,12.857,11.115,12.707,9.166,59180,56516,58144,51136,1.136,0.000,0.488,0.855,0.000,0.753,0.000,0.000,2.700,3.500,--
