k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,241.156,-1.366,0.000,--,--,--,-0.248,-0.018,1.165,2.562,0.004,0.195,-0.011,0.113,0.010,0.993,-0.230,-0.730,-0.164,-1.386,13.044,0.959,False,False,0.000,0.000,0.000,4.672,-0.005,-2.802,0.914,0.510,0.300,1.623,0.243,12.874,13.489,14.840,10.859,61354,62566,65534,55294,0.074,0.000,1.136,2.598,0.000,0.293,0.000,0.000,3.000,3.500,--
0,0,241.176,-1.366,0.000,--,--,--,-0.196,-0.019,1.169,2.593,0.003,0.265,-0.012,0.107,0.008,0.994,-0.210,-0.750,-0.178,-1.521,12.245,0.794,False,False,0.000,0.000,0.000,3.434,-0.004,-2.849,0.910,0.508,0.266,1.635,0.264,12.816,13.610,15.000,10.505,61444,62306,65534,55038,0.126,0.000,1.142,2.598,0.000,0.353,0.000,0.000,3.000,3.500,--
0,0,241.196,-1.366,0.000,--,--,--,-0.145,-0.020,1.174,2.623,0.003,0.343,-0.014,0.100,0.007,0.995,-0.080,-0.770,-0.181,-1.657,11.446,0.631,False,False,0.000,0.000,0.000,2.632,-0.005,-2.898,0.905,0.502,0.067,1.644,0.274,12.780,13.337,15.000,10.406,60716,61430,65534,54830,0.178,0.000,1.150,2.598,0.000,0.413,0.000,0.000,3.000,3.500,--
0,0,241.216,-1.366,0.000,--,--,--,-0.092,-0.021,1.181,2.646,0.005,0.427,-0.015,0.094,0.007,0.995,0.010,-0.650,-0.155,-1.811,10.810,0.625,False,False,0.000,0.000,0.000,2.101,-0.006,-2.947,0.898,0.495,-0.083,1.459,0.258,12.670,12.917,14.935,10.336,59844,60212,65124,54900,0.230,0.000,1.159,2.598,0.000,0.473,0.000,0.000,3.000,3.500,--
0,0,241.236,-1.366,0.000,--,--,--,-0.040,-0.021,1.190,2.667,0.007,0.514,-0.015,0.089,0.006,0.996,-0.030,-0.480,-0.129,-1.794,10.170,0.477,False,False,0.000,0.000,0.000,1.728,-0.009,-3.000,0.889,0.486,-0.019,1.160,0.238,12.467,12.355,14.732,10.459,59448,59112,63524,54692,0.282,0.000,1.169,2.598,0.000,0.533,0.000,0.000,3.000,3.500,--
0,0,241.257,-1.366,0.000,--,--,--,0.013,-0.022,1.201,2.682,0.010,0.602,-0.015,0.084,0.004,0.996,-0.090,-0.370,-0.112,-1.778,9.690,0.327,False,False,0.000,0.000,0.000,1.458,-0.013,-3.054,0.884,0.481,-0.106,1.115,0.224,12.467,12.355,14.732,10.459,58524,58292,62756,54398,0.282,0.000,1.169,2.598,0.000,0.533,0.000,0.000,3.000,3.500,--
0,0,241.278,-1.366,0.000,--,--,--,0.066,-0.023,1.213,2.694,0.013,0.689,-0.017,0.082,0.004,0.997,-0.200,-0.230,-0.084,-1.935,9.373,0.319,False,False,0.000,0.000,0.000,1.256,-0.016,-3.111,0.866,0.467,0.282,0.761,0.205,12.403,12.232,13.795,10.554,58202,57036,59880,52980,0.365,0.000,1.188,2.598,0.000,0.629,0.000,0.000,3.000,3.500,--
0,0,241.298,-1.366,0.000,--,--,--,0.119,-0.024,1.227,2.704,0.017,0.772,-0.019,0.079,0.003,0.997,-0.220,-0.200,-0.107,-2.238,9.052,0.141,False,False,0.000,0.000,0.000,1.103,-0.021,-3.174,0.859,0.462,0.367,0.709,0.231,12.574,11.864,13.052,10.100,58006,56170,59198,51950,0.443,0.000,1.208,2.598,0.000,0.719,0.000,0.000,3.000,3.500,--
0,0,241.317,-1.366,0.000,--,--,--,0.173,-0.025,1.243,2.711,0.021,0.849,-0.022,0.076,0.003,0.997,-0.210,-0.170,-0.129,-2.554,8.735,0.123,False,False,0.000,0.000,0.000,0.984,-0.026,-3.243,0.844,0.454,0.453,0.635,0.261,12.603,11.456,12.925,9.795,57578,54906,58206,50582,0.495,0.000,1.223,2.598,0.000,0.779,0.000,0.000,3.000,3.500,--
0,0,241.336,-1.366,0.000,--,--,--,0.226,-0.026,1.260,2.718,0.025,0.920,-0.025,0.075,0.001,0.997,-0.190,-0.250,-0.057,-2.858,8.572,-0.055,False,False,0.000,0.000,0.000,0.889,-0.032,-3.319,0.819,0.446,0.345,0.804,0.199,12.237,11.468,12.803,9.699,55448,54554,57058,50052,0.547,0.000,1.239,2.598,0.000,0.839,0.000,0.000,3.000,3.500,--
0,0,241.356,-1.366,0.000,--,--,--,0.280,-0.026,1.279,2.723,0.028,0.987,-0.026,0.072,0.001,0.997,-0.160,-0.320,-0.064,-3.017,8.254,-0.059,False,False,0.000,0.000,0.000,0.810,-0.037,-3.402,0.800,0.442,0.299,0.943,0.212,11.888,11.417,12.888,9.616,54724,54082,56978,49182,0.599,0.000,1.256,2.598,0.000,0.899,0.000,0.000,3.000,3.500,--
0,0,241.375,-1.366,0.000,--,--,--,0.334,-0.027,1.299,2.726,0.036,1.048,-0.026,0.069,0.000,0.997,-0.050,-0.330,-0.077,-3.006,7.932,-0.208,False,False,0.000,0.000,0.000,0.744,-0.048,-3.493,0.780,0.441,0.144,0.980,0.233,11.637,11.246,13.023,9.541,54176,53264,57086,48814,0.677,0.000,1.285,2.598,0.000,0.989,0.000,0.000,3.000,3.500,--
0,0,241.394,-1.366,0.000,--,--,--,0.388,-0.028,1.320,2.727,0.042,1.104,-0.026,0.065,-0.000,0.998,0.060,-0.300,-0.064,-3.007,7.455,-0.196,False,False,0.000,0.000,0.000,0.687,-0.057,-3.591,0.759,0.440,-0.021,0.944,0.226,11.690,11.198,13.008,9.543,53864,52950,57228,49304,0.703,0.000,1.295,2.598,0.000,1.019,0.000,0.000,3.000,3.500,--
0,0,241.414,-1.366,0.000,--,--,--,0.441,-0.028,1.342,2.726,0.048,1.156,-0.026,0.062,-0.000,0.998,0.050,-0.290,-0.034,-3.007,7.138,-0.188,False,False,0.000,0.000,0.000,0.637,-0.067,-3.698,0.737,0.442,0.007,0.936,0.199,11.614,11.193,13.042,9.644,53668,53252,56916,49572,0.755,0.000,1.316,2.598,0.000,1.079,0.000,0.000,3.000,3.500,--
0,0,241.414,-1.366,0.000,--,--,--,0.441,-0.028,1.342,2.726,0.048,1.156,-0.026,0.062,-0.000,0.998,0.050,-0.290,-0.045,-3.007,7.138,-0.188,False,False,0.000,0.000,0.000,0.637,-0.067,-3.698,0.714,0.445,0.060,0.893,0.215,11.729,11.356,13.035,9.813,54264,53388,57156,49670,0.833,0.000,1.350,2.598,0.000,1.169,0.000,0.000,3.000,3.500,--
0,0,241.455,-1.366,0.000,--,--,--,0.549,-0.028,1.390,2.721,0.058,1.250,-0.026,0.058,-0.001,0.998,0.000,-0.230,-0.061,-2.999,6.657,-0.333,False,False,0.000,0.000,0.000,0.551,-0.085,-3.946,0.689,0.449,0.113,0.876,0.237,11.729,11.356,13.035,9.813,55026,53678,57656,49808,0.833,0.000,1.350,2.598,0.000,1.169,0.000,0.000,3.000,3.500,--
0,0,241.465,-1.366,0.000,--,--,--,0.576,-0.029,1.402,2.719,0.059,1.273,-0.026,0.057,-0.001,0.998,-0.010,-0.170,-0.050,-2.999,6.498,-0.329,False,False,0.000,0.000,0.000,0.531,-0.089,-4.016,0.664,0.453,0.165,0.812,0.231,11.948,11.422,13.152,9.840,55514,54052,57736,50256,0.885,0.000,1.374,2.598,0.000,1.229,0.000,0.000,3.000,3.500,--
0,0,241.495,-1.366,0.000,--,--,--,0.657,-0.029,1.441,2.711,0.063,1.346,-0.026,0.054,-0.003,0.998,0.000,-0.150,-0.042,-2.992,6.177,-0.479,False,False,0.000,0.000,0.000,0.473,-0.101,-4.251,0.638,0.457,0.141,0.771,0.229,12.200,11.535,13.219,10.033,56036,54456,58204,50920,0.963,0.000,1.412,2.598,0.000,1.319,0.000,0.000,3.000,3.500,--
0,0,241.514,-1.366,0.000,--,--,--,0.710,-0.029,1.469,2.705,0.067,1.395,-0.026,0.053,-0.004,0.998,0.040,-0.120,-0.051,-2.984,6.014,-0.633,False,False,0.000,0.000,0.000,0.437,-0.111,-4.432,0.610,0.461,0.082,0.743,0.246,12.386,11.532,13.471,10.180,56654,54646,58918,51436,1.040,0.000,1.453,2.598,0.000,1.409,0.000,0.000,3.000,3.500,--
0,0,241.533,-1.366,0.000,--,--,--,0.763,-0.029,1.498,2.697,0.071,1.445,-0.026,0.051,-0.006,0.998,0.040,-0.160,-0.043,-2.977,5.851,-0.787,False,False,0.000,0.000,0.000,0.402,-0.123,-4.636,0.581,0.464,0.085,0.832,0.246,12.372,11.584,13.522,10.286,56794,55118,59346,51562,1.066,0.000,1.467,2.598,0.000,1.439,0.000,0.000,3.000,3.500,--
0,0,241.553,-1.366,0.000,--,--,--,0.824,-0.042,1.521,2.791,-0.120,1.400,0.007,0.072,-0.012,0.997,0.070,-0.140,-0.030,0.894,8.264,-1.366,False,False,0.000,0.000,0.000,0.398,0.214,-5.001,0.558,0.382,-0.971,0.478,0.150,9.339,8.868,11.578,9.647,49450,48046,55272,50228,1.144,0.000,1.511,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.582,-1.366,0.000,--,--,--,0.916,-0.066,1.555,2.941,-0.424,1.302,0.055,0.101,-0.021,0.993,-0.220,-0.160,-0.065,6.557,11.714,-1.722,False,False,0.000,0.000,0.000,0.402,0.808,-5.609,0.540,0.408,-2.027,-0.470,0.166,10.037,7.908,12.368,11.764,49318,43388,55046,53648,1.196,0.000,1.541,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.600,-1.366,0.000,--,--,--,0.970,-0.066,1.588,2.914,-0.364,1.398,0.039,0.091,-0.019,0.995,-0.670,-0.340,-0.106,4.627,10.563,-1.803,False,False,0.000,0.000,0.000,0.351,0.738,-5.927,0.524,0.395,-1.690,-0.313,0.199,9.973,7.861,12.063,10.836,49254,43200,54394,51746,1.222,0.000,1.556,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.621,-1.366,0.000,--,--,--,1.023,-0.065,1.622,2.886,-0.309,1.476,0.019,0.080,-0.017,0.996,-1.210,-0.550,-0.131,2.367,9.245,-1.718,False,False,0.000,0.000,0.000,0.310,0.673,-6.303,0.475,0.361,-0.151,0.433,0.205,9.665,8.809,10.650,8.109,48498,45726,50806,44422,1.300,0.000,1.601,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.641,-1.366,0.000,--,--,--,1.075,-0.064,1.656,2.856,-0.256,1.535,-0.003,0.068,-0.015,0.998,-1.590,-0.800,-0.142,-0.198,7.774,-1.762,False,False,0.000,0.000,0.000,0.275,0.604,-6.748,0.440,0.342,0.839,1.135,0.213,9.494,9.558,9.947,6.290,47244,47298,48436,37648,1.352,0.000,1.631,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.654,-1.365,0.000,--,--,--,1.102,-0.064,1.674,2.840,-0.231,1.559,-0.015,0.062,-0.015,0.998,-1.660,-0.920,-0.181,-1.633,7.115,-1.849,False,False,0.000,0.000,0.000,0.260,0.568,-7.001,0.405,0.326,1.472,1.722,0.260,9.305,9.873,9.674,4.790,46362,47800,47384,29978,1.404,0.000,1.661,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.676,-0.014,0.000,--,--,--,1.154,-0.062,1.709,2.811,-0.183,1.594,-0.037,0.050,-0.014,0.998,-1.650,-0.960,-0.178,-4.199,5.650,-1.796,False,False,0.000,0.000,0.000,0.232,0.492,-7.582,0.370,0.312,1.732,2.060,0.277,9.168,9.992,9.487,4.252,45210,47662,46576,25712,1.430,0.000,1.676,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.686,-0.191,0.000,--,--,--,1.180,-0.061,1.726,2.796,-0.159,1.606,-0.047,0.043,-0.014,0.998,-1.600,-0.940,-0.152,-5.322,4.839,-1.814,False,False,0.000,0.000,0.000,0.219,0.448,-7.916,0.335,0.299,1.672,2.108,0.283,8.753,9.790,9.386,3.632,43992,46590,45854,23964,1.482,0.000,1.706,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.714,-1.364,0.000,--,--,--,1.257,-0.058,1.779,2.741,-0.078,1.630,-0.073,0.028,-0.014,0.997,-1.040,-0.560,-0.091,-8.367,3.048,-1.814,False,False,0.000,0.000,0.000,0.184,0.258,-9.130,0.300,0.286,1.385,1.972,0.264,8.298,9.121,9.189,3.633,42340,44914,44940,24304,1.534,0.000,1.736,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.733,-1.366,0.000,--,--,--,1.307,-0.054,1.814,2.701,-0.020,1.635,-0.086,0.021,-0.014,0.996,-0.570,-0.210,-0.026,-9.812,2.235,-1.784,False,False,0.000,0.000,0.000,0.162,0.071,-10.193,0.265,0.275,0.954,1.665,0.255,7.584,8.005,8.732,4.132,40710,42238,43950,25680,1.612,0.000,1.781,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.761,-1.366,0.000,--,--,--,1.381,-0.046,1.867,2.635,0.073,1.626,-0.095,0.018,-0.012,0.995,0.100,0.380,0.008,-10.933,1.916,-1.617,False,False,0.000,0.000,0.000,0.130,-0.348,-12.404,0.247,0.270,0.781,1.450,0.253,7.466,7.636,8.506,4.293,40232,40796,43320,26392,1.638,0.000,1.796,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.779,-1.366,0.000,--,--,--,1.429,-0.040,1.901,2.592,0.134,1.607,-0.095,0.021,-0.011,0.995,0.530,0.750,0.134,-10.932,2.247,-1.490,False,False,0.000,0.000,0.000,0.110,-0.757,-14.561,0.195,0.261,0.132,0.710,0.238,7.466,7.636,8.506,4.293,39094,36200,41820,30580,1.638,0.000,1.796,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.800,-1.366,0.000,--,--,--,1.477,-0.033,1.935,2.552,0.191,1.585,-0.093,0.026,-0.010,0.995,0.880,1.030,0.195,-10.609,2.898,-1.384,False,False,0.000,0.000,0.000,0.091,-1.325,-17.677,0.161,0.261,-0.203,0.237,0.248,7.390,5.732,8.078,5.798,39496,33486,41556,33258,1.768,0.000,1.871,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.818,-1.366,0.000,--,--,--,1.524,-0.025,1.968,2.516,0.239,1.551,-0.086,0.035,-0.008,0.996,1.140,1.230,0.251,-9.806,3.869,-1.288,False,False,0.000,0.000,0.000,0.071,-2.143,-22.537,0.127,0.266,-0.413,-0.117,0.254,7.466,5.481,8.195,6.036,40410,32094,41776,35534,1.794,0.000,1.886,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.838,-1.366,0.000,--,--,--,1.571,-0.017,2.000,2.484,0.283,1.516,-0.076,0.044,-0.007,0.996,1.270,1.290,0.295,-8.687,5.001,-1.176,False,False,0.000,0.000,0.000,0.052,-3.549,-31.127,0.095,0.278,-0.591,-0.365,0.251,8.001,5.391,8.432,6.951,41498,32068,42504,37920,1.872,0.000,1.931,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--
0,0,241.860,-1.366,0.000,--,--,--,1.617,-0.008,2.031,2.459,0.320,1.484,-0.066,0.055,-0.006,0.996,1.270,1.240,0.335,-7.571,6.290,-1.053,False,False,0.000,0.000,0.000,0.032,-6.544,-32.767,0.064,0.292,-0.670,-0.414,0.241,8.312,5.716,8.747,7.413,42670,33644,43780,39850,1.924,0.000,1.961,2.598,0.000,1.500,0.000,0.000,0.000,3.500,--

0,0,--,0,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],--,--,--,3.000,30.000,0.000,--,--,--,--,--,--,--,--,--,--,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rollout Completed: Falling Drone
0,0,227.847,0.000,0.000,--,--,--,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,nan,0.000,0.000,0.000,False,--,--,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Flip Data
0,0,-1666883626.891,--,--,--,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,False,--,--,--,0,0,0,0,0,0.000,0.000,0.000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Impact Data

