k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error

0,0,900.701,-1.366,0.000,--,--,--,0.474,-0.036,1.462,2.029,0.049,0.049,-0.021,0.101,-0.026,0.994,-0.040,-0.990,-0.110,-2.064,11.543,-3.238,False,False,0.000,0.000,0.000,12.584,-0.081,-3.289,0.617,0.515,-0.016,1.234,0.248,13.065,13.389,14.881,11.452,62872,62616,65534,57966,0.709,0.000,1.442,1.948,0.000,0.238,0.000,0.000,3.000,3.500,--
0,0,900.732,-1.366,0.000,--,--,--,0.536,-0.038,1.465,2.070,0.043,0.136,-0.022,0.086,-0.028,0.996,0.120,-1.250,-0.150,-2.259,9.783,-3.377,False,False,0.000,0.000,0.000,4.496,-0.071,-3.371,0.615,0.521,-0.116,1.563,0.296,13.389,13.206,15.000,11.131,63022,63040,65534,57486,0.752,0.000,1.448,1.948,0.000,0.304,0.000,0.000,3.000,3.500,--
0,0,900.752,-1.366,0.000,--,--,--,0.578,-0.039,1.468,2.095,0.037,0.209,-0.021,0.075,-0.029,0.997,0.280,-1.360,-0.165,-2.126,8.511,-3.498,False,False,0.000,0.000,0.000,2.916,-0.062,-3.430,0.612,0.517,-0.385,1.686,0.323,12.576,13.271,15.000,11.221,61764,61718,65534,56716,0.806,0.000,1.458,1.948,0.000,0.388,0.000,0.000,3.000,3.500,--
0,0,900.772,-1.366,0.000,--,--,--,0.621,-0.041,1.473,2.111,0.040,0.290,-0.019,0.064,-0.030,0.997,0.330,-1.440,-0.209,-1.996,7.241,-3.623,False,False,0.000,0.000,0.000,2.084,-0.067,-3.483,0.608,0.514,-0.698,1.987,0.378,12.416,13.066,15.000,11.106,59960,59940,65228,54972,0.849,0.000,1.467,1.948,0.000,0.454,0.000,0.000,3.000,3.500,--
0,0,900.792,-1.366,0.000,--,--,--,0.664,-0.043,1.479,2.122,0.040,0.380,-0.017,0.050,-0.033,0.998,0.260,-1.310,-0.191,-1.714,5.656,-3.896,False,False,0.000,0.000,0.000,1.578,-0.068,-3.538,0.603,0.508,-0.804,1.858,0.376,12.443,13.000,15.000,11.001,59178,58740,64742,54674,0.888,0.000,1.477,1.948,0.000,0.514,0.000,0.000,3.000,3.500,--
0,0,900.812,-1.366,0.000,--,--,--,0.706,-0.044,1.488,2.125,0.036,0.476,-0.014,0.037,-0.035,0.999,0.240,-1.120,-0.135,-1.439,4.235,-4.021,False,False,0.000,0.000,0.000,1.241,-0.062,-3.591,0.596,0.499,-0.729,1.590,0.333,12.418,12.521,15.000,10.800,58098,57514,63906,54226,0.923,0.000,1.486,1.948,0.000,0.568,0.000,0.000,3.000,3.500,--
0,0,900.829,-1.366,0.000,--,--,--,0.749,-0.046,1.498,2.119,0.031,0.571,-0.012,0.028,-0.036,0.999,0.120,-0.790,-0.073,-1.315,3.126,-4.161,False,False,0.000,0.000,0.000,1.017,-0.054,-3.644,0.581,0.488,-0.407,1.137,0.285,12.418,12.521,15.000,10.800,57770,56466,62896,53698,0.923,0.000,1.486,1.948,0.000,0.568,0.000,0.000,3.000,3.500,--
0,0,900.849,-1.366,0.000,--,--,--,0.792,-0.048,1.510,2.107,0.026,0.663,-0.012,0.019,-0.037,0.999,-0.070,-0.560,-0.063,-1.347,2.171,-4.309,False,False,0.000,0.000,0.000,0.858,-0.047,-3.700,0.575,0.484,-0.168,0.987,0.278,12.679,11.930,14.461,10.731,58142,56426,62002,53300,1.001,0.000,1.511,1.948,0.000,0.688,0.000,0.000,3.000,3.500,--
0,0,900.869,-1.366,0.000,--,--,--,0.834,-0.050,1.524,2.088,0.019,0.753,-0.014,0.012,-0.039,0.999,-0.360,-0.330,-0.049,-1.534,1.369,-4.460,False,False,0.000,0.000,0.000,0.737,-0.035,-3.758,0.562,0.471,0.187,0.698,0.269,12.862,11.841,13.566,10.569,58118,55556,59848,52128,1.040,0.000,1.526,1.948,0.000,0.748,0.000,0.000,3.000,3.500,--
0,0,900.890,-1.366,0.000,--,--,--,0.875,-0.052,1.539,2.065,0.013,0.836,-0.017,0.008,-0.039,0.999,-0.460,-0.290,-0.040,-1.870,0.879,-4.456,False,False,0.000,0.000,0.000,0.645,-0.025,-3.824,0.540,0.458,0.493,0.620,0.265,12.907,11.722,13.231,10.184,57224,54482,57656,50138,1.079,0.000,1.541,1.948,0.000,0.808,0.000,0.000,3.000,3.500,--
0,0,900.890,-1.366,0.000,--,--,--,0.875,-0.052,1.539,2.065,0.013,0.836,-0.017,0.008,-0.039,0.999,-0.460,-0.290,-0.062,-1.870,0.879,-4.456,False,False,0.000,0.000,0.000,0.645,-0.025,-3.824,0.531,0.458,0.379,0.684,0.288,12.673,11.574,13.230,9.746,57130,54170,58162,49996,1.118,0.000,1.558,1.948,0.000,0.868,0.000,0.000,3.000,3.500,--
0,0,900.925,-1.366,0.000,--,--,--,0.937,-0.056,1.566,2.027,0.010,0.957,-0.022,0.003,-0.040,0.999,-0.380,-0.270,0.001,-2.531,0.216,-4.606,False,False,0.000,0.000,0.000,0.536,-0.021,-3.948,0.513,0.448,0.390,0.772,0.227,12.226,11.844,12.748,9.797,55462,53938,56782,49402,1.157,0.000,1.576,1.948,0.000,0.928,0.000,0.000,3.000,3.500,--
