k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,329.663,-1.366,0.000,--,--,--,-0.438,0.025,0.783,1.894,0.024,0.066,0.003,0.048,0.012,0.999,-0.040,0.010,0.002,0.248,5.549,1.441,False,False,0.000,0.000,0.000,19.209,-0.020,-1.462,1.296,0.403,0.141,0.378,0.092,7.747,8.485,9.025,6.432,48064,47670,48910,45704,-0.280,0.000,0.761,2.101,0.000,0.000,1.000,0.000,0.000,3.500,--
0,0,329.683,-1.366,0.000,--,--,--,-0.399,0.024,0.785,1.893,0.016,0.071,0.003,0.046,0.012,0.999,-0.050,0.080,-0.026,0.252,5.232,1.440,False,False,0.000,0.000,0.000,18.068,-0.015,-1.462,1.294,0.419,0.073,0.299,0.116,10.987,10.496,11.342,9.911,50960,49806,51770,48380,-0.221,0.000,0.761,2.106,0.000,0.058,0.000,0.000,2.500,3.500,--
0,0,329.683,-1.366,0.000,--,--,--,-0.399,0.024,0.785,1.893,0.016,0.071,0.003,0.046,0.012,0.999,-0.050,0.080,-0.043,0.252,5.232,1.440,False,False,0.000,0.000,0.000,18.068,-0.015,-1.462,1.293,0.435,0.097,0.429,0.131,11.375,10.968,11.896,10.141,53866,52902,55064,50858,-0.179,0.000,0.763,2.106,0.000,0.108,0.000,0.000,2.500,3.500,--
0,0,329.724,-1.366,0.000,--,--,--,-0.321,0.021,0.788,1.896,-0.003,0.085,0.003,0.046,0.012,0.999,-0.060,-0.130,-0.043,0.252,5.232,1.440,False,False,0.000,0.000,0.000,16.016,0.001,-1.469,1.293,0.435,0.097,0.429,0.131,11.545,11.250,12.221,10.176,53866,52902,55064,50858,-0.158,0.000,0.764,2.106,0.000,0.133,0.000,0.000,2.500,3.500,--
0,0,329.745,-1.366,0.000,--,--,--,-0.282,0.019,0.790,1.896,-0.012,0.109,0.003,0.043,0.011,0.999,-0.140,-0.330,-0.057,0.262,4.915,1.281,False,False,0.000,0.000,0.000,13.360,0.008,-1.471,1.290,0.457,0.189,0.844,0.145,11.731,11.858,12.759,10.237,55978,56274,58312,52306,-0.116,0.000,0.767,2.106,0.000,0.183,0.000,0.000,2.500,3.500,--
0,0,329.764,-1.366,0.000,--,--,--,-0.242,0.017,0.792,1.898,-0.019,0.143,0.001,0.039,0.010,0.999,-0.270,-0.460,-0.068,0.115,4.440,1.115,False,False,0.000,0.000,0.000,10.398,0.014,-1.475,1.288,0.467,0.318,1.129,0.157,12.010,12.667,13.301,10.084,57582,58672,60474,53072,-0.053,0.000,0.774,2.106,0.000,0.258,0.000,0.000,2.500,3.500,--
0,0,329.784,-1.366,0.000,--,--,--,-0.203,0.015,0.795,1.901,-0.026,0.184,-0.001,0.036,0.010,0.999,-0.320,-0.510,-0.085,-0.198,4.126,1.104,False,False,0.000,0.000,0.000,8.001,0.019,-1.480,1.286,0.475,0.475,1.288,0.177,12.214,12.871,13.333,10.181,58878,60158,61766,53302,-0.011,0.000,0.780,2.106,0.000,0.308,0.000,0.000,2.500,3.500,--
0,0,329.794,-1.366,0.000,--,--,--,-0.183,0.014,0.797,1.899,-0.030,0.211,-0.003,0.033,0.010,0.999,-0.400,-0.440,-0.085,-0.354,3.810,1.099,False,False,0.000,0.000,0.000,6.963,0.022,-1.481,1.282,0.475,0.579,1.309,0.179,12.320,12.849,13.148,9.962,60560,61900,63214,54370,0.031,0.000,0.786,2.106,0.000,0.358,0.000,0.000,2.500,3.500,--
0,0,329.824,-1.366,0.000,--,--,--,-0.126,0.010,0.805,1.880,-0.038,0.316,-0.007,0.024,0.010,1.000,-0.480,-0.260,-0.067,-0.819,2.704,1.091,False,False,0.000,0.000,0.000,4.512,0.029,-1.477,1.277,0.471,0.626,1.087,0.161,12.288,12.761,12.853,9.898,60962,61850,62664,54970,0.074,0.000,0.794,2.106,0.000,0.408,0.000,0.000,2.500,3.500,--
0,0,329.834,-1.366,0.000,--,--,--,-0.106,0.009,0.808,1.874,-0.037,0.351,-0.010,0.022,0.010,1.000,-0.410,-0.130,-0.063,-1.134,2.548,1.085,False,False,0.000,0.000,0.000,4.015,0.030,-1.476,1.271,0.466,0.704,0.884,0.156,12.396,12.489,12.678,9.997,61168,61388,61836,54972,0.095,0.000,0.798,2.106,0.000,0.433,0.000,0.000,2.500,3.500,--
