k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,465.173,-1.366,0.000,--,--,--,2.029,-0.683,-0.148,4.076,-1.858,5.208,-0.476,0.876,0.007,-0.079,-10.110,-0.130,0.224,6.570,-166.167,-56.610,False,False,0.000,0.000,0.000,0.439,0.634,-1.938,2.309,-5.224,15.856,0.641,-0.226,0.000,0.000,0.000,0.000,0,0,0,0,4.714,0.000,4.710,1.944,0.000,1.944,0.000,0.000,0.000,3.768,--
0,0,465.183,-1.366,0.000,--,--,--,2.057,-0.713,-0.068,3.976,-2.225,5.205,-0.484,0.866,0.091,-0.084,-11.420,0.110,0.055,-8.454,-173.623,-58.679,False,False,0.000,0.000,0.000,0.427,0.833,-1.830,2.148,-4.897,20.410,-0.083,-0.058,0.000,0.000,0.000,0.000,0,0,0,0,4.749,0.000,4.745,1.944,0.000,1.944,0.000,0.000,0.000,3.773,--
0,0,465.203,-1.366,0.000,--,--,--,2.079,-0.779,0.043,3.744,-3.203,5.018,-0.495,0.820,0.270,-0.095,-14.370,0.160,-0.200,-43.749,167.290,-59.783,False,False,0.000,0.000,0.000,0.404,1.256,-1.857,2.089,-3.915,23.021,0.596,0.180,0.000,0.000,0.000,0.000,0,0,0,0,4.792,0.000,4.788,1.944,0.000,1.944,0.000,0.000,0.000,3.779,--
0,0,465.223,-1.366,0.000,--,--,--,2.094,-0.866,0.131,3.607,-4.524,4.825,-0.506,0.747,0.425,-0.075,2.530,-3.030,0.748,-77.285,146.185,-55.060,False,False,0.000,0.000,0.000,0.413,1.925,-1.843,1.990,-2.387,-7.694,5.277,-0.934,0.000,0.000,0.000,0.000,0,0,0,0,4.827,0.000,4.823,1.944,0.000,1.944,0.000,0.000,0.000,3.773,--
0,0,465.243,-1.366,0.000,--,--,--,2.166,-0.958,0.229,3.614,-4.657,4.835,-0.497,0.764,0.408,-0.050,3.820,-3.510,1.128,-73.226,146.698,-53.130,False,False,0.000,0.000,0.000,0.385,2.442,-1.900,1.899,-2.390,-7.971,4.090,-1.398,0.000,0.000,0.000,0.000,0,0,0,0,4.866,0.000,4.862,1.944,0.000,1.944,0.000,0.000,0.000,3.763,--
0,0,465.273,-1.366,0.000,--,--,--,2.274,-1.098,0.370,3.641,-4.745,4.639,-0.484,0.787,0.382,-0.024,-2.980,1.770,1.062,-67.530,147.853,-51.267,False,False,0.000,0.000,0.000,0.377,2.668,-2.052,1.802,-2.455,-0.278,-4.979,-1.402,0.000,0.000,0.000,0.000,0,0,0,0,4.905,0.000,4.901,1.944,0.000,1.944,0.000,0.000,0.000,3.763,--
0,0,465.283,-1.366,0.000,--,--,--,2.311,-1.146,0.416,3.714,-4.792,4.607,-0.483,0.784,0.389,-0.039,-2.510,2.980,1.773,-67.995,149.313,-51.908,False,False,0.000,0.000,0.000,0.368,2.775,-2.131,1.709,-2.404,4.529,-5.304,-2.068,0.000,0.000,0.000,0.000,0,0,0,0,4.943,0.000,4.940,1.944,0.000,1.944,0.000,0.000,0.000,3.757,--
0,0,465.304,-1.366,0.000,--,--,--,2.387,-1.242,0.507,3.852,-4.875,4.476,-0.476,0.778,0.403,-0.077,-1.880,1.390,-0.088,-68.073,153.832,-53.424,False,False,0.000,0.000,0.000,0.356,2.973,-2.335,1.617,-2.241,1.909,-1.354,-0.081,0.000,0.000,0.000,0.000,0,0,0,0,4.982,0.000,4.978,1.944,0.000,1.944,0.000,0.000,0.000,3.757,--
0,0,465.324,-1.366,0.000,--,--,--,2.465,-1.342,0.598,3.955,-5.111,4.581,-0.480,0.773,0.407,-0.082,1.710,-0.490,-0.743,-69.311,153.284,-53.960,False,False,0.000,0.000,0.000,0.337,3.270,-2.572,1.527,-2.048,-1.928,0.154,0.572,0.000,0.000,0.000,0.000,0,0,0,0,5.021,0.000,5.017,1.944,0.000,1.944,0.000,0.000,0.000,3.757,--
0,0,465.344,-1.366,0.000,--,--,--,2.544,-1.445,0.688,3.946,-5.172,4.465,-0.482,0.775,0.404,-0.071,-0.300,-0.350,-0.469,-69.402,151.998,-53.414,False,False,0.000,0.000,0.000,0.316,3.586,-2.749,1.436,-2.011,1.268,0.119,0.254,0.000,0.000,0.000,0.000,0,0,0,0,5.060,0.000,5.056,1.944,0.000,1.944,0.000,0.000,0.000,3.752,--
0,0,465.366,-1.366,0.000,--,--,--,2.624,-1.549,0.777,4.049,-5.318,4.399,-0.482,0.773,0.407,-0.066,-0.510,-0.110,-0.152,-70.051,151.272,-53.028,False,False,0.000,0.000,0.000,0.305,3.878,-2.954,1.346,-1.869,1.064,0.368,-0.089,0.000,0.000,0.000,0.000,0,0,0,0,5.099,0.000,5.095,1.944,0.000,1.944,0.000,0.000,0.000,3.763,--
0,0,465.386,-1.366,0.000,--,--,--,2.707,-1.657,0.864,4.146,-5.456,4.364,-0.480,0.772,0.411,-0.066,-0.070,-0.210,0.375,-70.596,151.141,-52.756,False,False,0.000,0.000,0.000,0.286,4.290,-3.269,1.302,-1.784,1.510,-0.887,-0.625,0.000,0.000,0.000,0.000,0,0,0,0,5.138,0.000,5.134,1.944,0.000,1.944,0.000,0.000,0.000,3.763,--
0,0,465.406,-1.366,0.000,--,--,--,2.790,-1.767,0.951,4.191,-5.567,4.290,-0.482,0.772,0.410,-0.064,0.430,0.040,-0.060,-70.645,150.715,-52.736,False,False,0.000,0.000,0.000,0.271,4.698,-3.555,1.215,-1.673,-0.365,-0.840,-0.198,0.000,0.000,0.000,0.000,0,0,0,0,5.177,0.000,5.173,1.944,0.000,1.944,0.000,0.000,0.000,3.763,--
0,0,465.426,-1.365,0.000,--,--,--,2.875,-1.880,1.036,4.277,-5.701,4.241,-0.482,0.773,0.408,-0.062,-0.110,0.200,-0.116,-70.439,150.674,-52.689,False,False,0.000,0.000,0.000,0.253,5.188,-3.898,1.085,-1.551,0.489,-0.717,-0.167,0.000,0.000,0.000,0.000,0,0,0,0,5.216,0.000,5.212,1.944,0.000,1.944,0.000,0.000,0.000,3.768,--
