vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.5,30.0,0,0.0,,,,,,,,,,,,,[1.451 6.107],[0.049 0.309]
1.5,30.0,1,0.0,,,,,,,,,,,,,[2.078 5.15 ],[0.003 0.422]
1.5,30.0,2,0.0,,,,,,,,,,,,,[2.297 7.29 ],[0.023 0.042]
1.5,33.75,0,0.1667,0.1607,-11.6527,0.11,-9.2273,0.6963,1.286,0.0029,0.3463,0.0043,0.4067,0.0213,0.0156,[1.681 9.396],[0.019 0.305]
1.5,33.75,1,0.0,,,,,,,,,,,,,[2.227 9.133],[0.003 0.136]
1.5,33.75,2,0.0,,,,,,,,,,,,,[2.379 8.405],[0.002 0.096]
1.5,37.5,0,0.0,,,,,,,,,,,,,[1.943 6.005],[0.01  0.043]
1.5,37.5,1,0.0556,0.0,0.0,0.0,-7.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.335 8.375],[0.005 0.21 ]
1.5,37.5,2,0.0,,,,,,,,,,,,,[2.098 3.69 ],[0.082 0.358]
1.5,41.25,0,0.0,,,,,,,,,,,,,[2.127 8.955],[0.003 0.125]
1.5,41.25,1,0.0,,,,,,,,,,,,,[2.216 8.256],[0.012 0.02 ]
1.5,41.25,2,0.0,,,,,,,,,,,,,[2.231 6.144],[0.011 0.28 ]
1.5,45.0,0,0.0,,,,,,,,,,,,,[2.188 7.226],[0.02  0.011]
1.5,45.0,1,0.0,,,,,,,,,,,,,[2.19  5.707],[0.025 0.187]
1.5,45.0,2,0.0,,,,,,,,,,,,,[2.053 5.654],[0.003 0.017]
1.5,48.75,0,0.0,,,,,,,,,,,,,[2.191 8.722],[0.01  0.035]
1.5,48.75,1,0.3889,0.1924,-5.3476,0.1936,-5.541,1.0153,1.0343,0.0035,0.1608,0.0029,0.0185,0.0135,0.0238,[1.981 5.519],[0.028 0.028]
1.5,48.75,2,0.0,,,,,,,,,,,,,[2.199 7.873],[0.026 0.113]
1.5,52.5,0,0.0,,,,,,,,,,,,,[2.128 4.491],[0.003 0.076]
1.5,52.5,1,0.0,,,,,,,,,,,,,[2.207 6.863],[0.003 0.02 ]
1.5,52.5,2,0.0,,,,,,,,,,,,,[2.212 5.152],[0.006 0.084]
1.5,56.25,0,0.0,,,,,,,,,,,,,[2.019 7.466],[0.012 0.037]
1.5,56.25,1,0.0,,,,,,,,,,,,,[2.11  3.921],[0.01  0.041]
1.5,56.25,2,0.0,,,,,,,,,,,,,[2.189 6.858],[0.019 0.019]
1.5,60.0,0,0.0,,,,,,,,,,,,,[1.153 3.821],[0.01  0.044]
1.5,60.0,1,0.0,,,,,,,,,,,,,[2.284 5.045],[0.045 0.025]
1.5,60.0,2,0.0,,,,,,,,,,,,,[2.242 6.718],[0.017 0.046]
1.5,63.75,0,0.0,,,,,,,,,,,,,[2.257 8.173],[0.019 0.089]
1.5,63.75,1,0.0,,,,,,,,,,,,,[2.311 5.071],[0.024 0.15 ]
1.5,63.75,2,0.0,,,,,,,,,,,,,[2.294 8.233],[0.001 0.078]
1.5,67.5,0,0.7778,0.1989,-2.3714,0.2528,-2.6836,1.2735,0.5985,0.0035,0.0579,0.005,0.0322,0.0211,0.0117,[2.03  2.694],[0.003 0.044]
1.5,67.5,1,0.2222,0.2122,-2.221,0.2698,-3.4245,1.2695,0.6028,0.006,0.0442,0.0077,0.0448,0.0215,0.0096,[2.192 3.478],[0.012 0.047]
1.5,67.5,2,0.1111,0.2215,-1.871,0.315,-4.0325,1.423,0.607,0.0005,0.038,0.004,0.1215,0.018,0.01,[2.227 3.986],[0.006 0.338]
1.5,71.25,0,0.0,,,,,,,,,,,,,[2.22  7.564],[0.002 0.159]
1.5,71.25,1,0.0,,,,,,,,,,,,,[2.234 9.345],[0.029 0.033]
1.5,71.25,2,0.0,,,,,,,,,,,,,[2.191 8.371],[0.009 0.223]
1.5,75.0,0,0.0,,,,,,,,,,,,,[2.082 5.003],[0.027 0.023]
1.5,75.0,1,0.0,,,,,,,,,,,,,[2.162 4.795],[0.044 0.069]
1.5,75.0,2,0.0,,,,,,,,,,,,,[2.204 8.141],[0.009 0.366]
1.5,78.75,0,0.8333,0.2036,-1.1191,0.2756,-6.702,1.3557,0.3078,0.0028,0.0355,0.0053,0.18,0.0222,0.0063,[0.293 0.914],[0.003 0.044]
1.5,78.75,1,0.6667,0.1742,-1.3283,0.2347,-2.8371,1.3471,0.3084,0.0037,0.0685,0.007,0.1469,0.0193,0.013,[1.815 2.756],[0.021 0.138]
1.5,78.75,2,0.0,,,,,,,,,,,,,[2.249 6.619],[0.037 0.027]
1.5,82.5,0,0.0556,0.235,-0.565,0.352,-5.984,1.502,0.205,0.0,0.0,0.0,0.0,0.0,0.0,[2.358 6.167],[0.004 0.155]
1.5,82.5,1,1.0,0.1802,-0.8468,0.2447,-1.3044,1.3577,0.206,0.0044,0.0344,0.0076,0.0589,0.0225,0.0063,[1.858 1.298],[0.001 0.059]
1.5,82.5,2,0.0556,0.232,-0.625,0.318,-4.377,1.369,0.2,0.0,0.0,0.0,0.0,0.0,0.0,[2.363 4.405],[0.014 0.05 ]
1.5,86.25,0,0.3333,0.1465,-0.4968,0.2,-4.2295,1.3645,0.0993,0.0025,0.0298,0.0034,0.0161,0.011,0.0052,[1.486 4.21 ],[0.018 0.024]
1.5,86.25,1,0.0556,0.22,-0.302,0.33,-2.231,1.507,0.102,0.0,0.0,0.0,0.0,0.0,0.0,[2.248 5.197],[0.    0.849]
1.5,86.25,2,0.0556,0.238,-0.264,0.37,-7.349,1.562,0.097,0.0,0.0,0.0,0.0,0.0,0.0,[2.387 7.291],[0.007 0.534]
1.5,90.0,0,0.0,,,,,,,,,,,,,[2.045 6.021],[0.006 0.046]
1.5,90.0,1,0.2222,0.22,0.0088,0.3025,-3.5525,1.3762,-0.0025,0.0042,0.0274,0.0073,0.0771,0.0137,0.0091,[2.28  3.585],[0.001 0.09 ]
1.5,90.0,2,0.0,,,,,,,,,,,,,[2.355 5.803],[0.01  0.158]
1.6,30.0,0,0.0556,0.167,-13.651,0.109,-8.774,0.683,1.481,0.0,0.0,0.0,0.0,0.0,0.0,[1.724 8.883],[0.001 0.164]
1.6,30.0,1,0.0,,,,,,,,,,,,,[2.381 9.485],[0.002 0.032]
1.6,30.0,2,0.0,,,,,,,,,,,,,[2.226 1.501],[0.012 0.038]
1.6,33.75,0,0.0,,,,,,,,,,,,,[1.717 7.508],[0.003 0.048]
1.6,33.75,1,0.0,,,,,,,,,,,,,[2.047 5.078],[0.001 0.035]
1.6,33.75,2,0.0,,,,,,,,,,,,,[2.113 5.773],[0.037 0.019]
1.6,37.5,0,0.4444,0.1484,-10.9202,0.1218,-8.222,0.8389,1.3276,0.0027,0.4175,0.0031,0.189,0.0124,0.0221,[1.534 7.838],[0.001 0.442]
1.6,37.5,1,0.0,,,,,,,,,,,,,[2.239 6.776],[0.02  0.046]
1.6,37.5,2,0.0,,,,,,,,,,,,,[2.134 5.165],[0.009 0.037]
1.6,41.25,0,0.0,,,,,,,,,,,,,[1.914 3.464],[0.029 0.042]
1.6,41.25,1,0.0,,,,,,,,,,,,,[2.235 8.86 ],[0.001 0.328]
1.6,41.25,2,0.0,,,,,,,,,,,,,[2.213 5.995],[0.006 0.076]
1.6,45.0,0,0.0,,,,,,,,,,,,,[2.238 7.954],[0.015 0.017]
1.6,45.0,1,0.0,,,,,,,,,,,,,[2.17 5.4 ],[0.005 0.039]
1.6,45.0,2,0.0556,0.0,0.0,0.0,-8.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.144 8.513],[0.004 0.021]
1.6,48.75,0,0.0,,,,,,,,,,,,,[1.908 7.535],[0.013 0.031]
1.6,48.75,1,0.0,,,,,,,,,,,,,[2.21  8.703],[0.015 0.264]
1.6,48.75,2,0.0,,,,,,,,,,,,,[2.317 7.046],[0.083 0.008]
1.6,52.5,0,0.1667,0.1787,-4.9293,0.202,-8.0953,1.134,0.9967,0.0019,0.0917,0.0049,0.0693,0.023,0.01,[1.842 8.102],[0.015 0.043]
1.6,52.5,1,0.1667,0.1957,-4.6407,0.2217,-6.2157,1.1407,1.024,0.0033,0.2294,0.0054,0.0811,0.0108,0.0208,[2.021 6.756],[0.002 0.514]
1.6,52.5,2,0.0,,,,,,,,,,,,,[2.321 8.166],[0.001 0.048]
1.6,56.25,0,0.0,,,,,,,,,,,,,[1.198 3.62 ],[0.104 0.092]
1.6,56.25,1,0.0556,0.208,-3.721,0.249,-5.867,1.194,0.93,0.0,0.0,0.0,0.0,0.0,0.0,[2.144 5.977],[0.004 0.142]
1.6,56.25,2,0.0,,,,,,,,,,,,,[2.212 8.652],[0.011 0.048]
1.6,60.0,0,0.0,,,,,,,,,,,,,[1.871 4.807],[0.02  0.025]
1.6,60.0,1,0.0556,0.0,0.0,0.0,-7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.216 7.519],[0.018 0.038]
1.6,60.0,2,0.0,,,,,,,,,,,,,[2.375 5.282],[0.03  0.024]
1.6,63.75,0,0.0,,,,,,,,,,,,,[2.101 3.895],[0.004 0.031]
1.6,63.75,1,0.0,,,,,,,,,,,,,[2.2   7.049],[0.001 1.237]
1.6,63.75,2,0.0556,0.241,-2.049,0.347,-7.947,1.436,0.72,0.0,0.0,0.0,0.0,0.0,0.0,[2.326 7.832],[0.048 0.632]
1.6,67.5,0,0.0,,,,,,,,,,,,,[2.289 8.591],[0.018 0.298]
1.6,67.5,1,0.1111,0.2045,-2.2345,0.281,-7.1195,1.374,0.628,0.0025,0.0365,0.001,0.0155,0.012,0.008,[2.173 7.141],[0.036 0.036]
1.6,67.5,2,0.0556,0.218,-2.002,0.312,-6.099,1.432,0.629,0.0,0.0,0.0,0.0,0.0,0.0,[2.264 6.268],[0.004 0.191]
1.6,71.25,0,0.6111,0.2103,-1.814,0.2979,-3.489,1.4158,0.5433,0.0035,0.0647,0.0099,0.0367,0.0319,0.0109,[2.14  3.478],[0.02  0.049]
1.6,71.25,1,0.0556,0.0,0.0,0.0,-8.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.236 8.744],[0.031 0.036]
1.6,71.25,2,0.0,,,,,,,,,,,,,[2.283 7.891],[0.04  0.026]
1.6,75.0,0,0.0,,,,,,,,,,,,,[2.291 8.56 ],[0.001 0.117]
1.6,75.0,1,0.0,,,,,,,,,,,,,[2.305 4.883],[0.004 0.03 ]
1.6,75.0,2,0.0,,,,,,,,,,,,,[2.375 5.078],[0.046 0.03 ]
1.6,78.75,0,0.0,,,,,,,,,,,,,[2.3   5.201],[0.    0.967]
1.6,78.75,1,0.0,,,,,,,,,,,,,[2.162 8.823],[0.017 0.047]
1.6,78.75,2,0.0,,,,,,,,,,,,,[2.286 9.189],[0.002 0.178]
1.6,82.5,0,0.1111,0.2215,-0.613,0.351,-3.3795,1.5815,0.221,0.0005,0.02,0.01,0.0085,0.0435,0.003,[2.3   3.378],[0.004 0.021]
1.6,82.5,1,0.0,,,,,,,,,,,,,[2.255 7.292],[0.018 0.265]
1.6,82.5,2,0.0,,,,,,,,,,,,,[2.307 8.454],[0.002 0.064]
1.6,86.25,0,0.0,,,,,,,,,,,,,[2.264 8.578],[0.039 0.036]
1.6,86.25,1,0.1111,0.1095,-0.1765,0.1545,-4.2035,0.7055,0.055,0.1095,0.1765,0.1545,0.0065,0.7055,0.055,[2.335 4.227],[0.037 0.021]
1.6,86.25,2,0.0,,,,,,,,,,,,,[2.273 5.78 ],[0.009 0.133]
1.6,90.0,0,0.0,,,,,,,,,,,,,[2.385 6.029],[0.003 0.074]
1.6,90.0,1,0.0556,0.132,-0.021,0.192,-4.341,1.458,0.003,0.0,0.0,0.0,0.0,0.0,0.0,[1.324 4.289],[0.047 0.039]
1.6,90.0,2,0.0556,0.241,0.002,0.39,-9.438,1.617,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,[2.441 9.029],[0.015 0.273]
1.7,30.0,0,0.0,,,,,,,,,,,,,[0.992 3.184],[0.017 0.037]
1.7,30.0,1,0.0,,,,,,,,,,,,,[2.248 8.103],[0.047 0.046]
1.7,30.0,2,0.0,,,,,,,,,,,,,[2.004 4.615],[0.087 0.031]
1.7,33.75,0,0.0,,,,,,,,,,,,,[1.919 4.194],[0.022 0.121]
1.7,33.75,1,0.0,,,,,,,,,,,,,[1.533 4.67 ],[0.025 0.288]
1.7,33.75,2,0.0,,,,,,,,,,,,,[2.333 7.822],[0.001 0.034]
1.7,37.5,0,0.0,,,,,,,,,,,,,[2.241 5.593],[0.027 0.071]
1.7,37.5,1,0.0,,,,,,,,,,,,,[2.065 5.653],[0.001 0.017]
1.7,37.5,2,0.0,,,,,,,,,,,,,[2.16  7.883],[0.007 0.061]
1.7,41.25,0,0.0,,,,,,,,,,,,,[2.13  5.314],[0.002 0.034]
1.7,41.25,1,0.0,,,,,,,,,,,,,[2.181 6.232],[0.014 0.085]
1.7,41.25,2,0.0,,,,,,,,,,,,,[2.158 7.851],[0.    0.082]
1.7,45.0,0,0.0,,,,,,,,,,,,,[2.168 6.477],[0.046 0.05 ]
1.7,45.0,1,0.0,,,,,,,,,,,,,[2.256 8.9  ],[0.024 0.781]
1.7,45.0,2,0.0556,0.0,0.0,0.0,-9.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[2.162 9.382],[0.011 0.036]
1.7,48.75,0,0.1111,0.1805,-5.3965,0.203,-8.385,1.126,1.0985,0.0025,0.1635,0.002,0.252,0.009,0.0245,[1.873 7.985],[0.001 0.273]
1.7,48.75,1,0.0,,,,,,,,,,,,,[2.187 7.181],[0.001 0.085]
1.7,48.75,2,0.0,,,,,,,,,,,,,[2.135 9.353],[0.037 0.144]
1.7,52.5,0,0.0,,,,,,,,,,,,,[2.211 7.717],[0.011 0.144]
1.7,52.5,1,0.0,,,,,,,,,,,,,[2.126 9.81 ],[0.016 0.026]
1.7,52.5,2,0.0,,,,,,,,,,,,,[2.245 8.717],[0.003 0.044]
1.7,56.25,0,0.0,,,,,,,,,,,,,[2.184 8.459],[0.022 0.265]
1.7,56.25,1,0.0,,,,,,,,,,,,,[2.161 5.489],[0.001 0.204]
1.7,56.25,2,0.0,,,,,,,,,,,,,[2.27  8.342],[0.005 0.031]
1.7,60.0,0,0.4444,0.1911,-3.478,0.2558,-5.3251,1.3435,0.8835,0.0079,0.2486,0.0131,0.1472,0.021,0.0271,[1.961 5.281],[0.046 0.123]
1.7,60.0,1,0.0,,,,,,,,,,,,,[2.268 7.094],[0.006 0.437]
