Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.5,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.982 7.836],[0.014 0.042]
1.5,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.08  6.708],[0.108 0.027]
1.5,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.6  5.23],[0.067 0.054]
1.5,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.944 6.232],[0.024 0.233]
1.5,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.088 6.313],[0.005 0.049]
1.5,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.312 3.866],[0.001 0.291]
1.5,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.958 8.102],[0.018 0.044]
1.5,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.223 7.9  ],[0.046 0.007]
1.5,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.018 6.714],[0.002 0.58 ]
1.5,41.25,0,0.0,1.464,36.893,0.178,-7.59,0.155,-8.078,0.879,1.171,[1.839 8.078],[0.04  0.006]
1.5,41.25,1,0.0,1.449,37.036,0.18,-7.387,0.157,-7.158,0.873,1.157,[1.92  7.241],[0.018 0.099]
1.5,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.491 4.784],[0.005 0.037]
1.5,45.0,0,0.0,1.48,40.534,0.184,-6.484,0.174,-8.411,0.962,1.125,[1.884 8.55 ],[0.023 0.546]
1.5,45.0,1,0.0,1.456,41.937,0.185,-6.075,0.178,-6.938,0.973,1.083,[1.889 6.804],[0.002 0.169]
1.5,45.0,2,0.0,1.461,40.725,0.183,-6.478,0.172,-8.255,0.953,1.107,[1.869 8.143],[0.006 0.162]
1.5,48.75,0,0.0,1.43,45.793,0.184,-5.335,0.187,-6.96,1.025,0.997,[1.914 6.943],[0.007 0.02 ]
1.5,48.75,1,0.0,1.43,44.83,0.107,-9.522,0.106,-3.947,1.008,1.014,[1.129 3.922],[0.016 0.047]
1.5,48.75,2,0.0,1.45,45.224,0.185,-5.415,0.189,-5.054,1.029,1.021,[1.914 5.084],[0.007 0.083]
1.5,52.5,0,0.0,1.459,49.727,0.205,-4.189,0.226,-5.456,1.113,0.943,[2.113 5.419],[0.014 0.061]
1.5,52.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.188 7.949],[0.029 0.048]
1.5,52.5,2,0.0,1.473,48.082,0.204,-4.522,0.22,-8.308,1.096,0.984,[2.124 8.319],[0.003 0.024]
