# V_d,phi,Tau_0,trial_num
2.40,41.25,0.24,2.00
2.40,45.00,0.18,0.00
2.40,45.00,0.22,1.00
2.40,45.00,0.24,2.00
2.40,48.75,0.18,0.00
2.40,48.75,0.22,1.00
2.40,48.75,0.24,2.00
2.40,52.50,0.18,0.00
2.40,52.50,0.22,1.00
2.40,52.50,0.24,2.00
2.40,56.25,0.18,0.00
2.40,56.25,0.22,1.00
2.40,56.25,0.24,2.00
2.40,60.00,0.18,0.00
2.40,60.00,0.22,1.00
2.40,60.00,0.24,2.00
2.40,63.75,0.18,0.00
2.40,63.75,0.22,1.00
2.40,63.75,0.24,2.00
2.40,67.50,0.18,0.00
2.40,67.50,0.22,1.00
2.40,67.50,0.24,2.00
2.40,71.25,0.18,0.00
2.40,71.25,0.22,1.00
2.40,71.25,0.24,2.00
2.40,75.00,0.18,0.00
2.40,75.00,0.22,1.00
2.40,75.00,0.24,2.00
2.40,78.75,0.18,0.00
2.40,78.75,0.22,1.00
2.40,78.75,0.24,2.00
2.40,82.50,0.18,0.00
2.40,82.50,0.22,1.00
2.40,82.50,0.24,2.00
2.40,86.25,0.18,0.00
2.40,86.25,0.22,1.00
2.40,86.25,0.24,2.00
2.40,90.00,0.18,0.00
2.40,90.00,0.22,1.00
2.40,90.00,0.24,2.00
2.50,30.00,0.18,0.00
2.50,30.00,0.22,1.00
2.50,30.00,0.24,2.00
2.50,33.75,0.18,0.00
2.50,33.75,0.22,1.00
2.50,33.75,0.24,2.00
2.50,37.50,0.18,0.00
2.50,37.50,0.22,1.00
2.50,37.50,0.24,2.00
2.50,41.25,0.18,0.00
2.50,41.25,0.22,1.00
2.50,41.25,0.24,2.00
2.50,45.00,0.18,0.00
2.50,45.00,0.22,1.00
2.50,45.00,0.24,2.00
2.50,48.75,0.18,0.00
2.50,48.75,0.22,1.00
2.50,48.75,0.24,2.00
2.50,52.50,0.18,0.00
2.50,52.50,0.22,1.00
2.50,52.50,0.24,2.00
2.50,56.25,0.18,0.00
2.50,56.25,0.22,1.00
2.50,56.25,0.24,2.00
2.50,60.00,0.18,0.00
2.50,60.00,0.22,1.00
2.50,60.00,0.24,2.00
2.50,63.75,0.18,0.00
2.50,63.75,0.22,1.00
2.50,63.75,0.24,2.00
2.50,67.50,0.18,0.00
2.50,67.50,0.22,1.00
2.50,67.50,0.24,2.00
2.50,71.25,0.18,0.00
2.50,71.25,0.22,1.00
2.50,71.25,0.24,2.00
2.50,75.00,0.18,0.00
2.50,75.00,0.22,1.00
2.50,75.00,0.24,2.00
2.50,78.75,0.18,0.00
2.50,78.75,0.22,1.00
2.50,78.75,0.24,2.00
2.50,82.50,0.18,0.00
2.50,82.50,0.22,1.00
2.50,82.50,0.24,2.00
2.50,86.25,0.18,0.00
2.50,86.25,0.22,1.00
2.50,86.25,0.24,2.00
2.50,90.00,0.18,0.00
2.50,90.00,0.22,1.00
2.50,90.00,0.24,2.00
2.60,30.00,0.18,0.00
2.60,30.00,0.22,1.00
2.60,30.00,0.24,2.00
2.60,33.75,0.18,0.00
2.60,33.75,0.22,1.00
2.60,33.75,0.24,2.00
2.60,37.50,0.18,0.00
2.60,37.50,0.22,1.00
2.60,37.50,0.24,2.00
2.60,41.25,0.18,0.00
2.60,41.25,0.22,1.00
2.60,41.25,0.24,2.00
2.60,45.00,0.18,0.00
2.60,45.00,0.22,1.00
2.60,45.00,0.24,2.00
2.60,48.75,0.18,0.00
2.60,48.75,0.22,1.00
2.60,48.75,0.24,2.00
2.60,52.50,0.18,0.00
2.60,52.50,0.22,1.00
2.60,52.50,0.24,2.00
2.60,56.25,0.18,0.00
2.60,56.25,0.22,1.00
2.60,56.25,0.24,2.00
2.60,60.00,0.18,0.00
2.60,60.00,0.22,1.00
2.60,60.00,0.24,2.00
2.60,63.75,0.18,0.00
2.60,63.75,0.22,1.00
2.60,63.75,0.24,2.00
2.60,67.50,0.18,0.00
2.60,67.50,0.22,1.00
2.60,67.50,0.24,2.00
2.60,71.25,0.18,0.00
2.60,71.25,0.22,1.00
2.60,71.25,0.24,2.00
2.60,75.00,0.18,0.00
2.60,75.00,0.22,1.00
2.60,75.00,0.24,2.00
2.60,78.75,0.18,0.00
2.60,78.75,0.22,1.00
2.60,78.75,0.24,2.00
2.60,82.50,0.18,0.00
2.60,82.50,0.22,1.00
2.60,82.50,0.24,2.00
2.60,86.25,0.18,0.00
2.60,86.25,0.22,1.00
2.60,86.25,0.24,2.00
2.60,90.00,0.18,0.00
2.60,90.00,0.22,1.00
2.60,90.00,0.24,2.00
2.70,30.00,0.18,0.00
2.70,30.00,0.22,1.00
2.70,30.00,0.24,2.00
2.70,33.75,0.18,0.00
2.70,33.75,0.22,1.00
2.70,33.75,0.24,2.00
2.70,37.50,0.18,0.00
2.70,37.50,0.22,1.00
2.70,37.50,0.24,2.00
2.70,41.25,0.18,0.00
2.70,41.25,0.22,1.00
2.70,41.25,0.24,2.00
2.70,45.00,0.18,0.00
2.70,45.00,0.22,1.00
2.70,45.00,0.24,2.00
2.70,48.75,0.18,0.00
2.70,48.75,0.22,1.00
2.70,48.75,0.24,2.00
2.70,52.50,0.18,0.00
2.70,52.50,0.22,1.00
2.70,52.50,0.24,2.00
2.70,56.25,0.18,0.00
2.70,56.25,0.22,1.00
2.70,56.25,0.24,2.00
2.70,60.00,0.18,0.00
