vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
0.0,0.0,2,0.0,,,,,,,,,,,,,[0. 0.],[0. 0.]
1.5,30.0,0,0.0,,,,,,,,,,,,,[1.586 2.648],[0.07  0.201]
1.5,30.0,1,0.3333,0.2499,-10.5746,0.1266,-8.6454,0.518,1.3449,0.0041,0.4087,0.0036,0.0252,0.0141,0.037,[2.505 8.624],[0.039 0.032]
1.5,30.0,2,0.3889,0.2432,-10.5528,0.126,-8.5565,0.5295,1.3345,0.0015,0.4905,0.0051,0.1682,0.0163,0.018,[2.467 8.78 ],[0.001 0.235]
1.5,33.75,0,0.0,,,,,,,,,,,,,[1.887 6.425],[0.001 0.047]
1.5,33.75,1,0.0,,,,,,,,,,,,,[1.837 6.829],[0.004 0.045]
1.5,33.75,2,0.4444,0.2291,-9.0296,0.1416,-7.8856,0.6284,1.2839,0.0012,0.2365,0.0043,0.0322,0.0207,0.011,[2.322 7.887],[0.009 0.033]
1.5,37.5,0,0.0,,,,,,,,,,,,,[1.916 7.405],[0.004 0.069]
1.5,37.5,1,0.5556,0.2339,-7.6283,0.1625,-8.6398,0.7048,1.2432,0.0034,0.29,0.0063,0.13,0.0244,0.0136,[2.375 8.675],[0.001 0.149]
1.5,37.5,2,0.0,,,,,,,,,,,,,[1.899 4.259],[0.006 0.075]
1.5,41.25,0,0.0,,,,,,,,,,,,,[2.055 6.603],[0.018 0.248]
1.5,41.25,1,0.0,,,,,,,,,,,,,[1.879 6.221],[0.001 0.156]
1.5,41.25,2,0.0,,,,,,,,,,,,,[1.857 6.089],[0.006 0.386]
1.5,45.0,0,0.6667,0.213,-5.4966,0.2011,-7.6781,0.9487,1.1097,0.0018,0.3246,0.0118,0.0236,0.0539,0.0134,[2.16  7.675],[0.019 0.022]
1.5,45.0,1,0.0,,,,,,,,,,,,,[1.961 7.417],[0.04 0.01]
1.5,45.0,2,0.0,,,,,,,,,,,,,[1.905 6.397],[0.042 0.141]
1.5,48.75,1,0.6667,0.2185,-4.9456,0.2078,-8.4569,0.9571,1.0274,0.0032,0.2917,0.0131,0.0181,0.0494,0.0214,[2.225 8.456],[0.033 0.023]
1.5,48.75,2,0.0,,,,,,,,,,,,,[1.859 4.199],[0.011 0.033]
