k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,1079.047,-32.767,0.000,--,--,--,0.523,0.026,0.095,0.005,0.028,-0.001,-0.043,0.010,0.018,0.999,0.000,-0.010,-0.002,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.015,-0.003,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.329,0.000,-22.547,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.063,-32.767,0.000,--,--,--,0.523,0.027,0.095,0.006,0.033,-0.001,-0.043,0.010,0.018,0.999,-0.010,-0.010,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.017,-0.004,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.347,0.000,-22.537,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.098,-32.767,0.000,--,--,--,0.523,0.027,0.095,0.008,0.042,-0.001,-0.043,0.010,0.018,0.999,0.000,-0.010,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.022,-0.005,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.347,0.000,-22.537,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.115,-32.767,0.000,--,--,--,0.523,0.028,0.095,0.009,0.047,-0.001,-0.043,0.010,0.018,0.999,0.000,0.000,-0.002,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.024,-0.005,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.381,0.000,-22.517,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.115,-32.767,0.000,--,--,--,0.523,0.028,0.095,0.009,0.047,-0.001,-0.043,0.010,0.018,0.999,0.000,0.000,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.024,-0.005,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.398,0.000,-22.507,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.148,-32.767,0.000,--,--,--,0.523,0.029,0.095,0.011,0.056,-0.001,-0.043,0.010,0.018,0.999,-0.010,0.000,0.002,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.029,-0.006,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.433,0.000,-22.487,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.165,-32.767,0.000,--,--,--,0.523,0.029,0.095,0.012,0.061,-0.001,-0.043,0.010,0.018,0.999,-0.010,-0.010,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.032,-0.007,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.450,0.000,-22.477,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.188,-32.767,0.000,--,--,--,0.524,0.030,0.095,0.013,0.066,-0.002,-0.043,0.010,0.018,0.999,0.000,0.000,0.001,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.034,-0.007,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.468,0.000,-22.467,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.209,-32.767,0.000,--,--,--,0.524,0.031,0.095,0.014,0.071,-0.002,-0.043,0.010,0.018,0.999,-0.010,0.000,-0.002,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.036,-0.008,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.468,0.000,-22.467,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.228,-32.767,0.000,--,--,--,0.524,0.032,0.095,0.015,0.075,-0.002,-0.043,0.010,0.018,0.999,-0.010,-0.010,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.039,-0.008,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.485,0.000,-22.457,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.249,-32.767,0.000,--,--,--,0.524,0.032,0.095,0.016,0.080,-0.002,-0.043,0.010,0.018,0.999,-0.010,0.000,0.000,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.041,-0.009,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.520,0.000,-22.437,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.249,-32.767,0.000,--,--,--,0.524,0.032,0.095,0.016,0.080,-0.002,-0.043,0.010,0.018,0.999,-0.010,0.000,-0.004,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.041,-0.009,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.537,0.000,-22.427,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.288,-32.767,0.000,--,--,--,0.524,0.034,0.095,0.018,0.089,-0.002,-0.043,0.010,0.018,0.999,0.000,-0.010,-0.004,-4.939,1.198,2.012,True,False,0.000,0.000,0.000,0.000,-0.046,-0.010,1.984,0.000,0.000,-15.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,7.554,0.000,-22.417,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.315,0.000,0.000,--,--,--,0.524,0.033,0.095,0.021,0.103,-0.003,-0.044,0.010,0.019,0.999,0.000,-0.010,0.001,-5.100,1.208,2.169,False,False,0.000,0.000,0.000,0.000,-0.053,-0.011,1.984,0.733,0.613,-0.176,-0.122,0.000,0.000,0.000,0.000,45284,46416,43256,45348,7.572,0.000,-22.407,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.315,0.000,0.000,--,--,--,0.524,0.033,0.095,0.021,0.103,-0.003,-0.044,0.010,0.019,0.999,0.000,-0.010,0.001,-5.100,1.208,2.169,False,False,0.000,0.000,0.000,0.000,-0.053,-0.011,1.984,0.733,0.613,-0.176,-0.122,0.000,0.000,0.000,0.000,45284,46416,43256,45348,7.572,0.000,-22.407,1.732,0.000,1.000,0.000,0.000,0.000,3.864,--
0,0,1079.339,0.000,0.000,--,--,--,0.524,0.032,0.095,0.025,0.116,-0.003,-0.046,0.010,0.021,0.999,0.000,0.010,-0.051,-5.261,1.218,2.325,False,False,0.000,0.000,0.000,0.000,-0.059,-0.013,1.984,0.732,0.599,-0.238,-0.074,0.000,0.000,0.000,0.000,48504,48894,46244,47944,7.572,0.000,-22.407,1.732,0.000,1.000,0.000,0.000,0.000,3.637,--
0,0,1079.366,0.000,0.000,--,--,--,0.524,0.033,0.095,0.028,0.132,-0.003,-0.046,0.010,0.019,0.999,-0.020,-0.060,-0.049,-5.259,1.211,2.167,False,False,0.000,0.000,0.000,0.000,-0.067,-0.015,1.984,0.731,0.734,-0.166,-0.075,13.796,14.398,12.612,13.192,65534,65534,64366,65534,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.395,0.000,0.000,--,--,--,0.524,0.035,0.095,0.031,0.147,0.000,-0.046,0.011,0.019,0.999,-0.030,-0.020,-0.088,-5.262,1.369,2.160,False,False,0.000,0.000,0.000,0.000,-0.075,-0.016,1.984,0.730,0.759,-0.120,-0.033,13.969,14.206,12.313,13.510,65534,65534,65534,65534,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.405,0.000,0.000,--,--,--,0.524,0.034,0.095,0.030,0.152,0.004,-0.047,0.010,0.019,0.999,-0.050,-0.030,-0.150,-5.418,1.214,2.165,False,False,0.000,0.000,0.000,0.000,-0.077,-0.016,1.984,0.725,1.038,-0.304,0.033,13.969,14.206,12.313,13.510,65534,65534,64870,65372,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.424,0.000,0.000,--,--,--,0.525,0.037,0.095,0.034,0.164,0.029,-0.047,0.010,0.018,0.999,-0.200,0.090,-0.237,-5.416,1.206,2.007,False,False,0.000,0.000,0.000,0.000,-0.084,-0.018,1.984,0.713,0.820,-0.556,0.127,14.969,13.402,12.802,12.825,65534,64626,64070,63638,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.454,0.000,0.000,--,--,--,0.525,0.039,0.097,0.040,0.189,0.085,-0.048,0.012,0.015,0.999,-0.230,0.610,-0.291,-5.575,1.510,1.673,False,False,0.000,0.000,0.000,0.000,-0.096,-0.021,1.982,0.697,1.279,-1.344,0.194,15.000,12.621,12.496,12.831,65534,61522,60572,61758,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.476,0.000,0.000,--,--,--,0.526,0.041,0.099,0.045,0.207,0.149,-0.051,0.019,0.012,0.998,-0.300,0.970,-0.359,-5.897,2.291,1.311,False,False,0.000,0.000,0.000,13.228,-0.107,-0.025,1.981,0.686,1.292,-1.753,0.272,15.000,12.048,12.213,12.586,65228,58662,59180,60342,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.497,0.000,0.000,--,--,--,0.526,0.044,0.103,0.058,0.228,0.228,-0.054,0.028,0.008,0.998,-0.190,0.860,-0.335,-6.212,3.219,0.779,False,False,0.000,0.000,0.000,8.634,-0.116,-0.030,1.976,0.637,1.367,-1.888,0.281,15.000,11.918,12.114,12.803,62412,55940,56334,57764,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.517,0.000,0.000,--,--,--,0.527,0.046,0.108,0.071,0.248,0.314,-0.055,0.035,0.006,0.998,-0.020,0.770,-0.294,-6.364,3.994,0.413,False,False,0.000,0.000,0.000,6.269,-0.127,-0.037,1.974,0.619,1.189,-1.899,0.247,15.000,11.801,12.116,13.112,61310,54932,55320,57356,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.537,0.000,0.000,--,--,--,0.528,0.049,0.115,0.090,0.268,0.400,-0.055,0.042,0.003,0.998,0.200,0.700,-0.309,-6.354,4.769,0.053,False,False,0.000,0.000,0.000,4.903,-0.137,-0.047,1.968,0.580,0.953,-1.863,0.277,15.000,11.522,12.552,13.019,60246,53350,55092,56426,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.557,0.000,0.000,--,--,--,0.530,0.052,0.123,0.113,0.288,0.483,-0.053,0.048,-0.000,0.997,0.380,0.460,-0.278,-6.021,5.544,-0.292,False,False,0.000,0.000,0.000,4.049,-0.148,-0.058,1.960,0.539,0.757,-1.656,0.260,15.000,11.363,12.585,12.702,59934,53254,55324,56266,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.575,0.000,0.000,--,--,--,0.532,0.055,0.133,0.138,0.306,0.565,-0.048,0.051,-0.003,0.998,0.530,0.180,-0.174,-5.529,5.848,-0.601,False,False,0.000,0.000,0.000,3.443,-0.158,-0.072,1.946,0.479,0.455,-1.091,0.166,15.000,11.114,11.970,12.690,57522,51044,52524,53266,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.595,0.000,0.000,--,--,--,0.534,0.058,0.145,0.166,0.324,0.643,-0.044,0.053,-0.004,0.998,0.650,-0.150,-0.170,-5.044,6.002,-0.741,False,False,0.000,0.000,0.000,3.008,-0.168,-0.086,1.934,0.438,0.310,-0.676,0.155,11.815,10.038,10.333,10.460,53830,48620,50484,49968,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.614,0.000,0.000,--,--,--,0.538,0.060,0.157,0.195,0.330,0.710,-0.039,0.051,-0.006,0.998,0.790,-0.500,-0.135,-4.403,5.841,-0.860,False,False,0.000,0.000,0.000,2.697,-0.175,-0.102,1.921,0.400,0.184,-0.255,0.106,11.102,9.590,10.153,9.868,49928,46904,48332,47174,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.632,0.000,0.000,--,--,--,0.542,0.065,0.172,0.219,0.337,0.769,-0.030,0.047,-0.007,0.998,0.880,-0.690,-0.124,-3.448,5.367,-0.956,False,False,0.000,0.000,0.000,2.477,-0.178,-0.116,1.907,0.366,0.058,0.002,0.076,9.783,9.078,9.427,8.944,46010,44436,45792,44188,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.651,0.000,0.000,--,--,--,0.546,0.068,0.188,0.242,0.333,0.813,-0.022,0.040,-0.008,0.999,0.930,-0.810,-0.121,-2.497,4.578,-1.052,False,False,0.000,0.000,0.000,2.326,-0.177,-0.129,1.899,0.350,0.100,0.055,0.059,8.823,8.426,8.762,8.222,44146,43102,43968,42456,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.660,0.000,0.000,--,--,--,0.548,0.069,0.196,0.251,0.329,0.827,-0.018,0.037,-0.010,0.999,0.940,-0.830,-0.088,-2.019,4.262,-1.186,False,False,0.000,0.000,0.000,2.277,-0.176,-0.134,1.875,0.311,-0.022,0.034,-0.006,7.532,7.732,7.552,7.802,39460,39734,39706,39680,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.694,0.000,0.000,--,--,--,0.556,0.073,0.221,0.274,0.314,0.855,-0.004,0.026,-0.012,1.000,0.990,-0.830,-0.109,-0.438,3.008,-1.439,False,False,0.000,0.000,0.000,2.171,-0.170,-0.148,1.858,0.290,0.001,-0.049,-0.012,7.101,7.274,7.006,7.337,37588,37644,37356,37856,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.715,0.000,0.000,--,--,--,0.561,0.075,0.238,0.282,0.297,0.857,0.006,0.018,-0.014,1.000,0.970,-0.790,-0.121,0.663,2.071,-1.574,False,False,0.000,0.000,0.000,2.146,-0.162,-0.154,1.841,0.274,0.024,-0.180,-0.017,7.151,6.834,6.841,7.106,36406,35954,35408,36696,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.735,0.000,0.000,--,--,--,0.566,0.077,0.255,0.288,0.277,0.850,0.015,0.011,-0.017,1.000,1.000,-0.770,-0.108,1.766,1.298,-1.883,False,False,0.000,0.000,0.000,2.145,-0.153,-0.158,1.824,0.260,-0.081,-0.288,-0.044,6.711,6.485,6.281,7.051,34848,34540,33758,36362,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.755,0.000,0.000,--,--,--,0.571,0.078,0.272,0.288,0.255,0.833,0.026,0.004,-0.018,0.999,1.050,-0.800,-0.096,3.023,0.530,-2.048,False,False,0.000,0.000,0.000,2.168,-0.142,-0.160,1.807,0.249,-0.243,-0.306,-0.063,6.250,6.141,6.065,6.985,33222,33348,32868,36152,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.775,0.000,0.000,--,--,--,0.576,0.079,0.289,0.288,0.230,0.808,0.036,-0.003,-0.019,0.999,1.080,-0.820,-0.114,4.120,-0.237,-2.230,False,False,0.000,0.000,0.000,2.213,-0.129,-0.162,1.798,0.244,-0.311,-0.299,-0.039,6.007,5.714,6.107,6.808,32830,32280,32894,35520,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.794,0.000,0.000,--,--,--,0.581,0.079,0.306,0.283,0.202,0.772,0.047,-0.011,-0.021,0.999,1.060,-0.860,-0.131,5.370,-1.156,-2.436,False,False,0.000,0.000,0.000,2.294,-0.115,-0.160,1.773,0.236,-0.533,-0.260,0.001,5.728,5.439,6.259,6.714,32084,30402,33642,34968,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.814,0.000,0.000,--,--,--,0.586,0.079,0.322,0.275,0.172,0.729,0.057,-0.019,-0.022,0.998,0.980,-0.890,-0.122,6.459,-2.074,-2.659,False,False,0.000,0.000,0.000,2.408,-0.099,-0.157,1.757,0.234,-0.602,-0.223,0.029,5.908,5.198,6.479,6.523,32066,29636,34194,34554,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.834,0.000,0.000,--,--,--,0.590,0.078,0.337,0.265,0.138,0.682,0.066,-0.028,-0.025,0.997,0.860,-0.910,-0.108,7.543,-2.978,-3.058,False,False,0.000,0.000,0.000,2.554,-0.080,-0.153,1.742,0.235,-0.613,-0.178,0.064,5.927,5.080,6.732,6.406,32410,29072,34782,33938,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.854,0.000,0.000,--,--,--,0.595,0.076,0.351,0.253,0.105,0.632,0.075,-0.036,-0.026,0.996,0.670,-0.930,-0.066,8.467,-3.892,-3.311,False,False,0.000,0.000,0.000,2.733,-0.062,-0.147,1.728,0.236,-0.538,-0.074,0.078,6.031,5.176,6.863,6.224,32656,29600,35146,33370,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
0,0,1079.877,0.000,0.000,--,--,--,0.599,0.074,0.365,0.238,0.069,0.580,0.082,-0.046,-0.028,0.995,0.450,-0.980,-0.054,9.224,-4.965,-3.586,False,False,0.000,0.000,0.000,2.955,-0.041,-0.139,1.721,0.236,-0.508,-0.022,0.097,6.171,5.316,7.055,5.978,33026,29684,35600,33002,0.500,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,3.500,--
