k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,322.010,0.000,0.000,--,--,--,0.001,0.016,0.083,-0.012,-0.014,0.000,0.007,-0.012,-0.026,1.000,-0.010,0.000,0.001,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.006,0.006,1.996,1.495,-0.235,0.296,0.153,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.044,0.000,0.000,--,--,--,0.001,0.016,0.083,-0.017,-0.019,-0.001,0.007,-0.012,-0.026,1.000,0.000,-0.010,0.001,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.009,0.008,1.996,1.496,-0.248,0.305,0.153,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.063,0.000,0.000,--,--,--,0.001,0.016,0.083,-0.020,-0.022,-0.001,0.007,-0.012,-0.026,1.000,-0.010,-0.010,-0.002,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.010,0.009,1.996,1.496,-0.245,0.305,0.156,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.080,0.000,0.000,--,--,--,0.000,0.016,0.083,-0.022,-0.025,-0.001,0.007,-0.012,-0.026,1.000,0.000,-0.010,0.000,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.012,0.010,1.996,1.496,-0.252,0.309,0.154,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.099,0.000,0.000,--,--,--,0.000,0.015,0.082,-0.024,-0.028,-0.001,0.007,-0.012,-0.026,1.000,0.000,-0.010,0.000,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.013,0.012,1.997,1.496,-0.256,0.307,0.153,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.120,0.000,0.000,--,--,--,0.000,0.015,0.082,-0.027,-0.030,-0.001,0.007,-0.012,-0.026,1.000,0.000,0.000,0.002,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.014,0.013,1.997,1.496,-0.257,0.304,0.150,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.142,0.000,0.000,--,--,--,0.000,0.015,0.082,-0.029,-0.033,-0.001,0.007,-0.012,-0.026,1.000,-0.010,-0.010,0.002,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.016,0.014,1.997,1.496,-0.257,0.304,0.150,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.159,0.000,0.000,--,--,--,-0.001,0.014,0.082,-0.031,-0.035,-0.001,0.007,-0.012,-0.026,1.000,-0.010,0.000,0.000,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.017,0.015,1.997,1.496,-0.260,0.310,0.152,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.181,0.000,0.000,--,--,--,-0.001,0.014,0.082,-0.034,-0.038,-0.001,0.007,-0.012,-0.026,1.000,-0.010,0.000,0.000,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.018,0.016,1.997,1.496,-0.260,0.312,0.151,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.200,0.000,0.000,--,--,--,-0.001,0.014,0.082,-0.036,-0.040,-0.002,0.007,-0.012,-0.026,1.000,-0.010,-0.010,0.003,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.019,0.017,1.997,1.496,-0.261,0.318,0.148,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.218,0.000,0.000,--,--,--,-0.002,0.013,0.082,-0.038,-0.043,-0.001,0.007,-0.012,-0.026,1.000,0.000,-0.010,0.000,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.021,0.018,1.997,1.496,-0.272,0.328,0.151,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.248,0.000,0.000,--,--,--,-0.002,0.012,0.082,-0.043,-0.048,-0.001,0.007,-0.012,-0.026,1.000,-0.010,0.000,-0.001,0.756,-1.408,-3.023,False,False,0.000,0.000,0.000,0.000,0.023,0.021,1.997,1.496,-0.271,0.320,0.152,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.265,0.000,0.000,--,--,--,-0.001,0.014,0.082,-0.048,-0.051,-0.001,0.008,-0.014,-0.028,0.999,-0.010,0.000,0.002,0.908,-1.561,-3.185,False,False,0.000,0.000,0.000,0.000,0.025,0.023,1.997,0.753,-0.124,0.188,0.161,0.000,0.000,0.000,0.000,44018,42420,44744,42258,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
0,0,322.265,0.000,0.000,--,--,--,-0.001,0.014,0.082,-0.048,-0.051,-0.001,0.008,-0.014,-0.028,0.999,-0.010,0.000,0.002,0.908,-1.561,-3.185,False,False,0.000,0.000,0.000,0.000,0.025,0.023,1.997,0.753,-0.124,0.188,0.161,0.000,0.000,0.000,0.000,44018,42420,44744,42258,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,4.017,--
